"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Age Band , Sex , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_026_01.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Age Band , Sex,Number of Acceptances,
2007 ,"'A1 - Pre-clinical Medicine' ","'17 and under' ","'Men' ",40
2007 ,"'D7 - Agricultural Sciences' ","'20' ","'Women' ",5
2007 ,"'D7 - Agricultural Sciences' ","'21 and over' ","'Women' ",10
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'18' ","'Men' ",5
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'18' ","'Women' ",15
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'19' ","'Women' ",5
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'21 and over' ","'Women' ",5
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'18' ","'Men' ",5
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'18' ","'Women' ",35
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'19' ","'Men' ",5
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'19' ","'Women' ",10
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'20' ","'Women' ",5
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'21 and over' ","'Men' ",10
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'21 and over' ","'Women' ",10
2007 ,"'F0 - Physical Sciences: any area of study' ","'18' ","'Men' ",35
2007 ,"'F0 - Physical Sciences: any area of study' ","'18' ","'Women' ",15
2007 ,"'F0 - Physical Sciences: any area of study' ","'19' ","'Men' ",10
2007 ,"'F0 - Physical Sciences: any area of study' ","'19' ","'Women' ",5
2007 ,"'F0 - Physical Sciences: any area of study' ","'20' ","'Men' ",5
2007 ,"'F0 - Physical Sciences: any area of study' ","'20' ","'Women' ",5
2007 ,"'F0 - Physical Sciences: any area of study' ","'21 and over' ","'Men' ",5
2007 ,"'F0 - Physical Sciences: any area of study' ","'21 and over' ","'Women' ",5
2007 ,"'F1 - Chemistry' ","'17 and under' ","'Men' ",40
2007 ,"'F1 - Chemistry' ","'17 and under' ","'Women' ",30
2007 ,"'F1 - Chemistry' ","'18' ","'Men' ",1545
2007 ,"'F1 - Chemistry' ","'18' ","'Women' ",1005
2007 ,"'F1 - Chemistry' ","'19' ","'Men' ",295
2007 ,"'F1 - Chemistry' ","'19' ","'Women' ",205
2007 ,"'F1 - Chemistry' ","'20' ","'Men' ",80
2007 ,"'F1 - Chemistry' ","'20' ","'Women' ",60
2007 ,"'F1 - Chemistry' ","'21 and over' ","'Men' ",150
2007 ,"'F1 - Chemistry' ","'21 and over' ","'Women' ",145
2007 ,"'F2 - Materials Science' ","'18' ","'Men' ",5
2007 ,"'F2 - Materials Science' ","'18' ","'Women' ",5
2007 ,"'F3 - Physics' ","'17 and under' ","'Men' ",50
2007 ,"'F3 - Physics' ","'17 and under' ","'Women' ",15
2007 ,"'F3 - Physics' ","'18' ","'Men' ",1795
2007 ,"'F3 - Physics' ","'18' ","'Women' ",400
2007 ,"'F3 - Physics' ","'19' ","'Men' ",305
2007 ,"'F3 - Physics' ","'19' ","'Women' ",75
2007 ,"'F3 - Physics' ","'20' ","'Men' ",80
2007 ,"'F3 - Physics' ","'20' ","'Women' ",20
2007 ,"'F3 - Physics' ","'21 and over' ","'Men' ",175
2007 ,"'F3 - Physics' ","'21 and over' ","'Women' ",50
2007 ,"'F4 - Forensic and Archaeological Science' ","'17 and under' ","'Men' ",5
2007 ,"'F4 - Forensic and Archaeological Science' ","'17 and under' ","'Women' ",10
2007 ,"'F4 - Forensic and Archaeological Science' ","'18' ","'Men' ",365
2007 ,"'F4 - Forensic and Archaeological Science' ","'18' ","'Women' ",580
2007 ,"'F4 - Forensic and Archaeological Science' ","'19' ","'Men' ",140
2007 ,"'F4 - Forensic and Archaeological Science' ","'19' ","'Women' ",185
2007 ,"'F4 - Forensic and Archaeological Science' ","'20' ","'Men' ",45
2007 ,"'F4 - Forensic and Archaeological Science' ","'20' ","'Women' ",85
2007 ,"'F4 - Forensic and Archaeological Science' ","'21 and over' ","'Men' ",105
2007 ,"'F4 - Forensic and Archaeological Science' ","'21 and over' ","'Women' ",300
2007 ,"'F5 - Astronomy' ","'17 and under' ","'Men' ",5
2007 ,"'F5 - Astronomy' ","'18' ","'Men' ",60
2007 ,"'F5 - Astronomy' ","'18' ","'Women' ",20
2007 ,"'F5 - Astronomy' ","'19' ","'Men' ",20
2007 ,"'F5 - Astronomy' ","'20' ","'Men' ",5
2007 ,"'F5 - Astronomy' ","'21 and over' ","'Men' ",5
2007 ,"'F5 - Astronomy' ","'21 and over' ","'Women' ",5
2007 ,"'F6 - Geology' ","'17 and under' ","'Men' ",5
2007 ,"'F6 - Geology' ","'17 and under' ","'Women' ",15
2007 ,"'F6 - Geology' ","'18' ","'Men' ",610
2007 ,"'F6 - Geology' ","'18' ","'Women' ",335
2007 ,"'F6 - Geology' ","'19' ","'Men' ",125
2007 ,"'F6 - Geology' ","'19' ","'Women' ",65
2007 ,"'F6 - Geology' ","'20' ","'Men' ",30
2007 ,"'F6 - Geology' ","'20' ","'Women' ",20
2007 ,"'F6 - Geology' ","'21 and over' ","'Men' ",85
2007 ,"'F6 - Geology' ","'21 and over' ","'Women' ",60
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'17 and under' ","'Men' ",10
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'17 and under' ","'Women' ",10
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'18' ","'Men' ",375
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'18' ","'Women' ",315
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'19' ","'Men' ",115
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'19' ","'Women' ",80
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'20' ","'Men' ",40
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'20' ","'Women' ",30
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'21 and over' ","'Men' ",140
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'21 and over' ","'Women' ",110
2007 ,"'F8 - Physical geographical sciences' ","'17 and under' ","'Men' ",10
2007 ,"'F8 - Physical geographical sciences' ","'17 and under' ","'Women' ",10
2007 ,"'F8 - Physical geographical sciences' ","'18' ","'Men' ",1190
2007 ,"'F8 - Physical geographical sciences' ","'18' ","'Women' ",1145
2007 ,"'F8 - Physical geographical sciences' ","'19' ","'Men' ",215
2007 ,"'F8 - Physical geographical sciences' ","'19' ","'Women' ",175
2007 ,"'F8 - Physical geographical sciences' ","'20' ","'Men' ",60
2007 ,"'F8 - Physical geographical sciences' ","'20' ","'Women' ",50
2007 ,"'F8 - Physical geographical sciences' ","'21 and over' ","'Men' ",150
2007 ,"'F8 - Physical geographical sciences' ","'21 and over' ","'Women' ",90
2007 ,"'F9 - Others in Physical Sciences' ","'17 and under' ","'Men' ",5
2007 ,"'F9 - Others in Physical Sciences' ","'18' ","'Men' ",70
2007 ,"'F9 - Others in Physical Sciences' ","'18' ","'Women' ",70
2007 ,"'F9 - Others in Physical Sciences' ","'19' ","'Men' ",45
2007 ,"'F9 - Others in Physical Sciences' ","'19' ","'Women' ",20
2007 ,"'F9 - Others in Physical Sciences' ","'20' ","'Men' ",20
2007 ,"'F9 - Others in Physical Sciences' ","'20' ","'Women' ",10
2007 ,"'F9 - Others in Physical Sciences' ","'21 and over' ","'Men' ",70
2007 ,"'F9 - Others in Physical Sciences' ","'21 and over' ","'Women' ",55
2007 ,"'FF - Combinations within Physical Sciences' ","'17 and under' ","'Men' ",5
2007 ,"'FF - Combinations within Physical Sciences' ","'17 and under' ","'Women' ",10
2007 ,"'FF - Combinations within Physical Sciences' ","'18' ","'Men' ",365
2007 ,"'FF - Combinations within Physical Sciences' ","'18' ","'Women' ",265
2007 ,"'FF - Combinations within Physical Sciences' ","'19' ","'Men' ",75
2007 ,"'FF - Combinations within Physical Sciences' ","'19' ","'Women' ",50
2007 ,"'FF - Combinations within Physical Sciences' ","'20' ","'Men' ",25
2007 ,"'FF - Combinations within Physical Sciences' ","'20' ","'Women' ",15
2007 ,"'FF - Combinations within Physical Sciences' ","'21 and over' ","'Men' ",35
2007 ,"'FF - Combinations within Physical Sciences' ","'21 and over' ","'Women' ",35
2007 ,"'G0 - Mathematical Sciences: any area' ","'18' ","'Men' ",5
2007 ,"'G0 - Mathematical Sciences: any area' ","'19' ","'Men' ",5
