"Statistic:   Number of Acceptances"
"Variables:   Acceptance Route , Applicant Domicile (UK / EU / Not EU) , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_009_01.pdf"
 
Cycle Year,Acceptance Route , Applicant Domicile (UK / EU / Not EU),Number of Acceptances,
2006 ,"'Firm choice' ","'UK' ",257690
2011 ,"'RPA' ","'Not EU' ",5230
2012 ,"'Firm choice' ","'UK' ",301585
2012 ,"'Firm choice' ","'EU (excluding UK)' ",17635
2012 ,"'Firm choice' ","'Not EU' ",22085
2012 ,"'Insurance choice' ","'UK' ",25565
2012 ,"'Insurance choice' ","'EU (excluding UK)' ",1595
2012 ,"'Insurance choice' ","'Not EU' ",2840
2012 ,"'Other main scheme choice' ","'UK' ",8135
2012 ,"'Other main scheme choice' ","'EU (excluding UK)' ",875
2012 ,"'Other main scheme choice' ","'Not EU' ",2220
2012 ,"'Extra' ","'UK' ",7095
2012 ,"'Extra' ","'EU (excluding UK)' ",375
2012 ,"'Extra' ","'Not EU' ",390
2012 ,"'Adjustment' ","'UK' ",1230
2012 ,"'Adjustment' ","'EU (excluding UK)' ",35
2012 ,"'Adjustment' ","'Not EU' ",65
2012 ,"'Main scheme Clearing' ","'UK' ",39020
2012 ,"'Main scheme Clearing' ","'EU (excluding UK)' ",1390
2012 ,"'Main scheme Clearing' ","'Not EU' ",3015
2012 ,"'Direct Clearing' ","'UK' ",11220
2012 ,"'Direct Clearing' ","'EU (excluding UK)' ",470
2012 ,"'Direct Clearing' ","'Not EU' ",605
2012 ,"'RPA' ","'UK' ",12390
2012 ,"'RPA' ","'EU (excluding UK)' ",860
2012 ,"'RPA' ","'Not EU' ",4215
2013 ,"'Firm choice' ","'UK' ",320985
2013 ,"'Firm choice' ","'EU (excluding UK)' ",18695
2013 ,"'Firm choice' ","'Not EU' ",23575
2013 ,"'Insurance choice' ","'UK' ",27900
2013 ,"'Insurance choice' ","'EU (excluding UK)' ",1780
2013 ,"'Insurance choice' ","'Not EU' ",3170
2013 ,"'Other main scheme choice' ","'UK' ",10490
2013 ,"'Other main scheme choice' ","'EU (excluding UK)' ",1105
2013 ,"'Other main scheme choice' ","'Not EU' ",2685
2013 ,"'Extra' ","'UK' ",7040
2013 ,"'Extra' ","'EU (excluding UK)' ",365
2013 ,"'Extra' ","'Not EU' ",410
2013 ,"'Adjustment' ","'UK' ",1125
2013 ,"'Adjustment' ","'EU (excluding UK)' ",35
2013 ,"'Adjustment' ","'Not EU' ",60
2013 ,"'Main scheme Clearing' ","'UK' ",37975
2013 ,"'Main scheme Clearing' ","'EU (excluding UK)' ",1315
2013 ,"'Main scheme Clearing' ","'Not EU' ",2995
2013 ,"'Direct Clearing' ","'UK' ",13730
2013 ,"'Direct Clearing' ","'EU (excluding UK)' ",480
2013 ,"'Direct Clearing' ","'Not EU' ",605
2013 ,"'RPA' ","'UK' ",14375
2013 ,"'RPA' ","'EU (excluding UK)' ",730
2013 ,"'RPA' ","'Not EU' ",3980
2014 ,"'Firm choice' ","'UK' ",327350
2014 ,"'Firm choice' ","'EU (excluding UK)' ",20355
2014 ,"'Firm choice' ","'Not EU' ",24455
2014 ,"'Insurance choice' ","'UK' ",31405
2014 ,"'Insurance choice' ","'EU (excluding UK)' ",1920
2014 ,"'Insurance choice' ","'Not EU' ",3415
2014 ,"'Other main scheme choice' ","'UK' ",10285
2014 ,"'Other main scheme choice' ","'EU (excluding UK)' ",1075
2014 ,"'Other main scheme choice' ","'Not EU' ",2235
2014 ,"'Extra' ","'UK' ",6805
2014 ,"'Extra' ","'EU (excluding UK)' ",375
2014 ,"'Extra' ","'Not EU' ",435
2014 ,"'Adjustment' ","'UK' ",1045
2014 ,"'Adjustment' ","'EU (excluding UK)' ",35
2014 ,"'Adjustment' ","'Not EU' ",85
2014 ,"'Main scheme Clearing' ","'UK' ",42685
2014 ,"'Main scheme Clearing' ","'EU (excluding UK)' ",1490
2014 ,"'Main scheme Clearing' ","'Not EU' ",3335
2014 ,"'Direct Clearing' ","'UK' ",12730
2014 ,"'Direct Clearing' ","'EU (excluding UK)' ",510
2014 ,"'Direct Clearing' ","'Not EU' ",560
2014 ,"'RPA' ","'UK' ",15150
2014 ,"'RPA' ","'EU (excluding UK)' ",625
2014 ,"'RPA' ","'Not EU' ",4015
2015 ,"'Firm choice' ","'UK' ",335700
2015 ,"'Firm choice' ","'EU (excluding UK)' ",22515
2015 ,"'Firm choice' ","'Not EU' ",25915
2015 ,"'Insurance choice' ","'UK' ",33655
2015 ,"'Insurance choice' ","'EU (excluding UK)' ",2240
2015 ,"'Insurance choice' ","'Not EU' ",3595
2015 ,"'Other main scheme choice' ","'UK' ",10300
2015 ,"'Other main scheme choice' ","'EU (excluding UK)' ",1110
2015 ,"'Other main scheme choice' ","'Not EU' ",1965
2015 ,"'Extra' ","'UK' ",6670
2015 ,"'Extra' ","'EU (excluding UK)' ",420
2015 ,"'Extra' ","'Not EU' ",400
2015 ,"'Adjustment' ","'UK' ",1025
2015 ,"'Adjustment' ","'EU (excluding UK)' ",35
2015 ,"'Adjustment' ","'Not EU' ",70
2015 ,"'Main scheme Clearing' ","'UK' ",44425
2015 ,"'Main scheme Clearing' ","'EU (excluding UK)' ",1600
2015 ,"'Main scheme Clearing' ","'Not EU' ",3105
2015 ,"'Direct Clearing' ","'UK' ",14045
2015 ,"'Direct Clearing' ","'EU (excluding UK)' ",535
2015 ,"'Direct Clearing' ","'Not EU' ",630
2015 ,"'RPA' ","'UK' ",17895
2015 ,"'RPA' ","'EU (excluding UK)' ",840
2015 ,"'RPA' ","'Not EU' ",3565
2016 ,"'Firm choice' ","'UK' ",337065
2016 ,"'Firm choice' ","'EU (excluding UK)' ",24360
2016 ,"'Firm choice' ","'Not EU' ",24915
2016 ,"'Insurance choice' ","'UK' ",33595
2016 ,"'Insurance choice' ","'EU (excluding UK)' ",2275
2016 ,"'Insurance choice' ","'Not EU' ",3630
2016 ,"'Other main scheme choice' ","'UK' ",11300
2016 ,"'Other main scheme choice' ","'EU (excluding UK)' ",1245
2016 ,"'Other main scheme choice' ","'Not EU' ",1970
2016 ,"'Extra' ","'UK' ",6670
2016 ,"'Extra' ","'EU (excluding UK)' ",420
2016 ,"'Extra' ","'Not EU' ",400
2016 ,"'Adjustment' ","'UK' ",790
2016 ,"'Adjustment' ","'EU (excluding UK)' ",40
2016 ,"'Adjustment' ","'Not EU' ",65
2016 ,"'Main scheme Clearing' ","'UK' ",45210
2016 ,"'Main scheme Clearing' ","'EU (excluding UK)' ",1610
2016 ,"'Main scheme Clearing' ","'Not EU' ",3205
2016 ,"'Direct Clearing' ","'UK' ",13760
2016 ,"'Direct Clearing' ","'EU (excluding UK)' ",470
2016 ,"'Direct Clearing' ","'Not EU' ",625
2016 ,"'RPA' ","'UK' ",17085
2016 ,"'RPA' ","'EU (excluding UK)' ",930
2016 ,"'RPA' ","'Not EU' ",3540
