"Statistic:   Number of Applicants"
"Variables:   Ethnic Group (Summary Level) , Ethnic Group (Detailed Level) , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_024_06.pdf"
 
Cycle Year,Ethnic Group (Summary Level) , Ethnic Group (Detailed Level),Number of Applicants,
2006 ,"'Asian' ","'Asian - Bangladeshi' ",3760
2010 ,"'Mixed' ","'Mixed - White and Black Caribbean' ",5560
2010 ,"'White' ","'White' ",435250
2010 ,"'Other' ","'Other ethnic background' ",5955
2010 ,"'Unknown' ","'Unknown' ",4380
2011 ,"'Asian' ","'Asian - Bangladeshi' ",5925
2011 ,"'Asian' ","'Asian - Chinese' ",4410
2011 ,"'Asian' ","'Asian - Indian' ",18795
2011 ,"'Asian' ","'Asian - Other Asian background' ",10035
2011 ,"'Asian' ","'Asian - Pakistani' ",17005
2011 ,"'Black' ","'Black - African' ",33095
2011 ,"'Black' ","'Black - Caribbean' ",9570
2011 ,"'Black' ","'Black - Other Black background' ",1835
2011 ,"'Mixed' ","'Mixed - Other mixed background' ",5850
2011 ,"'Mixed' ","'Mixed - White and Asian' ",6035
2011 ,"'Mixed' ","'Mixed - White and Black African' ",2435
2011 ,"'Mixed' ","'Mixed - White and Black Caribbean' ",5790
2011 ,"'White' ","'White' ",432635
2011 ,"'Other' ","'Other ethnic background' ",6300
2011 ,"'Unknown' ","'Unknown' ",4295
2012 ,"'Asian' ","'Asian - Bangladeshi' ",5840
2012 ,"'Asian' ","'Asian - Chinese' ",4000
2012 ,"'Asian' ","'Asian - Indian' ",17175
2012 ,"'Asian' ","'Asian - Other Asian background' ",9350
2012 ,"'Asian' ","'Asian - Pakistani' ",16640
2012 ,"'Black' ","'Black - African' ",31870
2012 ,"'Black' ","'Black - Caribbean' ",8465
2012 ,"'Black' ","'Black - Other Black background' ",1910
2012 ,"'Mixed' ","'Mixed - Other mixed background' ",5165
2012 ,"'Mixed' ","'Mixed - White and Asian' ",5650
2012 ,"'Mixed' ","'Mixed - White and Black African' ",2260
2012 ,"'Mixed' ","'Mixed - White and Black Caribbean' ",5365
2012 ,"'White' ","'White' ",389320
2012 ,"'Other' ","'Other ethnic background' ",7325
2012 ,"'Unknown' ","'Unknown' ",3535
2013 ,"'Asian' ","'Asian - Bangladeshi' ",6415
2013 ,"'Asian' ","'Asian - Chinese' ",3925
2013 ,"'Asian' ","'Asian - Indian' ",17325
2013 ,"'Asian' ","'Asian - Other Asian background' ",9955
2013 ,"'Asian' ","'Asian - Pakistani' ",17150
2013 ,"'Black' ","'Black - African' ",31500
2013 ,"'Black' ","'Black - Caribbean' ",8670
2013 ,"'Black' ","'Black - Other Black background' ",1995
2013 ,"'Mixed' ","'Mixed - Other mixed background' ",5370
2013 ,"'Mixed' ","'Mixed - White and Asian' ",6030
2013 ,"'Mixed' ","'Mixed - White and Black African' ",2420
2013 ,"'Mixed' ","'Mixed - White and Black Caribbean' ",5655
2013 ,"'White' ","'White' ",400240
2013 ,"'Other' ","'Other ethnic background' ",7415
2013 ,"'Unknown' ","'Unknown' ",3565
2014 ,"'Asian' ","'Asian - Bangladeshi' ",7190
2014 ,"'Asian' ","'Asian - Chinese' ",4135
2014 ,"'Asian' ","'Asian - Indian' ",17180
2014 ,"'Asian' ","'Asian - Other Asian background' ",11050
2014 ,"'Asian' ","'Asian - Pakistani' ",18195
2014 ,"'Black' ","'Black - African' ",33130
2014 ,"'Black' ","'Black - Caribbean' ",9060
2014 ,"'Black' ","'Black - Other Black background' ",2105
2014 ,"'Mixed' ","'Mixed - Other mixed background' ",5685
2014 ,"'Mixed' ","'Mixed - White and Asian' ",6450
2014 ,"'Mixed' ","'Mixed - White and Black African' ",2665
2014 ,"'Mixed' ","'Mixed - White and Black Caribbean' ",6320
2014 ,"'White' ","'White' ",409610
2014 ,"'Other' ","'Other ethnic background' ",8210
2014 ,"'Unknown' ","'Unknown' ",3535
2015 ,"'Asian' ","'Asian - Bangladeshi' ",8025
2015 ,"'Asian' ","'Asian - Chinese' ",3965
2015 ,"'Asian' ","'Asian - Indian' ",17525
2015 ,"'Asian' ","'Asian - Other Asian background' ",11735
2015 ,"'Asian' ","'Asian - Pakistani' ",19275
2015 ,"'Black' ","'Black - African' ",34520
2015 ,"'Black' ","'Black - Caribbean' ",8730
2015 ,"'Black' ","'Black - Other Black background' ",2240
2015 ,"'Mixed' ","'Mixed - Other mixed background' ",6130
2015 ,"'Mixed' ","'Mixed - White and Asian' ",6805
2015 ,"'Mixed' ","'Mixed - White and Black African' ",2930
2015 ,"'Mixed' ","'Mixed - White and Black Caribbean' ",6655
2015 ,"'White' ","'White' ",411730
2015 ,"'Other' ","'Other ethnic background' ",8705
2015 ,"'Unknown' ","'Unknown' ",4545
2016 ,"'Asian' ","'Asian - Bangladeshi' ",8510
2016 ,"'Asian' ","'Asian - Chinese' ",3800
2016 ,"'Asian' ","'Asian - Indian' ",18020
2016 ,"'Asian' ","'Asian - Other Asian background' ",12265
2016 ,"'Asian' ","'Asian - Pakistani' ",19560
2016 ,"'Black' ","'Black - African' ",35645
2016 ,"'Black' ","'Black - Caribbean' ",8710
2016 ,"'Black' ","'Black - Other Black background' ",2090
2016 ,"'Mixed' ","'Mixed - Other mixed background' ",6370
2016 ,"'Mixed' ","'Mixed - White and Asian' ",7285
2016 ,"'Mixed' ","'Mixed - White and Black African' ",3050
2016 ,"'Mixed' ","'Mixed - White and Black Caribbean' ",6595
2016 ,"'White' ","'White' ",407785
2016 ,"'Other' ","'Other ethnic background' ",9090
2016 ,"'Unknown' ","'Unknown' ",4870
