"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Provider Country 2016 , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_031_07.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Provider Country 2016 , Acceptance Route,Number of Acceptances,
2007 ,"'A1 - Pre-clinical Medicine' ","'England' ","'Firm choice' ",5880
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'England' ","'Main scheme Clearing' ",300
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'England' ","'Direct Clearing' ",60
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'England' ","'RPA' ",110
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Northern Ireland' ","'Firm choice' ",50
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Northern Ireland' ","'Insurance choice' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Scotland' ","'Firm choice' ",475
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Scotland' ","'Insurance choice' ",25
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Scotland' ","'Other main scheme choice' ",15
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Scotland' ","'Extra' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Scotland' ","'Main scheme Clearing' ",40
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Scotland' ","'Direct Clearing' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Scotland' ","'RPA' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Wales' ","'Firm choice' ",145
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Wales' ","'Insurance choice' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Wales' ","'Extra' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Wales' ","'Main scheme Clearing' ",15
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Wales' ","'RPA' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'England' ","'Firm choice' ",2175
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'England' ","'Insurance choice' ",400
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'England' ","'Other main scheme choice' ",125
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'England' ","'Extra' ",65
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'England' ","'Main scheme Clearing' ",405
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'England' ","'Direct Clearing' ",55
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'England' ","'RPA' ",115
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Northern Ireland' ","'Firm choice' ",140
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Northern Ireland' ","'Insurance choice' ",10
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Northern Ireland' ","'Main scheme Clearing' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Scotland' ","'Firm choice' ",295
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Scotland' ","'Insurance choice' ",15
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Scotland' ","'Other main scheme choice' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Scotland' ","'Extra' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Scotland' ","'Main scheme Clearing' ",20
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Scotland' ","'Direct Clearing' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Scotland' ","'RPA' ",10
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Wales' ","'Firm choice' ",120
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Wales' ","'Insurance choice' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Wales' ","'Main scheme Clearing' ",5
2007 ,"'B3 - Complementary Medicine' ","'England' ","'Firm choice' ",645
2007 ,"'B3 - Complementary Medicine' ","'England' ","'Insurance choice' ",5
2007 ,"'B3 - Complementary Medicine' ","'England' ","'Other main scheme choice' ",105
2007 ,"'B3 - Complementary Medicine' ","'England' ","'Extra' ",20
2007 ,"'B3 - Complementary Medicine' ","'England' ","'Main scheme Clearing' ",55
2007 ,"'B3 - Complementary Medicine' ","'England' ","'Direct Clearing' ",50
2007 ,"'B3 - Complementary Medicine' ","'England' ","'RPA' ",190
2007 ,"'B3 - Complementary Medicine' ","'Scotland' ","'Firm choice' ",40
2007 ,"'B3 - Complementary Medicine' ","'Scotland' ","'Other main scheme choice' ",5
2007 ,"'B3 - Complementary Medicine' ","'Scotland' ","'RPA' ",15
2007 ,"'B3 - Complementary Medicine' ","'Wales' ","'Firm choice' ",75
2007 ,"'B3 - Complementary Medicine' ","'Wales' ","'Other main scheme choice' ",20
2007 ,"'B3 - Complementary Medicine' ","'Wales' ","'RPA' ",5
2007 ,"'B4 - Nutrition' ","'England' ","'Firm choice' ",575
2007 ,"'B4 - Nutrition' ","'England' ","'Insurance choice' ",45
2007 ,"'B4 - Nutrition' ","'England' ","'Other main scheme choice' ",35
2007 ,"'B4 - Nutrition' ","'England' ","'Extra' ",15
2007 ,"'B4 - Nutrition' ","'England' ","'Main scheme Clearing' ",50
2007 ,"'B4 - Nutrition' ","'England' ","'Direct Clearing' ",25
2007 ,"'B4 - Nutrition' ","'England' ","'RPA' ",40
2007 ,"'B4 - Nutrition' ","'Northern Ireland' ","'Firm choice' ",65
2007 ,"'B4 - Nutrition' ","'Northern Ireland' ","'Insurance choice' ",5
2007 ,"'B4 - Nutrition' ","'Northern Ireland' ","'Main scheme Clearing' ",5
2007 ,"'B4 - Nutrition' ","'Scotland' ","'Firm choice' ",115
2007 ,"'B4 - Nutrition' ","'Scotland' ","'Insurance choice' ",5
2007 ,"'B4 - Nutrition' ","'Scotland' ","'Other main scheme choice' ",5
2007 ,"'B4 - Nutrition' ","'Scotland' ","'Direct Clearing' ",5
2007 ,"'B4 - Nutrition' ","'Wales' ","'Firm choice' ",25
2007 ,"'B4 - Nutrition' ","'Wales' ","'Insurance choice' ",5
2007 ,"'B4 - Nutrition' ","'Wales' ","'Main scheme Clearing' ",5
2007 ,"'B5 - Ophthalmics' ","'England' ","'Firm choice' ",390
2007 ,"'B5 - Ophthalmics' ","'England' ","'Insurance choice' ",45
2007 ,"'B5 - Ophthalmics' ","'England' ","'Other main scheme choice' ",15
2007 ,"'B5 - Ophthalmics' ","'England' ","'Extra' ",20
2007 ,"'B5 - Ophthalmics' ","'England' ","'Main scheme Clearing' ",90
2007 ,"'B5 - Ophthalmics' ","'England' ","'Direct Clearing' ",5
2007 ,"'B5 - Ophthalmics' ","'England' ","'RPA' ",10
2007 ,"'B5 - Ophthalmics' ","'Northern Ireland' ","'Firm choice' ",30
2007 ,"'B5 - Ophthalmics' ","'Northern Ireland' ","'Other main scheme choice' ",5
2007 ,"'B5 - Ophthalmics' ","'Scotland' ","'Firm choice' ",65
2007 ,"'B5 - Ophthalmics' ","'Scotland' ","'Insurance choice' ",5
2007 ,"'B5 - Ophthalmics' ","'Scotland' ","'Other main scheme choice' ",10
2007 ,"'B5 - Ophthalmics' ","'Scotland' ","'Main scheme Clearing' ",5
2007 ,"'B5 - Ophthalmics' ","'Wales' ","'Firm choice' ",100
2007 ,"'B5 - Ophthalmics' ","'Wales' ","'Other main scheme choice' ",5
2007 ,"'B5 - Ophthalmics' ","'Wales' ","'Main scheme Clearing' ",5
2007 ,"'B5 - Ophthalmics' ","'Wales' ","'RPA' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'England' ","'Firm choice' ",605
2007 ,"'B6 - Aural and Oral Sciences' ","'England' ","'Insurance choice' ",25
2007 ,"'B6 - Aural and Oral Sciences' ","'England' ","'Other main scheme choice' ",15
2007 ,"'B6 - Aural and Oral Sciences' ","'England' ","'Extra' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'England' ","'Main scheme Clearing' ",65
2007 ,"'B6 - Aural and Oral Sciences' ","'England' ","'Direct Clearing' ",10
2007 ,"'B6 - Aural and Oral Sciences' ","'England' ","'RPA' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'Northern Ireland' ","'Firm choice' ",15
2007 ,"'B6 - Aural and Oral Sciences' ","'Scotland' ","'Firm choice' ",75
2007 ,"'B6 - Aural and Oral Sciences' ","'Scotland' ","'Main scheme Clearing' ",10
2007 ,"'B6 - Aural and Oral Sciences' ","'Wales' ","'Firm choice' ",40
2007 ,"'B6 - Aural and Oral Sciences' ","'Wales' ","'Main scheme Clearing' ",5
2007 ,"'B7 - Nursing' ","'England' ","'Firm choice' ",3780
2007 ,"'B7 - Nursing' ","'England' ","'Insurance choice' ",115
2007 ,"'B7 - Nursing' ","'England' ","'Other main scheme choice' ",180
2007 ,"'B7 - Nursing' ","'England' ","'Extra' ",80
2007 ,"'B7 - Nursing' ","'England' ","'Main scheme Clearing' ",515
2007 ,"'B7 - Nursing' ","'England' ","'Direct Clearing' ",80
2007 ,"'B7 - Nursing' ","'England' ","'RPA' ",215
2007 ,"'B7 - Nursing' ","'Northern Ireland' ","'Firm choice' ",310
2007 ,"'B7 - Nursing' ","'Northern Ireland' ","'Insurance choice' ",5
2007 ,"'B7 - Nursing' ","'Northern Ireland' ","'Main scheme Clearing' ",10
2007 ,"'B7 - Nursing' ","'Northern Ireland' ","'Direct Clearing' ",5
2007 ,"'B7 - Nursing' ","'Scotland' ","'Firm choice' ",230
2007 ,"'B7 - Nursing' ","'Scotland' ","'Insurance choice' ",20
2007 ,"'B7 - Nursing' ","'Scotland' ","'Other main scheme choice' ",10
2007 ,"'B7 - Nursing' ","'Scotland' ","'Main scheme Clearing' ",15
2007 ,"'B7 - Nursing' ","'Scotland' ","'Direct Clearing' ",5
2007 ,"'B7 - Nursing' ","'Scotland' ","'RPA' ",5
2007 ,"'B7 - Nursing' ","'Wales' ","'Firm choice' ",780
2007 ,"'B7 - Nursing' ","'Wales' ","'Insurance choice' ",10
2007 ,"'B7 - Nursing' ","'Wales' ","'Other main scheme choice' ",15
2007 ,"'B7 - Nursing' ","'Wales' ","'Extra' ",5
2007 ,"'B7 - Nursing' ","'Wales' ","'Main scheme Clearing' ",25
2007 ,"'B7 - Nursing' ","'Wales' ","'RPA' ",15
2007 ,"'B8 - Medical Technology' ","'England' ","'Firm choice' ",915
2007 ,"'B8 - Medical Technology' ","'England' ","'Insurance choice' ",40
2007 ,"'B8 - Medical Technology' ","'England' ","'Other main scheme choice' ",50
2007 ,"'B8 - Medical Technology' ","'England' ","'Extra' ",20
2007 ,"'B8 - Medical Technology' ","'England' ","'Main scheme Clearing' ",170
2007 ,"'B8 - Medical Technology' ","'England' ","'Direct Clearing' ",45
2007 ,"'B8 - Medical Technology' ","'England' ","'RPA' ",55
2007 ,"'B8 - Medical Technology' ","'Northern Ireland' ","'Firm choice' ",55
2007 ,"'B8 - Medical Technology' ","'Scotland' ","'Firm choice' ",135
2007 ,"'B8 - Medical Technology' ","'Scotland' ","'Insurance choice' ",10
2007 ,"'B8 - Medical Technology' ","'Scotland' ","'Other main scheme choice' ",5
2007 ,"'B8 - Medical Technology' ","'Scotland' ","'Extra' ",5
2007 ,"'B8 - Medical Technology' ","'Scotland' ","'Main scheme Clearing' ",5
2007 ,"'B8 - Medical Technology' ","'Scotland' ","'RPA' ",5
2007 ,"'B8 - Medical Technology' ","'Wales' ","'Firm choice' ",85
2007 ,"'B8 - Medical Technology' ","'Wales' ","'Main scheme Clearing' ",5
2007 ,"'B8 - Medical Technology' ","'Wales' ","'Direct Clearing' ",5
2007 ,"'B8 - Medical Technology' ","'Wales' ","'RPA' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'England' ","'Firm choice' ",3710
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'England' ","'Insurance choice' ",395
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'England' ","'Other main scheme choice' ",290
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'England' ","'Extra' ",110
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'England' ","'Main scheme Clearing' ",735
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'England' ","'Direct Clearing' ",160
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'England' ","'RPA' ",540
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Northern Ireland' ","'Firm choice' ",170
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Northern Ireland' ","'Insurance choice' ",25
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Northern Ireland' ","'Other main scheme choice' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Northern Ireland' ","'Main scheme Clearing' ",15
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Northern Ireland' ","'Direct Clearing' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Scotland' ","'Firm choice' ",520
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Scotland' ","'Insurance choice' ",35
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Scotland' ","'Other main scheme choice' ",25
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Scotland' ","'Extra' ",10
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Scotland' ","'Main scheme Clearing' ",40
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Scotland' ","'Direct Clearing' ",10
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Scotland' ","'RPA' ",30
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Wales' ","'Firm choice' ",185
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Wales' ","'Insurance choice' ",10
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Wales' ","'Other main scheme choice' ",15
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Wales' ","'Extra' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Wales' ","'Main scheme Clearing' ",35
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Wales' ","'Direct Clearing' ",20
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Wales' ","'RPA' ",35
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'England' ","'Firm choice' ",125
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'England' ","'Insurance choice' ",15
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'England' ","'Other main scheme choice' ",10
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'England' ","'Extra' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'England' ","'Main scheme Clearing' ",35
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'England' ","'Direct Clearing' ",10
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'England' ","'RPA' ",25
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Wales' ","'Firm choice' ",15
2007 ,"'C0 - Biological Sciences: any area of study' ","'England' ","'Firm choice' ",20
2007 ,"'C1 - Biology' ","'England' ","'Firm choice' ",2490
2007 ,"'C1 - Biology' ","'England' ","'Insurance choice' ",285
2007 ,"'C1 - Biology' ","'England' ","'Other main scheme choice' ",85
2007 ,"'C1 - Biology' ","'England' ","'Extra' ",35
2007 ,"'C1 - Biology' ","'England' ","'Main scheme Clearing' ",310
2007 ,"'C1 - Biology' ","'England' ","'Direct Clearing' ",65
2007 ,"'C1 - Biology' ","'England' ","'RPA' ",130
2007 ,"'C1 - Biology' ","'Northern Ireland' ","'Firm choice' ",60
2007 ,"'C1 - Biology' ","'Northern Ireland' ","'Insurance choice' ",10
2007 ,"'C1 - Biology' ","'Northern Ireland' ","'Extra' ",5
2007 ,"'C1 - Biology' ","'Northern Ireland' ","'Main scheme Clearing' ",10
2007 ,"'C1 - Biology' ","'Scotland' ","'Firm choice' ",485
2007 ,"'C1 - Biology' ","'Scotland' ","'Insurance choice' ",45
2007 ,"'C1 - Biology' ","'Scotland' ","'Other main scheme choice' ",20
2007 ,"'C1 - Biology' ","'Scotland' ","'Extra' ",5
2007 ,"'C1 - Biology' ","'Scotland' ","'Main scheme Clearing' ",35
2007 ,"'C1 - Biology' ","'Scotland' ","'Direct Clearing' ",5
2007 ,"'C1 - Biology' ","'Scotland' ","'RPA' ",40
2007 ,"'C1 - Biology' ","'Wales' ","'Firm choice' ",215
2007 ,"'C1 - Biology' ","'Wales' ","'Insurance choice' ",15
2007 ,"'C1 - Biology' ","'Wales' ","'Other main scheme choice' ",5
2007 ,"'C1 - Biology' ","'Wales' ","'Main scheme Clearing' ",25
2007 ,"'C1 - Biology' ","'Wales' ","'Direct Clearing' ",5
2007 ,"'C1 - Biology' ","'Wales' ","'RPA' ",10
2007 ,"'C2 - Botany' ","'England' ","'Firm choice' ",15
2007 ,"'C2 - Botany' ","'Scotland' ","'Firm choice' ",5
2007 ,"'C3 - Zoology' ","'England' ","'Firm choice' ",525
2007 ,"'C3 - Zoology' ","'England' ","'Insurance choice' ",40
2007 ,"'C3 - Zoology' ","'England' ","'Other main scheme choice' ",10
2007 ,"'C3 - Zoology' ","'England' ","'Extra' ",5
2007 ,"'C3 - Zoology' ","'England' ","'Main scheme Clearing' ",35
2007 ,"'C3 - Zoology' ","'England' ","'Direct Clearing' ",5
2007 ,"'C3 - Zoology' ","'England' ","'RPA' ",25
2007 ,"'C3 - Zoology' ","'Northern Ireland' ","'Firm choice' ",10
2007 ,"'C3 - Zoology' ","'Scotland' ","'Firm choice' ",210
2007 ,"'C3 - Zoology' ","'Scotland' ","'Insurance choice' ",30
2007 ,"'C3 - Zoology' ","'Scotland' ","'Other main scheme choice' ",10
2007 ,"'C3 - Zoology' ","'Scotland' ","'Main scheme Clearing' ",10
2007 ,"'C3 - Zoology' ","'Scotland' ","'RPA' ",10
2007 ,"'C3 - Zoology' ","'Wales' ","'Firm choice' ",165
2007 ,"'C3 - Zoology' ","'Wales' ","'Insurance choice' ",10
2007 ,"'C3 - Zoology' ","'Wales' ","'Other main scheme choice' ",5
2007 ,"'C3 - Zoology' ","'Wales' ","'Extra' ",5
2007 ,"'C3 - Zoology' ","'Wales' ","'Main scheme Clearing' ",10
2007 ,"'C3 - Zoology' ","'Wales' ","'Direct Clearing' ",5
2007 ,"'C4 - Genetics' ","'England' ","'Firm choice' ",215
2007 ,"'C4 - Genetics' ","'England' ","'Insurance choice' ",30
2007 ,"'C4 - Genetics' ","'England' ","'Other main scheme choice' ",10
2007 ,"'C4 - Genetics' ","'England' ","'Extra' ",5
2007 ,"'C4 - Genetics' ","'England' ","'Main scheme Clearing' ",40
2007 ,"'C4 - Genetics' ","'England' ","'Direct Clearing' ",5
2007 ,"'C4 - Genetics' ","'England' ","'RPA' ",10
2007 ,"'C4 - Genetics' ","'Northern Ireland' ","'Firm choice' ",5
2007 ,"'C4 - Genetics' ","'Scotland' ","'Firm choice' ",55
2007 ,"'C4 - Genetics' ","'Scotland' ","'Insurance choice' ",5
2007 ,"'C4 - Genetics' ","'Scotland' ","'Main scheme Clearing' ",5
2007 ,"'C4 - Genetics' ","'Wales' ","'Firm choice' ",45
2007 ,"'C4 - Genetics' ","'Wales' ","'Main scheme Clearing' ",5
2007 ,"'C4 - Genetics' ","'Wales' ","'RPA' ",5
2007 ,"'C5 - Microbiology' ","'England' ","'Firm choice' ",165
2007 ,"'C5 - Microbiology' ","'England' ","'Insurance choice' ",20
2007 ,"'C5 - Microbiology' ","'England' ","'Other main scheme choice' ",5
2007 ,"'C5 - Microbiology' ","'England' ","'Main scheme Clearing' ",15
2007 ,"'C5 - Microbiology' ","'England' ","'RPA' ",5
2007 ,"'C5 - Microbiology' ","'Scotland' ","'Firm choice' ",90
2007 ,"'C5 - Microbiology' ","'Scotland' ","'Insurance choice' ",5
2007 ,"'C5 - Microbiology' ","'Scotland' ","'Other main scheme choice' ",5
2007 ,"'C5 - Microbiology' ","'Scotland' ","'Main scheme Clearing' ",10
2007 ,"'C5 - Microbiology' ","'Scotland' ","'Direct Clearing' ",5
2007 ,"'C5 - Microbiology' ","'Scotland' ","'RPA' ",5
2007 ,"'C5 - Microbiology' ","'Wales' ","'Firm choice' ",10
2007 ,"'C6 - Sport and Exercise Science' ","'England' ","'Firm choice' ",5795
2007 ,"'C6 - Sport and Exercise Science' ","'England' ","'Insurance choice' ",510
2007 ,"'C6 - Sport and Exercise Science' ","'England' ","'Other main scheme choice' ",275
2007 ,"'C6 - Sport and Exercise Science' ","'England' ","'Extra' ",115
2007 ,"'C6 - Sport and Exercise Science' ","'England' ","'Main scheme Clearing' ",450
2007 ,"'C6 - Sport and Exercise Science' ","'England' ","'Direct Clearing' ",205
2007 ,"'C6 - Sport and Exercise Science' ","'England' ","'RPA' ",425
2007 ,"'C6 - Sport and Exercise Science' ","'Northern Ireland' ","'Firm choice' ",90
2007 ,"'C6 - Sport and Exercise Science' ","'Northern Ireland' ","'Insurance choice' ",5
2007 ,"'C6 - Sport and Exercise Science' ","'Scotland' ","'Firm choice' ",410
2007 ,"'C6 - Sport and Exercise Science' ","'Scotland' ","'Insurance choice' ",50
2007 ,"'C6 - Sport and Exercise Science' ","'Scotland' ","'Other main scheme choice' ",20
2007 ,"'C6 - Sport and Exercise Science' ","'Scotland' ","'Main scheme Clearing' ",35
2007 ,"'C6 - Sport and Exercise Science' ","'Scotland' ","'Direct Clearing' ",5
2007 ,"'C6 - Sport and Exercise Science' ","'Scotland' ","'RPA' ",35
2007 ,"'C6 - Sport and Exercise Science' ","'Wales' ","'Firm choice' ",680
2007 ,"'C6 - Sport and Exercise Science' ","'Wales' ","'Insurance choice' ",55
2007 ,"'C6 - Sport and Exercise Science' ","'Wales' ","'Other main scheme choice' ",10
2007 ,"'C6 - Sport and Exercise Science' ","'Wales' ","'Extra' ",5
2007 ,"'C6 - Sport and Exercise Science' ","'Wales' ","'Main scheme Clearing' ",50
2007 ,"'C6 - Sport and Exercise Science' ","'Wales' ","'Direct Clearing' ",20
2007 ,"'C6 - Sport and Exercise Science' ","'Wales' ","'RPA' ",20
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'England' ","'Firm choice' ",1270
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'England' ","'Insurance choice' ",190
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'England' ","'Other main scheme choice' ",40
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'England' ","'Extra' ",15
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'England' ","'Main scheme Clearing' ",245
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'England' ","'Direct Clearing' ",35
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'England' ","'RPA' ",45
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Northern Ireland' ","'Firm choice' ",20
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Scotland' ","'Firm choice' ",140
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Scotland' ","'Insurance choice' ",15
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Scotland' ","'Extra' ",5
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Scotland' ","'Main scheme Clearing' ",10
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Scotland' ","'Direct Clearing' ",5
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Scotland' ","'RPA' ",10
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Wales' ","'Firm choice' ",65
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Wales' ","'Insurance choice' ",10
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Wales' ","'Main scheme Clearing' ",15
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Wales' ","'RPA' ",5
2007 ,"'C8 - Psychology' ","'England' ","'Firm choice' ",8030
2007 ,"'C8 - Psychology' ","'England' ","'Insurance choice' ",765
2007 ,"'C8 - Psychology' ","'England' ","'Other main scheme choice' ",310
2007 ,"'C8 - Psychology' ","'England' ","'Extra' ",120
