"Statistic:   Number of Acceptances"
"Variables:   Deferred Status , Applicant Domicile (High Level) , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_003_07.pdf"
 
Cycle Year,Deferred Status , Applicant Domicile (High Level) , Acceptance Route,Number of Acceptances,
2006 ,"'Deferred' ","'England' ","'Firm choice' ",18950
2007 ,"'Not deferred' ","'Northern Ireland' ","'Firm choice' ",9910
2007 ,"'Not deferred' ","'Northern Ireland' ","'Insurance choice' ",1195
2007 ,"'Not deferred' ","'Northern Ireland' ","'Other main scheme choice' ",220
2007 ,"'Not deferred' ","'Northern Ireland' ","'Extra' ",140
2007 ,"'Not deferred' ","'Northern Ireland' ","'Main scheme Clearing' ",880
2007 ,"'Not deferred' ","'Northern Ireland' ","'Direct Clearing' ",205
2007 ,"'Not deferred' ","'Northern Ireland' ","'RPA' ",55
2007 ,"'Not deferred' ","'Scotland' ","'Firm choice' ",19790
2007 ,"'Not deferred' ","'Scotland' ","'Insurance choice' ",1275
2007 ,"'Not deferred' ","'Scotland' ","'Other main scheme choice' ",950
2007 ,"'Not deferred' ","'Scotland' ","'Extra' ",135
2007 ,"'Not deferred' ","'Scotland' ","'Main scheme Clearing' ",1455
2007 ,"'Not deferred' ","'Scotland' ","'Direct Clearing' ",440
2007 ,"'Not deferred' ","'Scotland' ","'RPA' ",1730
2007 ,"'Not deferred' ","'Wales' ","'Firm choice' ",12525
2007 ,"'Not deferred' ","'Wales' ","'Insurance choice' ",745
2007 ,"'Not deferred' ","'Wales' ","'Other main scheme choice' ",500
2007 ,"'Not deferred' ","'Wales' ","'Extra' ",155
2007 ,"'Not deferred' ","'Wales' ","'Main scheme Clearing' ",1000
2007 ,"'Not deferred' ","'Wales' ","'Direct Clearing' ",510
2007 ,"'Not deferred' ","'Wales' ","'RPA' ",1085
2008 ,"'Deferred' ","'England' ","'Firm choice' ",19770
2008 ,"'Deferred' ","'England' ","'Insurance choice' ",2500
2008 ,"'Deferred' ","'England' ","'Other main scheme choice' ",555
2008 ,"'Deferred' ","'England' ","'Extra' ",175
2008 ,"'Deferred' ","'England' ","'Main scheme Clearing' ",915
2008 ,"'Deferred' ","'England' ","'Direct Clearing' ",115
2008 ,"'Deferred' ","'England' ","'RPA' ",330
2008 ,"'Deferred' ","'Northern Ireland' ","'Firm choice' ",400
2008 ,"'Deferred' ","'Northern Ireland' ","'Insurance choice' ",55
2008 ,"'Deferred' ","'Northern Ireland' ","'Other main scheme choice' ",10
2008 ,"'Deferred' ","'Northern Ireland' ","'Extra' ",5
2008 ,"'Deferred' ","'Northern Ireland' ","'Main scheme Clearing' ",15
2008 ,"'Deferred' ","'Scotland' ","'Firm choice' ",1270
2008 ,"'Deferred' ","'Scotland' ","'Insurance choice' ",145
2008 ,"'Deferred' ","'Scotland' ","'Other main scheme choice' ",50
2008 ,"'Deferred' ","'Scotland' ","'Extra' ",10
2008 ,"'Deferred' ","'Scotland' ","'Main scheme Clearing' ",35
2008 ,"'Deferred' ","'Scotland' ","'Direct Clearing' ",5
2008 ,"'Deferred' ","'Scotland' ","'RPA' ",20
2008 ,"'Deferred' ","'Wales' ","'Firm choice' ",740
2008 ,"'Deferred' ","'Wales' ","'Insurance choice' ",90
2008 ,"'Deferred' ","'Wales' ","'Other main scheme choice' ",25
2008 ,"'Deferred' ","'Wales' ","'Extra' ",10
2008 ,"'Deferred' ","'Wales' ","'Main scheme Clearing' ",35
2008 ,"'Deferred' ","'Wales' ","'Direct Clearing' ",5
2008 ,"'Deferred' ","'Wales' ","'RPA' ",10
2008 ,"'Not deferred' ","'England' ","'Firm choice' ",231350
2008 ,"'Not deferred' ","'England' ","'Insurance choice' ",17660
2008 ,"'Not deferred' ","'England' ","'Other main scheme choice' ",11025
2008 ,"'Not deferred' ","'England' ","'Extra' ",4080
2008 ,"'Not deferred' ","'England' ","'Main scheme Clearing' ",25225
2008 ,"'Not deferred' ","'England' ","'Direct Clearing' ",8185
2008 ,"'Not deferred' ","'England' ","'RPA' ",20550
2008 ,"'Not deferred' ","'Northern Ireland' ","'Firm choice' ",10380
2008 ,"'Not deferred' ","'Northern Ireland' ","'Insurance choice' ",1035
2008 ,"'Not deferred' ","'Northern Ireland' ","'Other main scheme choice' ",185
2008 ,"'Not deferred' ","'Northern Ireland' ","'Extra' ",145
2008 ,"'Not deferred' ","'Northern Ireland' ","'Main scheme Clearing' ",850
2008 ,"'Not deferred' ","'Northern Ireland' ","'Direct Clearing' ",265
2008 ,"'Not deferred' ","'Northern Ireland' ","'RPA' ",85
2008 ,"'Not deferred' ","'Scotland' ","'Firm choice' ",20075
2008 ,"'Not deferred' ","'Scotland' ","'Insurance choice' ",1365
2008 ,"'Not deferred' ","'Scotland' ","'Other main scheme choice' ",985
2008 ,"'Not deferred' ","'Scotland' ","'Extra' ",195
2008 ,"'Not deferred' ","'Scotland' ","'Main scheme Clearing' ",1485
2008 ,"'Not deferred' ","'Scotland' ","'Direct Clearing' ",475
2008 ,"'Not deferred' ","'Scotland' ","'RPA' ",3275
2008 ,"'Not deferred' ","'Wales' ","'Firm choice' ",13220
2008 ,"'Not deferred' ","'Wales' ","'Insurance choice' ",750
2008 ,"'Not deferred' ","'Wales' ","'Other main scheme choice' ",515
2008 ,"'Not deferred' ","'Wales' ","'Extra' ",200
2008 ,"'Not deferred' ","'Wales' ","'Main scheme Clearing' ",1075
2008 ,"'Not deferred' ","'Wales' ","'Direct Clearing' ",590
2008 ,"'Not deferred' ","'Wales' ","'RPA' ",1330
2009 ,"'Deferred' ","'England' ","'Firm choice' ",18770
2009 ,"'Deferred' ","'England' ","'Insurance choice' ",2700
2009 ,"'Deferred' ","'England' ","'Other main scheme choice' ",845
2009 ,"'Deferred' ","'England' ","'Extra' ",185
2009 ,"'Deferred' ","'England' ","'Adjustment' ",5
2009 ,"'Deferred' ","'England' ","'Main scheme Clearing' ",1195
2009 ,"'Deferred' ","'England' ","'Direct Clearing' ",180
2009 ,"'Deferred' ","'England' ","'RPA' ",215
2009 ,"'Deferred' ","'Northern Ireland' ","'Firm choice' ",365
2009 ,"'Deferred' ","'Northern Ireland' ","'Insurance choice' ",60
2009 ,"'Deferred' ","'Northern Ireland' ","'Other main scheme choice' ",10
2009 ,"'Deferred' ","'Northern Ireland' ","'Extra' ",5
2009 ,"'Deferred' ","'Northern Ireland' ","'Main scheme Clearing' ",35
2009 ,"'Deferred' ","'Scotland' ","'Firm choice' ",1190
2009 ,"'Deferred' ","'Scotland' ","'Insurance choice' ",150
2009 ,"'Deferred' ","'Scotland' ","'Other main scheme choice' ",50
2009 ,"'Deferred' ","'Scotland' ","'Extra' ",10
2009 ,"'Deferred' ","'Scotland' ","'Main scheme Clearing' ",40
2009 ,"'Deferred' ","'Scotland' ","'Direct Clearing' ",5
2009 ,"'Deferred' ","'Scotland' ","'RPA' ",20
2009 ,"'Deferred' ","'Wales' ","'Firm choice' ",645
2009 ,"'Deferred' ","'Wales' ","'Insurance choice' ",90
2009 ,"'Deferred' ","'Wales' ","'Other main scheme choice' ",35
2009 ,"'Deferred' ","'Wales' ","'Extra' ",5
2009 ,"'Deferred' ","'Wales' ","'Main scheme Clearing' ",50
2009 ,"'Deferred' ","'Wales' ","'Direct Clearing' ",20
2009 ,"'Deferred' ","'Wales' ","'RPA' ",10
2009 ,"'Not deferred' ","'England' ","'Firm choice' ",241980
2009 ,"'Not deferred' ","'England' ","'Insurance choice' ",22330
2009 ,"'Not deferred' ","'England' ","'Other main scheme choice' ",14415
2009 ,"'Not deferred' ","'England' ","'Extra' ",4295
2009 ,"'Not deferred' ","'England' ","'Adjustment' ",285
2009 ,"'Not deferred' ","'England' ","'Main scheme Clearing' ",27740
2009 ,"'Not deferred' ","'England' ","'Direct Clearing' ",8220
2009 ,"'Not deferred' ","'England' ","'RPA' ",15765
2009 ,"'Not deferred' ","'Northern Ireland' ","'Firm choice' ",10210
2009 ,"'Not deferred' ","'Northern Ireland' ","'Insurance choice' ",1410
2009 ,"'Not deferred' ","'Northern Ireland' ","'Other main scheme choice' ",240
2009 ,"'Not deferred' ","'Northern Ireland' ","'Extra' ",135
2009 ,"'Not deferred' ","'Northern Ireland' ","'Adjustment' ",25
2009 ,"'Not deferred' ","'Northern Ireland' ","'Main scheme Clearing' ",825
2009 ,"'Not deferred' ","'Northern Ireland' ","'Direct Clearing' ",225
2009 ,"'Not deferred' ","'Northern Ireland' ","'RPA' ",60
2009 ,"'Not deferred' ","'Scotland' ","'Firm choice' ",21250
2009 ,"'Not deferred' ","'Scotland' ","'Insurance choice' ",1545
2009 ,"'Not deferred' ","'Scotland' ","'Other main scheme choice' ",1080
2009 ,"'Not deferred' ","'Scotland' ","'Extra' ",165
2009 ,"'Not deferred' ","'Scotland' ","'Adjustment' ",5
2009 ,"'Not deferred' ","'Scotland' ","'Main scheme Clearing' ",1765
2009 ,"'Not deferred' ","'Scotland' ","'Direct Clearing' ",650
2009 ,"'Not deferred' ","'Scotland' ","'RPA' ",3100
2009 ,"'Not deferred' ","'Wales' ","'Firm choice' ",14175
2009 ,"'Not deferred' ","'Wales' ","'Insurance choice' ",1095
2009 ,"'Not deferred' ","'Wales' ","'Other main scheme choice' ",810
2009 ,"'Not deferred' ","'Wales' ","'Extra' ",200
2009 ,"'Not deferred' ","'Wales' ","'Adjustment' ",15
2009 ,"'Not deferred' ","'Wales' ","'Main scheme Clearing' ",1265
2009 ,"'Not deferred' ","'Wales' ","'Direct Clearing' ",570
2009 ,"'Not deferred' ","'Wales' ","'RPA' ",1205
2010 ,"'Deferred' ","'England' ","'Firm choice' ",18455
2010 ,"'Deferred' ","'England' ","'Insurance choice' ",3070
2010 ,"'Deferred' ","'England' ","'Other main scheme choice' ",485
2010 ,"'Deferred' ","'England' ","'Extra' ",170
2010 ,"'Deferred' ","'England' ","'Adjustment' ",20
2010 ,"'Deferred' ","'England' ","'Main scheme Clearing' ",730
2010 ,"'Deferred' ","'England' ","'Direct Clearing' ",60
2010 ,"'Deferred' ","'England' ","'RPA' ",115
2010 ,"'Deferred' ","'Northern Ireland' ","'Firm choice' ",365
2010 ,"'Deferred' ","'Northern Ireland' ","'Insurance choice' ",75
2010 ,"'Deferred' ","'Northern Ireland' ","'Other main scheme choice' ",5
2010 ,"'Deferred' ","'Northern Ireland' ","'Extra' ",5
2010 ,"'Deferred' ","'Northern Ireland' ","'Main scheme Clearing' ",10
2010 ,"'Deferred' ","'Scotland' ","'Firm choice' ",1240
2010 ,"'Deferred' ","'Scotland' ","'Insurance choice' ",160
2010 ,"'Deferred' ","'Scotland' ","'Other main scheme choice' ",40
2010 ,"'Deferred' ","'Scotland' ","'Extra' ",5
2010 ,"'Deferred' ","'Scotland' ","'Main scheme Clearing' ",35
2010 ,"'Deferred' ","'Scotland' ","'Direct Clearing' ",5
2010 ,"'Deferred' ","'Scotland' ","'RPA' ",10
2010 ,"'Deferred' ","'Wales' ","'Firm choice' ",655
2010 ,"'Deferred' ","'Wales' ","'Insurance choice' ",85
2010 ,"'Deferred' ","'Wales' ","'Other main scheme choice' ",20
2010 ,"'Deferred' ","'Wales' ","'Extra' ",5
2010 ,"'Deferred' ","'Wales' ","'Main scheme Clearing' ",35
2010 ,"'Deferred' ","'Wales' ","'Direct Clearing' ",5
2010 ,"'Deferred' ","'Wales' ","'RPA' ",10
2010 ,"'Not deferred' ","'England' ","'Firm choice' ",251615
2010 ,"'Not deferred' ","'England' ","'Insurance choice' ",25190
2010 ,"'Not deferred' ","'England' ","'Other main scheme choice' ",8265
2010 ,"'Not deferred' ","'England' ","'Extra' ",5380
2010 ,"'Not deferred' ","'England' ","'Adjustment' ",260
2010 ,"'Not deferred' ","'England' ","'Main scheme Clearing' ",30335
2010 ,"'Not deferred' ","'England' ","'Direct Clearing' ",6375
2010 ,"'Not deferred' ","'England' ","'RPA' ",8475
2010 ,"'Not deferred' ","'Northern Ireland' ","'Firm choice' ",10285
2010 ,"'Not deferred' ","'Northern Ireland' ","'Insurance choice' ",1520
2010 ,"'Not deferred' ","'Northern Ireland' ","'Other main scheme choice' ",150
2010 ,"'Not deferred' ","'Northern Ireland' ","'Extra' ",185
2010 ,"'Not deferred' ","'Northern Ireland' ","'Adjustment' ",25
2010 ,"'Not deferred' ","'Northern Ireland' ","'Main scheme Clearing' ",735
2010 ,"'Not deferred' ","'Northern Ireland' ","'Direct Clearing' ",95
2010 ,"'Not deferred' ","'Northern Ireland' ","'RPA' ",55
2010 ,"'Not deferred' ","'Scotland' ","'Firm choice' ",23300
2010 ,"'Not deferred' ","'Scotland' ","'Insurance choice' ",1785
2010 ,"'Not deferred' ","'Scotland' ","'Other main scheme choice' ",730
2010 ,"'Not deferred' ","'Scotland' ","'Extra' ",285
2010 ,"'Not deferred' ","'Scotland' ","'Main scheme Clearing' ",1665
2010 ,"'Not deferred' ","'Scotland' ","'Direct Clearing' ",230
2010 ,"'Not deferred' ","'Scotland' ","'RPA' ",2755
2010 ,"'Not deferred' ","'Wales' ","'Firm choice' ",13695
2010 ,"'Not deferred' ","'Wales' ","'Insurance choice' ",1075
2010 ,"'Not deferred' ","'Wales' ","'Other main scheme choice' ",365
2010 ,"'Not deferred' ","'Wales' ","'Extra' ",245
2010 ,"'Not deferred' ","'Wales' ","'Adjustment' ",15
2010 ,"'Not deferred' ","'Wales' ","'Main scheme Clearing' ",1350
2010 ,"'Not deferred' ","'Wales' ","'Direct Clearing' ",300
2010 ,"'Not deferred' ","'Wales' ","'RPA' ",810
2011 ,"'Deferred' ","'England' ","'Firm choice' ",7070
2011 ,"'Deferred' ","'England' ","'Insurance choice' ",1050
2011 ,"'Deferred' ","'England' ","'Other main scheme choice' ",300
2011 ,"'Deferred' ","'England' ","'Extra' ",105
2011 ,"'Deferred' ","'England' ","'Adjustment' ",5
2011 ,"'Deferred' ","'England' ","'Main scheme Clearing' ",295
2011 ,"'Deferred' ","'England' ","'Direct Clearing' ",30
2011 ,"'Deferred' ","'England' ","'RPA' ",45
2011 ,"'Deferred' ","'Northern Ireland' ","'Firm choice' ",190
2011 ,"'Deferred' ","'Northern Ireland' ","'Insurance choice' ",20
2011 ,"'Deferred' ","'Northern Ireland' ","'Other main scheme choice' ",5
2011 ,"'Deferred' ","'Northern Ireland' ","'Extra' ",5
2011 ,"'Deferred' ","'Northern Ireland' ","'Main scheme Clearing' ",15
2011 ,"'Deferred' ","'Scotland' ","'Firm choice' ",880
2011 ,"'Deferred' ","'Scotland' ","'Insurance choice' ",90
2011 ,"'Deferred' ","'Scotland' ","'Other main scheme choice' ",30
2011 ,"'Deferred' ","'Scotland' ","'Extra' ",5
2011 ,"'Deferred' ","'Scotland' ","'Main scheme Clearing' ",30
2011 ,"'Deferred' ","'Scotland' ","'Direct Clearing' ",5
2011 ,"'Deferred' ","'Scotland' ","'RPA' ",5
2011 ,"'Deferred' ","'Wales' ","'Firm choice' ",430
2011 ,"'Deferred' ","'Wales' ","'Insurance choice' ",60
2011 ,"'Deferred' ","'Wales' ","'Other main scheme choice' ",10
2011 ,"'Deferred' ","'Wales' ","'Extra' ",5
2011 ,"'Deferred' ","'Wales' ","'Main scheme Clearing' ",20
2011 ,"'Deferred' ","'Wales' ","'RPA' ",5
2011 ,"'Not deferred' ","'England' ","'Firm choice' ",262830
2011 ,"'Not deferred' ","'England' ","'Insurance choice' ",29885
2011 ,"'Not deferred' ","'England' ","'Other main scheme choice' ",8835
2011 ,"'Not deferred' ","'England' ","'Extra' ",7680
2011 ,"'Not deferred' ","'England' ","'Adjustment' ",465
2011 ,"'Not deferred' ","'England' ","'Main scheme Clearing' ",35300
2011 ,"'Not deferred' ","'England' ","'Direct Clearing' ",6775
2011 ,"'Not deferred' ","'England' ","'RPA' ",6485
2011 ,"'Not deferred' ","'Northern Ireland' ","'Firm choice' ",10640
2011 ,"'Not deferred' ","'Northern Ireland' ","'Insurance choice' ",1635
2011 ,"'Not deferred' ","'Northern Ireland' ","'Other main scheme choice' ",150
2011 ,"'Not deferred' ","'Northern Ireland' ","'Extra' ",175
2011 ,"'Not deferred' ","'Northern Ireland' ","'Adjustment' ",20
2011 ,"'Not deferred' ","'Northern Ireland' ","'Main scheme Clearing' ",815
2011 ,"'Not deferred' ","'Northern Ireland' ","'Direct Clearing' ",70
2011 ,"'Not deferred' ","'Northern Ireland' ","'RPA' ",55
2011 ,"'Not deferred' ","'Scotland' ","'Firm choice' ",23460
2011 ,"'Not deferred' ","'Scotland' ","'Insurance choice' ",1715
2011 ,"'Not deferred' ","'Scotland' ","'Other main scheme choice' ",680
2011 ,"'Not deferred' ","'Scotland' ","'Extra' ",360
2011 ,"'Not deferred' ","'Scotland' ","'Adjustment' ",5
2011 ,"'Not deferred' ","'Scotland' ","'Main scheme Clearing' ",1195
2011 ,"'Not deferred' ","'Scotland' ","'Direct Clearing' ",170
2011 ,"'Not deferred' ","'Scotland' ","'RPA' ",2180
2011 ,"'Not deferred' ","'Wales' ","'Firm choice' ",13670
2011 ,"'Not deferred' ","'Wales' ","'Insurance choice' ",1100
2011 ,"'Not deferred' ","'Wales' ","'Other main scheme choice' ",370
2011 ,"'Not deferred' ","'Wales' ","'Extra' ",315
2011 ,"'Not deferred' ","'Wales' ","'Adjustment' ",10
2011 ,"'Not deferred' ","'Wales' ","'Main scheme Clearing' ",1485
2011 ,"'Not deferred' ","'Wales' ","'Direct Clearing' ",285
2011 ,"'Not deferred' ","'Wales' ","'RPA' ",560
2012 ,"'Deferred' ","'England' ","'Firm choice' ",15345
2012 ,"'Deferred' ","'England' ","'Insurance choice' ",2325
2012 ,"'Deferred' ","'England' ","'Other main scheme choice' ",310
2012 ,"'Deferred' ","'England' ","'Extra' ",180
2012 ,"'Deferred' ","'England' ","'Adjustment' ",35
2012 ,"'Deferred' ","'England' ","'Main scheme Clearing' ",795
2012 ,"'Deferred' ","'England' ","'Direct Clearing' ",120
2012 ,"'Deferred' ","'England' ","'RPA' ",85
2012 ,"'Deferred' ","'Northern Ireland' ","'Firm choice' ",265
2012 ,"'Deferred' ","'Northern Ireland' ","'Insurance choice' ",50
2012 ,"'Deferred' ","'Northern Ireland' ","'Other main scheme choice' ",5
2012 ,"'Deferred' ","'Northern Ireland' ","'Extra' ",5
2012 ,"'Deferred' ","'Northern Ireland' ","'Main scheme Clearing' ",15
2012 ,"'Deferred' ","'Scotland' ","'Firm choice' ",850
2012 ,"'Deferred' ","'Scotland' ","'Insurance choice' ",85
2012 ,"'Deferred' ","'Scotland' ","'Other main scheme choice' ",25
2012 ,"'Deferred' ","'Scotland' ","'Main scheme Clearing' ",25
2012 ,"'Deferred' ","'Scotland' ","'Direct Clearing' ",5
2012 ,"'Deferred' ","'Wales' ","'Firm choice' ",465
2012 ,"'Deferred' ","'Wales' ","'Insurance choice' ",60
2012 ,"'Deferred' ","'Wales' ","'Other main scheme choice' ",10
2012 ,"'Deferred' ","'Wales' ","'Extra' ",5
2012 ,"'Deferred' ","'Wales' ","'Main scheme Clearing' ",30
2012 ,"'Deferred' ","'Wales' ","'Direct Clearing' ",5
2012 ,"'Deferred' ","'Wales' ","'RPA' ",15
2012 ,"'Not deferred' ","'England' ","'Firm choice' ",236790
2012 ,"'Not deferred' ","'England' ","'Insurance choice' ",19125
2012 ,"'Not deferred' ","'England' ","'Other main scheme choice' ",6760
2012 ,"'Not deferred' ","'England' ","'Extra' ",6190
2012 ,"'Not deferred' ","'England' ","'Adjustment' ",1130
2012 ,"'Not deferred' ","'England' ","'Main scheme Clearing' ",34120
2012 ,"'Not deferred' ","'England' ","'Direct Clearing' ",10225
2012 ,"'Not deferred' ","'England' ","'RPA' ",9215
2012 ,"'Not deferred' ","'Northern Ireland' ","'Firm choice' ",10140
2012 ,"'Not deferred' ","'Northern Ireland' ","'Insurance choice' ",1375
2012 ,"'Not deferred' ","'Northern Ireland' ","'Other main scheme choice' ",115
2012 ,"'Not deferred' ","'Northern Ireland' ","'Extra' ",155
2012 ,"'Not deferred' ","'Northern Ireland' ","'Adjustment' ",25
2012 ,"'Not deferred' ","'Northern Ireland' ","'Main scheme Clearing' ",965
2012 ,"'Not deferred' ","'Northern Ireland' ","'Direct Clearing' ",120
2012 ,"'Not deferred' ","'Northern Ireland' ","'RPA' ",50
2012 ,"'Not deferred' ","'Scotland' ","'Firm choice' ",23620
2012 ,"'Not deferred' ","'Scotland' ","'Insurance choice' ",1680
2012 ,"'Not deferred' ","'Scotland' ","'Other main scheme choice' ",590
2012 ,"'Not deferred' ","'Scotland' ","'Extra' ",265
2012 ,"'Not deferred' ","'Scotland' ","'Adjustment' ",15
2012 ,"'Not deferred' ","'Scotland' ","'Main scheme Clearing' ",1395
2012 ,"'Not deferred' ","'Scotland' ","'Direct Clearing' ",205
2012 ,"'Not deferred' ","'Scotland' ","'RPA' ",2140
2012 ,"'Not deferred' ","'Wales' ","'Firm choice' ",14110
2012 ,"'Not deferred' ","'Wales' ","'Insurance choice' ",865
2012 ,"'Not deferred' ","'Wales' ","'Other main scheme choice' ",315
2012 ,"'Not deferred' ","'Wales' ","'Extra' ",295
2012 ,"'Not deferred' ","'Wales' ","'Adjustment' ",30
2012 ,"'Not deferred' ","'Wales' ","'Main scheme Clearing' ",1675
2012 ,"'Not deferred' ","'Wales' ","'Direct Clearing' ",540
2012 ,"'Not deferred' ","'Wales' ","'RPA' ",885
