"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Ethnic Group (Summary Level) , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_022_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Ethnic Group (Summary Level) , Acceptance Route,Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'Asian' ","'Firm choice' ",1725
2007 ,"'Group B Subjects allied to Medicine' ","'Black' ","'RPA' ",55
2007 ,"'Group B Subjects allied to Medicine' ","'Mixed' ","'Firm choice' ",415
2007 ,"'Group B Subjects allied to Medicine' ","'Mixed' ","'Insurance choice' ",25
2007 ,"'Group B Subjects allied to Medicine' ","'Mixed' ","'Other main scheme choice' ",15
2007 ,"'Group B Subjects allied to Medicine' ","'Mixed' ","'Extra' ",10
2007 ,"'Group B Subjects allied to Medicine' ","'Mixed' ","'Main scheme Clearing' ",60
2007 ,"'Group B Subjects allied to Medicine' ","'Mixed' ","'Direct Clearing' ",10
2007 ,"'Group B Subjects allied to Medicine' ","'Mixed' ","'RPA' ",20
2007 ,"'Group B Subjects allied to Medicine' ","'White' ","'Firm choice' ",13825
2007 ,"'Group B Subjects allied to Medicine' ","'White' ","'Insurance choice' ",665
2007 ,"'Group B Subjects allied to Medicine' ","'White' ","'Other main scheme choice' ",585
2007 ,"'Group B Subjects allied to Medicine' ","'White' ","'Extra' ",225
2007 ,"'Group B Subjects allied to Medicine' ","'White' ","'Main scheme Clearing' ",1320
2007 ,"'Group B Subjects allied to Medicine' ","'White' ","'Direct Clearing' ",350
2007 ,"'Group B Subjects allied to Medicine' ","'White' ","'RPA' ",245
2007 ,"'Group B Subjects allied to Medicine' ","'Other' ","'Firm choice' ",205
2007 ,"'Group B Subjects allied to Medicine' ","'Other' ","'Insurance choice' ",30
2007 ,"'Group B Subjects allied to Medicine' ","'Other' ","'Other main scheme choice' ",15
2007 ,"'Group B Subjects allied to Medicine' ","'Other' ","'Extra' ",10
2007 ,"'Group B Subjects allied to Medicine' ","'Other' ","'Main scheme Clearing' ",60
2007 ,"'Group B Subjects allied to Medicine' ","'Other' ","'Direct Clearing' ",15
2007 ,"'Group B Subjects allied to Medicine' ","'Other' ","'RPA' ",15
2007 ,"'Group B Subjects allied to Medicine' ","'Unknown' ","'Firm choice' ",195
2007 ,"'Group B Subjects allied to Medicine' ","'Unknown' ","'Insurance choice' ",10
2007 ,"'Group B Subjects allied to Medicine' ","'Unknown' ","'Other main scheme choice' ",10
2007 ,"'Group B Subjects allied to Medicine' ","'Unknown' ","'Extra' ",5
2007 ,"'Group B Subjects allied to Medicine' ","'Unknown' ","'Main scheme Clearing' ",35
2007 ,"'Group B Subjects allied to Medicine' ","'Unknown' ","'Direct Clearing' ",15
2007 ,"'Group B Subjects allied to Medicine' ","'Unknown' ","'RPA' ",920
2007 ,"'Group C Biological Sciences' ","'Asian' ","'Firm choice' ",1135
2007 ,"'Group C Biological Sciences' ","'Asian' ","'Insurance choice' ",240
2007 ,"'Group C Biological Sciences' ","'Asian' ","'Other main scheme choice' ",40
2007 ,"'Group C Biological Sciences' ","'Asian' ","'Extra' ",25
2007 ,"'Group C Biological Sciences' ","'Asian' ","'Main scheme Clearing' ",435
2007 ,"'Group C Biological Sciences' ","'Asian' ","'Direct Clearing' ",50
2007 ,"'Group C Biological Sciences' ","'Asian' ","'RPA' ",40
2007 ,"'Group C Biological Sciences' ","'Black' ","'Firm choice' ",735
2007 ,"'Group C Biological Sciences' ","'Black' ","'Insurance choice' ",145
2007 ,"'Group C Biological Sciences' ","'Black' ","'Other main scheme choice' ",65
2007 ,"'Group C Biological Sciences' ","'Black' ","'Extra' ",35
2007 ,"'Group C Biological Sciences' ","'Black' ","'Main scheme Clearing' ",230
2007 ,"'Group C Biological Sciences' ","'Black' ","'Direct Clearing' ",50
2007 ,"'Group C Biological Sciences' ","'Black' ","'RPA' ",55
2007 ,"'Group C Biological Sciences' ","'Mixed' ","'Firm choice' ",635
2007 ,"'Group C Biological Sciences' ","'Mixed' ","'Insurance choice' ",85
2007 ,"'Group C Biological Sciences' ","'Mixed' ","'Other main scheme choice' ",20
2007 ,"'Group C Biological Sciences' ","'Mixed' ","'Extra' ",5
2007 ,"'Group C Biological Sciences' ","'Mixed' ","'Main scheme Clearing' ",95
2007 ,"'Group C Biological Sciences' ","'Mixed' ","'Direct Clearing' ",20
2007 ,"'Group C Biological Sciences' ","'Mixed' ","'RPA' ",15
2007 ,"'Group C Biological Sciences' ","'White' ","'Firm choice' ",19430
2007 ,"'Group C Biological Sciences' ","'White' ","'Insurance choice' ",1720
2007 ,"'Group C Biological Sciences' ","'White' ","'Other main scheme choice' ",600
2007 ,"'Group C Biological Sciences' ","'White' ","'Extra' ",260
2007 ,"'Group C Biological Sciences' ","'White' ","'Main scheme Clearing' ",1450
2007 ,"'Group C Biological Sciences' ","'White' ","'Direct Clearing' ",400
2007 ,"'Group C Biological Sciences' ","'White' ","'RPA' ",310
2007 ,"'Group C Biological Sciences' ","'Other' ","'Firm choice' ",165
2007 ,"'Group C Biological Sciences' ","'Other' ","'Insurance choice' ",25
2007 ,"'Group C Biological Sciences' ","'Other' ","'Other main scheme choice' ",5
2007 ,"'Group C Biological Sciences' ","'Other' ","'Extra' ",10
2007 ,"'Group C Biological Sciences' ","'Other' ","'Main scheme Clearing' ",50
2007 ,"'Group C Biological Sciences' ","'Other' ","'Direct Clearing' ",10
2007 ,"'Group C Biological Sciences' ","'Other' ","'RPA' ",10
2007 ,"'Group C Biological Sciences' ","'Unknown' ","'Firm choice' ",205
2007 ,"'Group C Biological Sciences' ","'Unknown' ","'Insurance choice' ",25
2007 ,"'Group C Biological Sciences' ","'Unknown' ","'Other main scheme choice' ",15
2007 ,"'Group C Biological Sciences' ","'Unknown' ","'Extra' ",5
2007 ,"'Group C Biological Sciences' ","'Unknown' ","'Main scheme Clearing' ",35
2007 ,"'Group C Biological Sciences' ","'Unknown' ","'Direct Clearing' ",5
2007 ,"'Group C Biological Sciences' ","'Unknown' ","'RPA' ",900
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Asian' ","'Firm choice' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Asian' ","'Insurance choice' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Asian' ","'Main scheme Clearing' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Black' ","'Firm choice' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Black' ","'Other main scheme choice' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Black' ","'Main scheme Clearing' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Black' ","'RPA' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Mixed' ","'Firm choice' ",40
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Mixed' ","'Insurance choice' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Mixed' ","'Direct Clearing' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'White' ","'Firm choice' ",2830
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'White' ","'Insurance choice' ",115
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'White' ","'Other main scheme choice' ",190
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'White' ","'Extra' ",20
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'White' ","'Main scheme Clearing' ",180
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'White' ","'Direct Clearing' ",210
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'White' ","'RPA' ",100
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Other' ","'Firm choice' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Other' ","'Main scheme Clearing' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Unknown' ","'Firm choice' ",30
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Unknown' ","'Other main scheme choice' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Unknown' ","'Direct Clearing' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Unknown' ","'RPA' ",160
2007 ,"'Group F Physical Sciences' ","'Asian' ","'Firm choice' ",475
2007 ,"'Group F Physical Sciences' ","'Asian' ","'Insurance choice' ",85
2007 ,"'Group F Physical Sciences' ","'Asian' ","'Other main scheme choice' ",15
2007 ,"'Group F Physical Sciences' ","'Asian' ","'Extra' ",10
2007 ,"'Group F Physical Sciences' ","'Asian' ","'Main scheme Clearing' ",160
2007 ,"'Group F Physical Sciences' ","'Asian' ","'Direct Clearing' ",25
2007 ,"'Group F Physical Sciences' ","'Asian' ","'RPA' ",5
2007 ,"'Group F Physical Sciences' ","'Black' ","'Firm choice' ",160
2007 ,"'Group F Physical Sciences' ","'Black' ","'Insurance choice' ",30
2007 ,"'Group F Physical Sciences' ","'Black' ","'Other main scheme choice' ",25
2007 ,"'Group F Physical Sciences' ","'Black' ","'Extra' ",5
2007 ,"'Group F Physical Sciences' ","'Black' ","'Main scheme Clearing' ",45
2007 ,"'Group F Physical Sciences' ","'Black' ","'Direct Clearing' ",15
2007 ,"'Group F Physical Sciences' ","'Black' ","'RPA' ",5
2007 ,"'Group F Physical Sciences' ","'Mixed' ","'Firm choice' ",255
2007 ,"'Group F Physical Sciences' ","'Mixed' ","'Insurance choice' ",25
2007 ,"'Group F Physical Sciences' ","'Mixed' ","'Other main scheme choice' ",5
2007 ,"'Group F Physical Sciences' ","'Mixed' ","'Extra' ",5
2007 ,"'Group F Physical Sciences' ","'Mixed' ","'Main scheme Clearing' ",25
2007 ,"'Group F Physical Sciences' ","'Mixed' ","'Direct Clearing' ",5
2007 ,"'Group F Physical Sciences' ","'Mixed' ","'RPA' ",5
2007 ,"'Group F Physical Sciences' ","'White' ","'Firm choice' ",10155
2007 ,"'Group F Physical Sciences' ","'White' ","'Insurance choice' ",950
2007 ,"'Group F Physical Sciences' ","'White' ","'Other main scheme choice' ",205
2007 ,"'Group F Physical Sciences' ","'White' ","'Extra' ",70
2007 ,"'Group F Physical Sciences' ","'White' ","'Main scheme Clearing' ",645
2007 ,"'Group F Physical Sciences' ","'White' ","'Direct Clearing' ",170
2007 ,"'Group F Physical Sciences' ","'White' ","'RPA' ",115
2007 ,"'Group F Physical Sciences' ","'Other' ","'Firm choice' ",45
2007 ,"'Group F Physical Sciences' ","'Other' ","'Insurance choice' ",10
2007 ,"'Group F Physical Sciences' ","'Other' ","'Main scheme Clearing' ",15
2007 ,"'Group F Physical Sciences' ","'Other' ","'Direct Clearing' ",5
2007 ,"'Group F Physical Sciences' ","'Unknown' ","'Firm choice' ",150
2007 ,"'Group F Physical Sciences' ","'Unknown' ","'Insurance choice' ",20
2007 ,"'Group F Physical Sciences' ","'Unknown' ","'Other main scheme choice' ",10
2007 ,"'Group F Physical Sciences' ","'Unknown' ","'Main scheme Clearing' ",15
2007 ,"'Group F Physical Sciences' ","'Unknown' ","'Direct Clearing' ",5
2007 ,"'Group F Physical Sciences' ","'Unknown' ","'RPA' ",280
2007 ,"'Group G Mathematical Sciences' ","'Asian' ","'Firm choice' ",415
2007 ,"'Group G Mathematical Sciences' ","'Asian' ","'Insurance choice' ",125
2007 ,"'Group G Mathematical Sciences' ","'Asian' ","'Other main scheme choice' ",10
2007 ,"'Group G Mathematical Sciences' ","'Asian' ","'Extra' ",15
2007 ,"'Group G Mathematical Sciences' ","'Asian' ","'Main scheme Clearing' ",105
2007 ,"'Group G Mathematical Sciences' ","'Asian' ","'Direct Clearing' ",20
2007 ,"'Group G Mathematical Sciences' ","'Asian' ","'RPA' ",5
2007 ,"'Group G Mathematical Sciences' ","'Black' ","'Firm choice' ",65
2007 ,"'Group G Mathematical Sciences' ","'Black' ","'Insurance choice' ",15
2007 ,"'Group G Mathematical Sciences' ","'Black' ","'Other main scheme choice' ",5
2007 ,"'Group G Mathematical Sciences' ","'Black' ","'Main scheme Clearing' ",15
2007 ,"'Group G Mathematical Sciences' ","'Black' ","'Direct Clearing' ",5
2007 ,"'Group G Mathematical Sciences' ","'Black' ","'RPA' ",5
2007 ,"'Group G Mathematical Sciences' ","'Mixed' ","'Firm choice' ",85
2007 ,"'Group G Mathematical Sciences' ","'Mixed' ","'Insurance choice' ",15
2007 ,"'Group G Mathematical Sciences' ","'Mixed' ","'Main scheme Clearing' ",10
2007 ,"'Group G Mathematical Sciences' ","'White' ","'Firm choice' ",2915
2007 ,"'Group G Mathematical Sciences' ","'White' ","'Insurance choice' ",520
2007 ,"'Group G Mathematical Sciences' ","'White' ","'Other main scheme choice' ",50
2007 ,"'Group G Mathematical Sciences' ","'White' ","'Extra' ",25
2007 ,"'Group G Mathematical Sciences' ","'White' ","'Main scheme Clearing' ",190
2007 ,"'Group G Mathematical Sciences' ","'White' ","'Direct Clearing' ",40
2007 ,"'Group G Mathematical Sciences' ","'White' ","'RPA' ",20
2007 ,"'Group G Mathematical Sciences' ","'Other' ","'Firm choice' ",20
2007 ,"'Group G Mathematical Sciences' ","'Other' ","'Insurance choice' ",10
2007 ,"'Group G Mathematical Sciences' ","'Other' ","'Main scheme Clearing' ",10
2007 ,"'Group G Mathematical Sciences' ","'Unknown' ","'Firm choice' ",55
2007 ,"'Group G Mathematical Sciences' ","'Unknown' ","'Insurance choice' ",10
2007 ,"'Group G Mathematical Sciences' ","'Unknown' ","'Main scheme Clearing' ",10
2007 ,"'Group G Mathematical Sciences' ","'Unknown' ","'RPA' ",60
2007 ,"'Group H Engineering' ","'Asian' ","'Firm choice' ",1065
2007 ,"'Group H Engineering' ","'Asian' ","'Insurance choice' ",210
2007 ,"'Group H Engineering' ","'Asian' ","'Other main scheme choice' ",85
2007 ,"'Group H Engineering' ","'Asian' ","'Extra' ",20
2007 ,"'Group H Engineering' ","'Asian' ","'Main scheme Clearing' ",290
2007 ,"'Group H Engineering' ","'Asian' ","'Direct Clearing' ",95
2007 ,"'Group H Engineering' ","'Asian' ","'RPA' ",40
2007 ,"'Group H Engineering' ","'Black' ","'Firm choice' ",615
2007 ,"'Group H Engineering' ","'Black' ","'Insurance choice' ",115
2007 ,"'Group H Engineering' ","'Black' ","'Other main scheme choice' ",105
2007 ,"'Group H Engineering' ","'Black' ","'Extra' ",5
2007 ,"'Group H Engineering' ","'Black' ","'Main scheme Clearing' ",170
2007 ,"'Group H Engineering' ","'Black' ","'Direct Clearing' ",55
2007 ,"'Group H Engineering' ","'Black' ","'RPA' ",35
2007 ,"'Group H Engineering' ","'Mixed' ","'Firm choice' ",275
2007 ,"'Group H Engineering' ","'Mixed' ","'Insurance choice' ",35
2007 ,"'Group H Engineering' ","'Mixed' ","'Other main scheme choice' ",15
2007 ,"'Group H Engineering' ","'Mixed' ","'Extra' ",5
2007 ,"'Group H Engineering' ","'Mixed' ","'Main scheme Clearing' ",40
2007 ,"'Group H Engineering' ","'Mixed' ","'Direct Clearing' ",15
2007 ,"'Group H Engineering' ","'Mixed' ","'RPA' ",15
2007 ,"'Group H Engineering' ","'White' ","'Firm choice' ",8040
2007 ,"'Group H Engineering' ","'White' ","'Insurance choice' ",775
2007 ,"'Group H Engineering' ","'White' ","'Other main scheme choice' ",345
2007 ,"'Group H Engineering' ","'White' ","'Extra' ",50
2007 ,"'Group H Engineering' ","'White' ","'Main scheme Clearing' ",560
2007 ,"'Group H Engineering' ","'White' ","'Direct Clearing' ",220
2007 ,"'Group H Engineering' ","'White' ","'RPA' ",175
2007 ,"'Group H Engineering' ","'Other' ","'Firm choice' ",120
2007 ,"'Group H Engineering' ","'Other' ","'Insurance choice' ",20
2007 ,"'Group H Engineering' ","'Other' ","'Other main scheme choice' ",10
2007 ,"'Group H Engineering' ","'Other' ","'Extra' ",5
2007 ,"'Group H Engineering' ","'Other' ","'Main scheme Clearing' ",35
2007 ,"'Group H Engineering' ","'Other' ","'Direct Clearing' ",10
2007 ,"'Group H Engineering' ","'Other' ","'RPA' ",5
2007 ,"'Group H Engineering' ","'Unknown' ","'Firm choice' ",170
2007 ,"'Group H Engineering' ","'Unknown' ","'Insurance choice' ",25
2007 ,"'Group H Engineering' ","'Unknown' ","'Other main scheme choice' ",20
2007 ,"'Group H Engineering' ","'Unknown' ","'Main scheme Clearing' ",20
2007 ,"'Group H Engineering' ","'Unknown' ","'Direct Clearing' ",20
2007 ,"'Group H Engineering' ","'Unknown' ","'RPA' ",685
2007 ,"'Group I Computer Sciences' ","'Asian' ","'Firm choice' ",1385
2007 ,"'Group I Computer Sciences' ","'Asian' ","'Insurance choice' ",195
2007 ,"'Group I Computer Sciences' ","'Asian' ","'Other main scheme choice' ",85
2007 ,"'Group I Computer Sciences' ","'Asian' ","'Extra' ",30
2007 ,"'Group I Computer Sciences' ","'Asian' ","'Main scheme Clearing' ",450
2007 ,"'Group I Computer Sciences' ","'Asian' ","'Direct Clearing' ",120
2007 ,"'Group I Computer Sciences' ","'Asian' ","'RPA' ",115
2007 ,"'Group I Computer Sciences' ","'Black' ","'Firm choice' ",650
2007 ,"'Group I Computer Sciences' ","'Black' ","'Insurance choice' ",85
2007 ,"'Group I Computer Sciences' ","'Black' ","'Other main scheme choice' ",115
2007 ,"'Group I Computer Sciences' ","'Black' ","'Extra' ",5
2007 ,"'Group I Computer Sciences' ","'Black' ","'Main scheme Clearing' ",160
2007 ,"'Group I Computer Sciences' ","'Black' ","'Direct Clearing' ",80
2007 ,"'Group I Computer Sciences' ","'Black' ","'RPA' ",105
2007 ,"'Group I Computer Sciences' ","'Mixed' ","'Firm choice' ",280
2007 ,"'Group I Computer Sciences' ","'Mixed' ","'Insurance choice' ",25
2007 ,"'Group I Computer Sciences' ","'Mixed' ","'Other main scheme choice' ",25
2007 ,"'Group I Computer Sciences' ","'Mixed' ","'Main scheme Clearing' ",40
2007 ,"'Group I Computer Sciences' ","'Mixed' ","'Direct Clearing' ",15
2007 ,"'Group I Computer Sciences' ","'Mixed' ","'RPA' ",25
2007 ,"'Group I Computer Sciences' ","'White' ","'Firm choice' ",7510
2007 ,"'Group I Computer Sciences' ","'White' ","'Insurance choice' ",490
2007 ,"'Group I Computer Sciences' ","'White' ","'Other main scheme choice' ",435
2007 ,"'Group I Computer Sciences' ","'White' ","'Extra' ",40
2007 ,"'Group I Computer Sciences' ","'White' ","'Main scheme Clearing' ",490
2007 ,"'Group I Computer Sciences' ","'White' ","'Direct Clearing' ",360
2007 ,"'Group I Computer Sciences' ","'White' ","'RPA' ",290
2007 ,"'Group I Computer Sciences' ","'Other' ","'Firm choice' ",135
2007 ,"'Group I Computer Sciences' ","'Other' ","'Insurance choice' ",20
2007 ,"'Group I Computer Sciences' ","'Other' ","'Other main scheme choice' ",10
2007 ,"'Group I Computer Sciences' ","'Other' ","'Main scheme Clearing' ",35
2007 ,"'Group I Computer Sciences' ","'Other' ","'Direct Clearing' ",5
2007 ,"'Group I Computer Sciences' ","'Other' ","'RPA' ",15
2007 ,"'Group I Computer Sciences' ","'Unknown' ","'Firm choice' ",115
2007 ,"'Group I Computer Sciences' ","'Unknown' ","'Insurance choice' ",10
2007 ,"'Group I Computer Sciences' ","'Unknown' ","'Other main scheme choice' ",20
2007 ,"'Group I Computer Sciences' ","'Unknown' ","'Main scheme Clearing' ",25
2007 ,"'Group I Computer Sciences' ","'Unknown' ","'Direct Clearing' ",15
2007 ,"'Group I Computer Sciences' ","'Unknown' ","'RPA' ",1205
2007 ,"'Group J Technologies' ","'Asian' ","'Firm choice' ",55
2007 ,"'Group J Technologies' ","'Asian' ","'Insurance choice' ",10
2007 ,"'Group J Technologies' ","'Asian' ","'Other main scheme choice' ",5
2007 ,"'Group J Technologies' ","'Asian' ","'Extra' ",5
2007 ,"'Group J Technologies' ","'Asian' ","'Main scheme Clearing' ",20
2007 ,"'Group J Technologies' ","'Asian' ","'RPA' ",5
2007 ,"'Group J Technologies' ","'Black' ","'Firm choice' ",45
2007 ,"'Group J Technologies' ","'Black' ","'Other main scheme choice' ",10
2007 ,"'Group J Technologies' ","'Black' ","'Main scheme Clearing' ",10
2007 ,"'Group J Technologies' ","'Black' ","'Direct Clearing' ",10
2007 ,"'Group J Technologies' ","'Black' ","'RPA' ",10
2007 ,"'Group J Technologies' ","'Mixed' ","'Firm choice' ",55
2007 ,"'Group J Technologies' ","'Mixed' ","'Other main scheme choice' ",5
2007 ,"'Group J Technologies' ","'Mixed' ","'Main scheme Clearing' ",5
2007 ,"'Group J Technologies' ","'Mixed' ","'RPA' ",10
2007 ,"'Group J Technologies' ","'White' ","'Firm choice' ",1430
2007 ,"'Group J Technologies' ","'White' ","'Insurance choice' ",60
2007 ,"'Group J Technologies' ","'White' ","'Other main scheme choice' ",105
2007 ,"'Group J Technologies' ","'White' ","'Extra' ",10
2007 ,"'Group J Technologies' ","'White' ","'Main scheme Clearing' ",75
2007 ,"'Group J Technologies' ","'White' ","'Direct Clearing' ",55
2007 ,"'Group J Technologies' ","'White' ","'RPA' ",40
2007 ,"'Group J Technologies' ","'Other' ","'Firm choice' ",10
2007 ,"'Group J Technologies' ","'Other' ","'RPA' ",5
2007 ,"'Group J Technologies' ","'Unknown' ","'Firm choice' ",20
2007 ,"'Group J Technologies' ","'Unknown' ","'RPA' ",145
2007 ,"'Group K Architecture, Building and Planning' ","'Asian' ","'Firm choice' ",435
2007 ,"'Group K Architecture, Building and Planning' ","'Asian' ","'Insurance choice' ",70
2007 ,"'Group K Architecture, Building and Planning' ","'Asian' ","'Other main scheme choice' ",20
2007 ,"'Group K Architecture, Building and Planning' ","'Asian' ","'Extra' ",10
2007 ,"'Group K Architecture, Building and Planning' ","'Asian' ","'Main scheme Clearing' ",135
2007 ,"'Group K Architecture, Building and Planning' ","'Asian' ","'Direct Clearing' ",25
2007 ,"'Group K Architecture, Building and Planning' ","'Asian' ","'RPA' ",30
2007 ,"'Group K Architecture, Building and Planning' ","'Black' ","'Firm choice' ",190
2007 ,"'Group K Architecture, Building and Planning' ","'Black' ","'Insurance choice' ",20
2007 ,"'Group K Architecture, Building and Planning' ","'Black' ","'Other main scheme choice' ",40
2007 ,"'Group K Architecture, Building and Planning' ","'Black' ","'Main scheme Clearing' ",50
2007 ,"'Group K Architecture, Building and Planning' ","'Black' ","'Direct Clearing' ",20
2007 ,"'Group K Architecture, Building and Planning' ","'Black' ","'RPA' ",5
2007 ,"'Group K Architecture, Building and Planning' ","'Mixed' ","'Firm choice' ",125
2007 ,"'Group K Architecture, Building and Planning' ","'Mixed' ","'Insurance choice' ",15
2007 ,"'Group K Architecture, Building and Planning' ","'Mixed' ","'Other main scheme choice' ",10
2007 ,"'Group K Architecture, Building and Planning' ","'Mixed' ","'Main scheme Clearing' ",15
2007 ,"'Group K Architecture, Building and Planning' ","'Mixed' ","'Direct Clearing' ",5
2007 ,"'Group K Architecture, Building and Planning' ","'Mixed' ","'RPA' ",5
2007 ,"'Group K Architecture, Building and Planning' ","'White' ","'Firm choice' ",4740
2007 ,"'Group K Architecture, Building and Planning' ","'White' ","'Insurance choice' ",465
2007 ,"'Group K Architecture, Building and Planning' ","'White' ","'Other main scheme choice' ",250
2007 ,"'Group K Architecture, Building and Planning' ","'White' ","'Extra' ",50
2007 ,"'Group K Architecture, Building and Planning' ","'White' ","'Main scheme Clearing' ",325
2007 ,"'Group K Architecture, Building and Planning' ","'White' ","'Direct Clearing' ",145
2007 ,"'Group K Architecture, Building and Planning' ","'White' ","'RPA' ",95
2007 ,"'Group K Architecture, Building and Planning' ","'Other' ","'Firm choice' ",50
2007 ,"'Group K Architecture, Building and Planning' ","'Other' ","'Insurance choice' ",5
2007 ,"'Group K Architecture, Building and Planning' ","'Other' ","'Other main scheme choice' ",10
2007 ,"'Group K Architecture, Building and Planning' ","'Other' ","'Main scheme Clearing' ",15
2007 ,"'Group K Architecture, Building and Planning' ","'Other' ","'Direct Clearing' ",5
2007 ,"'Group K Architecture, Building and Planning' ","'Other' ","'RPA' ",5
2007 ,"'Group K Architecture, Building and Planning' ","'Unknown' ","'Firm choice' ",55
