"Statistic:   Number of Applicants"
"Variables:   Age Band , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_013_06.pdf"
 
Cycle Year,Age Band , Applicant Domicile (High Level),Number of Applicants,
2006 ,"'17 and under' ","'England' ",1315
2016 ,"'17 and under' ","'Wales' ",30
2016 ,"'18' ","'England' ",234425
2016 ,"'18' ","'Northern Ireland' ",11790
2016 ,"'18' ","'Scotland' ",19320
2016 ,"'18' ","'Wales' ",11960
2016 ,"'19' ","'England' ",88785
2016 ,"'19' ","'Northern Ireland' ",3610
2016 ,"'19' ","'Scotland' ",5990
2016 ,"'19' ","'Wales' ",4350
2016 ,"'20' ","'England' ",29680
2016 ,"'20' ","'Northern Ireland' ",1560
2016 ,"'20' ","'Scotland' ",3960
2016 ,"'20' ","'Wales' ",1545
2016 ,"'21 and over' ","'England' ",105440
2016 ,"'21 and over' ","'Northern Ireland' ",4105
2016 ,"'21 and over' ","'Scotland' ",19415
2016 ,"'21 and over' ","'Wales' ",5855
