"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Ethnic Group (Summary Level) , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_028_07.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Ethnic Group (Summary Level) , Acceptance Route,Number of Acceptances,
2007 ,"'A1 - Pre-clinical Medicine' ","'Asian' ","'Firm choice' ",1355
2007 ,"'A2 - Pre-clinical Dentistry' ","'Mixed' ","'Firm choice' ",25
2007 ,"'A2 - Pre-clinical Dentistry' ","'White' ","'Firm choice' ",580
2007 ,"'A2 - Pre-clinical Dentistry' ","'White' ","'Insurance choice' ",15
2007 ,"'A2 - Pre-clinical Dentistry' ","'White' ","'Other main scheme choice' ",5
2007 ,"'A2 - Pre-clinical Dentistry' ","'White' ","'Main scheme Clearing' ",20
2007 ,"'A2 - Pre-clinical Dentistry' ","'Other' ","'Firm choice' ",25
2007 ,"'A2 - Pre-clinical Dentistry' ","'Unknown' ","'Firm choice' ",10
2007 ,"'A2 - Pre-clinical Dentistry' ","'Unknown' ","'Main scheme Clearing' ",5
2007 ,"'A9 - Others in Medicine and Dentistry' ","'White' ","'Firm choice' ",10
2007 ,"'A9 - Others in Medicine and Dentistry' ","'White' ","'Main scheme Clearing' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Asian' ","'Firm choice' ",155
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Asian' ","'Insurance choice' ",15
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Asian' ","'Other main scheme choice' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Asian' ","'Extra' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Asian' ","'Main scheme Clearing' ",55
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Asian' ","'Direct Clearing' ",10
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Asian' ","'RPA' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Black' ","'Firm choice' ",80
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Black' ","'Insurance choice' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Black' ","'Other main scheme choice' ",10
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Black' ","'Extra' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Black' ","'Main scheme Clearing' ",15
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Black' ","'Direct Clearing' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Black' ","'RPA' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Mixed' ","'Firm choice' ",80
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Mixed' ","'Extra' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Mixed' ","'Main scheme Clearing' ",10
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'White' ","'Firm choice' ",2385
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'White' ","'Insurance choice' ",100
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'White' ","'Other main scheme choice' ",55
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'White' ","'Extra' ",40
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'White' ","'Main scheme Clearing' ",230
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'White' ","'Direct Clearing' ",45
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'White' ","'RPA' ",25
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Other' ","'Firm choice' ",15
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Other' ","'Main scheme Clearing' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Unknown' ","'Firm choice' ",30
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Unknown' ","'Main scheme Clearing' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Unknown' ","'RPA' ",70
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Asian' ","'Firm choice' ",900
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Asian' ","'Insurance choice' ",200
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Asian' ","'Other main scheme choice' ",35
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Asian' ","'Extra' ",30
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Asian' ","'Main scheme Clearing' ",230
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Asian' ","'Direct Clearing' ",25
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Asian' ","'RPA' ",10
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Black' ","'Firm choice' ",220
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Black' ","'Insurance choice' ",45
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Black' ","'Other main scheme choice' ",20
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Black' ","'Extra' ",10
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Black' ","'Main scheme Clearing' ",40
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Black' ","'Direct Clearing' ",10
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Mixed' ","'Firm choice' ",45
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Mixed' ","'Insurance choice' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Mixed' ","'Main scheme Clearing' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'White' ","'Firm choice' ",930
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'White' ","'Insurance choice' ",110
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'White' ","'Other main scheme choice' ",10
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'White' ","'Extra' ",15
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'White' ","'Main scheme Clearing' ",90
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'White' ","'Direct Clearing' ",10
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'White' ","'RPA' ",10
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Other' ","'Firm choice' ",75
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Other' ","'Insurance choice' ",15
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Other' ","'Other main scheme choice' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Other' ","'Extra' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Other' ","'Main scheme Clearing' ",20
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Other' ","'Direct Clearing' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Other' ","'RPA' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Unknown' ","'Firm choice' ",45
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Unknown' ","'Insurance choice' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Unknown' ","'Other main scheme choice' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Unknown' ","'Main scheme Clearing' ",10
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Unknown' ","'RPA' ",80
2007 ,"'B3 - Complementary Medicine' ","'Asian' ","'Firm choice' ",40
2007 ,"'B3 - Complementary Medicine' ","'Asian' ","'Insurance choice' ",5
2007 ,"'B3 - Complementary Medicine' ","'Asian' ","'Other main scheme choice' ",5
2007 ,"'B3 - Complementary Medicine' ","'Asian' ","'Extra' ",5
2007 ,"'B3 - Complementary Medicine' ","'Asian' ","'Main scheme Clearing' ",5
2007 ,"'B3 - Complementary Medicine' ","'Asian' ","'Direct Clearing' ",5
2007 ,"'B3 - Complementary Medicine' ","'Asian' ","'RPA' ",10
2007 ,"'B3 - Complementary Medicine' ","'Black' ","'Firm choice' ",15
2007 ,"'B3 - Complementary Medicine' ","'Black' ","'Other main scheme choice' ",5
2007 ,"'B3 - Complementary Medicine' ","'Black' ","'RPA' ",5
2007 ,"'B3 - Complementary Medicine' ","'Mixed' ","'Firm choice' ",25
2007 ,"'B3 - Complementary Medicine' ","'Mixed' ","'Other main scheme choice' ",5
2007 ,"'B3 - Complementary Medicine' ","'Mixed' ","'Main scheme Clearing' ",5
2007 ,"'B3 - Complementary Medicine' ","'Mixed' ","'RPA' ",10
2007 ,"'B3 - Complementary Medicine' ","'White' ","'Firm choice' ",535
2007 ,"'B3 - Complementary Medicine' ","'White' ","'Other main scheme choice' ",80
2007 ,"'B3 - Complementary Medicine' ","'White' ","'Extra' ",15
2007 ,"'B3 - Complementary Medicine' ","'White' ","'Main scheme Clearing' ",35
2007 ,"'B3 - Complementary Medicine' ","'White' ","'Direct Clearing' ",45
2007 ,"'B3 - Complementary Medicine' ","'White' ","'RPA' ",55
2007 ,"'B3 - Complementary Medicine' ","'Other' ","'Firm choice' ",5
2007 ,"'B3 - Complementary Medicine' ","'Unknown' ","'Firm choice' ",10
2007 ,"'B3 - Complementary Medicine' ","'Unknown' ","'Main scheme Clearing' ",5
2007 ,"'B3 - Complementary Medicine' ","'Unknown' ","'Direct Clearing' ",5
2007 ,"'B3 - Complementary Medicine' ","'Unknown' ","'RPA' ",120
2007 ,"'B4 - Nutrition' ","'Asian' ","'Firm choice' ",35
2007 ,"'B4 - Nutrition' ","'Asian' ","'Insurance choice' ",10
2007 ,"'B4 - Nutrition' ","'Asian' ","'Other main scheme choice' ",5
2007 ,"'B4 - Nutrition' ","'Asian' ","'Main scheme Clearing' ",10
2007 ,"'B4 - Nutrition' ","'Asian' ","'RPA' ",5
2007 ,"'B4 - Nutrition' ","'Black' ","'Firm choice' ",25
2007 ,"'B4 - Nutrition' ","'Black' ","'Insurance choice' ",5
2007 ,"'B4 - Nutrition' ","'Black' ","'Other main scheme choice' ",5
2007 ,"'B4 - Nutrition' ","'Black' ","'Main scheme Clearing' ",5
2007 ,"'B4 - Nutrition' ","'Black' ","'RPA' ",5
2007 ,"'B4 - Nutrition' ","'Mixed' ","'Firm choice' ",15
2007 ,"'B4 - Nutrition' ","'White' ","'Firm choice' ",555
2007 ,"'B4 - Nutrition' ","'White' ","'Insurance choice' ",30
2007 ,"'B4 - Nutrition' ","'White' ","'Other main scheme choice' ",20
2007 ,"'B4 - Nutrition' ","'White' ","'Extra' ",10
2007 ,"'B4 - Nutrition' ","'White' ","'Main scheme Clearing' ",35
2007 ,"'B4 - Nutrition' ","'White' ","'Direct Clearing' ",15
2007 ,"'B4 - Nutrition' ","'White' ","'RPA' ",15
2007 ,"'B4 - Nutrition' ","'Other' ","'Firm choice' ",5
2007 ,"'B4 - Nutrition' ","'Unknown' ","'Firm choice' ",10
2007 ,"'B4 - Nutrition' ","'Unknown' ","'RPA' ",20
2007 ,"'B5 - Ophthalmics' ","'Asian' ","'Firm choice' ",255
2007 ,"'B5 - Ophthalmics' ","'Asian' ","'Insurance choice' ",35
2007 ,"'B5 - Ophthalmics' ","'Asian' ","'Other main scheme choice' ",5
2007 ,"'B5 - Ophthalmics' ","'Asian' ","'Extra' ",15
2007 ,"'B5 - Ophthalmics' ","'Asian' ","'Main scheme Clearing' ",70
2007 ,"'B5 - Ophthalmics' ","'Asian' ","'Direct Clearing' ",5
2007 ,"'B5 - Ophthalmics' ","'Asian' ","'RPA' ",5
2007 ,"'B5 - Ophthalmics' ","'Black' ","'Firm choice' ",10
2007 ,"'B5 - Ophthalmics' ","'Black' ","'Main scheme Clearing' ",5
2007 ,"'B5 - Ophthalmics' ","'Mixed' ","'Firm choice' ",15
2007 ,"'B5 - Ophthalmics' ","'White' ","'Firm choice' ",220
2007 ,"'B5 - Ophthalmics' ","'White' ","'Insurance choice' ",15
2007 ,"'B5 - Ophthalmics' ","'White' ","'Other main scheme choice' ",10
2007 ,"'B5 - Ophthalmics' ","'White' ","'Extra' ",5
2007 ,"'B5 - Ophthalmics' ","'White' ","'Main scheme Clearing' ",15
2007 ,"'B5 - Ophthalmics' ","'Other' ","'Firm choice' ",5
2007 ,"'B5 - Ophthalmics' ","'Unknown' ","'Firm choice' ",5
2007 ,"'B5 - Ophthalmics' ","'Unknown' ","'RPA' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'Asian' ","'Firm choice' ",65
2007 ,"'B6 - Aural and Oral Sciences' ","'Asian' ","'Insurance choice' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'Asian' ","'Other main scheme choice' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'Asian' ","'Main scheme Clearing' ",25
2007 ,"'B6 - Aural and Oral Sciences' ","'Asian' ","'Direct Clearing' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'Black' ","'Firm choice' ",15
2007 ,"'B6 - Aural and Oral Sciences' ","'Black' ","'Main scheme Clearing' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'Mixed' ","'Firm choice' ",15
2007 ,"'B6 - Aural and Oral Sciences' ","'White' ","'Firm choice' ",595
2007 ,"'B6 - Aural and Oral Sciences' ","'White' ","'Insurance choice' ",20
2007 ,"'B6 - Aural and Oral Sciences' ","'White' ","'Other main scheme choice' ",10
2007 ,"'B6 - Aural and Oral Sciences' ","'White' ","'Extra' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'White' ","'Main scheme Clearing' ",40
2007 ,"'B6 - Aural and Oral Sciences' ","'White' ","'Direct Clearing' ",10
2007 ,"'B6 - Aural and Oral Sciences' ","'Other' ","'Firm choice' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'Unknown' ","'Firm choice' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'Unknown' ","'RPA' ",5
2007 ,"'B7 - Nursing' ","'Asian' ","'Firm choice' ",150
2007 ,"'B7 - Nursing' ","'Asian' ","'Insurance choice' ",5
2007 ,"'B7 - Nursing' ","'Asian' ","'Other main scheme choice' ",10
2007 ,"'B7 - Nursing' ","'Asian' ","'Main scheme Clearing' ",40
2007 ,"'B7 - Nursing' ","'Asian' ","'Direct Clearing' ",5
2007 ,"'B7 - Nursing' ","'Black' ","'Firm choice' ",230
2007 ,"'B7 - Nursing' ","'Black' ","'Insurance choice' ",5
2007 ,"'B7 - Nursing' ","'Black' ","'Other main scheme choice' ",15
2007 ,"'B7 - Nursing' ","'Black' ","'Extra' ",15
2007 ,"'B7 - Nursing' ","'Black' ","'Main scheme Clearing' ",60
2007 ,"'B7 - Nursing' ","'Black' ","'Direct Clearing' ",10
2007 ,"'B7 - Nursing' ","'Black' ","'RPA' ",5
2007 ,"'B7 - Nursing' ","'Mixed' ","'Firm choice' ",85
2007 ,"'B7 - Nursing' ","'Mixed' ","'Insurance choice' ",5
2007 ,"'B7 - Nursing' ","'Mixed' ","'Other main scheme choice' ",5
2007 ,"'B7 - Nursing' ","'Mixed' ","'Main scheme Clearing' ",10
2007 ,"'B7 - Nursing' ","'Mixed' ","'Direct Clearing' ",5
2007 ,"'B7 - Nursing' ","'White' ","'Firm choice' ",4490
2007 ,"'B7 - Nursing' ","'White' ","'Insurance choice' ",130
2007 ,"'B7 - Nursing' ","'White' ","'Other main scheme choice' ",160
2007 ,"'B7 - Nursing' ","'White' ","'Extra' ",65
2007 ,"'B7 - Nursing' ","'White' ","'Main scheme Clearing' ",420
2007 ,"'B7 - Nursing' ","'White' ","'Direct Clearing' ",65
2007 ,"'B7 - Nursing' ","'White' ","'RPA' ",55
2007 ,"'B7 - Nursing' ","'Other' ","'Firm choice' ",15
2007 ,"'B7 - Nursing' ","'Other' ","'Other main scheme choice' ",5
2007 ,"'B7 - Nursing' ","'Other' ","'Main scheme Clearing' ",5
2007 ,"'B7 - Nursing' ","'Unknown' ","'Firm choice' ",30
2007 ,"'B7 - Nursing' ","'Unknown' ","'Main scheme Clearing' ",10
2007 ,"'B7 - Nursing' ","'Unknown' ","'Direct Clearing' ",5
2007 ,"'B7 - Nursing' ","'Unknown' ","'RPA' ",165
2007 ,"'B8 - Medical Technology' ","'Asian' ","'Firm choice' ",120
2007 ,"'B8 - Medical Technology' ","'Asian' ","'Insurance choice' ",10
2007 ,"'B8 - Medical Technology' ","'Asian' ","'Other main scheme choice' ",5
2007 ,"'B8 - Medical Technology' ","'Asian' ","'Main scheme Clearing' ",45
2007 ,"'B8 - Medical Technology' ","'Asian' ","'Direct Clearing' ",5
2007 ,"'B8 - Medical Technology' ","'Asian' ","'RPA' ",5
2007 ,"'B8 - Medical Technology' ","'Black' ","'Firm choice' ",90
2007 ,"'B8 - Medical Technology' ","'Black' ","'Insurance choice' ",5
2007 ,"'B8 - Medical Technology' ","'Black' ","'Other main scheme choice' ",10
2007 ,"'B8 - Medical Technology' ","'Black' ","'Extra' ",5
2007 ,"'B8 - Medical Technology' ","'Black' ","'Main scheme Clearing' ",35
2007 ,"'B8 - Medical Technology' ","'Black' ","'Direct Clearing' ",5
2007 ,"'B8 - Medical Technology' ","'Mixed' ","'Firm choice' ",25
2007 ,"'B8 - Medical Technology' ","'Mixed' ","'Main scheme Clearing' ",5
2007 ,"'B8 - Medical Technology' ","'White' ","'Firm choice' ",870
2007 ,"'B8 - Medical Technology' ","'White' ","'Insurance choice' ",35
2007 ,"'B8 - Medical Technology' ","'White' ","'Other main scheme choice' ",30
2007 ,"'B8 - Medical Technology' ","'White' ","'Extra' ",10
2007 ,"'B8 - Medical Technology' ","'White' ","'Main scheme Clearing' ",80
2007 ,"'B8 - Medical Technology' ","'White' ","'Direct Clearing' ",30
2007 ,"'B8 - Medical Technology' ","'White' ","'RPA' ",15
2007 ,"'B8 - Medical Technology' ","'Other' ","'Firm choice' ",15
2007 ,"'B8 - Medical Technology' ","'Other' ","'Main scheme Clearing' ",10
2007 ,"'B8 - Medical Technology' ","'Other' ","'Direct Clearing' ",5
2007 ,"'B8 - Medical Technology' ","'Unknown' ","'Firm choice' ",15
2007 ,"'B8 - Medical Technology' ","'Unknown' ","'Main scheme Clearing' ",5
2007 ,"'B8 - Medical Technology' ","'Unknown' ","'RPA' ",35
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Asian' ","'Firm choice' ",495
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Asian' ","'Insurance choice' ",125
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Asian' ","'Other main scheme choice' ",25
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Asian' ","'Extra' ",30
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Asian' ","'Main scheme Clearing' ",240
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Asian' ","'Direct Clearing' ",25
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Asian' ","'RPA' ",15
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Black' ","'Firm choice' ",355
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Black' ","'Insurance choice' ",70
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Black' ","'Other main scheme choice' ",50
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Black' ","'Extra' ",20
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Black' ","'Main scheme Clearing' ",120
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Black' ","'Direct Clearing' ",20
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Black' ","'RPA' ",40
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Mixed' ","'Firm choice' ",105
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Mixed' ","'Insurance choice' ",10
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Mixed' ","'Other main scheme choice' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Mixed' ","'Main scheme Clearing' ",20
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Mixed' ","'Direct Clearing' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Mixed' ","'RPA' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'White' ","'Firm choice' ",3155
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'White' ","'Insurance choice' ",210
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'White' ","'Other main scheme choice' ",205
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'White' ","'Extra' ",60
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'White' ","'Main scheme Clearing' ",360
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'White' ","'Direct Clearing' ",120
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'White' ","'RPA' ",70
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Other' ","'Firm choice' ",55
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Other' ","'Insurance choice' ",10
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Other' ","'Other main scheme choice' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Other' ","'Extra' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Other' ","'Main scheme Clearing' ",20
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Other' ","'Direct Clearing' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Other' ","'RPA' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Unknown' ","'Firm choice' ",40
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Unknown' ","'Insurance choice' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Unknown' ","'Other main scheme choice' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Unknown' ","'Extra' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Unknown' ","'Main scheme Clearing' ",10
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Unknown' ","'Direct Clearing' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Unknown' ","'RPA' ",405
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Asian' ","'Firm choice' ",25
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Asian' ","'Insurance choice' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Asian' ","'Main scheme Clearing' ",15
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Black' ","'Firm choice' ",15
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Black' ","'Main scheme Clearing' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Black' ","'Direct Clearing' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Mixed' ","'Firm choice' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'White' ","'Firm choice' ",85
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'White' ","'Insurance choice' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'White' ","'Other main scheme choice' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'White' ","'Main scheme Clearing' ",15
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'White' ","'Direct Clearing' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'White' ","'RPA' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Unknown' ","'Firm choice' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Unknown' ","'RPA' ",15
2007 ,"'C0 - Biological Sciences: any area of study' ","'White' ","'Firm choice' ",20
2007 ,"'C1 - Biology' ","'Asian' ","'Firm choice' ",150
2007 ,"'C1 - Biology' ","'Asian' ","'Insurance choice' ",30
2007 ,"'C1 - Biology' ","'Asian' ","'Other main scheme choice' ",5
2007 ,"'C1 - Biology' ","'Asian' ","'Main scheme Clearing' ",60
2007 ,"'C1 - Biology' ","'Asian' ","'Direct Clearing' ",10
2007 ,"'C1 - Biology' ","'Asian' ","'RPA' ",5
2007 ,"'C1 - Biology' ","'Black' ","'Firm choice' ",45
2007 ,"'C1 - Biology' ","'Black' ","'Insurance choice' ",10
2007 ,"'C1 - Biology' ","'Black' ","'Other main scheme choice' ",5
2007 ,"'C1 - Biology' ","'Black' ","'Extra' ",5
2007 ,"'C1 - Biology' ","'Black' ","'Main scheme Clearing' ",20
2007 ,"'C1 - Biology' ","'Black' ","'Direct Clearing' ",10
2007 ,"'C1 - Biology' ","'Mixed' ","'Firm choice' ",75
2007 ,"'C1 - Biology' ","'Mixed' ","'Insurance choice' ",10
2007 ,"'C1 - Biology' ","'Mixed' ","'Main scheme Clearing' ",15
2007 ,"'C1 - Biology' ","'White' ","'Firm choice' ",2635
