"Statistic:   Number of Acceptances"
"Variables:   Holds A Level Qualification , Holds BTEC Qualification , Holds SQA Qualification , Applicant Domicile (High Level) , Applicant Domicile (Region) , Sex , Age Band , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_035_05.pdf"
 
Cycle Year,Holds A Level Qualification , Holds BTEC Qualification , Holds SQA Qualification , Applicant Domicile (High Level) , Applicant Domicile (Region) , Sex , Age Band,Number of Acceptances,
2008 ,"'A level qualification identified' ","'BTEC qualification identified' ","'SQA qualification not identified' ","'England' ","'North East' ","'Men' ","'18' ",155
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'North East' ","'Men' ","'21 and over' ",290
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'North East' ","'Women' ","'17 and under' ",10
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'North East' ","'Women' ","'18' ",3740
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'North East' ","'Women' ","'19' ",950
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'North East' ","'Women' ","'20' ",270
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'North East' ","'Women' ","'21 and over' ",460
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'Yorkshire and The Humber' ","'Men' ","'17 and under' ",20
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'Yorkshire and The Humber' ","'Men' ","'18' ",5895
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'Yorkshire and The Humber' ","'Men' ","'19' ",1710
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'Yorkshire and The Humber' ","'Men' ","'20' ",405
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'Yorkshire and The Humber' ","'Men' ","'21 and over' ",720
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'Yorkshire and The Humber' ","'Women' ","'17 and under' ",25
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'Yorkshire and The Humber' ","'Women' ","'18' ",7810
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'Yorkshire and The Humber' ","'Women' ","'19' ",2100
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'Yorkshire and The Humber' ","'Women' ","'20' ",510
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'Yorkshire and The Humber' ","'Women' ","'21 and over' ",955
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'North West' ","'Men' ","'17 and under' ",40
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'North West' ","'Men' ","'18' ",8970
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'North West' ","'Men' ","'19' ",2225
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'North West' ","'Men' ","'20' ",565
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'North West' ","'Men' ","'21 and over' ",1010
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'North West' ","'Women' ","'17 and under' ",25
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'North West' ","'Women' ","'18' ",11720
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'North West' ","'Women' ","'19' ",2860
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'North West' ","'Women' ","'20' ",710
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'North West' ","'Women' ","'21 and over' ",1505
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'East Midlands' ","'Men' ","'17 and under' ",15
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'East Midlands' ","'Men' ","'18' ",5385
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'East Midlands' ","'Men' ","'19' ",1440
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'East Midlands' ","'Men' ","'20' ",370
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'East Midlands' ","'Men' ","'21 and over' ",595
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'East Midlands' ","'Women' ","'17 and under' ",25
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'East Midlands' ","'Women' ","'18' ",7005
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'East Midlands' ","'Women' ","'19' ",1940
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'East Midlands' ","'Women' ","'20' ",465
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'East Midlands' ","'Women' ","'21 and over' ",915
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'West Midlands' ","'Men' ","'17 and under' ",15
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'West Midlands' ","'Men' ","'18' ",6610
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'West Midlands' ","'Men' ","'19' ",1905
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'West Midlands' ","'Men' ","'20' ",450
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'West Midlands' ","'Men' ","'21 and over' ",700
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'West Midlands' ","'Women' ","'17 and under' ",30
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'West Midlands' ","'Women' ","'18' ",8500
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'West Midlands' ","'Women' ","'19' ",2455
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'West Midlands' ","'Women' ","'20' ",525
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'West Midlands' ","'Women' ","'21 and over' ",1020
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'East of England' ","'Men' ","'17 and under' ",40
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'East of England' ","'Men' ","'18' ",7585
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'East of England' ","'Men' ","'19' ",2080
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'East of England' ","'Men' ","'20' ",470
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'East of England' ","'Men' ","'21 and over' ",630
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'East of England' ","'Women' ","'17 and under' ",35
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'East of England' ","'Women' ","'18' ",9245
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'East of England' ","'Women' ","'19' ",2525
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'East of England' ","'Women' ","'20' ",580
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'East of England' ","'Women' ","'21 and over' ",950
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'London' ","'Men' ","'17 and under' ",75
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'London' ","'Men' ","'18' ",10280
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'London' ","'Men' ","'19' ",4095
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'London' ","'Men' ","'20' ",1045
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'London' ","'Men' ","'21 and over' ",1235
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'London' ","'Women' ","'17 and under' ",80
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'London' ","'Women' ","'18' ",13535
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'London' ","'Women' ","'19' ",4840
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'London' ","'Women' ","'20' ",1110
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'London' ","'Women' ","'21 and over' ",1755
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'South East' ","'Men' ","'17 and under' ",75
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'South East' ","'Men' ","'18' ",11655
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'South East' ","'Men' ","'19' ",3800
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'South East' ","'Men' ","'20' ",905
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'South East' ","'Men' ","'21 and over' ",1215
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'South East' ","'Women' ","'17 and under' ",95
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'South East' ","'Women' ","'18' ",14040
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'South East' ","'Women' ","'19' ",4550
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'South East' ","'Women' ","'20' ",1050
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'South East' ","'Women' ","'21 and over' ",1705
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'South West' ","'Men' ","'17 and under' ",60
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'South West' ","'Men' ","'18' ",5880
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'South West' ","'Men' ","'19' ",2125
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'South West' ","'Men' ","'20' ",570
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'South West' ","'Men' ","'21 and over' ",780
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'South West' ","'Women' ","'17 and under' ",50
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'South West' ","'Women' ","'18' ",7255
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'South West' ","'Women' ","'19' ",2770
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'South West' ","'Women' ","'20' ",715
2008 ,"'A level qualification identified' ","'BTEC qualification not identified' ","'SQA qualification not identified' ","'England' ","'South West' ","'Women' ","'21 and over' ",1205
