"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Age Band , Sex , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_020_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Age Band , Sex , Acceptance Route,Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'17 and under' ","'Men' ","'Firm choice' ",35
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Men' ","'RPA' ",25
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Women' ","'Firm choice' ",6865
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Women' ","'Insurance choice' ",655
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Women' ","'Other main scheme choice' ",70
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Women' ","'Extra' ",180
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Women' ","'Main scheme Clearing' ",955
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Women' ","'Direct Clearing' ",40
2007 ,"'Group B Subjects allied to Medicine' ","'18' ","'Women' ","'RPA' ",60
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Men' ","'Firm choice' ",800
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Men' ","'Insurance choice' ",125
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Men' ","'Other main scheme choice' ",30
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Men' ","'Extra' ",20
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Men' ","'Main scheme Clearing' ",155
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Men' ","'Direct Clearing' ",20
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Men' ","'RPA' ",40
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Women' ","'Firm choice' ",2255
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Women' ","'Insurance choice' ",165
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Women' ","'Other main scheme choice' ",90
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Women' ","'Extra' ",60
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Women' ","'Main scheme Clearing' ",340
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Women' ","'Direct Clearing' ",45
2007 ,"'Group B Subjects allied to Medicine' ","'19' ","'Women' ","'RPA' ",110
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Men' ","'Firm choice' ",290
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Men' ","'Insurance choice' ",25
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Men' ","'Other main scheme choice' ",20
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Men' ","'Extra' ",10
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Men' ","'Main scheme Clearing' ",45
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Men' ","'Direct Clearing' ",20
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Men' ","'RPA' ",40
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Women' ","'Firm choice' ",815
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Women' ","'Insurance choice' ",45
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Women' ","'Other main scheme choice' ",50
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Women' ","'Extra' ",20
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Women' ","'Main scheme Clearing' ",135
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Women' ","'Direct Clearing' ",35
2007 ,"'Group B Subjects allied to Medicine' ","'20' ","'Women' ","'RPA' ",80
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Men' ","'Firm choice' ",1455
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Men' ","'Insurance choice' ",30
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Men' ","'Other main scheme choice' ",215
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Men' ","'Extra' ",15
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Men' ","'Main scheme Clearing' ",170
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Men' ","'Direct Clearing' ",110
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Men' ","'RPA' ",260
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Women' ","'Firm choice' ",5285
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Women' ","'Insurance choice' ",70
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Women' ","'Other main scheme choice' ",540
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Women' ","'Extra' ",65
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Women' ","'Main scheme Clearing' ",530
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Women' ","'Direct Clearing' ",290
2007 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Women' ","'RPA' ",790
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Men' ","'Firm choice' ",75
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Men' ","'Insurance choice' ",10
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Men' ","'Other main scheme choice' ",5
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Men' ","'Main scheme Clearing' ",10
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Men' ","'Direct Clearing' ",5
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Men' ","'RPA' ",10
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Women' ","'Firm choice' ",180
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Women' ","'Insurance choice' ",25
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Women' ","'Other main scheme choice' ",5
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Women' ","'Extra' ",5
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Women' ","'Main scheme Clearing' ",15
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Women' ","'Direct Clearing' ",10
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Women' ","'RPA' ",25
2007 ,"'Group C Biological Sciences' ","'18' ","'Men' ","'Firm choice' ",5540
2007 ,"'Group C Biological Sciences' ","'18' ","'Men' ","'Insurance choice' ",760
2007 ,"'Group C Biological Sciences' ","'18' ","'Men' ","'Other main scheme choice' ",60
2007 ,"'Group C Biological Sciences' ","'18' ","'Men' ","'Extra' ",70
2007 ,"'Group C Biological Sciences' ","'18' ","'Men' ","'Main scheme Clearing' ",550
2007 ,"'Group C Biological Sciences' ","'18' ","'Men' ","'Direct Clearing' ",50
2007 ,"'Group C Biological Sciences' ","'18' ","'Men' ","'RPA' ",110
2007 ,"'Group C Biological Sciences' ","'18' ","'Women' ","'Firm choice' ",9625
2007 ,"'Group C Biological Sciences' ","'18' ","'Women' ","'Insurance choice' ",1180
2007 ,"'Group C Biological Sciences' ","'18' ","'Women' ","'Other main scheme choice' ",55
2007 ,"'Group C Biological Sciences' ","'18' ","'Women' ","'Extra' ",125
2007 ,"'Group C Biological Sciences' ","'18' ","'Women' ","'Main scheme Clearing' ",975
2007 ,"'Group C Biological Sciences' ","'18' ","'Women' ","'Direct Clearing' ",30
2007 ,"'Group C Biological Sciences' ","'18' ","'Women' ","'RPA' ",95
2007 ,"'Group C Biological Sciences' ","'19' ","'Men' ","'Firm choice' ",1865
2007 ,"'Group C Biological Sciences' ","'19' ","'Men' ","'Insurance choice' ",140
2007 ,"'Group C Biological Sciences' ","'19' ","'Men' ","'Other main scheme choice' ",85
2007 ,"'Group C Biological Sciences' ","'19' ","'Men' ","'Extra' ",35
2007 ,"'Group C Biological Sciences' ","'19' ","'Men' ","'Main scheme Clearing' ",195
2007 ,"'Group C Biological Sciences' ","'19' ","'Men' ","'Direct Clearing' ",70
2007 ,"'Group C Biological Sciences' ","'19' ","'Men' ","'RPA' ",130
2007 ,"'Group C Biological Sciences' ","'19' ","'Women' ","'Firm choice' ",2415
2007 ,"'Group C Biological Sciences' ","'19' ","'Women' ","'Insurance choice' ",165
2007 ,"'Group C Biological Sciences' ","'19' ","'Women' ","'Other main scheme choice' ",95
2007 ,"'Group C Biological Sciences' ","'19' ","'Women' ","'Extra' ",55
2007 ,"'Group C Biological Sciences' ","'19' ","'Women' ","'Main scheme Clearing' ",285
2007 ,"'Group C Biological Sciences' ","'19' ","'Women' ","'Direct Clearing' ",60
2007 ,"'Group C Biological Sciences' ","'19' ","'Women' ","'RPA' ",125
2007 ,"'Group C Biological Sciences' ","'20' ","'Men' ","'Firm choice' ",600
2007 ,"'Group C Biological Sciences' ","'20' ","'Men' ","'Insurance choice' ",20
2007 ,"'Group C Biological Sciences' ","'20' ","'Men' ","'Other main scheme choice' ",70
2007 ,"'Group C Biological Sciences' ","'20' ","'Men' ","'Extra' ",10
2007 ,"'Group C Biological Sciences' ","'20' ","'Men' ","'Main scheme Clearing' ",75
2007 ,"'Group C Biological Sciences' ","'20' ","'Men' ","'Direct Clearing' ",45
2007 ,"'Group C Biological Sciences' ","'20' ","'Men' ","'RPA' ",95
2007 ,"'Group C Biological Sciences' ","'20' ","'Women' ","'Firm choice' ",715
2007 ,"'Group C Biological Sciences' ","'20' ","'Women' ","'Insurance choice' ",35
2007 ,"'Group C Biological Sciences' ","'20' ","'Women' ","'Other main scheme choice' ",70
2007 ,"'Group C Biological Sciences' ","'20' ","'Women' ","'Extra' ",25
2007 ,"'Group C Biological Sciences' ","'20' ","'Women' ","'Main scheme Clearing' ",80
2007 ,"'Group C Biological Sciences' ","'20' ","'Women' ","'Direct Clearing' ",40
2007 ,"'Group C Biological Sciences' ","'20' ","'Women' ","'RPA' ",90
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Men' ","'Firm choice' ",1175
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Men' ","'Insurance choice' ",40
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Men' ","'Other main scheme choice' ",190
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Men' ","'Extra' ",10
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Men' ","'Main scheme Clearing' ",105
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Men' ","'Direct Clearing' ",130
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Men' ","'RPA' ",355
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Women' ","'Firm choice' ",1750
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Women' ","'Insurance choice' ",40
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Women' ","'Other main scheme choice' ",305
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Women' ","'Extra' ",40
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Women' ","'Main scheme Clearing' ",170
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Women' ","'Direct Clearing' ",150
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Women' ","'RPA' ",440
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'Men' ","'Firm choice' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'Women' ","'Firm choice' ",30
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'Women' ","'Insurance choice' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'Women' ","'Other main scheme choice' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'Women' ","'RPA' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Men' ","'Firm choice' ",450
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Men' ","'Insurance choice' ",30
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Men' ","'Other main scheme choice' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Men' ","'Extra' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Men' ","'Main scheme Clearing' ",30
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Men' ","'Direct Clearing' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Men' ","'RPA' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Women' ","'Firm choice' ",1245
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Women' ","'Insurance choice' ",70
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Women' ","'Other main scheme choice' ",30
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Women' ","'Extra' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Women' ","'Main scheme Clearing' ",80
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Women' ","'Direct Clearing' ",35
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Women' ","'RPA' ",30
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Men' ","'Firm choice' ",130
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Men' ","'Insurance choice' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Men' ","'Other main scheme choice' ",20
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Men' ","'Main scheme Clearing' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Men' ","'Direct Clearing' ",20
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Men' ","'RPA' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Women' ","'Firm choice' ",360
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Women' ","'Insurance choice' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Women' ","'Other main scheme choice' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Women' ","'Extra' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Women' ","'Main scheme Clearing' ",20
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Women' ","'Direct Clearing' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Women' ","'RPA' ",25
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Men' ","'Firm choice' ",75
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Men' ","'Other main scheme choice' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Men' ","'Direct Clearing' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Men' ","'RPA' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Women' ","'Firm choice' ",135
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Women' ","'Insurance choice' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Women' ","'Other main scheme choice' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Women' ","'Main scheme Clearing' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Women' ","'Direct Clearing' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Women' ","'RPA' ",20
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Men' ","'Firm choice' ",225
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Men' ","'Insurance choice' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Men' ","'Other main scheme choice' ",55
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Men' ","'Main scheme Clearing' ",20
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Men' ","'Direct Clearing' ",55
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Men' ","'RPA' ",90
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Women' ","'Firm choice' ",455
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Women' ","'Insurance choice' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Women' ","'Other main scheme choice' ",65
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Women' ","'Main scheme Clearing' ",25
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Women' ","'Direct Clearing' ",65
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Women' ","'RPA' ",160
2007 ,"'Group F Physical Sciences' ","'17 and under' ","'Men' ","'Firm choice' ",95
2007 ,"'Group F Physical Sciences' ","'17 and under' ","'Men' ","'Insurance choice' ",15
2007 ,"'Group F Physical Sciences' ","'17 and under' ","'Men' ","'Other main scheme choice' ",5
2007 ,"'Group F Physical Sciences' ","'17 and under' ","'Men' ","'Main scheme Clearing' ",5
2007 ,"'Group F Physical Sciences' ","'17 and under' ","'Men' ","'RPA' ",5
2007 ,"'Group F Physical Sciences' ","'17 and under' ","'Women' ","'Firm choice' ",70
2007 ,"'Group F Physical Sciences' ","'17 and under' ","'Women' ","'Insurance choice' ",5
2007 ,"'Group F Physical Sciences' ","'17 and under' ","'Women' ","'Other main scheme choice' ",10
2007 ,"'Group F Physical Sciences' ","'17 and under' ","'Women' ","'Main scheme Clearing' ",5
2007 ,"'Group F Physical Sciences' ","'17 and under' ","'Women' ","'Direct Clearing' ",5
2007 ,"'Group F Physical Sciences' ","'17 and under' ","'Women' ","'RPA' ",15
2007 ,"'Group F Physical Sciences' ","'18' ","'Men' ","'Firm choice' ",5270
2007 ,"'Group F Physical Sciences' ","'18' ","'Men' ","'Insurance choice' ",660
2007 ,"'Group F Physical Sciences' ","'18' ","'Men' ","'Other main scheme choice' ",25
2007 ,"'Group F Physical Sciences' ","'18' ","'Men' ","'Extra' ",25
2007 ,"'Group F Physical Sciences' ","'18' ","'Men' ","'Main scheme Clearing' ",380
2007 ,"'Group F Physical Sciences' ","'18' ","'Men' ","'Direct Clearing' ",25
2007 ,"'Group F Physical Sciences' ","'18' ","'Men' ","'RPA' ",40
2007 ,"'Group F Physical Sciences' ","'18' ","'Women' ","'Firm choice' ",3430
2007 ,"'Group F Physical Sciences' ","'18' ","'Women' ","'Insurance choice' ",350
2007 ,"'Group F Physical Sciences' ","'18' ","'Women' ","'Other main scheme choice' ",15
2007 ,"'Group F Physical Sciences' ","'18' ","'Women' ","'Extra' ",30
2007 ,"'Group F Physical Sciences' ","'18' ","'Women' ","'Main scheme Clearing' ",290
2007 ,"'Group F Physical Sciences' ","'18' ","'Women' ","'Direct Clearing' ",10
2007 ,"'Group F Physical Sciences' ","'18' ","'Women' ","'RPA' ",20
2007 ,"'Group F Physical Sciences' ","'19' ","'Men' ","'Firm choice' ",1010
2007 ,"'Group F Physical Sciences' ","'19' ","'Men' ","'Insurance choice' ",80
2007 ,"'Group F Physical Sciences' ","'19' ","'Men' ","'Other main scheme choice' ",50
2007 ,"'Group F Physical Sciences' ","'19' ","'Men' ","'Extra' ",10
2007 ,"'Group F Physical Sciences' ","'19' ","'Men' ","'Main scheme Clearing' ",105
2007 ,"'Group F Physical Sciences' ","'19' ","'Men' ","'Direct Clearing' ",40
2007 ,"'Group F Physical Sciences' ","'19' ","'Men' ","'RPA' ",60
2007 ,"'Group F Physical Sciences' ","'19' ","'Women' ","'Firm choice' ",670
2007 ,"'Group F Physical Sciences' ","'19' ","'Women' ","'Insurance choice' ",35
2007 ,"'Group F Physical Sciences' ","'19' ","'Women' ","'Other main scheme choice' ",30
2007 ,"'Group F Physical Sciences' ","'19' ","'Women' ","'Extra' ",10
2007 ,"'Group F Physical Sciences' ","'19' ","'Women' ","'Main scheme Clearing' ",65
2007 ,"'Group F Physical Sciences' ","'19' ","'Women' ","'Direct Clearing' ",10
2007 ,"'Group F Physical Sciences' ","'19' ","'Women' ","'RPA' ",40
2007 ,"'Group F Physical Sciences' ","'20' ","'Men' ","'Firm choice' ",270
2007 ,"'Group F Physical Sciences' ","'20' ","'Men' ","'Insurance choice' ",10
2007 ,"'Group F Physical Sciences' ","'20' ","'Men' ","'Other main scheme choice' ",25
2007 ,"'Group F Physical Sciences' ","'20' ","'Men' ","'Main scheme Clearing' ",25
2007 ,"'Group F Physical Sciences' ","'20' ","'Men' ","'Direct Clearing' ",25
2007 ,"'Group F Physical Sciences' ","'20' ","'Men' ","'RPA' ",40
2007 ,"'Group F Physical Sciences' ","'20' ","'Women' ","'Firm choice' ",205
2007 ,"'Group F Physical Sciences' ","'20' ","'Women' ","'Insurance choice' ",10
2007 ,"'Group F Physical Sciences' ","'20' ","'Women' ","'Other main scheme choice' ",15
2007 ,"'Group F Physical Sciences' ","'20' ","'Women' ","'Extra' ",5
2007 ,"'Group F Physical Sciences' ","'20' ","'Women' ","'Main scheme Clearing' ",25
2007 ,"'Group F Physical Sciences' ","'20' ","'Women' ","'Direct Clearing' ",15
2007 ,"'Group F Physical Sciences' ","'20' ","'Women' ","'RPA' ",30
2007 ,"'Group F Physical Sciences' ","'21 and over' ","'Men' ","'Firm choice' ",545
2007 ,"'Group F Physical Sciences' ","'21 and over' ","'Men' ","'Insurance choice' ",15
2007 ,"'Group F Physical Sciences' ","'21 and over' ","'Men' ","'Other main scheme choice' ",105
