"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Disability Indicator , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_029_07.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Disability Indicator , Acceptance Route,Number of Acceptances,
2010 ,"'A1 - Pre-clinical Medicine' ","'Disability declared' ","'Firm choice' ",295
2010 ,"'B3 - Complementary Medicine' ","'No disability declared' ","'Main scheme Clearing' ",65
2010 ,"'B3 - Complementary Medicine' ","'No disability declared' ","'Direct Clearing' ",35
2010 ,"'B3 - Complementary Medicine' ","'No disability declared' ","'RPA' ",120
2010 ,"'B4 - Nutrition' ","'Disability declared' ","'Firm choice' ",50
2010 ,"'B4 - Nutrition' ","'Disability declared' ","'Main scheme Clearing' ",5
2010 ,"'B4 - Nutrition' ","'No disability declared' ","'Firm choice' ",680
2010 ,"'B4 - Nutrition' ","'No disability declared' ","'Insurance choice' ",50
2010 ,"'B4 - Nutrition' ","'No disability declared' ","'Other main scheme choice' ",20
2010 ,"'B4 - Nutrition' ","'No disability declared' ","'Extra' ",15
2010 ,"'B4 - Nutrition' ","'No disability declared' ","'Main scheme Clearing' ",65
2010 ,"'B4 - Nutrition' ","'No disability declared' ","'Direct Clearing' ",10
2010 ,"'B4 - Nutrition' ","'No disability declared' ","'RPA' ",20
2010 ,"'B5 - Ophthalmics' ","'Disability declared' ","'Firm choice' ",10
2010 ,"'B5 - Ophthalmics' ","'Disability declared' ","'Insurance choice' ",5
2010 ,"'B5 - Ophthalmics' ","'Disability declared' ","'Main scheme Clearing' ",5
2010 ,"'B5 - Ophthalmics' ","'No disability declared' ","'Firm choice' ",485
2010 ,"'B5 - Ophthalmics' ","'No disability declared' ","'Insurance choice' ",70
2010 ,"'B5 - Ophthalmics' ","'No disability declared' ","'Other main scheme choice' ",10
2010 ,"'B5 - Ophthalmics' ","'No disability declared' ","'Extra' ",35
2010 ,"'B5 - Ophthalmics' ","'No disability declared' ","'Main scheme Clearing' ",75
2010 ,"'B5 - Ophthalmics' ","'No disability declared' ","'Direct Clearing' ",10
2010 ,"'B6 - Aural and Oral Sciences' ","'Disability declared' ","'Firm choice' ",40
2010 ,"'B6 - Aural and Oral Sciences' ","'Disability declared' ","'Other main scheme choice' ",5
2010 ,"'B6 - Aural and Oral Sciences' ","'No disability declared' ","'Firm choice' ",640
2010 ,"'B6 - Aural and Oral Sciences' ","'No disability declared' ","'Insurance choice' ",45
2010 ,"'B6 - Aural and Oral Sciences' ","'No disability declared' ","'Other main scheme choice' ",5
2010 ,"'B6 - Aural and Oral Sciences' ","'No disability declared' ","'Extra' ",5
2010 ,"'B6 - Aural and Oral Sciences' ","'No disability declared' ","'Main scheme Clearing' ",45
2010 ,"'B6 - Aural and Oral Sciences' ","'No disability declared' ","'Direct Clearing' ",10
2010 ,"'B6 - Aural and Oral Sciences' ","'No disability declared' ","'RPA' ",5
2010 ,"'B7 - Nursing' ","'Disability declared' ","'Firm choice' ",1280
2010 ,"'B7 - Nursing' ","'Disability declared' ","'Insurance choice' ",20
2010 ,"'B7 - Nursing' ","'Disability declared' ","'Other main scheme choice' ",65
2010 ,"'B7 - Nursing' ","'Disability declared' ","'Extra' ",20
2010 ,"'B7 - Nursing' ","'Disability declared' ","'Main scheme Clearing' ",75
2010 ,"'B7 - Nursing' ","'Disability declared' ","'Direct Clearing' ",20
2010 ,"'B7 - Nursing' ","'Disability declared' ","'RPA' ",25
2010 ,"'B7 - Nursing' ","'No disability declared' ","'Firm choice' ",21220
2010 ,"'B7 - Nursing' ","'No disability declared' ","'Insurance choice' ",345
2010 ,"'B7 - Nursing' ","'No disability declared' ","'Other main scheme choice' ",1030
2010 ,"'B7 - Nursing' ","'No disability declared' ","'Extra' ",340
2010 ,"'B7 - Nursing' ","'No disability declared' ","'Main scheme Clearing' ",995
2010 ,"'B7 - Nursing' ","'No disability declared' ","'Direct Clearing' ",155
2010 ,"'B7 - Nursing' ","'No disability declared' ","'RPA' ",390
2010 ,"'B8 - Medical Technology' ","'Disability declared' ","'Firm choice' ",75
2010 ,"'B8 - Medical Technology' ","'Disability declared' ","'Insurance choice' ",5
2010 ,"'B8 - Medical Technology' ","'Disability declared' ","'Main scheme Clearing' ",5
2010 ,"'B8 - Medical Technology' ","'No disability declared' ","'Firm choice' ",1400
2010 ,"'B8 - Medical Technology' ","'No disability declared' ","'Insurance choice' ",90
2010 ,"'B8 - Medical Technology' ","'No disability declared' ","'Other main scheme choice' ",35
2010 ,"'B8 - Medical Technology' ","'No disability declared' ","'Extra' ",20
2010 ,"'B8 - Medical Technology' ","'No disability declared' ","'Main scheme Clearing' ",115
2010 ,"'B8 - Medical Technology' ","'No disability declared' ","'Direct Clearing' ",15
2010 ,"'B8 - Medical Technology' ","'No disability declared' ","'RPA' ",10
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'Disability declared' ","'Firm choice' ",420
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'Disability declared' ","'Insurance choice' ",35
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'Disability declared' ","'Other main scheme choice' ",30
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'Disability declared' ","'Extra' ",5
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'Disability declared' ","'Main scheme Clearing' ",55
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'Disability declared' ","'Direct Clearing' ",10
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'Disability declared' ","'RPA' ",15
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'No disability declared' ","'Firm choice' ",5365
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'No disability declared' ","'Insurance choice' ",665
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'No disability declared' ","'Other main scheme choice' ",265
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'No disability declared' ","'Extra' ",215
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'No disability declared' ","'Adjustment' ",5
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'No disability declared' ","'Main scheme Clearing' ",970
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'No disability declared' ","'Direct Clearing' ",130
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'No disability declared' ","'RPA' ",250
2010 ,"'BB - Combinations within Subjects allied to Medicine' ","'No disability declared' ","'Firm choice' ",110
2010 ,"'BB - Combinations within Subjects allied to Medicine' ","'No disability declared' ","'Insurance choice' ",10
2010 ,"'BB - Combinations within Subjects allied to Medicine' ","'No disability declared' ","'Other main scheme choice' ",5
2010 ,"'BB - Combinations within Subjects allied to Medicine' ","'No disability declared' ","'Extra' ",5
2010 ,"'BB - Combinations within Subjects allied to Medicine' ","'No disability declared' ","'Main scheme Clearing' ",65
2010 ,"'BB - Combinations within Subjects allied to Medicine' ","'No disability declared' ","'Direct Clearing' ",5
2010 ,"'BB - Combinations within Subjects allied to Medicine' ","'No disability declared' ","'RPA' ",10
2010 ,"'C0 - Biological Sciences: any area of study' ","'No disability declared' ","'Firm choice' ",5
2010 ,"'C1 - Biology' ","'Disability declared' ","'Firm choice' ",230
2010 ,"'C1 - Biology' ","'Disability declared' ","'Insurance choice' ",35
2010 ,"'C1 - Biology' ","'Disability declared' ","'Other main scheme choice' ",5
2010 ,"'C1 - Biology' ","'Disability declared' ","'Extra' ",5
2010 ,"'C1 - Biology' ","'Disability declared' ","'Main scheme Clearing' ",25
2010 ,"'C1 - Biology' ","'Disability declared' ","'Direct Clearing' ",5
2010 ,"'C1 - Biology' ","'No disability declared' ","'Firm choice' ",3110
2010 ,"'C1 - Biology' ","'No disability declared' ","'Insurance choice' ",550
2010 ,"'C1 - Biology' ","'No disability declared' ","'Other main scheme choice' ",45
2010 ,"'C1 - Biology' ","'No disability declared' ","'Extra' ",55
2010 ,"'C1 - Biology' ","'No disability declared' ","'Adjustment' ",5
2010 ,"'C1 - Biology' ","'No disability declared' ","'Main scheme Clearing' ",355
2010 ,"'C1 - Biology' ","'No disability declared' ","'Direct Clearing' ",40
2010 ,"'C1 - Biology' ","'No disability declared' ","'RPA' ",30
2010 ,"'C2 - Botany' ","'Disability declared' ","'Firm choice' ",5
2010 ,"'C2 - Botany' ","'No disability declared' ","'Firm choice' ",10
2010 ,"'C3 - Zoology' ","'Disability declared' ","'Firm choice' ",110
2010 ,"'C3 - Zoology' ","'Disability declared' ","'Insurance choice' ",10
2010 ,"'C3 - Zoology' ","'Disability declared' ","'Main scheme Clearing' ",10
2010 ,"'C3 - Zoology' ","'No disability declared' ","'Firm choice' ",1195
2010 ,"'C3 - Zoology' ","'No disability declared' ","'Insurance choice' ",140
2010 ,"'C3 - Zoology' ","'No disability declared' ","'Other main scheme choice' ",10
2010 ,"'C3 - Zoology' ","'No disability declared' ","'Extra' ",15
2010 ,"'C3 - Zoology' ","'No disability declared' ","'Main scheme Clearing' ",85
2010 ,"'C3 - Zoology' ","'No disability declared' ","'Direct Clearing' ",5
2010 ,"'C3 - Zoology' ","'No disability declared' ","'RPA' ",15
2010 ,"'C4 - Genetics' ","'Disability declared' ","'Firm choice' ",15
2010 ,"'C4 - Genetics' ","'No disability declared' ","'Firm choice' ",190
2010 ,"'C4 - Genetics' ","'No disability declared' ","'Insurance choice' ",30
2010 ,"'C4 - Genetics' ","'No disability declared' ","'Extra' ",5
2010 ,"'C4 - Genetics' ","'No disability declared' ","'Main scheme Clearing' ",50
2010 ,"'C4 - Genetics' ","'No disability declared' ","'Direct Clearing' ",5
2010 ,"'C5 - Microbiology' ","'Disability declared' ","'Firm choice' ",10
2010 ,"'C5 - Microbiology' ","'Disability declared' ","'Main scheme Clearing' ",5
2010 ,"'C5 - Microbiology' ","'No disability declared' ","'Firm choice' ",195
2010 ,"'C5 - Microbiology' ","'No disability declared' ","'Insurance choice' ",30
2010 ,"'C5 - Microbiology' ","'No disability declared' ","'Extra' ",5
2010 ,"'C5 - Microbiology' ","'No disability declared' ","'Main scheme Clearing' ",25
2010 ,"'C5 - Microbiology' ","'No disability declared' ","'Direct Clearing' ",5
2010 ,"'C5 - Microbiology' ","'No disability declared' ","'RPA' ",5
2010 ,"'C6 - Sport and Exercise Science' ","'Disability declared' ","'Firm choice' ",410
2010 ,"'C6 - Sport and Exercise Science' ","'Disability declared' ","'Insurance choice' ",40
2010 ,"'C6 - Sport and Exercise Science' ","'Disability declared' ","'Other main scheme choice' ",15
2010 ,"'C6 - Sport and Exercise Science' ","'Disability declared' ","'Extra' ",5
2010 ,"'C6 - Sport and Exercise Science' ","'Disability declared' ","'Main scheme Clearing' ",35
2010 ,"'C6 - Sport and Exercise Science' ","'Disability declared' ","'Direct Clearing' ",5
2010 ,"'C6 - Sport and Exercise Science' ","'Disability declared' ","'RPA' ",15
2010 ,"'C6 - Sport and Exercise Science' ","'No disability declared' ","'Firm choice' ",7735
2010 ,"'C6 - Sport and Exercise Science' ","'No disability declared' ","'Insurance choice' ",925
2010 ,"'C6 - Sport and Exercise Science' ","'No disability declared' ","'Other main scheme choice' ",190
2010 ,"'C6 - Sport and Exercise Science' ","'No disability declared' ","'Extra' ",180
2010 ,"'C6 - Sport and Exercise Science' ","'No disability declared' ","'Main scheme Clearing' ",680
2010 ,"'C6 - Sport and Exercise Science' ","'No disability declared' ","'Direct Clearing' ",135
2010 ,"'C6 - Sport and Exercise Science' ","'No disability declared' ","'RPA' ",225
2010 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Disability declared' ","'Firm choice' ",95
2010 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Disability declared' ","'Insurance choice' ",10
2010 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Disability declared' ","'Other main scheme choice' ",5
2010 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Disability declared' ","'Main scheme Clearing' ",15
2010 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'No disability declared' ","'Firm choice' ",1365
2010 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'No disability declared' ","'Insurance choice' ",245
2010 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'No disability declared' ","'Other main scheme choice' ",25
2010 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'No disability declared' ","'Extra' ",45
2010 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'No disability declared' ","'Main scheme Clearing' ",200
2010 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'No disability declared' ","'Direct Clearing' ",15
2010 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'No disability declared' ","'RPA' ",25
2010 ,"'C8 - Psychology' ","'Disability declared' ","'Firm choice' ",725
2010 ,"'C8 - Psychology' ","'Disability declared' ","'Insurance choice' ",95
2010 ,"'C8 - Psychology' ","'Disability declared' ","'Other main scheme choice' ",20
2010 ,"'C8 - Psychology' ","'Disability declared' ","'Extra' ",5
2010 ,"'C8 - Psychology' ","'Disability declared' ","'Main scheme Clearing' ",75
2010 ,"'C8 - Psychology' ","'Disability declared' ","'Direct Clearing' ",15
2010 ,"'C8 - Psychology' ","'Disability declared' ","'RPA' ",30
2010 ,"'C8 - Psychology' ","'No disability declared' ","'Firm choice' ",10010
2010 ,"'C8 - Psychology' ","'No disability declared' ","'Insurance choice' ",1605
2010 ,"'C8 - Psychology' ","'No disability declared' ","'Other main scheme choice' ",165
2010 ,"'C8 - Psychology' ","'No disability declared' ","'Extra' ",190
2010 ,"'C8 - Psychology' ","'No disability declared' ","'Adjustment' ",10
2010 ,"'C8 - Psychology' ","'No disability declared' ","'Main scheme Clearing' ",1270
2010 ,"'C8 - Psychology' ","'No disability declared' ","'Direct Clearing' ",145
2010 ,"'C8 - Psychology' ","'No disability declared' ","'RPA' ",240
2010 ,"'C9 - Others in Biological Sciences' ","'Disability declared' ","'Firm choice' ",35
2010 ,"'C9 - Others in Biological Sciences' ","'Disability declared' ","'Insurance choice' ",10
2010 ,"'C9 - Others in Biological Sciences' ","'Disability declared' ","'Main scheme Clearing' ",10
2010 ,"'C9 - Others in Biological Sciences' ","'No disability declared' ","'Firm choice' ",565
2010 ,"'C9 - Others in Biological Sciences' ","'No disability declared' ","'Insurance choice' ",120
2010 ,"'C9 - Others in Biological Sciences' ","'No disability declared' ","'Other main scheme choice' ",20
2010 ,"'C9 - Others in Biological Sciences' ","'No disability declared' ","'Extra' ",35
2010 ,"'C9 - Others in Biological Sciences' ","'No disability declared' ","'Main scheme Clearing' ",270
2010 ,"'C9 - Others in Biological Sciences' ","'No disability declared' ","'Direct Clearing' ",25
2010 ,"'C9 - Others in Biological Sciences' ","'No disability declared' ","'RPA' ",15
2010 ,"'CC - Combinations within Biological Sciences' ","'Disability declared' ","'Firm choice' ",20
2010 ,"'CC - Combinations within Biological Sciences' ","'Disability declared' ","'Insurance choice' ",10
2010 ,"'CC - Combinations within Biological Sciences' ","'Disability declared' ","'Main scheme Clearing' ",5
2010 ,"'CC - Combinations within Biological Sciences' ","'No disability declared' ","'Firm choice' ",345
2010 ,"'CC - Combinations within Biological Sciences' ","'No disability declared' ","'Insurance choice' ",50
2010 ,"'CC - Combinations within Biological Sciences' ","'No disability declared' ","'Other main scheme choice' ",10
2010 ,"'CC - Combinations within Biological Sciences' ","'No disability declared' ","'Extra' ",10
2010 ,"'CC - Combinations within Biological Sciences' ","'No disability declared' ","'Main scheme Clearing' ",75
2010 ,"'CC - Combinations within Biological Sciences' ","'No disability declared' ","'Direct Clearing' ",5
2010 ,"'CC - Combinations within Biological Sciences' ","'No disability declared' ","'RPA' ",10
2010 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Disability declared' ","'Firm choice' ",40
2010 ,"'D1 - Pre-clinical Veterinary Medicine' ","'No disability declared' ","'Firm choice' ",690
2010 ,"'D1 - Pre-clinical Veterinary Medicine' ","'No disability declared' ","'Insurance choice' ",5
2010 ,"'D1 - Pre-clinical Veterinary Medicine' ","'No disability declared' ","'Main scheme Clearing' ",35
2010 ,"'D3 - Animal Science' ","'Disability declared' ","'Firm choice' ",120
2010 ,"'D3 - Animal Science' ","'Disability declared' ","'Insurance choice' ",10
2010 ,"'D3 - Animal Science' ","'Disability declared' ","'Other main scheme choice' ",10
2010 ,"'D3 - Animal Science' ","'Disability declared' ","'Extra' ",5
2010 ,"'D3 - Animal Science' ","'Disability declared' ","'Main scheme Clearing' ",10
2010 ,"'D3 - Animal Science' ","'Disability declared' ","'Direct Clearing' ",5
2010 ,"'D3 - Animal Science' ","'Disability declared' ","'RPA' ",10
2010 ,"'D3 - Animal Science' ","'No disability declared' ","'Firm choice' ",1360
2010 ,"'D3 - Animal Science' ","'No disability declared' ","'Insurance choice' ",85
2010 ,"'D3 - Animal Science' ","'No disability declared' ","'Other main scheme choice' ",55
2010 ,"'D3 - Animal Science' ","'No disability declared' ","'Extra' ",25
2010 ,"'D3 - Animal Science' ","'No disability declared' ","'Main scheme Clearing' ",115
2010 ,"'D3 - Animal Science' ","'No disability declared' ","'Direct Clearing' ",45
2010 ,"'D3 - Animal Science' ","'No disability declared' ","'RPA' ",95
2010 ,"'D4 - Agriculture' ","'Disability declared' ","'Firm choice' ",155
2010 ,"'D4 - Agriculture' ","'Disability declared' ","'Insurance choice' ",10
2010 ,"'D4 - Agriculture' ","'Disability declared' ","'Other main scheme choice' ",15
2010 ,"'D4 - Agriculture' ","'Disability declared' ","'Main scheme Clearing' ",15
2010 ,"'D4 - Agriculture' ","'Disability declared' ","'Direct Clearing' ",10
2010 ,"'D4 - Agriculture' ","'Disability declared' ","'RPA' ",15
2010 ,"'D4 - Agriculture' ","'No disability declared' ","'Firm choice' ",1110
2010 ,"'D4 - Agriculture' ","'No disability declared' ","'Insurance choice' ",55
2010 ,"'D4 - Agriculture' ","'No disability declared' ","'Other main scheme choice' ",90
2010 ,"'D4 - Agriculture' ","'No disability declared' ","'Extra' ",20
2010 ,"'D4 - Agriculture' ","'No disability declared' ","'Main scheme Clearing' ",100
2010 ,"'D4 - Agriculture' ","'No disability declared' ","'Direct Clearing' ",75
2010 ,"'D4 - Agriculture' ","'No disability declared' ","'RPA' ",105
2010 ,"'D5 - Forestry & arboriculture' ","'Disability declared' ","'Firm choice' ",5
2010 ,"'D5 - Forestry & arboriculture' ","'Disability declared' ","'RPA' ",5
2010 ,"'D5 - Forestry & arboriculture' ","'No disability declared' ","'Firm choice' ",80
2010 ,"'D5 - Forestry & arboriculture' ","'No disability declared' ","'Other main scheme choice' ",10
2010 ,"'D5 - Forestry & arboriculture' ","'No disability declared' ","'Main scheme Clearing' ",5
2010 ,"'D5 - Forestry & arboriculture' ","'No disability declared' ","'Direct Clearing' ",5
2010 ,"'D5 - Forestry & arboriculture' ","'No disability declared' ","'RPA' ",35
2010 ,"'D6 - Food and Beverage studies' ","'Disability declared' ","'Firm choice' ",20
2010 ,"'D6 - Food and Beverage studies' ","'Disability declared' ","'Other main scheme choice' ",5
2010 ,"'D6 - Food and Beverage studies' ","'Disability declared' ","'Main scheme Clearing' ",5
2010 ,"'D6 - Food and Beverage studies' ","'No disability declared' ","'Firm choice' ",225
2010 ,"'D6 - Food and Beverage studies' ","'No disability declared' ","'Insurance choice' ",10
2010 ,"'D6 - Food and Beverage studies' ","'No disability declared' ","'Other main scheme choice' ",20
2010 ,"'D6 - Food and Beverage studies' ","'No disability declared' ","'Extra' ",5
2010 ,"'D6 - Food and Beverage studies' ","'No disability declared' ","'Main scheme Clearing' ",20
2010 ,"'D6 - Food and Beverage studies' ","'No disability declared' ","'Direct Clearing' ",15
2010 ,"'D6 - Food and Beverage studies' ","'No disability declared' ","'RPA' ",5
2010 ,"'D7 - Agricultural Sciences' ","'No disability declared' ","'Firm choice' ",65
2010 ,"'D7 - Agricultural Sciences' ","'No disability declared' ","'Insurance choice' ",5
2010 ,"'D7 - Agricultural Sciences' ","'No disability declared' ","'Main scheme Clearing' ",10
2010 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'No disability declared' ","'Firm choice' ",25
2010 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'Disability declared' ","'Firm choice' ",5
2010 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'No disability declared' ","'Firm choice' ",90
2010 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'No disability declared' ","'Insurance choice' ",5
2010 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'No disability declared' ","'Other main scheme choice' ",5
2010 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'No disability declared' ","'Extra' ",5
2010 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'No disability declared' ","'Main scheme Clearing' ",10
2010 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'No disability declared' ","'Direct Clearing' ",10
2010 ,"'F0 - Physical Sciences: any area of study' ","'No disability declared' ","'Firm choice' ",35
2010 ,"'F0 - Physical Sciences: any area of study' ","'No disability declared' ","'Direct Clearing' ",5
2010 ,"'F1 - Chemistry' ","'Disability declared' ","'Firm choice' ",160
2010 ,"'F1 - Chemistry' ","'Disability declared' ","'Insurance choice' ",30
2010 ,"'F1 - Chemistry' ","'Disability declared' ","'Other main scheme choice' ",5
2010 ,"'F1 - Chemistry' ","'Disability declared' ","'Extra' ",5
2010 ,"'F1 - Chemistry' ","'Disability declared' ","'Main scheme Clearing' ",20
2010 ,"'F1 - Chemistry' ","'Disability declared' ","'RPA' ",5
2010 ,"'F1 - Chemistry' ","'No disability declared' ","'Firm choice' ",2690
2010 ,"'F1 - Chemistry' ","'No disability declared' ","'Insurance choice' ",415
2010 ,"'F1 - Chemistry' ","'No disability declared' ","'Other main scheme choice' ",30
2010 ,"'F1 - Chemistry' ","'No disability declared' ","'Extra' ",45
2010 ,"'F1 - Chemistry' ","'No disability declared' ","'Adjustment' ",5
2010 ,"'F1 - Chemistry' ","'No disability declared' ","'Main scheme Clearing' ",425
2010 ,"'F1 - Chemistry' ","'No disability declared' ","'Direct Clearing' ",40
2010 ,"'F1 - Chemistry' ","'No disability declared' ","'RPA' ",25
2010 ,"'F2 - Materials Science' ","'No disability declared' ","'Firm choice' ",10
2010 ,"'F3 - Physics' ","'Disability declared' ","'Firm choice' ",195
2010 ,"'F3 - Physics' ","'Disability declared' ","'Insurance choice' ",25
2010 ,"'F3 - Physics' ","'Disability declared' ","'Other main scheme choice' ",5
2010 ,"'F3 - Physics' ","'Disability declared' ","'Main scheme Clearing' ",15
2010 ,"'F3 - Physics' ","'No disability declared' ","'Firm choice' ",2345
2010 ,"'F3 - Physics' ","'No disability declared' ","'Insurance choice' ",340
2010 ,"'F3 - Physics' ","'No disability declared' ","'Other main scheme choice' ",25
2010 ,"'F3 - Physics' ","'No disability declared' ","'Extra' ",15
2010 ,"'F3 - Physics' ","'No disability declared' ","'Main scheme Clearing' ",225
2010 ,"'F3 - Physics' ","'No disability declared' ","'Direct Clearing' ",20
