"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Age Band , Sex , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_020_01.pdf"
 
Cycle Year,Subject Group (Summary Level) , Age Band , Sex,Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'17 and under' ","'Men' ",40
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Men' ",120
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Women' ",200
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Men' ",455
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Women' ",775
2007 ,"'Group F Physical Sciences' ","'17 and under' ","'Men' ",125
2007 ,"'Group F Physical Sciences' ","'17 and under' ","'Women' ",110
2007 ,"'Group F Physical Sciences' ","'18' ","'Men' ",6420
2007 ,"'Group F Physical Sciences' ","'18' ","'Women' ",4145
2007 ,"'Group F Physical Sciences' ","'19' ","'Men' ",1345
2007 ,"'Group F Physical Sciences' ","'19' ","'Women' ",855
2007 ,"'Group F Physical Sciences' ","'20' ","'Men' ",390
2007 ,"'Group F Physical Sciences' ","'20' ","'Women' ",300
2007 ,"'Group F Physical Sciences' ","'21 and over' ","'Men' ",925
2007 ,"'Group F Physical Sciences' ","'21 and over' ","'Women' ",855
2007 ,"'Group G Mathematical Sciences' ","'17 and under' ","'Men' ",60
2007 ,"'Group G Mathematical Sciences' ","'17 and under' ","'Women' ",75
2007 ,"'Group G Mathematical Sciences' ","'18' ","'Men' ",2455
2007 ,"'Group G Mathematical Sciences' ","'18' ","'Women' ",1670
2007 ,"'Group G Mathematical Sciences' ","'19' ","'Men' ",525
2007 ,"'Group G Mathematical Sciences' ","'19' ","'Women' ",350
2007 ,"'Group G Mathematical Sciences' ","'20' ","'Men' ",165
2007 ,"'Group G Mathematical Sciences' ","'20' ","'Women' ",110
2007 ,"'Group G Mathematical Sciences' ","'21 and over' ","'Men' ",280
2007 ,"'Group G Mathematical Sciences' ","'21 and over' ","'Women' ",140
2007 ,"'Group H Engineering' ","'17 and under' ","'Men' ",490
2007 ,"'Group H Engineering' ","'17 and under' ","'Women' ",100
2007 ,"'Group H Engineering' ","'18' ","'Men' ",8660
2007 ,"'Group H Engineering' ","'18' ","'Women' ",1280
2007 ,"'Group H Engineering' ","'19' ","'Men' ",3235
2007 ,"'Group H Engineering' ","'19' ","'Women' ",460
2007 ,"'Group H Engineering' ","'20' ","'Men' ",1770
2007 ,"'Group H Engineering' ","'20' ","'Women' ",230
2007 ,"'Group H Engineering' ","'21 and over' ","'Men' ",4375
2007 ,"'Group H Engineering' ","'21 and over' ","'Women' ",500
2007 ,"'Group I Computer Sciences' ","'17 and under' ","'Men' ",145
2007 ,"'Group I Computer Sciences' ","'17 and under' ","'Women' ",35
2007 ,"'Group I Computer Sciences' ","'18' ","'Men' ",6070
2007 ,"'Group I Computer Sciences' ","'18' ","'Women' ",1035
2007 ,"'Group I Computer Sciences' ","'19' ","'Men' ",2895
2007 ,"'Group I Computer Sciences' ","'19' ","'Women' ",505
2007 ,"'Group I Computer Sciences' ","'20' ","'Men' ",1665
2007 ,"'Group I Computer Sciences' ","'20' ","'Women' ",245
2007 ,"'Group I Computer Sciences' ","'21 and over' ","'Men' ",3930
2007 ,"'Group I Computer Sciences' ","'21 and over' ","'Women' ",760
2007 ,"'Group J Technologies' ","'17 and under' ","'Men' ",20
2007 ,"'Group J Technologies' ","'17 and under' ","'Women' ",5
2007 ,"'Group J Technologies' ","'18' ","'Men' ",765
2007 ,"'Group J Technologies' ","'18' ","'Women' ",210
2007 ,"'Group J Technologies' ","'19' ","'Men' ",400
2007 ,"'Group J Technologies' ","'19' ","'Women' ",140
2007 ,"'Group J Technologies' ","'20' ","'Men' ",215
2007 ,"'Group J Technologies' ","'20' ","'Women' ",65
2007 ,"'Group J Technologies' ","'21 and over' ","'Men' ",650
2007 ,"'Group J Technologies' ","'21 and over' ","'Women' ",125
2007 ,"'Group K Architecture, Building and Planning' ","'17 and under' ","'Men' ",65
2007 ,"'Group K Architecture, Building and Planning' ","'17 and under' ","'Women' ",85
2007 ,"'Group K Architecture, Building and Planning' ","'18' ","'Men' ",3185
2007 ,"'Group K Architecture, Building and Planning' ","'18' ","'Women' ",1390
2007 ,"'Group K Architecture, Building and Planning' ","'19' ","'Men' ",1290
2007 ,"'Group K Architecture, Building and Planning' ","'19' ","'Women' ",510
2007 ,"'Group K Architecture, Building and Planning' ","'20' ","'Men' ",555
2007 ,"'Group K Architecture, Building and Planning' ","'20' ","'Women' ",170
2007 ,"'Group K Architecture, Building and Planning' ","'21 and over' ","'Men' ",1495
2007 ,"'Group K Architecture, Building and Planning' ","'21 and over' ","'Women' ",550
2007 ,"'Group L Social Studies' ","'17 and under' ","'Men' ",150
2007 ,"'Group L Social Studies' ","'17 and under' ","'Women' ",190
2007 ,"'Group L Social Studies' ","'18' ","'Men' ",5835
2007 ,"'Group L Social Studies' ","'18' ","'Women' ",7585
2007 ,"'Group L Social Studies' ","'19' ","'Men' ",2190
2007 ,"'Group L Social Studies' ","'19' ","'Women' ",2995
2007 ,"'Group L Social Studies' ","'20' ","'Men' ",785
2007 ,"'Group L Social Studies' ","'20' ","'Women' ",1195
2007 ,"'Group L Social Studies' ","'21 and over' ","'Men' ",2480
2007 ,"'Group L Social Studies' ","'21 and over' ","'Women' ",7000
2007 ,"'Group M Law' ","'17 and under' ","'Men' ",95
2007 ,"'Group M Law' ","'17 and under' ","'Women' ",265
2007 ,"'Group M Law' ","'18' ","'Men' ",3855
2007 ,"'Group M Law' ","'18' ","'Women' ",6930
2007 ,"'Group M Law' ","'19' ","'Men' ",1185
2007 ,"'Group M Law' ","'19' ","'Women' ",1925
2007 ,"'Group M Law' ","'20' ","'Men' ",490
2007 ,"'Group M Law' ","'20' ","'Women' ",665
2007 ,"'Group M Law' ","'21 and over' ","'Men' ",1640
2007 ,"'Group M Law' ","'21 and over' ","'Women' ",2030
2007 ,"'Group N Business and Admin studies' ","'17 and under' ","'Men' ",350
2007 ,"'Group N Business and Admin studies' ","'17 and under' ","'Women' ",390
2007 ,"'Group N Business and Admin studies' ","'18' ","'Men' ",11380
2007 ,"'Group N Business and Admin studies' ","'18' ","'Women' ",11140
2007 ,"'Group N Business and Admin studies' ","'19' ","'Men' ",5740
2007 ,"'Group N Business and Admin studies' ","'19' ","'Women' ",4815
2007 ,"'Group N Business and Admin studies' ","'20' ","'Men' ",2570
2007 ,"'Group N Business and Admin studies' ","'20' ","'Women' ",2340
2007 ,"'Group N Business and Admin studies' ","'21 and over' ","'Men' ",5755
2007 ,"'Group N Business and Admin studies' ","'21 and over' ","'Women' ",5245
2007 ,"'Group P Mass Communication and Documentation' ","'17 and under' ","'Men' ",25
2007 ,"'Group P Mass Communication and Documentation' ","'17 and under' ","'Women' ",50
2007 ,"'Group P Mass Communication and Documentation' ","'18' ","'Men' ",2050
2007 ,"'Group P Mass Communication and Documentation' ","'18' ","'Women' ",2900
2007 ,"'Group P Mass Communication and Documentation' ","'19' ","'Men' ",965
2007 ,"'Group P Mass Communication and Documentation' ","'19' ","'Women' ",1095
2007 ,"'Group P Mass Communication and Documentation' ","'20' ","'Men' ",415
2007 ,"'Group P Mass Communication and Documentation' ","'20' ","'Women' ",450
2007 ,"'Group P Mass Communication and Documentation' ","'21 and over' ","'Men' ",830
2007 ,"'Group P Mass Communication and Documentation' ","'21 and over' ","'Women' ",705
2007 ,"'Group Q Linguistics, Classics and related' ","'17 and under' ","'Men' ",30
2007 ,"'Group Q Linguistics, Classics and related' ","'17 and under' ","'Women' ",100
2007 ,"'Group Q Linguistics, Classics and related' ","'18' ","'Men' ",1785
2007 ,"'Group Q Linguistics, Classics and related' ","'18' ","'Women' ",5165
2007 ,"'Group Q Linguistics, Classics and related' ","'19' ","'Men' ",575
2007 ,"'Group Q Linguistics, Classics and related' ","'19' ","'Women' ",1380
2007 ,"'Group Q Linguistics, Classics and related' ","'20' ","'Men' ",170
2007 ,"'Group Q Linguistics, Classics and related' ","'20' ","'Women' ",370
2007 ,"'Group Q Linguistics, Classics and related' ","'21 and over' ","'Men' ",440
2007 ,"'Group Q Linguistics, Classics and related' ","'21 and over' ","'Women' ",845
2007 ,"'Group R European Languages, Literature and related' ","'17 and under' ","'Men' ",15
2007 ,"'Group R European Languages, Literature and related' ","'17 and under' ","'Women' ",60
2007 ,"'Group R European Languages, Literature and related' ","'18' ","'Men' ",825
2007 ,"'Group R European Languages, Literature and related' ","'18' ","'Women' ",2110
2007 ,"'Group R European Languages, Literature and related' ","'19' ","'Men' ",165
2007 ,"'Group R European Languages, Literature and related' ","'19' ","'Women' ",365
2007 ,"'Group R European Languages, Literature and related' ","'20' ","'Men' ",35
2007 ,"'Group R European Languages, Literature and related' ","'20' ","'Women' ",95
2007 ,"'Group R European Languages, Literature and related' ","'21 and over' ","'Men' ",125
2007 ,"'Group R European Languages, Literature and related' ","'21 and over' ","'Women' ",240
2007 ,"'Group T Non-European Languages, Literature and related' ","'17 and under' ","'Men' ",5
2007 ,"'Group T Non-European Languages, Literature and related' ","'17 and under' ","'Women' ",20
2007 ,"'Group T Non-European Languages, Literature and related' ","'18' ","'Men' ",400
2007 ,"'Group T Non-European Languages, Literature and related' ","'18' ","'Women' ",720
2007 ,"'Group T Non-European Languages, Literature and related' ","'19' ","'Men' ",110
2007 ,"'Group T Non-European Languages, Literature and related' ","'19' ","'Women' ",150
2007 ,"'Group T Non-European Languages, Literature and related' ","'20' ","'Men' ",25
2007 ,"'Group T Non-European Languages, Literature and related' ","'20' ","'Women' ",60
2007 ,"'Group T Non-European Languages, Literature and related' ","'21 and over' ","'Men' ",115
2007 ,"'Group T Non-European Languages, Literature and related' ","'21 and over' ","'Women' ",95
2007 ,"'Group V History and Philosophical studies' ","'17 and under' ","'Men' ",50
2007 ,"'Group V History and Philosophical studies' ","'17 and under' ","'Women' ",60
2007 ,"'Group V History and Philosophical studies' ","'18' ","'Men' ",4170
2007 ,"'Group V History and Philosophical studies' ","'18' ","'Women' ",4530
2007 ,"'Group V History and Philosophical studies' ","'19' ","'Men' ",1140
2007 ,"'Group V History and Philosophical studies' ","'19' ","'Women' ",1055
2007 ,"'Group V History and Philosophical studies' ","'20' ","'Men' ",275
2007 ,"'Group V History and Philosophical studies' ","'20' ","'Women' ",290
2007 ,"'Group V History and Philosophical studies' ","'21 and over' ","'Men' ",765
2007 ,"'Group V History and Philosophical studies' ","'21 and over' ","'Women' ",680
2007 ,"'Group W Creative Arts and Design' ","'17 and under' ","'Men' ",55
2007 ,"'Group W Creative Arts and Design' ","'17 and under' ","'Women' ",125
2007 ,"'Group W Creative Arts and Design' ","'18' ","'Men' ",5900
2007 ,"'Group W Creative Arts and Design' ","'18' ","'Women' ",9870
2007 ,"'Group W Creative Arts and Design' ","'19' ","'Men' ",5230
2007 ,"'Group W Creative Arts and Design' ","'19' ","'Women' ",9175
2007 ,"'Group W Creative Arts and Design' ","'20' ","'Men' ",2265
2007 ,"'Group W Creative Arts and Design' ","'20' ","'Women' ",2850
2007 ,"'Group W Creative Arts and Design' ","'21 and over' ","'Men' ",4575
2007 ,"'Group W Creative Arts and Design' ","'21 and over' ","'Women' ",5845
2007 ,"'Group X Education' ","'17 and under' ","'Women' ",35
2007 ,"'Group X Education' ","'18' ","'Men' ",695
2007 ,"'Group X Education' ","'18' ","'Women' ",5430
2007 ,"'Group X Education' ","'19' ","'Men' ",250
2007 ,"'Group X Education' ","'19' ","'Women' ",1780
2007 ,"'Group X Education' ","'20' ","'Men' ",125
2007 ,"'Group X Education' ","'20' ","'Women' ",805
2007 ,"'Group X Education' ","'21 and over' ","'Men' ",500
2007 ,"'Group X Education' ","'21 and over' ","'Women' ",3410
2007 ,"'Y Combined arts' ","'17 and under' ","'Men' ",30
2007 ,"'Y Combined arts' ","'17 and under' ","'Women' ",85
2007 ,"'Y Combined arts' ","'18' ","'Men' ",2355
2007 ,"'Y Combined arts' ","'18' ","'Women' ",6085
2007 ,"'Y Combined arts' ","'19' ","'Men' ",990
2007 ,"'Y Combined arts' ","'19' ","'Women' ",1840
2007 ,"'Y Combined arts' ","'20' ","'Men' ",345
2007 ,"'Y Combined arts' ","'20' ","'Women' ",620
2007 ,"'Y Combined arts' ","'21 and over' ","'Men' ",890
2007 ,"'Y Combined arts' ","'21 and over' ","'Women' ",1455
2007 ,"'Y Combined sciences' ","'17 and under' ","'Men' ",70
2007 ,"'Y Combined sciences' ","'17 and under' ","'Women' ",60
2007 ,"'Y Combined sciences' ","'18' ","'Men' ",2440
2007 ,"'Y Combined sciences' ","'18' ","'Women' ",2105
2007 ,"'Y Combined sciences' ","'19' ","'Men' ",820
2007 ,"'Y Combined sciences' ","'19' ","'Women' ",650
2007 ,"'Y Combined sciences' ","'20' ","'Men' ",365
2007 ,"'Y Combined sciences' ","'20' ","'Women' ",310
2007 ,"'Y Combined sciences' ","'21 and over' ","'Men' ",905
2007 ,"'Y Combined sciences' ","'21 and over' ","'Women' ",710
2007 ,"'Y Combined social sciences' ","'17 and under' ","'Men' ",45
2007 ,"'Y Combined social sciences' ","'17 and under' ","'Women' ",55
2007 ,"'Y Combined social sciences' ","'18' ","'Men' ",1590
2007 ,"'Y Combined social sciences' ","'18' ","'Women' ",1870
2007 ,"'Y Combined social sciences' ","'19' ","'Men' ",720
2007 ,"'Y Combined social sciences' ","'19' ","'Women' ",765
2007 ,"'Y Combined social sciences' ","'20' ","'Men' ",245
2007 ,"'Y Combined social sciences' ","'20' ","'Women' ",260
2007 ,"'Y Combined social sciences' ","'21 and over' ","'Men' ",415
2007 ,"'Y Combined social sciences' ","'21 and over' ","'Women' ",475
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'17 and under' ","'Men' ",105
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'17 and under' ","'Women' ",110
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'18' ","'Men' ",5645
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'18' ","'Women' ",6325
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'19' ","'Men' ",2440
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'19' ","'Women' ",2200
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'20' ","'Men' ",1085
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'20' ","'Women' ",780
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'21 and over' ","'Men' ",2275
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'21 and over' ","'Women' ",2130
2007 ,"'Y Social Sciences combined with Arts' ","'17 and under' ","'Men' ",60
2007 ,"'Y Social Sciences combined with Arts' ","'17 and under' ","'Women' ",125
2007 ,"'Y Social Sciences combined with Arts' ","'18' ","'Men' ",2755
2007 ,"'Y Social Sciences combined with Arts' ","'18' ","'Women' ",4595
2007 ,"'Y Social Sciences combined with Arts' ","'19' ","'Men' ",1045
2007 ,"'Y Social Sciences combined with Arts' ","'19' ","'Women' ",1735
2007 ,"'Y Social Sciences combined with Arts' ","'20' ","'Men' ",345
2007 ,"'Y Social Sciences combined with Arts' ","'20' ","'Women' ",585
2007 ,"'Y Social Sciences combined with Arts' ","'21 and over' ","'Men' ",715
2007 ,"'Y Social Sciences combined with Arts' ","'21 and over' ","'Women' ",1255
2007 ,"'Z General, other combined and unknown' ","'17 and under' ","'Men' ",60
2007 ,"'Z General, other combined and unknown' ","'17 and under' ","'Women' ",110
2007 ,"'Z General, other combined and unknown' ","'18' ","'Men' ",1125
2007 ,"'Z General, other combined and unknown' ","'18' ","'Women' ",1685
2007 ,"'Z General, other combined and unknown' ","'19' ","'Men' ",480
2007 ,"'Z General, other combined and unknown' ","'19' ","'Women' ",640
2007 ,"'Z General, other combined and unknown' ","'20' ","'Men' ",225
2007 ,"'Z General, other combined and unknown' ","'20' ","'Women' ",210
2007 ,"'Z General, other combined and unknown' ","'21 and over' ","'Men' ",605
2007 ,"'Z General, other combined and unknown' ","'21 and over' ","'Women' ",805
2008 ,"'Group A Medicine and Dentistry' ","'17 and under' ","'Men' ",70
2008 ,"'Group A Medicine and Dentistry' ","'17 and under' ","'Women' ",95
2008 ,"'Group A Medicine and Dentistry' ","'18' ","'Men' ",2310
2008 ,"'Group A Medicine and Dentistry' ","'18' ","'Women' ",3035
2008 ,"'Group A Medicine and Dentistry' ","'19' ","'Men' ",630
2008 ,"'Group A Medicine and Dentistry' ","'19' ","'Women' ",790
2008 ,"'Group A Medicine and Dentistry' ","'20' ","'Men' ",130
2008 ,"'Group A Medicine and Dentistry' ","'20' ","'Women' ",140
2008 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Men' ",885
2008 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Women' ",1170
2008 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Men' ",75
2008 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Women' ",410
2008 ,"'Group B Subjects allied to Medicine' ","'18' ","'Men' ",2675
2008 ,"'Group B Subjects allied to Medicine' ","'18' ","'Women' ",11565
2008 ,"'Group B Subjects allied to Medicine' ","'19' ","'Men' ",1255
2008 ,"'Group B Subjects allied to Medicine' ","'19' ","'Women' ",4775
2008 ,"'Group B Subjects allied to Medicine' ","'20' ","'Men' ",605
2008 ,"'Group B Subjects allied to Medicine' ","'20' ","'Women' ",2335
2008 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Men' ",3595
2008 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Women' ",15775
2008 ,"'Group C Biological Sciences' ","'17 and under' ","'Men' ",80
2008 ,"'Group C Biological Sciences' ","'17 and under' ","'Women' ",230
2008 ,"'Group C Biological Sciences' ","'18' ","'Men' ",7720
2008 ,"'Group C Biological Sciences' ","'18' ","'Women' ",12535
2008 ,"'Group C Biological Sciences' ","'19' ","'Men' ",2690
2008 ,"'Group C Biological Sciences' ","'19' ","'Women' ",3410
2008 ,"'Group C Biological Sciences' ","'20' ","'Men' ",1095
2008 ,"'Group C Biological Sciences' ","'20' ","'Women' ",1155
2008 ,"'Group C Biological Sciences' ","'21 and over' ","'Men' ",2280
2008 ,"'Group C Biological Sciences' ","'21 and over' ","'Women' ",3095
2008 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'Men' ",35
2008 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'Women' ",50
2008 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Men' ",585
2008 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Women' ",1675
2008 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Men' ",260
2008 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Women' ",570
2008 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Men' ",125
2008 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Women' ",220
2008 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Men' ",460
2008 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Women' ",820
2008 ,"'Group F Physical Sciences' ","'17 and under' ","'Men' ",105
2008 ,"'Group F Physical Sciences' ","'17 and under' ","'Women' ",90
2008 ,"'Group F Physical Sciences' ","'18' ","'Men' ",6625
2008 ,"'Group F Physical Sciences' ","'18' ","'Women' ",4385
2008 ,"'Group F Physical Sciences' ","'19' ","'Men' ",1510
2008 ,"'Group F Physical Sciences' ","'19' ","'Women' ",930
2008 ,"'Group F Physical Sciences' ","'20' ","'Men' ",435
2008 ,"'Group F Physical Sciences' ","'20' ","'Women' ",325
2008 ,"'Group F Physical Sciences' ","'21 and over' ","'Men' ",970
2008 ,"'Group F Physical Sciences' ","'21 and over' ","'Women' ",825
2008 ,"'Group G Mathematical Sciences' ","'17 and under' ","'Men' ",50
2008 ,"'Group G Mathematical Sciences' ","'17 and under' ","'Women' ",75
2008 ,"'Group G Mathematical Sciences' ","'18' ","'Men' ",2670
2008 ,"'Group G Mathematical Sciences' ","'18' ","'Women' ",1815
2008 ,"'Group G Mathematical Sciences' ","'19' ","'Men' ",615
2008 ,"'Group G Mathematical Sciences' ","'19' ","'Women' ",400
2008 ,"'Group G Mathematical Sciences' ","'20' ","'Men' ",220
2008 ,"'Group G Mathematical Sciences' ","'20' ","'Women' ",125
2008 ,"'Group G Mathematical Sciences' ","'21 and over' ","'Men' ",275
2008 ,"'Group G Mathematical Sciences' ","'21 and over' ","'Women' ",155
2008 ,"'Group H Engineering' ","'17 and under' ","'Men' ",515
2008 ,"'Group H Engineering' ","'17 and under' ","'Women' ",120
2008 ,"'Group H Engineering' ","'18' ","'Men' ",9335
2008 ,"'Group H Engineering' ","'18' ","'Women' ",1430
2008 ,"'Group H Engineering' ","'19' ","'Men' ",3605
2008 ,"'Group H Engineering' ","'19' ","'Women' ",510
2008 ,"'Group H Engineering' ","'20' ","'Men' ",1975
2008 ,"'Group H Engineering' ","'20' ","'Women' ",280
2008 ,"'Group H Engineering' ","'21 and over' ","'Men' ",4660
2008 ,"'Group H Engineering' ","'21 and over' ","'Women' ",510
2008 ,"'Group I Computer Sciences' ","'17 and under' ","'Men' ",140
2008 ,"'Group I Computer Sciences' ","'17 and under' ","'Women' ",40
2008 ,"'Group I Computer Sciences' ","'18' ","'Men' ",6345
2008 ,"'Group I Computer Sciences' ","'18' ","'Women' ",1190
2008 ,"'Group I Computer Sciences' ","'19' ","'Men' ",3145
2008 ,"'Group I Computer Sciences' ","'19' ","'Women' ",495
2008 ,"'Group I Computer Sciences' ","'20' ","'Men' ",1815
2008 ,"'Group I Computer Sciences' ","'20' ","'Women' ",290
2008 ,"'Group I Computer Sciences' ","'21 and over' ","'Men' ",4235
2008 ,"'Group I Computer Sciences' ","'21 and over' ","'Women' ",820
2008 ,"'Group J Technologies' ","'17 and under' ","'Men' ",15
2008 ,"'Group J Technologies' ","'17 and under' ","'Women' ",10
2008 ,"'Group J Technologies' ","'18' ","'Men' ",775
2008 ,"'Group J Technologies' ","'18' ","'Women' ",170
2008 ,"'Group J Technologies' ","'19' ","'Men' ",465
2008 ,"'Group J Technologies' ","'19' ","'Women' ",145
2008 ,"'Group J Technologies' ","'20' ","'Men' ",290
2008 ,"'Group J Technologies' ","'20' ","'Women' ",50
2008 ,"'Group J Technologies' ","'21 and over' ","'Men' ",695
2008 ,"'Group J Technologies' ","'21 and over' ","'Women' ",105
2008 ,"'Group K Architecture, Building and Planning' ","'17 and under' ","'Men' ",65
2008 ,"'Group K Architecture, Building and Planning' ","'17 and under' ","'Women' ",75
2008 ,"'Group K Architecture, Building and Planning' ","'18' ","'Men' ",3330
2008 ,"'Group K Architecture, Building and Planning' ","'18' ","'Women' ",1500
2008 ,"'Group K Architecture, Building and Planning' ","'19' ","'Men' ",1500
2008 ,"'Group K Architecture, Building and Planning' ","'19' ","'Women' ",595
2008 ,"'Group K Architecture, Building and Planning' ","'20' ","'Men' ",620
2008 ,"'Group K Architecture, Building and Planning' ","'20' ","'Women' ",200
2008 ,"'Group K Architecture, Building and Planning' ","'21 and over' ","'Men' ",1770
2008 ,"'Group K Architecture, Building and Planning' ","'21 and over' ","'Women' ",590
2008 ,"'Group L Social Studies' ","'17 and under' ","'Men' ",160
2008 ,"'Group L Social Studies' ","'17 and under' ","'Women' ",220
2008 ,"'Group L Social Studies' ","'18' ","'Men' ",6515
2008 ,"'Group L Social Studies' ","'18' ","'Women' ",8145
2008 ,"'Group L Social Studies' ","'19' ","'Men' ",2470
2008 ,"'Group L Social Studies' ","'19' ","'Women' ",3235
2008 ,"'Group L Social Studies' ","'20' ","'Men' ",1040
2008 ,"'Group L Social Studies' ","'20' ","'Women' ",1450
2008 ,"'Group L Social Studies' ","'21 and over' ","'Men' ",2695
2008 ,"'Group L Social Studies' ","'21 and over' ","'Women' ",7630
2008 ,"'Group M Law' ","'17 and under' ","'Men' ",90
2008 ,"'Group M Law' ","'17 and under' ","'Women' ",255
2008 ,"'Group M Law' ","'18' ","'Men' ",3835
2008 ,"'Group M Law' ","'18' ","'Women' ",7490
2008 ,"'Group M Law' ","'19' ","'Men' ",1335
2008 ,"'Group M Law' ","'19' ","'Women' ",2215
2008 ,"'Group M Law' ","'20' ","'Men' ",555
2008 ,"'Group M Law' ","'20' ","'Women' ",820
2008 ,"'Group M Law' ","'21 and over' ","'Men' ",1685
2008 ,"'Group M Law' ","'21 and over' ","'Women' ",2210
2008 ,"'Group N Business and Admin studies' ","'17 and under' ","'Men' ",320
