"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Sex , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_019_07.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Sex , Acceptance Route,Number of Acceptances,
2007 ,"'A1 - Pre-clinical Medicine' ","'Men' ","'Firm choice' ",3190
2007 ,"'B6 - Aural and Oral Sciences' ","'Men' ","'Direct Clearing' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'Women' ","'Firm choice' ",680
2007 ,"'B6 - Aural and Oral Sciences' ","'Women' ","'Insurance choice' ",25
2007 ,"'B6 - Aural and Oral Sciences' ","'Women' ","'Other main scheme choice' ",15
2007 ,"'B6 - Aural and Oral Sciences' ","'Women' ","'Extra' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'Women' ","'Main scheme Clearing' ",65
2007 ,"'B6 - Aural and Oral Sciences' ","'Women' ","'Direct Clearing' ",10
2007 ,"'B6 - Aural and Oral Sciences' ","'Women' ","'RPA' ",5
2007 ,"'B7 - Nursing' ","'Men' ","'Firm choice' ",295
2007 ,"'B7 - Nursing' ","'Men' ","'Insurance choice' ",10
2007 ,"'B7 - Nursing' ","'Men' ","'Other main scheme choice' ",25
2007 ,"'B7 - Nursing' ","'Men' ","'Extra' ",5
2007 ,"'B7 - Nursing' ","'Men' ","'Main scheme Clearing' ",35
2007 ,"'B7 - Nursing' ","'Men' ","'Direct Clearing' ",10
2007 ,"'B7 - Nursing' ","'Men' ","'RPA' ",30
2007 ,"'B7 - Nursing' ","'Women' ","'Firm choice' ",4800
2007 ,"'B7 - Nursing' ","'Women' ","'Insurance choice' ",140
2007 ,"'B7 - Nursing' ","'Women' ","'Other main scheme choice' ",180
2007 ,"'B7 - Nursing' ","'Women' ","'Extra' ",80
2007 ,"'B7 - Nursing' ","'Women' ","'Main scheme Clearing' ",535
2007 ,"'B7 - Nursing' ","'Women' ","'Direct Clearing' ",85
2007 ,"'B7 - Nursing' ","'Women' ","'RPA' ",205
2007 ,"'B8 - Medical Technology' ","'Men' ","'Firm choice' ",300
2007 ,"'B8 - Medical Technology' ","'Men' ","'Insurance choice' ",20
2007 ,"'B8 - Medical Technology' ","'Men' ","'Other main scheme choice' ",25
2007 ,"'B8 - Medical Technology' ","'Men' ","'Extra' ",5
2007 ,"'B8 - Medical Technology' ","'Men' ","'Main scheme Clearing' ",55
2007 ,"'B8 - Medical Technology' ","'Men' ","'Direct Clearing' ",20
2007 ,"'B8 - Medical Technology' ","'Men' ","'RPA' ",20
2007 ,"'B8 - Medical Technology' ","'Women' ","'Firm choice' ",890
2007 ,"'B8 - Medical Technology' ","'Women' ","'Insurance choice' ",35
2007 ,"'B8 - Medical Technology' ","'Women' ","'Other main scheme choice' ",30
2007 ,"'B8 - Medical Technology' ","'Women' ","'Extra' ",15
2007 ,"'B8 - Medical Technology' ","'Women' ","'Main scheme Clearing' ",130
2007 ,"'B8 - Medical Technology' ","'Women' ","'Direct Clearing' ",35
2007 ,"'B8 - Medical Technology' ","'Women' ","'RPA' ",45
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Men' ","'Firm choice' ",1190
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Men' ","'Insurance choice' ",165
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Men' ","'Other main scheme choice' ",90
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Men' ","'Extra' ",25
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Men' ","'Main scheme Clearing' ",270
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Men' ","'Direct Clearing' ",70
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Men' ","'RPA' ",185
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Women' ","'Firm choice' ",3395
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Women' ","'Insurance choice' ",305
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Women' ","'Other main scheme choice' ",245
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Women' ","'Extra' ",100
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Women' ","'Main scheme Clearing' ",550
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Women' ","'Direct Clearing' ",125
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Women' ","'RPA' ",415
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Men' ","'Firm choice' ",35
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Men' ","'Insurance choice' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Men' ","'Main scheme Clearing' ",10
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Men' ","'Direct Clearing' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Men' ","'RPA' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Women' ","'Firm choice' ",105
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Women' ","'Insurance choice' ",10
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Women' ","'Other main scheme choice' ",10
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Women' ","'Extra' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Women' ","'Main scheme Clearing' ",25
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Women' ","'Direct Clearing' ",10
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Women' ","'RPA' ",20
2007 ,"'C0 - Biological Sciences: any area of study' ","'Men' ","'Firm choice' ",5
2007 ,"'C0 - Biological Sciences: any area of study' ","'Women' ","'Firm choice' ",15
2007 ,"'C1 - Biology' ","'Men' ","'Firm choice' ",1340
2007 ,"'C1 - Biology' ","'Men' ","'Insurance choice' ",170
2007 ,"'C1 - Biology' ","'Men' ","'Other main scheme choice' ",50
2007 ,"'C1 - Biology' ","'Men' ","'Extra' ",10
2007 ,"'C1 - Biology' ","'Men' ","'Main scheme Clearing' ",150
2007 ,"'C1 - Biology' ","'Men' ","'Direct Clearing' ",35
2007 ,"'C1 - Biology' ","'Men' ","'RPA' ",80
2007 ,"'C1 - Biology' ","'Women' ","'Firm choice' ",1905
2007 ,"'C1 - Biology' ","'Women' ","'Insurance choice' ",190
2007 ,"'C1 - Biology' ","'Women' ","'Other main scheme choice' ",65
2007 ,"'C1 - Biology' ","'Women' ","'Extra' ",30
2007 ,"'C1 - Biology' ","'Women' ","'Main scheme Clearing' ",235
2007 ,"'C1 - Biology' ","'Women' ","'Direct Clearing' ",40
2007 ,"'C1 - Biology' ","'Women' ","'RPA' ",100
2007 ,"'C2 - Botany' ","'Men' ","'Firm choice' ",10
2007 ,"'C2 - Botany' ","'Women' ","'Firm choice' ",10
2007 ,"'C3 - Zoology' ","'Men' ","'Firm choice' ",300
2007 ,"'C3 - Zoology' ","'Men' ","'Insurance choice' ",35
2007 ,"'C3 - Zoology' ","'Men' ","'Other main scheme choice' ",10
2007 ,"'C3 - Zoology' ","'Men' ","'Extra' ",5
2007 ,"'C3 - Zoology' ","'Men' ","'Main scheme Clearing' ",25
2007 ,"'C3 - Zoology' ","'Men' ","'Direct Clearing' ",5
2007 ,"'C3 - Zoology' ","'Men' ","'RPA' ",15
2007 ,"'C3 - Zoology' ","'Women' ","'Firm choice' ",610
2007 ,"'C3 - Zoology' ","'Women' ","'Insurance choice' ",45
2007 ,"'C3 - Zoology' ","'Women' ","'Other main scheme choice' ",15
2007 ,"'C3 - Zoology' ","'Women' ","'Extra' ",10
2007 ,"'C3 - Zoology' ","'Women' ","'Main scheme Clearing' ",30
2007 ,"'C3 - Zoology' ","'Women' ","'Direct Clearing' ",10
2007 ,"'C3 - Zoology' ","'Women' ","'RPA' ",20
2007 ,"'C4 - Genetics' ","'Men' ","'Firm choice' ",120
2007 ,"'C4 - Genetics' ","'Men' ","'Insurance choice' ",25
2007 ,"'C4 - Genetics' ","'Men' ","'Other main scheme choice' ",5
2007 ,"'C4 - Genetics' ","'Men' ","'Main scheme Clearing' ",15
2007 ,"'C4 - Genetics' ","'Men' ","'RPA' ",5
2007 ,"'C4 - Genetics' ","'Women' ","'Firm choice' ",200
2007 ,"'C4 - Genetics' ","'Women' ","'Insurance choice' ",15
2007 ,"'C4 - Genetics' ","'Women' ","'Other main scheme choice' ",10
2007 ,"'C4 - Genetics' ","'Women' ","'Extra' ",5
2007 ,"'C4 - Genetics' ","'Women' ","'Main scheme Clearing' ",35
2007 ,"'C4 - Genetics' ","'Women' ","'Direct Clearing' ",5
2007 ,"'C4 - Genetics' ","'Women' ","'RPA' ",10
2007 ,"'C5 - Microbiology' ","'Men' ","'Firm choice' ",125
2007 ,"'C5 - Microbiology' ","'Men' ","'Insurance choice' ",15
2007 ,"'C5 - Microbiology' ","'Men' ","'Other main scheme choice' ",10
2007 ,"'C5 - Microbiology' ","'Men' ","'Main scheme Clearing' ",10
2007 ,"'C5 - Microbiology' ","'Men' ","'Direct Clearing' ",5
2007 ,"'C5 - Microbiology' ","'Men' ","'RPA' ",5
2007 ,"'C5 - Microbiology' ","'Women' ","'Firm choice' ",140
2007 ,"'C5 - Microbiology' ","'Women' ","'Insurance choice' ",10
2007 ,"'C5 - Microbiology' ","'Women' ","'Other main scheme choice' ",5
2007 ,"'C5 - Microbiology' ","'Women' ","'Main scheme Clearing' ",20
2007 ,"'C5 - Microbiology' ","'Women' ","'Direct Clearing' ",5
2007 ,"'C5 - Microbiology' ","'Women' ","'RPA' ",5
2007 ,"'C6 - Sport and Exercise Science' ","'Men' ","'Firm choice' ",4535
2007 ,"'C6 - Sport and Exercise Science' ","'Men' ","'Insurance choice' ",395
2007 ,"'C6 - Sport and Exercise Science' ","'Men' ","'Other main scheme choice' ",220
2007 ,"'C6 - Sport and Exercise Science' ","'Men' ","'Extra' ",75
2007 ,"'C6 - Sport and Exercise Science' ","'Men' ","'Main scheme Clearing' ",360
2007 ,"'C6 - Sport and Exercise Science' ","'Men' ","'Direct Clearing' ",175
2007 ,"'C6 - Sport and Exercise Science' ","'Men' ","'RPA' ",360
2007 ,"'C6 - Sport and Exercise Science' ","'Women' ","'Firm choice' ",2435
2007 ,"'C6 - Sport and Exercise Science' ","'Women' ","'Insurance choice' ",220
2007 ,"'C6 - Sport and Exercise Science' ","'Women' ","'Other main scheme choice' ",85
2007 ,"'C6 - Sport and Exercise Science' ","'Women' ","'Extra' ",45
2007 ,"'C6 - Sport and Exercise Science' ","'Women' ","'Main scheme Clearing' ",180
2007 ,"'C6 - Sport and Exercise Science' ","'Women' ","'Direct Clearing' ",55
2007 ,"'C6 - Sport and Exercise Science' ","'Women' ","'RPA' ",115
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Men' ","'Firm choice' ",665
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Men' ","'Insurance choice' ",100
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Men' ","'Other main scheme choice' ",20
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Men' ","'Extra' ",10
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Men' ","'Main scheme Clearing' ",125
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Men' ","'Direct Clearing' ",25
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Men' ","'RPA' ",30
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Women' ","'Firm choice' ",830
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Women' ","'Insurance choice' ",115
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Women' ","'Other main scheme choice' ",25
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Women' ","'Extra' ",10
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Women' ","'Main scheme Clearing' ",150
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Women' ","'Direct Clearing' ",15
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Women' ","'RPA' ",25
2007 ,"'C8 - Psychology' ","'Men' ","'Firm choice' ",1790
2007 ,"'C8 - Psychology' ","'Men' ","'Insurance choice' ",175
2007 ,"'C8 - Psychology' ","'Men' ","'Other main scheme choice' ",75
2007 ,"'C8 - Psychology' ","'Men' ","'Extra' ",20
2007 ,"'C8 - Psychology' ","'Men' ","'Main scheme Clearing' ",190
2007 ,"'C8 - Psychology' ","'Men' ","'Direct Clearing' ",45
2007 ,"'C8 - Psychology' ","'Men' ","'RPA' ",170
2007 ,"'C8 - Psychology' ","'Women' ","'Firm choice' ",8050
2007 ,"'C8 - Psychology' ","'Women' ","'Insurance choice' ",785
2007 ,"'C8 - Psychology' ","'Women' ","'Other main scheme choice' ",300
2007 ,"'C8 - Psychology' ","'Women' ","'Extra' ",135
2007 ,"'C8 - Psychology' ","'Women' ","'Main scheme Clearing' ",785
2007 ,"'C8 - Psychology' ","'Women' ","'Direct Clearing' ",140
2007 ,"'C8 - Psychology' ","'Women' ","'RPA' ",460
2007 ,"'C9 - Others in Biological Sciences' ","'Men' ","'Firm choice' ",155
2007 ,"'C9 - Others in Biological Sciences' ","'Men' ","'Insurance choice' ",20
2007 ,"'C9 - Others in Biological Sciences' ","'Men' ","'Other main scheme choice' ",15
2007 ,"'C9 - Others in Biological Sciences' ","'Men' ","'Main scheme Clearing' ",35
2007 ,"'C9 - Others in Biological Sciences' ","'Men' ","'Direct Clearing' ",5
2007 ,"'C9 - Others in Biological Sciences' ","'Men' ","'RPA' ",25
2007 ,"'C9 - Others in Biological Sciences' ","'Women' ","'Firm choice' ",255
2007 ,"'C9 - Others in Biological Sciences' ","'Women' ","'Insurance choice' ",30
2007 ,"'C9 - Others in Biological Sciences' ","'Women' ","'Other main scheme choice' ",15
2007 ,"'C9 - Others in Biological Sciences' ","'Women' ","'Extra' ",5
2007 ,"'C9 - Others in Biological Sciences' ","'Women' ","'Main scheme Clearing' ",65
2007 ,"'C9 - Others in Biological Sciences' ","'Women' ","'Direct Clearing' ",10
2007 ,"'C9 - Others in Biological Sciences' ","'Women' ","'RPA' ",25
2007 ,"'CC - Combinations within Biological Sciences' ","'Men' ","'Firm choice' ",205
2007 ,"'CC - Combinations within Biological Sciences' ","'Men' ","'Insurance choice' ",30
2007 ,"'CC - Combinations within Biological Sciences' ","'Men' ","'Other main scheme choice' ",5
2007 ,"'CC - Combinations within Biological Sciences' ","'Men' ","'Extra' ",5
2007 ,"'CC - Combinations within Biological Sciences' ","'Men' ","'Main scheme Clearing' ",25
2007 ,"'CC - Combinations within Biological Sciences' ","'Men' ","'Direct Clearing' ",5
2007 ,"'CC - Combinations within Biological Sciences' ","'Men' ","'RPA' ",10
2007 ,"'CC - Combinations within Biological Sciences' ","'Women' ","'Firm choice' ",235
2007 ,"'CC - Combinations within Biological Sciences' ","'Women' ","'Insurance choice' ",30
2007 ,"'CC - Combinations within Biological Sciences' ","'Women' ","'Other main scheme choice' ",15
2007 ,"'CC - Combinations within Biological Sciences' ","'Women' ","'Extra' ",5
2007 ,"'CC - Combinations within Biological Sciences' ","'Women' ","'Main scheme Clearing' ",35
2007 ,"'CC - Combinations within Biological Sciences' ","'Women' ","'Direct Clearing' ",5
2007 ,"'CC - Combinations within Biological Sciences' ","'Women' ","'RPA' ",10
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Men' ","'Firm choice' ",175
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Men' ","'Main scheme Clearing' ",5
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Men' ","'RPA' ",15
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Women' ","'Firm choice' ",660
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Women' ","'Insurance choice' ",10
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Women' ","'Main scheme Clearing' ",20
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Women' ","'RPA' ",60
2007 ,"'D3 - Animal Science' ","'Men' ","'Firm choice' ",140
2007 ,"'D3 - Animal Science' ","'Men' ","'Insurance choice' ",15
2007 ,"'D3 - Animal Science' ","'Men' ","'Other main scheme choice' ",15
2007 ,"'D3 - Animal Science' ","'Men' ","'Main scheme Clearing' ",15
2007 ,"'D3 - Animal Science' ","'Men' ","'Direct Clearing' ",15
2007 ,"'D3 - Animal Science' ","'Men' ","'RPA' ",30
2007 ,"'D3 - Animal Science' ","'Women' ","'Firm choice' ",895
2007 ,"'D3 - Animal Science' ","'Women' ","'Insurance choice' ",50
2007 ,"'D3 - Animal Science' ","'Women' ","'Other main scheme choice' ",45
2007 ,"'D3 - Animal Science' ","'Women' ","'Extra' ",10
2007 ,"'D3 - Animal Science' ","'Women' ","'Main scheme Clearing' ",70
2007 ,"'D3 - Animal Science' ","'Women' ","'Direct Clearing' ",55
2007 ,"'D3 - Animal Science' ","'Women' ","'RPA' ",100
2007 ,"'D4 - Agriculture' ","'Men' ","'Firm choice' ",430
2007 ,"'D4 - Agriculture' ","'Men' ","'Insurance choice' ",25
2007 ,"'D4 - Agriculture' ","'Men' ","'Other main scheme choice' ",55
2007 ,"'D4 - Agriculture' ","'Men' ","'Main scheme Clearing' ",30
2007 ,"'D4 - Agriculture' ","'Men' ","'Direct Clearing' ",55
2007 ,"'D4 - Agriculture' ","'Men' ","'RPA' ",60
2007 ,"'D4 - Agriculture' ","'Women' ","'Firm choice' ",455
2007 ,"'D4 - Agriculture' ","'Women' ","'Insurance choice' ",20
2007 ,"'D4 - Agriculture' ","'Women' ","'Other main scheme choice' ",60
2007 ,"'D4 - Agriculture' ","'Women' ","'Extra' ",5
2007 ,"'D4 - Agriculture' ","'Women' ","'Main scheme Clearing' ",35
2007 ,"'D4 - Agriculture' ","'Women' ","'Direct Clearing' ",55
2007 ,"'D4 - Agriculture' ","'Women' ","'RPA' ",50
2007 ,"'D5 - Forestry & arboriculture' ","'Men' ","'Firm choice' ",55
2007 ,"'D5 - Forestry & arboriculture' ","'Men' ","'Other main scheme choice' ",15
2007 ,"'D5 - Forestry & arboriculture' ","'Men' ","'Main scheme Clearing' ",5
2007 ,"'D5 - Forestry & arboriculture' ","'Men' ","'Direct Clearing' ",15
2007 ,"'D5 - Forestry & arboriculture' ","'Men' ","'RPA' ",5
2007 ,"'D5 - Forestry & arboriculture' ","'Women' ","'Firm choice' ",5
2007 ,"'D6 - Food and Beverage studies' ","'Men' ","'Firm choice' ",70
2007 ,"'D6 - Food and Beverage studies' ","'Men' ","'Other main scheme choice' ",15
2007 ,"'D6 - Food and Beverage studies' ","'Men' ","'Main scheme Clearing' ",10
2007 ,"'D6 - Food and Beverage studies' ","'Men' ","'Direct Clearing' ",15
2007 ,"'D6 - Food and Beverage studies' ","'Men' ","'RPA' ",20
2007 ,"'D6 - Food and Beverage studies' ","'Women' ","'Firm choice' ",120
2007 ,"'D6 - Food and Beverage studies' ","'Women' ","'Insurance choice' ",5
2007 ,"'D6 - Food and Beverage studies' ","'Women' ","'Other main scheme choice' ",15
2007 ,"'D6 - Food and Beverage studies' ","'Women' ","'Main scheme Clearing' ",20
2007 ,"'D6 - Food and Beverage studies' ","'Women' ","'Direct Clearing' ",15
2007 ,"'D6 - Food and Beverage studies' ","'Women' ","'RPA' ",20
