"Statistic:   Number of Acceptances"
"Variables:   SIMD Quintile 2012 , Sex , Cycle Year"
"Coverage:   Scottish domiciled 18 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_047_01.pdf"
 
Cycle Year,SIMD Quintile 2012 , Sex,Number of Acceptances,
2006 ,"'SIMD Quintile 1' ","'Men' ",420
2013 ,"'SIMD Quintile 1' ","'Men' ",485
2013 ,"'SIMD Quintile 1' ","'Women' ",760
2013 ,"'SIMD Quintile 2' ","'Men' ",730
2013 ,"'SIMD Quintile 2' ","'Women' ",1135
2013 ,"'SIMD Quintile 3' ","'Men' ",1140
2013 ,"'SIMD Quintile 3' ","'Women' ",1530
2013 ,"'SIMD Quintile 4' ","'Men' ",1570
2013 ,"'SIMD Quintile 4' ","'Women' ",2040
2013 ,"'SIMD Quintile 5' ","'Men' ",2280
2013 ,"'SIMD Quintile 5' ","'Women' ",2810
2013 ,"'Not assigned' ","'Men' ",10
2013 ,"'Not assigned' ","'Women' ",15
2014 ,"'SIMD Quintile 1' ","'Men' ",500
2014 ,"'SIMD Quintile 1' ","'Women' ",825
2014 ,"'SIMD Quintile 2' ","'Men' ",730
2014 ,"'SIMD Quintile 2' ","'Women' ",1130
2014 ,"'SIMD Quintile 3' ","'Men' ",1065
2014 ,"'SIMD Quintile 3' ","'Women' ",1565
2014 ,"'SIMD Quintile 4' ","'Men' ",1470
2014 ,"'SIMD Quintile 4' ","'Women' ",2075
2014 ,"'SIMD Quintile 5' ","'Men' ",2225
2014 ,"'SIMD Quintile 5' ","'Women' ",2680
2014 ,"'Not assigned' ","'Men' ",5
2014 ,"'Not assigned' ","'Women' ",5
2015 ,"'SIMD Quintile 1' ","'Men' ",480
2015 ,"'SIMD Quintile 1' ","'Women' ",760
2015 ,"'SIMD Quintile 2' ","'Men' ",740
2015 ,"'SIMD Quintile 2' ","'Women' ",1235
2015 ,"'SIMD Quintile 3' ","'Men' ",1115
2015 ,"'SIMD Quintile 3' ","'Women' ",1660
2015 ,"'SIMD Quintile 4' ","'Men' ",1580
2015 ,"'SIMD Quintile 4' ","'Women' ",2130
2015 ,"'SIMD Quintile 5' ","'Men' ",2240
2015 ,"'SIMD Quintile 5' ","'Women' ",2760
2015 ,"'Not assigned' ","'Men' ",15
2015 ,"'Not assigned' ","'Women' ",25
2016 ,"'SIMD Quintile 1' ","'Men' ",495
2016 ,"'SIMD Quintile 1' ","'Women' ",850
2016 ,"'SIMD Quintile 2' ","'Men' ",710
2016 ,"'SIMD Quintile 2' ","'Women' ",1280
2016 ,"'SIMD Quintile 3' ","'Men' ",1080
2016 ,"'SIMD Quintile 3' ","'Women' ",1640
2016 ,"'SIMD Quintile 4' ","'Men' ",1590
2016 ,"'SIMD Quintile 4' ","'Women' ",2140
2016 ,"'SIMD Quintile 5' ","'Men' ",2275
2016 ,"'SIMD Quintile 5' ","'Women' ",2750
2016 ,"'Not assigned' ","'Men' ",15
2016 ,"'Not assigned' ","'Women' ",45
