"Statistic:   Number of Applications"
"Variables:   Subject Group (Detailed Level) , Provider Country 2016 , Cycle Year"
"Coverage:   Applications through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_031_03.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Provider Country 2016,Number of Applications,
2007 ,"'A1 - Pre-clinical Medicine' ","'England' ",59995
2007 ,"'C3 - Zoology' ","'Scotland' ",1600
2007 ,"'C3 - Zoology' ","'Wales' ",875
2007 ,"'C4 - Genetics' ","'England' ",1800
2007 ,"'C4 - Genetics' ","'Northern Ireland' ",80
2007 ,"'C4 - Genetics' ","'Scotland' ",375
2007 ,"'C4 - Genetics' ","'Wales' ",195
2007 ,"'C5 - Microbiology' ","'England' ",1510
2007 ,"'C5 - Microbiology' ","'Northern Ireland' ",45
2007 ,"'C5 - Microbiology' ","'Scotland' ",690
2007 ,"'C5 - Microbiology' ","'Wales' ",75
2007 ,"'C6 - Sport and Exercise Science' ","'England' ",41850
2007 ,"'C6 - Sport and Exercise Science' ","'Northern Ireland' ",490
2007 ,"'C6 - Sport and Exercise Science' ","'Scotland' ",3425
2007 ,"'C6 - Sport and Exercise Science' ","'Wales' ",4140
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'England' ",11560
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Northern Ireland' ",225
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Scotland' ",1225
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Wales' ",475
2007 ,"'C8 - Psychology' ","'England' ",67165
2007 ,"'C8 - Psychology' ","'Northern Ireland' ",2075
2007 ,"'C8 - Psychology' ","'Scotland' ",7300
2007 ,"'C8 - Psychology' ","'Wales' ",3745
2007 ,"'C9 - Others in Biological Sciences' ","'England' ",2720
2007 ,"'C9 - Others in Biological Sciences' ","'Scotland' ",130
2007 ,"'C9 - Others in Biological Sciences' ","'Wales' ",155
2007 ,"'CC - Combinations within Biological Sciences' ","'England' ",3085
2007 ,"'CC - Combinations within Biological Sciences' ","'Scotland' ",805
2007 ,"'CC - Combinations within Biological Sciences' ","'Wales' ",300
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'England' ",4685
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Scotland' ",1745
2007 ,"'D3 - Animal Science' ","'England' ",5405
2007 ,"'D3 - Animal Science' ","'Northern Ireland' ",45
2007 ,"'D3 - Animal Science' ","'Scotland' ",235
2007 ,"'D3 - Animal Science' ","'Wales' ",255
2007 ,"'D4 - Agriculture' ","'England' ",3105
2007 ,"'D4 - Agriculture' ","'Northern Ireland' ",335
2007 ,"'D4 - Agriculture' ","'Scotland' ",335
2007 ,"'D4 - Agriculture' ","'Wales' ",385
2007 ,"'D5 - Forestry & arboriculture' ","'England' ",160
2007 ,"'D5 - Forestry & arboriculture' ","'Scotland' ",35
2007 ,"'D5 - Forestry & arboriculture' ","'Wales' ",35
2007 ,"'D6 - Food and Beverage studies' ","'England' ",815
2007 ,"'D6 - Food and Beverage studies' ","'Northern Ireland' ",90
2007 ,"'D6 - Food and Beverage studies' ","'Scotland' ",70
2007 ,"'D6 - Food and Beverage studies' ","'Wales' ",75
2007 ,"'D7 - Agricultural Sciences' ","'England' ",130
2007 ,"'D7 - Agricultural Sciences' ","'Scotland' ",15
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'England' ",180
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'England' ",260
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'Wales' ",35
2007 ,"'F0 - Physical Sciences: any area of study' ","'England' ",275
2007 ,"'F0 - Physical Sciences: any area of study' ","'Scotland' ",5
2007 ,"'F1 - Chemistry' ","'England' ",16745
2007 ,"'F1 - Chemistry' ","'Northern Ireland' ",390
2007 ,"'F1 - Chemistry' ","'Scotland' ",2685
2007 ,"'F1 - Chemistry' ","'Wales' ",645
2007 ,"'F2 - Materials Science' ","'England' ",20
2007 ,"'F2 - Materials Science' ","'Scotland' ",25
2007 ,"'F3 - Physics' ","'England' ",14900
2007 ,"'F3 - Physics' ","'Northern Ireland' ",195
2007 ,"'F3 - Physics' ","'Scotland' ",2430
2007 ,"'F3 - Physics' ","'Wales' ",700
2007 ,"'F4 - Forensic and Archaeological Science' ","'England' ",6650
2007 ,"'F4 - Forensic and Archaeological Science' ","'Scotland' ",980
2007 ,"'F4 - Forensic and Archaeological Science' ","'Wales' ",630
2007 ,"'F5 - Astronomy' ","'England' ",475
2007 ,"'F5 - Astronomy' ","'Scotland' ",135
2007 ,"'F5 - Astronomy' ","'Wales' ",90
2007 ,"'F6 - Geology' ","'England' ",5145
2007 ,"'F6 - Geology' ","'Scotland' ",905
2007 ,"'F6 - Geology' ","'Wales' ",735
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'England' ",5550
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'Northern Ireland' ",240
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'Scotland' ",240
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'Wales' ",125
2007 ,"'F8 - Physical geographical sciences' ","'England' ",14370
2007 ,"'F8 - Physical geographical sciences' ","'Northern Ireland' ",940
2007 ,"'F8 - Physical geographical sciences' ","'Scotland' ",1355
2007 ,"'F8 - Physical geographical sciences' ","'Wales' ",1420
2007 ,"'F9 - Others in Physical Sciences' ","'England' ",745
2007 ,"'F9 - Others in Physical Sciences' ","'Scotland' ",90
2007 ,"'F9 - Others in Physical Sciences' ","'Wales' ",200
2007 ,"'FF - Combinations within Physical Sciences' ","'England' ",4380
2007 ,"'FF - Combinations within Physical Sciences' ","'Northern Ireland' ",50
2007 ,"'FF - Combinations within Physical Sciences' ","'Scotland' ",860
2007 ,"'FF - Combinations within Physical Sciences' ","'Wales' ",125
2007 ,"'G0 - Mathematical Sciences: any area' ","'England' ",50
2007 ,"'G0 - Mathematical Sciences: any area' ","'Scotland' ",30
2007 ,"'G1 - Mathematics' ","'England' ",27290
2007 ,"'G1 - Mathematics' ","'Northern Ireland' ",495
2007 ,"'G1 - Mathematics' ","'Scotland' ",2265
2007 ,"'G1 - Mathematics' ","'Wales' ",1125
2007 ,"'G2 - Operational Research' ","'England' ",170
2007 ,"'G2 - Operational Research' ","'Scotland' ",70
2007 ,"'G3 - Statistics' ","'England' ",800
2007 ,"'G3 - Statistics' ","'Scotland' ",20
2007 ,"'G3 - Statistics' ","'Wales' ",20
2007 ,"'G9 - Others in Mathematical Sciences' ","'England' ",75
2007 ,"'GG - Combinations within Mathematical Sciences' ","'England' ",2325
2007 ,"'GG - Combinations within Mathematical Sciences' ","'Northern Ireland' ",30
2007 ,"'GG - Combinations within Mathematical Sciences' ","'Scotland' ",625
2007 ,"'GG - Combinations within Mathematical Sciences' ","'Wales' ",5
2007 ,"'H0 - Engineering: any area of study' ","'England' ",480
2007 ,"'H1 - General Engineering' ","'England' ",10200
2007 ,"'H1 - General Engineering' ","'Northern Ireland' ",250
2007 ,"'H1 - General Engineering' ","'Scotland' ",755
2007 ,"'H1 - General Engineering' ","'Wales' ",395
2007 ,"'H2 - Civil Engineering' ","'England' ",16305
2007 ,"'H2 - Civil Engineering' ","'Northern Ireland' ",1025
2007 ,"'H2 - Civil Engineering' ","'Scotland' ",3580
2007 ,"'H2 - Civil Engineering' ","'Wales' ",1585
2007 ,"'H3 - Mechanical Engineering' ","'England' ",22230
2007 ,"'H3 - Mechanical Engineering' ","'Northern Ireland' ",495
2007 ,"'H3 - Mechanical Engineering' ","'Scotland' ",3100
2007 ,"'H3 - Mechanical Engineering' ","'Wales' ",1260
2007 ,"'H4 - Aerospace Engineering' ","'England' ",10175
2007 ,"'H4 - Aerospace Engineering' ","'Northern Ireland' ",255
2007 ,"'H4 - Aerospace Engineering' ","'Scotland' ",570
2007 ,"'H4 - Aerospace Engineering' ","'Wales' ",360
2007 ,"'H5 - Naval Architecture' ","'England' ",330
2007 ,"'H5 - Naval Architecture' ","'Scotland' ",95
2007 ,"'H5 - Naval Architecture' ","'Wales' ",5
2007 ,"'H6 - Electronic and Electrical Engineering' ","'England' ",19835
2007 ,"'H6 - Electronic and Electrical Engineering' ","'Northern Ireland' ",235
2007 ,"'H6 - Electronic and Electrical Engineering' ","'Scotland' ",2490
2007 ,"'H6 - Electronic and Electrical Engineering' ","'Wales' ",1080
2007 ,"'H7 - Production and Manufacturing Engineering' ","'England' ",3070
2007 ,"'H7 - Production and Manufacturing Engineering' ","'Northern Ireland' ",230
2007 ,"'H7 - Production and Manufacturing Engineering' ","'Scotland' ",490
2007 ,"'H7 - Production and Manufacturing Engineering' ","'Wales' ",5
2007 ,"'H8 - Chemical,Process and Energy Engineering' ","'England' ",6910
2007 ,"'H8 - Chemical,Process and Energy Engineering' ","'Northern Ireland' ",110
2007 ,"'H8 - Chemical,Process and Energy Engineering' ","'Scotland' ",1360
2007 ,"'H8 - Chemical,Process and Energy Engineering' ","'Wales' ",70
2007 ,"'H9 - Others in Engineering' ","'England' ",15
2007 ,"'HH - Combinations within Engineering' ","'England' ",2335
2007 ,"'HH - Combinations within Engineering' ","'Northern Ireland' ",145
2007 ,"'HH - Combinations within Engineering' ","'Scotland' ",1195
2007 ,"'HH - Combinations within Engineering' ","'Wales' ",150
2007 ,"'I1 - Computer Science' ","'England' ",44355
2007 ,"'I1 - Computer Science' ","'Northern Ireland' ",2365
2007 ,"'I1 - Computer Science' ","'Scotland' ",4870
2007 ,"'I1 - Computer Science' ","'Wales' ",2020
2007 ,"'I2 - Information Systems' ","'England' ",12365
2007 ,"'I2 - Information Systems' ","'Northern Ireland' ",390
2007 ,"'I2 - Information Systems' ","'Scotland' ",570
2007 ,"'I2 - Information Systems' ","'Wales' ",640
2007 ,"'I3 - Software Engineering' ","'England' ",5550
2007 ,"'I3 - Software Engineering' ","'Northern Ireland' ",65
2007 ,"'I3 - Software Engineering' ","'Scotland' ",480
2007 ,"'I3 - Software Engineering' ","'Wales' ",220
2007 ,"'I4 - Artificial Intelligence' ","'England' ",320
2007 ,"'I4 - Artificial Intelligence' ","'Northern Ireland' ",50
2007 ,"'I4 - Artificial Intelligence' ","'Scotland' ",70
2007 ,"'I9 - Others in Computer Sciences' ","'England' ",65
2007 ,"'II - Combinations in Computer Sciences' ","'England' ",4225
2007 ,"'II - Combinations in Computer Sciences' ","'Northern Ireland' ",600
2007 ,"'II - Combinations in Computer Sciences' ","'Scotland' ",200
2007 ,"'II - Combinations in Computer Sciences' ","'Wales' ",295
2007 ,"'J0 - Technologies: any area of study' ","'Scotland' ",10
2007 ,"'J1 - Minerals Technology' ","'England' ",145
2007 ,"'J2 - Metallurgy' ","'England' ",20
2007 ,"'J4 - Polymers and Textiles' ","'England' ",780
2007 ,"'J4 - Polymers and Textiles' ","'Scotland' ",115
2007 ,"'J5 - Materials Technology not otherwise spec' ","'England' ",990
2007 ,"'J5 - Materials Technology not otherwise spec' ","'Wales' ",50
2007 ,"'J6 - Maritime Technology' ","'England' ",575
2007 ,"'J6 - Maritime Technology' ","'Scotland' ",30
2007 ,"'J6 - Maritime Technology' ","'Wales' ",5
2007 ,"'J7 - Biotechnology' ","'England' ",610
2007 ,"'J7 - Biotechnology' ","'Scotland' ",205
2007 ,"'J7 - Biotechnology' ","'Wales' ",50
2007 ,"'J9 - Others in Technology' ","'England' ",6135
2007 ,"'J9 - Others in Technology' ","'Northern Ireland' ",295
2007 ,"'J9 - Others in Technology' ","'Scotland' ",175
2007 ,"'J9 - Others in Technology' ","'Wales' ",555
2007 ,"'JJ - Combinations within Technology' ","'England' ",25
2007 ,"'K1 - Architecture' ","'England' ",20900
2007 ,"'K1 - Architecture' ","'Northern Ireland' ",920
2007 ,"'K1 - Architecture' ","'Scotland' ",4315
2007 ,"'K1 - Architecture' ","'Wales' ",1080
2007 ,"'K2 - Building' ","'England' ",12700
2007 ,"'K2 - Building' ","'Northern Ireland' ",1915
2007 ,"'K2 - Building' ","'Scotland' ",2175
2007 ,"'K2 - Building' ","'Wales' ",315
2007 ,"'K3 - Landscape & Garden Design' ","'England' ",575
2007 ,"'K3 - Landscape & Garden Design' ","'Scotland' ",75
2007 ,"'K3 - Landscape & Garden Design' ","'Wales' ",10
2007 ,"'K4 - Planning (Urban,Rural and Regional)' ","'England' ",3310
2007 ,"'K4 - Planning (Urban,Rural and Regional)' ","'Northern Ireland' ",610
2007 ,"'K4 - Planning (Urban,Rural and Regional)' ","'Scotland' ",415
2007 ,"'K4 - Planning (Urban,Rural and Regional)' ","'Wales' ",235
2007 ,"'K9 - Others in Architecture,Build & Plan' ","'England' ",65
2007 ,"'KK - Combinations within Architecture,Build & Plan' ","'England' ",900
2007 ,"'KK - Combinations within Architecture,Build & Plan' ","'Northern Ireland' ",405
2007 ,"'KK - Combinations within Architecture,Build & Plan' ","'Wales' ",5
2007 ,"'L0 - Social Studies: any area of study' ","'England' ",130
2007 ,"'L1 - Economics' ","'England' ",35995
2007 ,"'L1 - Economics' ","'Northern Ireland' ",550
2007 ,"'L1 - Economics' ","'Scotland' ",2050
2007 ,"'L1 - Economics' ","'Wales' ",1020
2007 ,"'L2 - Politics' ","'England' ",21515
2007 ,"'L2 - Politics' ","'Northern Ireland' ",760
2007 ,"'L2 - Politics' ","'Scotland' ",2830
2007 ,"'L2 - Politics' ","'Wales' ",1140
2007 ,"'L3 - Sociology' ","'England' ",17100
2007 ,"'L3 - Sociology' ","'Northern Ireland' ",920
2007 ,"'L3 - Sociology' ","'Scotland' ",3080
2007 ,"'L3 - Sociology' ","'Wales' ",1025
2007 ,"'L4 - Social Policy' ","'England' ",3595
2007 ,"'L4 - Social Policy' ","'Northern Ireland' ",500
2007 ,"'L4 - Social Policy' ","'Scotland' ",255
2007 ,"'L4 - Social Policy' ","'Wales' ",305
2007 ,"'L5 - Social Work' ","'England' ",48680
2007 ,"'L5 - Social Work' ","'Northern Ireland' ",4300
2007 ,"'L5 - Social Work' ","'Scotland' ",4205
2007 ,"'L5 - Social Work' ","'Wales' ",2325
2007 ,"'L6 - Anthropology' ","'England' ",2925
2007 ,"'L6 - Anthropology' ","'Northern Ireland' ",105
2007 ,"'L6 - Anthropology' ","'Scotland' ",630
2007 ,"'L6 - Anthropology' ","'Wales' ",30
2007 ,"'L7 - Human and Social Geography' ","'England' ",12680
2007 ,"'L7 - Human and Social Geography' ","'Scotland' ",1480
2007 ,"'L7 - Human and Social Geography' ","'Wales' ",375
2007 ,"'L9 - Others in Social Studies' ","'England' ",2220
2007 ,"'LL - Combinations within Social Studies' ","'England' ",14995
2007 ,"'LL - Combinations within Social Studies' ","'Northern Ireland' ",695
2007 ,"'LL - Combinations within Social Studies' ","'Scotland' ",2165
2007 ,"'LL - Combinations within Social Studies' ","'Wales' ",420
2007 ,"'M0 - Law: any area of study' ","'England' ",5
2007 ,"'M1 - Law by Area' ","'England' ",81185
2007 ,"'M1 - Law by Area' ","'Northern Ireland' ",1855
2007 ,"'M1 - Law by Area' ","'Scotland' ",6245
2007 ,"'M1 - Law by Area' ","'Wales' ",3690
2007 ,"'M2 - Law by Topic' ","'England' ",4095
2007 ,"'M2 - Law by Topic' ","'Scotland' ",685
2007 ,"'M2 - Law by Topic' ","'Wales' ",115
2007 ,"'M9 - Others in Law' ","'England' ",8015
2007 ,"'M9 - Others in Law' ","'Northern Ireland' ",1110
2007 ,"'M9 - Others in Law' ","'Scotland' ",435
2007 ,"'M9 - Others in Law' ","'Wales' ",490
2007 ,"'MM - Combinations within Law' ","'England' ",2555
2007 ,"'MM - Combinations within Law' ","'Scotland' ",105
2007 ,"'MM - Combinations within Law' ","'Wales' ",75
2007 ,"'N0 - Business & Admin studies: any area' ","'England' ",125
2007 ,"'N1 - Business studies' ","'England' ",45505
2007 ,"'N1 - Business studies' ","'Northern Ireland' ",2115
2007 ,"'N1 - Business studies' ","'Scotland' ",5180
2007 ,"'N1 - Business studies' ","'Wales' ",2475
2007 ,"'N2 - Management studies' ","'England' ",56605
2007 ,"'N2 - Management studies' ","'Northern Ireland' ",390
2007 ,"'N2 - Management studies' ","'Scotland' ",3505
2007 ,"'N2 - Management studies' ","'Wales' ",2150
2007 ,"'N3 - Finance' ","'England' ",5875
2007 ,"'N3 - Finance' ","'Northern Ireland' ",735
2007 ,"'N3 - Finance' ","'Scotland' ",365
2007 ,"'N3 - Finance' ","'Wales' ",280
2007 ,"'N4 - Accounting' ","'England' ",25205
2007 ,"'N4 - Accounting' ","'Northern Ireland' ",1050
2007 ,"'N4 - Accounting' ","'Scotland' ",3205
2007 ,"'N4 - Accounting' ","'Wales' ",1455
2007 ,"'N5 - Marketing' ","'England' ",17180
2007 ,"'N5 - Marketing' ","'Northern Ireland' ",445
2007 ,"'N5 - Marketing' ","'Scotland' ",1170
2007 ,"'N5 - Marketing' ","'Wales' ",325
2007 ,"'N6 - Human Resource Management' ","'England' ",2920
2007 ,"'N6 - Human Resource Management' ","'Northern Ireland' ",235
2007 ,"'N6 - Human Resource Management' ","'Scotland' ",360
2007 ,"'N6 - Human Resource Management' ","'Wales' ",90
2007 ,"'N7 - Office Skills' ","'England' ",65
2007 ,"'N8 - Hospitality, leisure, sport, tourism & transport' ","'England' ",28375
2007 ,"'N8 - Hospitality, leisure, sport, tourism & transport' ","'Northern Ireland' ",985
2007 ,"'N8 - Hospitality, leisure, sport, tourism & transport' ","'Scotland' ",4000
2007 ,"'N8 - Hospitality, leisure, sport, tourism & transport' ","'Wales' ",1240
2007 ,"'N9 - Others in Business & Admin Studies' ","'England' ",2045
2007 ,"'N9 - Others in Business & Admin Studies' ","'Northern Ireland' ",115
2007 ,"'N9 - Others in Business & Admin Studies' ","'Scotland' ",65
2007 ,"'N9 - Others in Business & Admin Studies' ","'Wales' ",100
2007 ,"'NN - Combinations within Business & Admin Studies' ","'England' ",56765
2007 ,"'NN - Combinations within Business & Admin Studies' ","'Northern Ireland' ",660
2007 ,"'NN - Combinations within Business & Admin Studies' ","'Scotland' ",4685
2007 ,"'NN - Combinations within Business & Admin Studies' ","'Wales' ",1925
2007 ,"'P1 - Information Services' ","'England' ",470
2007 ,"'P1 - Information Services' ","'Scotland' ",35
2007 ,"'P1 - Information Services' ","'Wales' ",40
2007 ,"'P2 - Publicity studies' ","'England' ",1735
2007 ,"'P2 - Publicity studies' ","'Northern Ireland' ",180
2007 ,"'P3 - Media studies' ","'England' ",22295
2007 ,"'P3 - Media studies' ","'Northern Ireland' ",670
2007 ,"'P3 - Media studies' ","'Scotland' ",1035
2007 ,"'P3 - Media studies' ","'Wales' ",1685
2007 ,"'P4 - Publishing' ","'England' ",195
2007 ,"'P4 - Publishing' ","'Scotland' ",70
2007 ,"'P5 - Journalism' ","'England' ",10780
2007 ,"'P5 - Journalism' ","'Scotland' ",555
2007 ,"'P5 - Journalism' ","'Wales' ",105
2007 ,"'P9 - Others in Mass Comms & Documentation' ","'England' ",2775
2007 ,"'P9 - Others in Mass Comms & Documentation' ","'Northern Ireland' ",605
2007 ,"'P9 - Others in Mass Comms & Documentation' ","'Scotland' ",250
2007 ,"'P9 - Others in Mass Comms & Documentation' ","'Wales' ",140
2007 ,"'PP - Combinations within Mass Comms & Documentation' ","'England' ",6160
2007 ,"'PP - Combinations within Mass Comms & Documentation' ","'Northern Ireland' ",85
2007 ,"'PP - Combinations within Mass Comms & Documentation' ","'Scotland' ",655
2007 ,"'PP - Combinations within Mass Comms & Documentation' ","'Wales' ",240
2007 ,"'Q1 - Linguistics' ","'England' ",1565
2007 ,"'Q1 - Linguistics' ","'Northern Ireland' ",170
2007 ,"'Q1 - Linguistics' ","'Scotland' ",75
2007 ,"'Q1 - Linguistics' ","'Wales' ",85
2007 ,"'Q2 - Comparative Literary studies' ","'England' ",555
2007 ,"'Q2 - Comparative Literary studies' ","'Scotland' ",35
2007 ,"'Q3 - English studies' ","'England' ",45835
2007 ,"'Q3 - English studies' ","'Northern Ireland' ",1140
2007 ,"'Q3 - English studies' ","'Scotland' ",4510
2007 ,"'Q3 - English studies' ","'Wales' ",2745
2007 ,"'Q4 - Ancient Language studies' ","'England' ",60
2007 ,"'Q4 - Ancient Language studies' ","'Scotland' ",5
2007 ,"'Q5 - Celtic studies' ","'England' ",15
2007 ,"'Q5 - Celtic studies' ","'Northern Ireland' ",285
2007 ,"'Q5 - Celtic studies' ","'Scotland' ",105
2007 ,"'Q5 - Celtic studies' ","'Wales' ",300
2007 ,"'Q6 - Latin studies' ","'England' ",30
2007 ,"'Q6 - Latin studies' ","'Scotland' ",20
2007 ,"'Q7 - Classical Greek studies' ","'England' ",15
2007 ,"'Q7 - Classical Greek studies' ","'Scotland' ",15
2007 ,"'Q8 - Classical studies' ","'England' ",4750
2007 ,"'Q8 - Classical studies' ","'Scotland' ",630
2007 ,"'Q8 - Classical studies' ","'Wales' ",120
2007 ,"'Q9 - Others in Linguistics,Classics & related' ","'England' ",275
2007 ,"'Q9 - Others in Linguistics,Classics & related' ","'Northern Ireland' ",35
2007 ,"'Q9 - Others in Linguistics,Classics & related' ","'Wales' ",45
2007 ,"'QQ - Combinations within Linguistics,Classics & related' ","'England' ",4355
2007 ,"'QQ - Combinations within Linguistics,Classics & related' ","'Northern Ireland' ",60
2007 ,"'QQ - Combinations within Linguistics,Classics & related' ","'Scotland' ",695
2007 ,"'QQ - Combinations within Linguistics,Classics & related' ","'Wales' ",265
2007 ,"'R0 - European Langs,Lit & related: any area' ","'England' ",625
2007 ,"'R0 - European Langs,Lit & related: any area' ","'Northern Ireland' ",5
2007 ,"'R1 - French studies' ","'England' ",3275
2007 ,"'R1 - French studies' ","'Northern Ireland' ",120
2007 ,"'R1 - French studies' ","'Scotland' ",490
2007 ,"'R1 - French studies' ","'Wales' ",175
2007 ,"'R2 - German studies' ","'England' ",1185
2007 ,"'R2 - German studies' ","'Northern Ireland' ",35
2007 ,"'R2 - German studies' ","'Scotland' ",170
2007 ,"'R2 - German studies' ","'Wales' ",90
2007 ,"'R3 - Italian studies' ","'England' ",290
2007 ,"'R3 - Italian studies' ","'Scotland' ",65
2007 ,"'R3 - Italian studies' ","'Wales' ",35
2007 ,"'R4 - Spanish studies' ","'England' ",1330
2007 ,"'R4 - Spanish studies' ","'Northern Ireland' ",155
2007 ,"'R4 - Spanish studies' ","'Scotland' ",260
2007 ,"'R4 - Spanish studies' ","'Wales' ",180
2007 ,"'R5 - Portuguese studies' ","'England' ",5
2007 ,"'R6 - Scandinavian studies' ","'England' ",40
2007 ,"'R6 - Scandinavian studies' ","'Scotland' ",35
2007 ,"'R7 - Russian and East European studies' ","'England' ",405
2007 ,"'R7 - Russian and East European studies' ","'Scotland' ",80
2007 ,"'R8 - European studies' ","'England' ",10
2007 ,"'R9 - Others in European Langs,Lit and related' ","'England' ",4175
2007 ,"'R9 - Others in European Langs,Lit and related' ","'Northern Ireland' ",55
2007 ,"'R9 - Others in European Langs,Lit and related' ","'Scotland' ",220
2007 ,"'R9 - Others in European Langs,Lit and related' ","'Wales' ",175
2007 ,"'RR - Combinations within European Langs,Lit and related' ","'England' ",9115
2007 ,"'RR - Combinations within European Langs,Lit and related' ","'Northern Ireland' ",195
2007 ,"'RR - Combinations within European Langs,Lit and related' ","'Scotland' ",1275
2007 ,"'RR - Combinations within European Langs,Lit and related' ","'Wales' ",620
2007 ,"'T1 - Chinese studies' ","'England' ",655
2007 ,"'T1 - Chinese studies' ","'Scotland' ",155
2007 ,"'T1 - Chinese studies' ","'Wales' ",5
2007 ,"'T2 - Japanese studies' ","'England' ",885
2007 ,"'T2 - Japanese studies' ","'Scotland' ",235
