"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Applicant Domicile (UK / EU / Not EU) , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_016_07.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Applicant Domicile (UK / EU / Not EU) , Acceptance Route,Number of Acceptances,
2007 ,"'A1 - Pre-clinical Medicine' ","'UK' ","'Firm choice' ",6580
2007 ,"'A2 - Pre-clinical Dentistry' ","'Not EU' ","'Other main scheme choice' ",5
2007 ,"'A2 - Pre-clinical Dentistry' ","'Not EU' ","'Main scheme Clearing' ",5
2007 ,"'A2 - Pre-clinical Dentistry' ","'Not EU' ","'RPA' ",5
2007 ,"'A9 - Others in Medicine and Dentistry' ","'UK' ","'Firm choice' ",15
2007 ,"'A9 - Others in Medicine and Dentistry' ","'UK' ","'Main scheme Clearing' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'UK' ","'Firm choice' ",2750
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'UK' ","'Insurance choice' ",125
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'UK' ","'Other main scheme choice' ",70
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'UK' ","'Extra' ",55
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'UK' ","'Main scheme Clearing' ",325
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'UK' ","'Direct Clearing' ",65
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'UK' ","'RPA' ",105
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'EU (excluding UK)' ","'Firm choice' ",190
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'EU (excluding UK)' ","'Insurance choice' ",10
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'EU (excluding UK)' ","'Other main scheme choice' ",10
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'EU (excluding UK)' ","'Extra' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'EU (excluding UK)' ","'Main scheme Clearing' ",20
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'EU (excluding UK)' ","'RPA' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Not EU' ","'Firm choice' ",80
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Not EU' ","'Insurance choice' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Not EU' ","'Other main scheme choice' ",10
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Not EU' ","'Main scheme Clearing' ",10
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Not EU' ","'RPA' ",10
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'UK' ","'Firm choice' ",2220
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'UK' ","'Insurance choice' ",385
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'UK' ","'Other main scheme choice' ",75
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'UK' ","'Extra' ",60
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'UK' ","'Main scheme Clearing' ",395
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'UK' ","'Direct Clearing' ",50
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'UK' ","'RPA' ",100
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'EU (excluding UK)' ","'Firm choice' ",205
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'EU (excluding UK)' ","'Insurance choice' ",20
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'EU (excluding UK)' ","'Other main scheme choice' ",20
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'EU (excluding UK)' ","'Extra' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'EU (excluding UK)' ","'Main scheme Clearing' ",15
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'EU (excluding UK)' ","'Direct Clearing' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'EU (excluding UK)' ","'RPA' ",10
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Not EU' ","'Firm choice' ",305
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Not EU' ","'Insurance choice' ",20
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Not EU' ","'Other main scheme choice' ",45
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Not EU' ","'Extra' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Not EU' ","'Main scheme Clearing' ",25
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Not EU' ","'Direct Clearing' ",10
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Not EU' ","'RPA' ",15
2007 ,"'B3 - Complementary Medicine' ","'UK' ","'Firm choice' ",630
2007 ,"'B3 - Complementary Medicine' ","'UK' ","'Insurance choice' ",5
2007 ,"'B3 - Complementary Medicine' ","'UK' ","'Other main scheme choice' ",95
2007 ,"'B3 - Complementary Medicine' ","'UK' ","'Extra' ",20
2007 ,"'B3 - Complementary Medicine' ","'UK' ","'Main scheme Clearing' ",50
2007 ,"'B3 - Complementary Medicine' ","'UK' ","'Direct Clearing' ",50
2007 ,"'B3 - Complementary Medicine' ","'UK' ","'RPA' ",195
2007 ,"'B3 - Complementary Medicine' ","'EU (excluding UK)' ","'Firm choice' ",75
2007 ,"'B3 - Complementary Medicine' ","'EU (excluding UK)' ","'Other main scheme choice' ",15
2007 ,"'B3 - Complementary Medicine' ","'EU (excluding UK)' ","'Main scheme Clearing' ",5
2007 ,"'B3 - Complementary Medicine' ","'EU (excluding UK)' ","'Direct Clearing' ",5
2007 ,"'B3 - Complementary Medicine' ","'EU (excluding UK)' ","'RPA' ",10
2007 ,"'B3 - Complementary Medicine' ","'Not EU' ","'Firm choice' ",55
2007 ,"'B3 - Complementary Medicine' ","'Not EU' ","'Other main scheme choice' ",15
2007 ,"'B4 - Nutrition' ","'UK' ","'Firm choice' ",645
2007 ,"'B4 - Nutrition' ","'UK' ","'Insurance choice' ",45
2007 ,"'B4 - Nutrition' ","'UK' ","'Other main scheme choice' ",30
2007 ,"'B4 - Nutrition' ","'UK' ","'Extra' ",15
2007 ,"'B4 - Nutrition' ","'UK' ","'Main scheme Clearing' ",55
2007 ,"'B4 - Nutrition' ","'UK' ","'Direct Clearing' ",20
2007 ,"'B4 - Nutrition' ","'UK' ","'RPA' ",40
2007 ,"'B4 - Nutrition' ","'EU (excluding UK)' ","'Firm choice' ",95
2007 ,"'B4 - Nutrition' ","'EU (excluding UK)' ","'Insurance choice' ",15
2007 ,"'B4 - Nutrition' ","'EU (excluding UK)' ","'Other main scheme choice' ",5
2007 ,"'B4 - Nutrition' ","'EU (excluding UK)' ","'Main scheme Clearing' ",5
2007 ,"'B4 - Nutrition' ","'EU (excluding UK)' ","'Direct Clearing' ",10
2007 ,"'B4 - Nutrition' ","'Not EU' ","'Firm choice' ",40
2007 ,"'B4 - Nutrition' ","'Not EU' ","'Insurance choice' ",5
2007 ,"'B4 - Nutrition' ","'Not EU' ","'Other main scheme choice' ",5
2007 ,"'B4 - Nutrition' ","'Not EU' ","'Main scheme Clearing' ",5
2007 ,"'B5 - Ophthalmics' ","'UK' ","'Firm choice' ",510
2007 ,"'B5 - Ophthalmics' ","'UK' ","'Insurance choice' ",50
2007 ,"'B5 - Ophthalmics' ","'UK' ","'Other main scheme choice' ",20
2007 ,"'B5 - Ophthalmics' ","'UK' ","'Extra' ",20
2007 ,"'B5 - Ophthalmics' ","'UK' ","'Main scheme Clearing' ",90
2007 ,"'B5 - Ophthalmics' ","'UK' ","'Direct Clearing' ",5
2007 ,"'B5 - Ophthalmics' ","'UK' ","'RPA' ",10
2007 ,"'B5 - Ophthalmics' ","'EU (excluding UK)' ","'Firm choice' ",20
2007 ,"'B5 - Ophthalmics' ","'EU (excluding UK)' ","'Insurance choice' ",5
2007 ,"'B5 - Ophthalmics' ","'Not EU' ","'Firm choice' ",50
2007 ,"'B5 - Ophthalmics' ","'Not EU' ","'Other main scheme choice' ",15
2007 ,"'B5 - Ophthalmics' ","'Not EU' ","'Main scheme Clearing' ",5
2007 ,"'B5 - Ophthalmics' ","'Not EU' ","'RPA' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'UK' ","'Firm choice' ",695
2007 ,"'B6 - Aural and Oral Sciences' ","'UK' ","'Insurance choice' ",25
2007 ,"'B6 - Aural and Oral Sciences' ","'UK' ","'Other main scheme choice' ",15
2007 ,"'B6 - Aural and Oral Sciences' ","'UK' ","'Extra' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'UK' ","'Main scheme Clearing' ",70
2007 ,"'B6 - Aural and Oral Sciences' ","'UK' ","'Direct Clearing' ",15
2007 ,"'B6 - Aural and Oral Sciences' ","'UK' ","'RPA' ",10
2007 ,"'B6 - Aural and Oral Sciences' ","'EU (excluding UK)' ","'Firm choice' ",30
2007 ,"'B6 - Aural and Oral Sciences' ","'Not EU' ","'Firm choice' ",10
2007 ,"'B6 - Aural and Oral Sciences' ","'Not EU' ","'Main scheme Clearing' ",5
2007 ,"'B7 - Nursing' ","'UK' ","'Firm choice' ",4995
2007 ,"'B7 - Nursing' ","'UK' ","'Insurance choice' ",145
2007 ,"'B7 - Nursing' ","'UK' ","'Other main scheme choice' ",190
2007 ,"'B7 - Nursing' ","'UK' ","'Extra' ",80
2007 ,"'B7 - Nursing' ","'UK' ","'Main scheme Clearing' ",545
2007 ,"'B7 - Nursing' ","'UK' ","'Direct Clearing' ",90
2007 ,"'B7 - Nursing' ","'UK' ","'RPA' ",225
2007 ,"'B7 - Nursing' ","'EU (excluding UK)' ","'Firm choice' ",85
2007 ,"'B7 - Nursing' ","'EU (excluding UK)' ","'Insurance choice' ",5
2007 ,"'B7 - Nursing' ","'EU (excluding UK)' ","'Other main scheme choice' ",15
2007 ,"'B7 - Nursing' ","'EU (excluding UK)' ","'Main scheme Clearing' ",20
2007 ,"'B7 - Nursing' ","'EU (excluding UK)' ","'RPA' ",10
2007 ,"'B7 - Nursing' ","'Not EU' ","'Firm choice' ",20
2007 ,"'B7 - Nursing' ","'Not EU' ","'Main scheme Clearing' ",5
2007 ,"'B8 - Medical Technology' ","'UK' ","'Firm choice' ",1130
2007 ,"'B8 - Medical Technology' ","'UK' ","'Insurance choice' ",50
2007 ,"'B8 - Medical Technology' ","'UK' ","'Other main scheme choice' ",50
2007 ,"'B8 - Medical Technology' ","'UK' ","'Extra' ",20
2007 ,"'B8 - Medical Technology' ","'UK' ","'Main scheme Clearing' ",175
2007 ,"'B8 - Medical Technology' ","'UK' ","'Direct Clearing' ",45
2007 ,"'B8 - Medical Technology' ","'UK' ","'RPA' ",55
2007 ,"'B8 - Medical Technology' ","'EU (excluding UK)' ","'Firm choice' ",45
2007 ,"'B8 - Medical Technology' ","'EU (excluding UK)' ","'Insurance choice' ",5
2007 ,"'B8 - Medical Technology' ","'EU (excluding UK)' ","'Other main scheme choice' ",5
2007 ,"'B8 - Medical Technology' ","'EU (excluding UK)' ","'Main scheme Clearing' ",5
2007 ,"'B8 - Medical Technology' ","'EU (excluding UK)' ","'Direct Clearing' ",5
2007 ,"'B8 - Medical Technology' ","'EU (excluding UK)' ","'RPA' ",5
2007 ,"'B8 - Medical Technology' ","'Not EU' ","'Firm choice' ",15
2007 ,"'B8 - Medical Technology' ","'Not EU' ","'RPA' ",10
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'UK' ","'Firm choice' ",4210
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'UK' ","'Insurance choice' ",435
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'UK' ","'Other main scheme choice' ",295
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'UK' ","'Extra' ",115
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'UK' ","'Main scheme Clearing' ",770
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'UK' ","'Direct Clearing' ",180
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'UK' ","'RPA' ",540
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'EU (excluding UK)' ","'Firm choice' ",190
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'EU (excluding UK)' ","'Insurance choice' ",10
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'EU (excluding UK)' ","'Other main scheme choice' ",20
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'EU (excluding UK)' ","'Extra' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'EU (excluding UK)' ","'Main scheme Clearing' ",30
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'EU (excluding UK)' ","'Direct Clearing' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'EU (excluding UK)' ","'RPA' ",10
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Not EU' ","'Firm choice' ",185
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Not EU' ","'Insurance choice' ",20
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Not EU' ","'Other main scheme choice' ",25
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Not EU' ","'Extra' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Not EU' ","'Main scheme Clearing' ",25
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Not EU' ","'Direct Clearing' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Not EU' ","'RPA' ",50
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'UK' ","'Firm choice' ",135
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'UK' ","'Insurance choice' ",10
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'UK' ","'Other main scheme choice' ",10
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'UK' ","'Extra' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'UK' ","'Main scheme Clearing' ",35
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'UK' ","'Direct Clearing' ",10
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'UK' ","'RPA' ",25
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Not EU' ","'Firm choice' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Not EU' ","'Other main scheme choice' ",5
2007 ,"'C0 - Biological Sciences: any area of study' ","'UK' ","'Firm choice' ",20
2007 ,"'C1 - Biology' ","'UK' ","'Firm choice' ",2950
2007 ,"'C1 - Biology' ","'UK' ","'Insurance choice' ",330
2007 ,"'C1 - Biology' ","'UK' ","'Other main scheme choice' ",80
2007 ,"'C1 - Biology' ","'UK' ","'Extra' ",40
2007 ,"'C1 - Biology' ","'UK' ","'Main scheme Clearing' ",360
2007 ,"'C1 - Biology' ","'UK' ","'Direct Clearing' ",70
2007 ,"'C1 - Biology' ","'UK' ","'RPA' ",140
2007 ,"'C1 - Biology' ","'EU (excluding UK)' ","'Firm choice' ",170
2007 ,"'C1 - Biology' ","'EU (excluding UK)' ","'Insurance choice' ",15
2007 ,"'C1 - Biology' ","'EU (excluding UK)' ","'Other main scheme choice' ",20
2007 ,"'C1 - Biology' ","'EU (excluding UK)' ","'Extra' ",5
2007 ,"'C1 - Biology' ","'EU (excluding UK)' ","'Main scheme Clearing' ",10
2007 ,"'C1 - Biology' ","'EU (excluding UK)' ","'Direct Clearing' ",5
2007 ,"'C1 - Biology' ","'EU (excluding UK)' ","'RPA' ",15
2007 ,"'C1 - Biology' ","'Not EU' ","'Firm choice' ",125
2007 ,"'C1 - Biology' ","'Not EU' ","'Insurance choice' ",15
2007 ,"'C1 - Biology' ","'Not EU' ","'Other main scheme choice' ",15
2007 ,"'C1 - Biology' ","'Not EU' ","'Main scheme Clearing' ",15
2007 ,"'C1 - Biology' ","'Not EU' ","'Direct Clearing' ",5
2007 ,"'C1 - Biology' ","'Not EU' ","'RPA' ",25
2007 ,"'C2 - Botany' ","'UK' ","'Firm choice' ",15
2007 ,"'C3 - Zoology' ","'UK' ","'Firm choice' ",860
2007 ,"'C3 - Zoology' ","'UK' ","'Insurance choice' ",75
2007 ,"'C3 - Zoology' ","'UK' ","'Other main scheme choice' ",25
2007 ,"'C3 - Zoology' ","'UK' ","'Extra' ",10
2007 ,"'C3 - Zoology' ","'UK' ","'Main scheme Clearing' ",50
2007 ,"'C3 - Zoology' ","'UK' ","'Direct Clearing' ",15
2007 ,"'C3 - Zoology' ","'UK' ","'RPA' ",35
2007 ,"'C3 - Zoology' ","'EU (excluding UK)' ","'Firm choice' ",30
2007 ,"'C3 - Zoology' ","'Not EU' ","'Firm choice' ",20
2007 ,"'C3 - Zoology' ","'Not EU' ","'Insurance choice' ",5
2007 ,"'C4 - Genetics' ","'UK' ","'Firm choice' ",250
2007 ,"'C4 - Genetics' ","'UK' ","'Insurance choice' ",35
2007 ,"'C4 - Genetics' ","'UK' ","'Other main scheme choice' ",5
2007 ,"'C4 - Genetics' ","'UK' ","'Extra' ",5
2007 ,"'C4 - Genetics' ","'UK' ","'Main scheme Clearing' ",45
2007 ,"'C4 - Genetics' ","'UK' ","'Direct Clearing' ",5
2007 ,"'C4 - Genetics' ","'UK' ","'RPA' ",5
2007 ,"'C4 - Genetics' ","'EU (excluding UK)' ","'Firm choice' ",45
2007 ,"'C4 - Genetics' ","'EU (excluding UK)' ","'Other main scheme choice' ",5
2007 ,"'C4 - Genetics' ","'EU (excluding UK)' ","'RPA' ",5
2007 ,"'C4 - Genetics' ","'Not EU' ","'Firm choice' ",25
2007 ,"'C4 - Genetics' ","'Not EU' ","'Insurance choice' ",5
2007 ,"'C4 - Genetics' ","'Not EU' ","'Other main scheme choice' ",5
2007 ,"'C4 - Genetics' ","'Not EU' ","'RPA' ",5
2007 ,"'C5 - Microbiology' ","'UK' ","'Firm choice' ",215
2007 ,"'C5 - Microbiology' ","'UK' ","'Insurance choice' ",20
2007 ,"'C5 - Microbiology' ","'UK' ","'Other main scheme choice' ",5
2007 ,"'C5 - Microbiology' ","'UK' ","'Main scheme Clearing' ",25
2007 ,"'C5 - Microbiology' ","'UK' ","'Direct Clearing' ",5
2007 ,"'C5 - Microbiology' ","'UK' ","'RPA' ",5
2007 ,"'C5 - Microbiology' ","'EU (excluding UK)' ","'Firm choice' ",25
2007 ,"'C5 - Microbiology' ","'EU (excluding UK)' ","'Other main scheme choice' ",5
2007 ,"'C5 - Microbiology' ","'EU (excluding UK)' ","'Main scheme Clearing' ",5
2007 ,"'C5 - Microbiology' ","'Not EU' ","'Firm choice' ",25
2007 ,"'C5 - Microbiology' ","'Not EU' ","'Insurance choice' ",5
2007 ,"'C5 - Microbiology' ","'Not EU' ","'Other main scheme choice' ",5
2007 ,"'C5 - Microbiology' ","'Not EU' ","'RPA' ",5
2007 ,"'C6 - Sport and Exercise Science' ","'UK' ","'Firm choice' ",6810
2007 ,"'C6 - Sport and Exercise Science' ","'UK' ","'Insurance choice' ",595
2007 ,"'C6 - Sport and Exercise Science' ","'UK' ","'Other main scheme choice' ",275
2007 ,"'C6 - Sport and Exercise Science' ","'UK' ","'Extra' ",120
2007 ,"'C6 - Sport and Exercise Science' ","'UK' ","'Main scheme Clearing' ",520
2007 ,"'C6 - Sport and Exercise Science' ","'UK' ","'Direct Clearing' ",225
2007 ,"'C6 - Sport and Exercise Science' ","'UK' ","'RPA' ",465
2007 ,"'C6 - Sport and Exercise Science' ","'EU (excluding UK)' ","'Firm choice' ",100
2007 ,"'C6 - Sport and Exercise Science' ","'EU (excluding UK)' ","'Insurance choice' ",15
2007 ,"'C6 - Sport and Exercise Science' ","'EU (excluding UK)' ","'Other main scheme choice' ",10
2007 ,"'C6 - Sport and Exercise Science' ","'EU (excluding UK)' ","'Main scheme Clearing' ",10
2007 ,"'C6 - Sport and Exercise Science' ","'EU (excluding UK)' ","'Direct Clearing' ",5
2007 ,"'C6 - Sport and Exercise Science' ","'EU (excluding UK)' ","'RPA' ",10
2007 ,"'C6 - Sport and Exercise Science' ","'Not EU' ","'Firm choice' ",60
2007 ,"'C6 - Sport and Exercise Science' ","'Not EU' ","'Insurance choice' ",5
2007 ,"'C6 - Sport and Exercise Science' ","'Not EU' ","'Other main scheme choice' ",20
2007 ,"'C6 - Sport and Exercise Science' ","'Not EU' ","'Main scheme Clearing' ",10
2007 ,"'C6 - Sport and Exercise Science' ","'Not EU' ","'RPA' ",5
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'UK' ","'Firm choice' ",1275
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'UK' ","'Insurance choice' ",190
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'UK' ","'Other main scheme choice' ",30
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'UK' ","'Extra' ",15
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'UK' ","'Main scheme Clearing' ",255
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'UK' ","'Direct Clearing' ",30
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'UK' ","'RPA' ",45
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'EU (excluding UK)' ","'Firm choice' ",100
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'EU (excluding UK)' ","'Insurance choice' ",15
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'EU (excluding UK)' ","'Other main scheme choice' ",5
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'EU (excluding UK)' ","'Main scheme Clearing' ",5
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'EU (excluding UK)' ","'RPA' ",5
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Not EU' ","'Firm choice' ",120
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Not EU' ","'Insurance choice' ",10
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Not EU' ","'Other main scheme choice' ",10
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Not EU' ","'Extra' ",5
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Not EU' ","'Main scheme Clearing' ",15
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Not EU' ","'Direct Clearing' ",5
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Not EU' ","'RPA' ",5
2007 ,"'C8 - Psychology' ","'UK' ","'Firm choice' ",9130
2007 ,"'C8 - Psychology' ","'UK' ","'Insurance choice' ",885
2007 ,"'C8 - Psychology' ","'UK' ","'Other main scheme choice' ",290
2007 ,"'C8 - Psychology' ","'UK' ","'Extra' ",140
2007 ,"'C8 - Psychology' ","'UK' ","'Main scheme Clearing' ",895
2007 ,"'C8 - Psychology' ","'UK' ","'Direct Clearing' ",170
2007 ,"'C8 - Psychology' ","'UK' ","'RPA' ",575
2007 ,"'C8 - Psychology' ","'EU (excluding UK)' ","'Firm choice' ",430
2007 ,"'C8 - Psychology' ","'EU (excluding UK)' ","'Insurance choice' ",40
2007 ,"'C8 - Psychology' ","'EU (excluding UK)' ","'Other main scheme choice' ",40
2007 ,"'C8 - Psychology' ","'EU (excluding UK)' ","'Extra' ",5
2007 ,"'C8 - Psychology' ","'EU (excluding UK)' ","'Main scheme Clearing' ",40
2007 ,"'C8 - Psychology' ","'EU (excluding UK)' ","'Direct Clearing' ",15
2007 ,"'C8 - Psychology' ","'EU (excluding UK)' ","'RPA' ",30
2007 ,"'C8 - Psychology' ","'Not EU' ","'Firm choice' ",285
2007 ,"'C8 - Psychology' ","'Not EU' ","'Insurance choice' ",35
2007 ,"'C8 - Psychology' ","'Not EU' ","'Other main scheme choice' ",45
2007 ,"'C8 - Psychology' ","'Not EU' ","'Extra' ",10
2007 ,"'C8 - Psychology' ","'Not EU' ","'Main scheme Clearing' ",40
2007 ,"'C8 - Psychology' ","'Not EU' ","'RPA' ",25
2007 ,"'C9 - Others in Biological Sciences' ","'UK' ","'Firm choice' ",370
2007 ,"'C9 - Others in Biological Sciences' ","'UK' ","'Insurance choice' ",45
2007 ,"'C9 - Others in Biological Sciences' ","'UK' ","'Other main scheme choice' ",20
2007 ,"'C9 - Others in Biological Sciences' ","'UK' ","'Extra' ",5
2007 ,"'C9 - Others in Biological Sciences' ","'UK' ","'Main scheme Clearing' ",95
2007 ,"'C9 - Others in Biological Sciences' ","'UK' ","'Direct Clearing' ",15
2007 ,"'C9 - Others in Biological Sciences' ","'UK' ","'RPA' ",40
2007 ,"'C9 - Others in Biological Sciences' ","'EU (excluding UK)' ","'Firm choice' ",20
2007 ,"'C9 - Others in Biological Sciences' ","'EU (excluding UK)' ","'Insurance choice' ",5
2007 ,"'C9 - Others in Biological Sciences' ","'EU (excluding UK)' ","'Other main scheme choice' ",5
2007 ,"'C9 - Others in Biological Sciences' ","'Not EU' ","'Firm choice' ",15
2007 ,"'C9 - Others in Biological Sciences' ","'Not EU' ","'Other main scheme choice' ",10
2007 ,"'C9 - Others in Biological Sciences' ","'Not EU' ","'Main scheme Clearing' ",10
2007 ,"'C9 - Others in Biological Sciences' ","'Not EU' ","'RPA' ",10
2007 ,"'CC - Combinations within Biological Sciences' ","'UK' ","'Firm choice' ",410
2007 ,"'CC - Combinations within Biological Sciences' ","'UK' ","'Insurance choice' ",60
