"Statistic:   Number of Acceptances"
"Variables:   Provider Country 2016 , Applicant Domicile (High Level) , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_006_07.pdf"
 
Cycle Year,Provider Country 2016 , Applicant Domicile (High Level) , Acceptance Route,Number of Acceptances,
2006 ,"'England' ","'England' ","'Firm choice' ",204910
2006 ,"'Scotland' ","'Northern Ireland' ","'RPA' ",20
2006 ,"'Scotland' ","'Scotland' ","'Firm choice' ",19280
2006 ,"'Scotland' ","'Scotland' ","'Insurance choice' ",1340
2006 ,"'Scotland' ","'Scotland' ","'Other main scheme choice' ",935
2006 ,"'Scotland' ","'Scotland' ","'Extra' ",115
2006 ,"'Scotland' ","'Scotland' ","'Main scheme Clearing' ",1445
2006 ,"'Scotland' ","'Scotland' ","'Direct Clearing' ",390
2006 ,"'Scotland' ","'Scotland' ","'RPA' ",1490
2006 ,"'Scotland' ","'Wales' ","'Firm choice' ",80
2006 ,"'Scotland' ","'Wales' ","'Insurance choice' ",5
2006 ,"'Scotland' ","'Wales' ","'Extra' ",5
2006 ,"'Scotland' ","'Wales' ","'Main scheme Clearing' ",5
2006 ,"'Wales' ","'England' ","'Firm choice' ",6840
2006 ,"'Wales' ","'England' ","'Insurance choice' ",475
2006 ,"'Wales' ","'England' ","'Other main scheme choice' ",150
2006 ,"'Wales' ","'England' ","'Extra' ",50
2006 ,"'Wales' ","'England' ","'Main scheme Clearing' ",475
2006 ,"'Wales' ","'England' ","'Direct Clearing' ",120
2006 ,"'Wales' ","'England' ","'RPA' ",150
2006 ,"'Wales' ","'Northern Ireland' ","'Firm choice' ",85
2006 ,"'Wales' ","'Northern Ireland' ","'Insurance choice' ",5
2006 ,"'Wales' ","'Northern Ireland' ","'Other main scheme choice' ",5
2006 ,"'Wales' ","'Northern Ireland' ","'Main scheme Clearing' ",15
2006 ,"'Wales' ","'Scotland' ","'Firm choice' ",45
2006 ,"'Wales' ","'Scotland' ","'Other main scheme choice' ",5
2006 ,"'Wales' ","'Scotland' ","'Main scheme Clearing' ",5
2006 ,"'Wales' ","'Scotland' ","'Direct Clearing' ",5
2006 ,"'Wales' ","'Scotland' ","'RPA' ",5
2006 ,"'Wales' ","'Wales' ","'Firm choice' ",8395
2006 ,"'Wales' ","'Wales' ","'Insurance choice' ",450
2006 ,"'Wales' ","'Wales' ","'Other main scheme choice' ",445
2006 ,"'Wales' ","'Wales' ","'Extra' ",105
2006 ,"'Wales' ","'Wales' ","'Main scheme Clearing' ",760
2006 ,"'Wales' ","'Wales' ","'Direct Clearing' ",415
2006 ,"'Wales' ","'Wales' ","'RPA' ",1050
2007 ,"'England' ","'England' ","'Firm choice' ",216945
2007 ,"'England' ","'England' ","'Insurance choice' ",16410
2007 ,"'England' ","'England' ","'Other main scheme choice' ",10185
2007 ,"'England' ","'England' ","'Extra' ",2835
2007 ,"'England' ","'England' ","'Main scheme Clearing' ",22290
2007 ,"'England' ","'England' ","'Direct Clearing' ",6915
2007 ,"'England' ","'England' ","'RPA' ",17875
2007 ,"'England' ","'Northern Ireland' ","'Firm choice' ",2540
2007 ,"'England' ","'Northern Ireland' ","'Insurance choice' ",240
2007 ,"'England' ","'Northern Ireland' ","'Other main scheme choice' ",55
2007 ,"'England' ","'Northern Ireland' ","'Extra' ",65
2007 ,"'England' ","'Northern Ireland' ","'Main scheme Clearing' ",230
2007 ,"'England' ","'Northern Ireland' ","'Direct Clearing' ",35
2007 ,"'England' ","'Northern Ireland' ","'RPA' ",45
2007 ,"'England' ","'Scotland' ","'Firm choice' ",1405
2007 ,"'England' ","'Scotland' ","'Insurance choice' ",80
2007 ,"'England' ","'Scotland' ","'Other main scheme choice' ",60
2007 ,"'England' ","'Scotland' ","'Extra' ",20
2007 ,"'England' ","'Scotland' ","'Main scheme Clearing' ",100
2007 ,"'England' ","'Scotland' ","'Direct Clearing' ",25
2007 ,"'England' ","'Scotland' ","'RPA' ",60
2007 ,"'England' ","'Wales' ","'Firm choice' ",4295
2007 ,"'England' ","'Wales' ","'Insurance choice' ",290
2007 ,"'England' ","'Wales' ","'Other main scheme choice' ",105
2007 ,"'England' ","'Wales' ","'Extra' ",45
2007 ,"'England' ","'Wales' ","'Main scheme Clearing' ",350
2007 ,"'England' ","'Wales' ","'Direct Clearing' ",90
2007 ,"'England' ","'Wales' ","'RPA' ",125
2007 ,"'Northern Ireland' ","'England' ","'Firm choice' ",95
2007 ,"'Northern Ireland' ","'England' ","'Insurance choice' ",10
2007 ,"'Northern Ireland' ","'England' ","'Other main scheme choice' ",5
2007 ,"'Northern Ireland' ","'England' ","'Extra' ",5
2007 ,"'Northern Ireland' ","'England' ","'Main scheme Clearing' ",10
2007 ,"'Northern Ireland' ","'England' ","'Direct Clearing' ",5
2007 ,"'Northern Ireland' ","'Northern Ireland' ","'Firm choice' ",6735
2007 ,"'Northern Ireland' ","'Northern Ireland' ","'Insurance choice' ",905
2007 ,"'Northern Ireland' ","'Northern Ireland' ","'Other main scheme choice' ",155
2007 ,"'Northern Ireland' ","'Northern Ireland' ","'Extra' ",60
2007 ,"'Northern Ireland' ","'Northern Ireland' ","'Main scheme Clearing' ",565
2007 ,"'Northern Ireland' ","'Northern Ireland' ","'Direct Clearing' ",160
2007 ,"'Northern Ireland' ","'Scotland' ","'Firm choice' ",20
2007 ,"'Northern Ireland' ","'Scotland' ","'Direct Clearing' ",5
2007 ,"'Northern Ireland' ","'Wales' ","'Firm choice' ",5
2007 ,"'Scotland' ","'England' ","'Firm choice' ",3120
2007 ,"'Scotland' ","'England' ","'Insurance choice' ",240
2007 ,"'Scotland' ","'England' ","'Other main scheme choice' ",45
2007 ,"'Scotland' ","'England' ","'Extra' ",30
2007 ,"'Scotland' ","'England' ","'Main scheme Clearing' ",230
2007 ,"'Scotland' ","'England' ","'Direct Clearing' ",30
2007 ,"'Scotland' ","'England' ","'RPA' ",75
2007 ,"'Scotland' ","'Northern Ireland' ","'Firm choice' ",870
2007 ,"'Scotland' ","'Northern Ireland' ","'Insurance choice' ",95
2007 ,"'Scotland' ","'Northern Ireland' ","'Other main scheme choice' ",15
2007 ,"'Scotland' ","'Northern Ireland' ","'Extra' ",15
2007 ,"'Scotland' ","'Northern Ireland' ","'Main scheme Clearing' ",95
2007 ,"'Scotland' ","'Northern Ireland' ","'Direct Clearing' ",10
2007 ,"'Scotland' ","'Northern Ireland' ","'RPA' ",10
2007 ,"'Scotland' ","'Scotland' ","'Firm choice' ",19500
2007 ,"'Scotland' ","'Scotland' ","'Insurance choice' ",1320
2007 ,"'Scotland' ","'Scotland' ","'Other main scheme choice' ",930
2007 ,"'Scotland' ","'Scotland' ","'Extra' ",120
2007 ,"'Scotland' ","'Scotland' ","'Main scheme Clearing' ",1385
2007 ,"'Scotland' ","'Scotland' ","'Direct Clearing' ",415
2007 ,"'Scotland' ","'Scotland' ","'RPA' ",1725
2007 ,"'Scotland' ","'Wales' ","'Firm choice' ",90
2007 ,"'Scotland' ","'Wales' ","'Insurance choice' ",5
2007 ,"'Scotland' ","'Wales' ","'Main scheme Clearing' ",5
2007 ,"'Scotland' ","'Wales' ","'RPA' ",5
2007 ,"'Wales' ","'England' ","'Firm choice' ",7000
2007 ,"'Wales' ","'England' ","'Insurance choice' ",495
2007 ,"'Wales' ","'England' ","'Other main scheme choice' ",145
2007 ,"'Wales' ","'England' ","'Extra' ",70
2007 ,"'Wales' ","'England' ","'Main scheme Clearing' ",480
2007 ,"'Wales' ","'England' ","'Direct Clearing' ",110
2007 ,"'Wales' ","'England' ","'RPA' ",130
2007 ,"'Wales' ","'Northern Ireland' ","'Firm choice' ",85
2007 ,"'Wales' ","'Northern Ireland' ","'Insurance choice' ",5
2007 ,"'Wales' ","'Northern Ireland' ","'Other main scheme choice' ",5
2007 ,"'Wales' ","'Northern Ireland' ","'Direct Clearing' ",5
2007 ,"'Wales' ","'Scotland' ","'Firm choice' ",30
2007 ,"'Wales' ","'Scotland' ","'Main scheme Clearing' ",5
2007 ,"'Wales' ","'Wales' ","'Firm choice' ",8850
2007 ,"'Wales' ","'Wales' ","'Insurance choice' ",510
2007 ,"'Wales' ","'Wales' ","'Other main scheme choice' ",415
2007 ,"'Wales' ","'Wales' ","'Extra' ",115
2007 ,"'Wales' ","'Wales' ","'Main scheme Clearing' ",675
2007 ,"'Wales' ","'Wales' ","'Direct Clearing' ",420
2007 ,"'Wales' ","'Wales' ","'RPA' ",960
2008 ,"'England' ","'England' ","'Firm choice' ",240720
2008 ,"'England' ","'England' ","'Insurance choice' ",19150
2008 ,"'England' ","'England' ","'Other main scheme choice' ",11410
2008 ,"'England' ","'England' ","'Extra' ",4135
2008 ,"'England' ","'England' ","'Main scheme Clearing' ",25255
2008 ,"'England' ","'England' ","'Direct Clearing' ",8115
2008 ,"'England' ","'England' ","'RPA' ",20555
2008 ,"'England' ","'Northern Ireland' ","'Firm choice' ",2585
2008 ,"'England' ","'Northern Ireland' ","'Insurance choice' ",215
2008 ,"'England' ","'Northern Ireland' ","'Other main scheme choice' ",60
2008 ,"'England' ","'Northern Ireland' ","'Extra' ",55
2008 ,"'England' ","'Northern Ireland' ","'Main scheme Clearing' ",210
2008 ,"'England' ","'Northern Ireland' ","'Direct Clearing' ",45
2008 ,"'England' ","'Northern Ireland' ","'RPA' ",50
2008 ,"'England' ","'Scotland' ","'Firm choice' ",1420
2008 ,"'England' ","'Scotland' ","'Insurance choice' ",55
2008 ,"'England' ","'Scotland' ","'Other main scheme choice' ",75
2008 ,"'England' ","'Scotland' ","'Extra' ",25
2008 ,"'England' ","'Scotland' ","'Main scheme Clearing' ",100
2008 ,"'England' ","'Scotland' ","'Direct Clearing' ",40
2008 ,"'England' ","'Scotland' ","'RPA' ",65
2008 ,"'England' ","'Wales' ","'Firm choice' ",4410
2008 ,"'England' ","'Wales' ","'Insurance choice' ",330
2008 ,"'England' ","'Wales' ","'Other main scheme choice' ",125
2008 ,"'England' ","'Wales' ","'Extra' ",80
2008 ,"'England' ","'Wales' ","'Main scheme Clearing' ",325
2008 ,"'England' ","'Wales' ","'Direct Clearing' ",95
2008 ,"'England' ","'Wales' ","'RPA' ",130
2008 ,"'Northern Ireland' ","'England' ","'Firm choice' ",195
2008 ,"'Northern Ireland' ","'England' ","'Insurance choice' ",20
2008 ,"'Northern Ireland' ","'England' ","'Other main scheme choice' ",5
2008 ,"'Northern Ireland' ","'England' ","'Extra' ",5
2008 ,"'Northern Ireland' ","'England' ","'Main scheme Clearing' ",35
2008 ,"'Northern Ireland' ","'England' ","'Direct Clearing' ",10
2008 ,"'Northern Ireland' ","'Northern Ireland' ","'Firm choice' ",7220
2008 ,"'Northern Ireland' ","'Northern Ireland' ","'Insurance choice' ",775
2008 ,"'Northern Ireland' ","'Northern Ireland' ","'Other main scheme choice' ",130
2008 ,"'Northern Ireland' ","'Northern Ireland' ","'Extra' ",75
2008 ,"'Northern Ireland' ","'Northern Ireland' ","'Main scheme Clearing' ",570
2008 ,"'Northern Ireland' ","'Northern Ireland' ","'Direct Clearing' ",215
2008 ,"'Northern Ireland' ","'Northern Ireland' ","'RPA' ",20
2008 ,"'Northern Ireland' ","'Scotland' ","'Firm choice' ",15
2008 ,"'Northern Ireland' ","'Scotland' ","'Main scheme Clearing' ",5
2008 ,"'Northern Ireland' ","'Wales' ","'Firm choice' ",5
2008 ,"'Scotland' ","'England' ","'Firm choice' ",3490
2008 ,"'Scotland' ","'England' ","'Insurance choice' ",380
2008 ,"'Scotland' ","'England' ","'Other main scheme choice' ",45
2008 ,"'Scotland' ","'England' ","'Extra' ",40
2008 ,"'Scotland' ","'England' ","'Main scheme Clearing' ",265
2008 ,"'Scotland' ","'England' ","'Direct Clearing' ",30
2008 ,"'Scotland' ","'England' ","'RPA' ",140
2008 ,"'Scotland' ","'Northern Ireland' ","'Firm choice' ",885
2008 ,"'Scotland' ","'Northern Ireland' ","'Insurance choice' ",100
2008 ,"'Scotland' ","'Northern Ireland' ","'Other main scheme choice' ",5
2008 ,"'Scotland' ","'Northern Ireland' ","'Extra' ",20
2008 ,"'Scotland' ","'Northern Ireland' ","'Main scheme Clearing' ",70
2008 ,"'Scotland' ","'Northern Ireland' ","'Direct Clearing' ",5
2008 ,"'Scotland' ","'Northern Ireland' ","'RPA' ",10
2008 ,"'Scotland' ","'Scotland' ","'Firm choice' ",19870
2008 ,"'Scotland' ","'Scotland' ","'Insurance choice' ",1450
2008 ,"'Scotland' ","'Scotland' ","'Other main scheme choice' ",955
2008 ,"'Scotland' ","'Scotland' ","'Extra' ",175
2008 ,"'Scotland' ","'Scotland' ","'Main scheme Clearing' ",1410
2008 ,"'Scotland' ","'Scotland' ","'Direct Clearing' ",440
2008 ,"'Scotland' ","'Scotland' ","'RPA' ",3225
2008 ,"'Scotland' ","'Wales' ","'Firm choice' ",95
2008 ,"'Scotland' ","'Wales' ","'Insurance choice' ",5
2008 ,"'Scotland' ","'Wales' ","'Other main scheme choice' ",5
2008 ,"'Scotland' ","'Wales' ","'Main scheme Clearing' ",5
2008 ,"'Scotland' ","'Wales' ","'RPA' ",5
2008 ,"'Wales' ","'England' ","'Firm choice' ",6715
2008 ,"'Wales' ","'England' ","'Insurance choice' ",610
2008 ,"'Wales' ","'England' ","'Other main scheme choice' ",125
2008 ,"'Wales' ","'England' ","'Extra' ",70
2008 ,"'Wales' ","'England' ","'Main scheme Clearing' ",590
2008 ,"'Wales' ","'England' ","'Direct Clearing' ",150
2008 ,"'Wales' ","'England' ","'RPA' ",185
2008 ,"'Wales' ","'Northern Ireland' ","'Firm choice' ",90
2008 ,"'Wales' ","'Northern Ireland' ","'Insurance choice' ",5
2008 ,"'Wales' ","'Northern Ireland' ","'Main scheme Clearing' ",10
2008 ,"'Wales' ","'Scotland' ","'Firm choice' ",45
2008 ,"'Wales' ","'Scotland' ","'Insurance choice' ",5
2008 ,"'Wales' ","'Scotland' ","'Other main scheme choice' ",5
2008 ,"'Wales' ","'Scotland' ","'Main scheme Clearing' ",5
2008 ,"'Wales' ","'Scotland' ","'RPA' ",5
2008 ,"'Wales' ","'Wales' ","'Firm choice' ",9450
2008 ,"'Wales' ","'Wales' ","'Insurance choice' ",505
2008 ,"'Wales' ","'Wales' ","'Other main scheme choice' ",410
2008 ,"'Wales' ","'Wales' ","'Extra' ",130
2008 ,"'Wales' ","'Wales' ","'Main scheme Clearing' ",780
2008 ,"'Wales' ","'Wales' ","'Direct Clearing' ",500
2008 ,"'Wales' ","'Wales' ","'RPA' ",1205
2009 ,"'England' ","'England' ","'Firm choice' ",250115
2009 ,"'England' ","'England' ","'Insurance choice' ",23595
2009 ,"'England' ","'England' ","'Other main scheme choice' ",15020
2009 ,"'England' ","'England' ","'Extra' ",4340
2009 ,"'England' ","'England' ","'Adjustment' ",275
2009 ,"'England' ","'England' ","'Main scheme Clearing' ",27255
2009 ,"'England' ","'England' ","'Direct Clearing' ",8145
2009 ,"'England' ","'England' ","'RPA' ",15765
2009 ,"'England' ","'Northern Ireland' ","'Firm choice' ",2480
2009 ,"'England' ","'Northern Ireland' ","'Insurance choice' ",225
2009 ,"'England' ","'Northern Ireland' ","'Other main scheme choice' ",60
2009 ,"'England' ","'Northern Ireland' ","'Extra' ",55
2009 ,"'England' ","'Northern Ireland' ","'Main scheme Clearing' ",225
2009 ,"'England' ","'Northern Ireland' ","'Direct Clearing' ",40
2009 ,"'England' ","'Northern Ireland' ","'RPA' ",35
2009 ,"'England' ","'Scotland' ","'Firm choice' ",1370
2009 ,"'England' ","'Scotland' ","'Insurance choice' ",75
2009 ,"'England' ","'Scotland' ","'Other main scheme choice' ",85
2009 ,"'England' ","'Scotland' ","'Extra' ",20
2009 ,"'England' ","'Scotland' ","'Main scheme Clearing' ",100
2009 ,"'England' ","'Scotland' ","'Direct Clearing' ",25
2009 ,"'England' ","'Scotland' ","'RPA' ",45
2009 ,"'England' ","'Wales' ","'Firm choice' ",4530
2009 ,"'England' ","'Wales' ","'Insurance choice' ",375
2009 ,"'England' ","'Wales' ","'Other main scheme choice' ",155
2009 ,"'England' ","'Wales' ","'Extra' ",75
2009 ,"'England' ","'Wales' ","'Adjustment' ",5
2009 ,"'England' ","'Wales' ","'Main scheme Clearing' ",375
2009 ,"'England' ","'Wales' ","'Direct Clearing' ",85
2009 ,"'England' ","'Wales' ","'RPA' ",85
2009 ,"'Northern Ireland' ","'England' ","'Firm choice' ",185
2009 ,"'Northern Ireland' ","'England' ","'Insurance choice' ",35
2009 ,"'Northern Ireland' ","'England' ","'Other main scheme choice' ",5
2009 ,"'Northern Ireland' ","'England' ","'Main scheme Clearing' ",40
2009 ,"'Northern Ireland' ","'England' ","'Direct Clearing' ",5
2009 ,"'Northern Ireland' ","'Northern Ireland' ","'Firm choice' ",7185
2009 ,"'Northern Ireland' ","'Northern Ireland' ","'Insurance choice' ",1105
2009 ,"'Northern Ireland' ","'Northern Ireland' ","'Other main scheme choice' ",170
2009 ,"'Northern Ireland' ","'Northern Ireland' ","'Extra' ",70
2009 ,"'Northern Ireland' ","'Northern Ireland' ","'Adjustment' ",25
2009 ,"'Northern Ireland' ","'Northern Ireland' ","'Main scheme Clearing' ",550
2009 ,"'Northern Ireland' ","'Northern Ireland' ","'Direct Clearing' ",170
2009 ,"'Northern Ireland' ","'Northern Ireland' ","'RPA' ",20
2009 ,"'Northern Ireland' ","'Scotland' ","'Firm choice' ",15
2009 ,"'Northern Ireland' ","'Wales' ","'Firm choice' ",10
2009 ,"'Scotland' ","'England' ","'Firm choice' ",3580
2009 ,"'Scotland' ","'England' ","'Insurance choice' ",505
2009 ,"'Scotland' ","'England' ","'Other main scheme choice' ",45
2009 ,"'Scotland' ","'England' ","'Extra' ",40
2009 ,"'Scotland' ","'England' ","'Main scheme Clearing' ",450
2009 ,"'Scotland' ","'England' ","'Direct Clearing' ",45
2009 ,"'Scotland' ","'England' ","'RPA' ",35
2009 ,"'Scotland' ","'Northern Ireland' ","'Firm choice' ",825
2009 ,"'Scotland' ","'Northern Ireland' ","'Insurance choice' ",130
2009 ,"'Scotland' ","'Northern Ireland' ","'Other main scheme choice' ",15
2009 ,"'Scotland' ","'Northern Ireland' ","'Extra' ",15
2009 ,"'Scotland' ","'Northern Ireland' ","'Main scheme Clearing' ",70
2009 ,"'Scotland' ","'Northern Ireland' ","'Direct Clearing' ",10
2009 ,"'Scotland' ","'Northern Ireland' ","'RPA' ",5
2009 ,"'Scotland' ","'Scotland' ","'Firm choice' ",21015
2009 ,"'Scotland' ","'Scotland' ","'Insurance choice' ",1620
2009 ,"'Scotland' ","'Scotland' ","'Other main scheme choice' ",1045
2009 ,"'Scotland' ","'Scotland' ","'Extra' ",155
2009 ,"'Scotland' ","'Scotland' ","'Adjustment' ",5
2009 ,"'Scotland' ","'Scotland' ","'Main scheme Clearing' ",1700
2009 ,"'Scotland' ","'Scotland' ","'Direct Clearing' ",630
2009 ,"'Scotland' ","'Scotland' ","'RPA' ",3075
2009 ,"'Scotland' ","'Wales' ","'Firm choice' ",100
2009 ,"'Scotland' ","'Wales' ","'Insurance choice' ",15
2009 ,"'Scotland' ","'Wales' ","'Other main scheme choice' ",5
2009 ,"'Scotland' ","'Wales' ","'Main scheme Clearing' ",10
2009 ,"'Wales' ","'England' ","'Firm choice' ",6870
2009 ,"'Wales' ","'England' ","'Insurance choice' ",895
2009 ,"'Wales' ","'England' ","'Other main scheme choice' ",190
2009 ,"'Wales' ","'England' ","'Extra' ",100
2009 ,"'Wales' ","'England' ","'Adjustment' ",15
2009 ,"'Wales' ","'England' ","'Main scheme Clearing' ",1190
2009 ,"'Wales' ","'England' ","'Direct Clearing' ",205
2009 ,"'Wales' ","'England' ","'RPA' ",180
2009 ,"'Wales' ","'Northern Ireland' ","'Firm choice' ",80
2009 ,"'Wales' ","'Northern Ireland' ","'Insurance choice' ",10
2009 ,"'Wales' ","'Northern Ireland' ","'Other main scheme choice' ",5
2009 ,"'Wales' ","'Northern Ireland' ","'Extra' ",5
2009 ,"'Wales' ","'Northern Ireland' ","'Main scheme Clearing' ",15
2009 ,"'Wales' ","'Northern Ireland' ","'Direct Clearing' ",5
2009 ,"'Wales' ","'Scotland' ","'Firm choice' ",35
2009 ,"'Wales' ","'Scotland' ","'Insurance choice' ",5
2009 ,"'Wales' ","'Scotland' ","'Main scheme Clearing' ",5
2009 ,"'Wales' ","'Scotland' ","'RPA' ",5
2009 ,"'Wales' ","'Wales' ","'Firm choice' ",10180
2009 ,"'Wales' ","'Wales' ","'Insurance choice' ",795
2009 ,"'Wales' ","'Wales' ","'Other main scheme choice' ",690
2009 ,"'Wales' ","'Wales' ","'Extra' ",130
2009 ,"'Wales' ","'Wales' ","'Adjustment' ",10
2009 ,"'Wales' ","'Wales' ","'Main scheme Clearing' ",930
2009 ,"'Wales' ","'Wales' ","'Direct Clearing' ",505
2009 ,"'Wales' ","'Wales' ","'RPA' ",1130
2010 ,"'England' ","'England' ","'Firm choice' ",259380
2010 ,"'England' ","'England' ","'Insurance choice' ",26795
2010 ,"'England' ","'England' ","'Other main scheme choice' ",8610
2010 ,"'England' ","'England' ","'Extra' ",5360
2010 ,"'England' ","'England' ","'Adjustment' ",270
2010 ,"'England' ","'England' ","'Main scheme Clearing' ",29785
2010 ,"'England' ","'England' ","'Direct Clearing' ",6310
2010 ,"'England' ","'England' ","'RPA' ",8375
2010 ,"'England' ","'Northern Ireland' ","'Firm choice' ",2610
2010 ,"'England' ","'Northern Ireland' ","'Insurance choice' ",300
2010 ,"'England' ","'Northern Ireland' ","'Other main scheme choice' ",50
2010 ,"'England' ","'Northern Ireland' ","'Extra' ",80
2010 ,"'England' ","'Northern Ireland' ","'Adjustment' ",5
2010 ,"'England' ","'Northern Ireland' ","'Main scheme Clearing' ",330
2010 ,"'England' ","'Northern Ireland' ","'Direct Clearing' ",40
2010 ,"'England' ","'Northern Ireland' ","'RPA' ",15
2010 ,"'England' ","'Scotland' ","'Firm choice' ",1425
2010 ,"'England' ","'Scotland' ","'Insurance choice' ",95
2010 ,"'England' ","'Scotland' ","'Other main scheme choice' ",45
2010 ,"'England' ","'Scotland' ","'Extra' ",45
2010 ,"'England' ","'Scotland' ","'Main scheme Clearing' ",135
2010 ,"'England' ","'Scotland' ","'Direct Clearing' ",25
2010 ,"'England' ","'Scotland' ","'RPA' ",20
2010 ,"'England' ","'Wales' ","'Firm choice' ",5190
2010 ,"'England' ","'Wales' ","'Insurance choice' ",480
2010 ,"'England' ","'Wales' ","'Other main scheme choice' ",75
2010 ,"'England' ","'Wales' ","'Extra' ",90
2010 ,"'England' ","'Wales' ","'Main scheme Clearing' ",460
2010 ,"'England' ","'Wales' ","'Direct Clearing' ",60
2010 ,"'England' ","'Wales' ","'RPA' ",35
2010 ,"'Northern Ireland' ","'England' ","'Firm choice' ",170
2010 ,"'Northern Ireland' ","'England' ","'Insurance choice' ",30
2010 ,"'Northern Ireland' ","'England' ","'Other main scheme choice' ",5
2010 ,"'Northern Ireland' ","'England' ","'Extra' ",5
2010 ,"'Northern Ireland' ","'England' ","'Main scheme Clearing' ",10
2010 ,"'Northern Ireland' ","'Northern Ireland' ","'Firm choice' ",7045
2010 ,"'Northern Ireland' ","'Northern Ireland' ","'Insurance choice' ",1160
2010 ,"'Northern Ireland' ","'Northern Ireland' ","'Other main scheme choice' ",100
2010 ,"'Northern Ireland' ","'Northern Ireland' ","'Extra' ",95
2010 ,"'Northern Ireland' ","'Northern Ireland' ","'Adjustment' ",20
2010 ,"'Northern Ireland' ","'Northern Ireland' ","'Main scheme Clearing' ",335
2010 ,"'Northern Ireland' ","'Northern Ireland' ","'Direct Clearing' ",50
2010 ,"'Northern Ireland' ","'Northern Ireland' ","'RPA' ",30
2010 ,"'Northern Ireland' ","'Scotland' ","'Firm choice' ",20
2010 ,"'Northern Ireland' ","'Scotland' ","'Insurance choice' ",5
