"Statistic:   Number of Applications"
"Variables:   Subject Group (Summary Level) , Age Band , Sex , Cycle Year"
"Coverage:   Applications through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_020_03.pdf"
 
Cycle Year,Subject Group (Summary Level) , Age Band , Sex,Number of Applications,
2007 ,"'Group A Medicine and Dentistry' ","'17 and under' ","'Men' ",690
2007 ,"'Group F Physical Sciences' ","'18' ","'Women' ",24505
2007 ,"'Group F Physical Sciences' ","'19' ","'Men' ",7040
2007 ,"'Group F Physical Sciences' ","'19' ","'Women' ",4490
2007 ,"'Group F Physical Sciences' ","'20' ","'Men' ",1635
2007 ,"'Group F Physical Sciences' ","'20' ","'Women' ",1280
2007 ,"'Group F Physical Sciences' ","'21 and over' ","'Men' ",3245
2007 ,"'Group F Physical Sciences' ","'21 and over' ","'Women' ",2630
2007 ,"'Group G Mathematical Sciences' ","'17 and under' ","'Men' ",415
2007 ,"'Group G Mathematical Sciences' ","'17 and under' ","'Women' ",550
2007 ,"'Group G Mathematical Sciences' ","'18' ","'Men' ",15575
2007 ,"'Group G Mathematical Sciences' ","'18' ","'Women' ",10585
2007 ,"'Group G Mathematical Sciences' ","'19' ","'Men' ",3020
2007 ,"'Group G Mathematical Sciences' ","'19' ","'Women' ",2075
2007 ,"'Group G Mathematical Sciences' ","'20' ","'Men' ",915
2007 ,"'Group G Mathematical Sciences' ","'20' ","'Women' ",630
2007 ,"'Group G Mathematical Sciences' ","'21 and over' ","'Men' ",1090
2007 ,"'Group G Mathematical Sciences' ","'21 and over' ","'Women' ",550
2007 ,"'Group H Engineering' ","'17 and under' ","'Men' ",3270
2007 ,"'Group H Engineering' ","'17 and under' ","'Women' ",715
2007 ,"'Group H Engineering' ","'18' ","'Men' ",52670
2007 ,"'Group H Engineering' ","'18' ","'Women' ",7620
2007 ,"'Group H Engineering' ","'19' ","'Men' ",17745
2007 ,"'Group H Engineering' ","'19' ","'Women' ",2670
2007 ,"'Group H Engineering' ","'20' ","'Men' ",8425
2007 ,"'Group H Engineering' ","'20' ","'Women' ",985
2007 ,"'Group H Engineering' ","'21 and over' ","'Men' ",17035
2007 ,"'Group H Engineering' ","'21 and over' ","'Women' ",2030
2007 ,"'Group I Computer Sciences' ","'17 and under' ","'Men' ",905
2007 ,"'Group I Computer Sciences' ","'17 and under' ","'Women' ",275
2007 ,"'Group I Computer Sciences' ","'18' ","'Men' ",33280
2007 ,"'Group I Computer Sciences' ","'18' ","'Women' ",5790
2007 ,"'Group I Computer Sciences' ","'19' ","'Men' ",13625
2007 ,"'Group I Computer Sciences' ","'19' ","'Women' ",2340
2007 ,"'Group I Computer Sciences' ","'20' ","'Men' ",7095
2007 ,"'Group I Computer Sciences' ","'20' ","'Women' ",1105
2007 ,"'Group I Computer Sciences' ","'21 and over' ","'Men' ",12630
2007 ,"'Group I Computer Sciences' ","'21 and over' ","'Women' ",2675
2007 ,"'Group J Technologies' ","'17 and under' ","'Men' ",55
2007 ,"'Group J Technologies' ","'17 and under' ","'Women' ",50
2007 ,"'Group J Technologies' ","'18' ","'Men' ",3940
2007 ,"'Group J Technologies' ","'18' ","'Women' ",1070
2007 ,"'Group J Technologies' ","'19' ","'Men' ",1685
2007 ,"'Group J Technologies' ","'19' ","'Women' ",675
2007 ,"'Group J Technologies' ","'20' ","'Men' ",895
2007 ,"'Group J Technologies' ","'20' ","'Women' ",280
2007 ,"'Group J Technologies' ","'21 and over' ","'Men' ",1705
2007 ,"'Group J Technologies' ","'21 and over' ","'Women' ",410
2007 ,"'Group K Architecture, Building and Planning' ","'17 and under' ","'Men' ",395
2007 ,"'Group K Architecture, Building and Planning' ","'17 and under' ","'Women' ",645
2007 ,"'Group K Architecture, Building and Planning' ","'18' ","'Men' ",19980
2007 ,"'Group K Architecture, Building and Planning' ","'18' ","'Women' ",9175
2007 ,"'Group K Architecture, Building and Planning' ","'19' ","'Men' ",6840
2007 ,"'Group K Architecture, Building and Planning' ","'19' ","'Women' ",3000
2007 ,"'Group K Architecture, Building and Planning' ","'20' ","'Men' ",2500
2007 ,"'Group K Architecture, Building and Planning' ","'20' ","'Women' ",865
2007 ,"'Group K Architecture, Building and Planning' ","'21 and over' ","'Men' ",5400
2007 ,"'Group K Architecture, Building and Planning' ","'21 and over' ","'Women' ",2125
2007 ,"'Group L Social Studies' ","'17 and under' ","'Men' ",1435
2007 ,"'Group L Social Studies' ","'17 and under' ","'Women' ",1885
2007 ,"'Group L Social Studies' ","'18' ","'Men' ",39770
2007 ,"'Group L Social Studies' ","'18' ","'Women' ",52400
2007 ,"'Group L Social Studies' ","'19' ","'Men' ",14120
2007 ,"'Group L Social Studies' ","'19' ","'Women' ",19505
2007 ,"'Group L Social Studies' ","'20' ","'Men' ",4670
2007 ,"'Group L Social Studies' ","'20' ","'Women' ",7175
2007 ,"'Group L Social Studies' ","'21 and over' ","'Men' ",14100
2007 ,"'Group L Social Studies' ","'21 and over' ","'Women' ",35955
2007 ,"'Group M Law' ","'17 and under' ","'Men' ",665
2007 ,"'Group M Law' ","'17 and under' ","'Women' ",2005
2007 ,"'Group M Law' ","'18' ","'Men' ",24615
2007 ,"'Group M Law' ","'18' ","'Women' ",43370
2007 ,"'Group M Law' ","'19' ","'Men' ",7000
2007 ,"'Group M Law' ","'19' ","'Women' ",10990
2007 ,"'Group M Law' ","'20' ","'Men' ",2815
2007 ,"'Group M Law' ","'20' ","'Women' ",3505
2007 ,"'Group M Law' ","'21 and over' ","'Men' ",7410
2007 ,"'Group M Law' ","'21 and over' ","'Women' ",8285
2007 ,"'Group N Business and Admin studies' ","'17 and under' ","'Men' ",3080
2007 ,"'Group N Business and Admin studies' ","'17 and under' ","'Women' ",3200
2007 ,"'Group N Business and Admin studies' ","'18' ","'Men' ",76145
2007 ,"'Group N Business and Admin studies' ","'18' ","'Women' ",69815
2007 ,"'Group N Business and Admin studies' ","'19' ","'Men' ",34555
2007 ,"'Group N Business and Admin studies' ","'19' ","'Women' ",28210
2007 ,"'Group N Business and Admin studies' ","'20' ","'Men' ",13860
2007 ,"'Group N Business and Admin studies' ","'20' ","'Women' ",11260
2007 ,"'Group N Business and Admin studies' ","'21 and over' ","'Men' ",21755
2007 ,"'Group N Business and Admin studies' ","'21 and over' ","'Women' ",18100
2007 ,"'Group P Mass Communication and Documentation' ","'17 and under' ","'Men' ",170
2007 ,"'Group P Mass Communication and Documentation' ","'17 and under' ","'Women' ",365
2007 ,"'Group P Mass Communication and Documentation' ","'18' ","'Men' ",12330
2007 ,"'Group P Mass Communication and Documentation' ","'18' ","'Women' ",17415
2007 ,"'Group P Mass Communication and Documentation' ","'19' ","'Men' ",5090
2007 ,"'Group P Mass Communication and Documentation' ","'19' ","'Women' ",5765
2007 ,"'Group P Mass Communication and Documentation' ","'20' ","'Men' ",1805
2007 ,"'Group P Mass Communication and Documentation' ","'20' ","'Women' ",2135
2007 ,"'Group P Mass Communication and Documentation' ","'21 and over' ","'Men' ",3035
2007 ,"'Group P Mass Communication and Documentation' ","'21 and over' ","'Women' ",2650
2007 ,"'Group Q Linguistics, Classics and related' ","'17 and under' ","'Men' ",200
2007 ,"'Group Q Linguistics, Classics and related' ","'17 and under' ","'Women' ",725
2007 ,"'Group Q Linguistics, Classics and related' ","'18' ","'Men' ",13290
2007 ,"'Group Q Linguistics, Classics and related' ","'18' ","'Women' ",35600
2007 ,"'Group Q Linguistics, Classics and related' ","'19' ","'Men' ",3570
2007 ,"'Group Q Linguistics, Classics and related' ","'19' ","'Women' ",7825
2007 ,"'Group Q Linguistics, Classics and related' ","'20' ","'Men' ",860
2007 ,"'Group Q Linguistics, Classics and related' ","'20' ","'Women' ",1885
2007 ,"'Group Q Linguistics, Classics and related' ","'21 and over' ","'Men' ",1775
2007 ,"'Group Q Linguistics, Classics and related' ","'21 and over' ","'Women' ",3055
2007 ,"'Group R European Languages, Literature and related' ","'17 and under' ","'Men' ",60
2007 ,"'Group R European Languages, Literature and related' ","'17 and under' ","'Women' ",395
2007 ,"'Group R European Languages, Literature and related' ","'18' ","'Men' ",5260
2007 ,"'Group R European Languages, Literature and related' ","'18' ","'Women' ",13840
2007 ,"'Group R European Languages, Literature and related' ","'19' ","'Men' ",935
2007 ,"'Group R European Languages, Literature and related' ","'19' ","'Women' ",2170
2007 ,"'Group R European Languages, Literature and related' ","'20' ","'Men' ",205
2007 ,"'Group R European Languages, Literature and related' ","'20' ","'Women' ",530
2007 ,"'Group R European Languages, Literature and related' ","'21 and over' ","'Men' ",460
2007 ,"'Group R European Languages, Literature and related' ","'21 and over' ","'Women' ",1040
2007 ,"'Group T Non-European Languages, Literature and related' ","'17 and under' ","'Men' ",35
2007 ,"'Group T Non-European Languages, Literature and related' ","'17 and under' ","'Women' ",120
2007 ,"'Group T Non-European Languages, Literature and related' ","'18' ","'Men' ",2245
2007 ,"'Group T Non-European Languages, Literature and related' ","'18' ","'Women' ",3850
2007 ,"'Group T Non-European Languages, Literature and related' ","'19' ","'Men' ",625
2007 ,"'Group T Non-European Languages, Literature and related' ","'19' ","'Women' ",760
2007 ,"'Group T Non-European Languages, Literature and related' ","'20' ","'Men' ",160
2007 ,"'Group T Non-European Languages, Literature and related' ","'20' ","'Women' ",245
2007 ,"'Group T Non-European Languages, Literature and related' ","'21 and over' ","'Men' ",515
2007 ,"'Group T Non-European Languages, Literature and related' ","'21 and over' ","'Women' ",380
2007 ,"'Group V History and Philosophical studies' ","'17 and under' ","'Men' ",365
2007 ,"'Group V History and Philosophical studies' ","'17 and under' ","'Women' ",475
2007 ,"'Group V History and Philosophical studies' ","'18' ","'Men' ",28010
2007 ,"'Group V History and Philosophical studies' ","'18' ","'Women' ",29630
2007 ,"'Group V History and Philosophical studies' ","'19' ","'Men' ",6740
2007 ,"'Group V History and Philosophical studies' ","'19' ","'Women' ",5995
2007 ,"'Group V History and Philosophical studies' ","'20' ","'Men' ",1380
2007 ,"'Group V History and Philosophical studies' ","'20' ","'Women' ",1335
2007 ,"'Group V History and Philosophical studies' ","'21 and over' ","'Men' ",2795
2007 ,"'Group V History and Philosophical studies' ","'21 and over' ","'Women' ",2470
2007 ,"'Group W Creative Arts and Design' ","'17 and under' ","'Men' ",370
2007 ,"'Group W Creative Arts and Design' ","'17 and under' ","'Women' ",1075
2007 ,"'Group W Creative Arts and Design' ","'18' ","'Men' ",37850
2007 ,"'Group W Creative Arts and Design' ","'18' ","'Women' ",65225
2007 ,"'Group W Creative Arts and Design' ","'19' ","'Men' ",24750
2007 ,"'Group W Creative Arts and Design' ","'19' ","'Women' ",42435
2007 ,"'Group W Creative Arts and Design' ","'20' ","'Men' ",9540
2007 ,"'Group W Creative Arts and Design' ","'20' ","'Women' ",12320
2007 ,"'Group W Creative Arts and Design' ","'21 and over' ","'Men' ",15505
2007 ,"'Group W Creative Arts and Design' ","'21 and over' ","'Women' ",19490
2007 ,"'Group X Education' ","'17 and under' ","'Men' ",55
2007 ,"'Group X Education' ","'17 and under' ","'Women' ",455
2007 ,"'Group X Education' ","'18' ","'Men' ",4815
2007 ,"'Group X Education' ","'18' ","'Women' ",37555
2007 ,"'Group X Education' ","'19' ","'Men' ",1575
2007 ,"'Group X Education' ","'19' ","'Women' ",10175
2007 ,"'Group X Education' ","'20' ","'Men' ",700
2007 ,"'Group X Education' ","'20' ","'Women' ",4060
2007 ,"'Group X Education' ","'21 and over' ","'Men' ",2210
2007 ,"'Group X Education' ","'21 and over' ","'Women' ",10545
2007 ,"'Y Combined arts' ","'17 and under' ","'Men' ",225
2007 ,"'Y Combined arts' ","'17 and under' ","'Women' ",660
2007 ,"'Y Combined arts' ","'18' ","'Men' ",15100
2007 ,"'Y Combined arts' ","'18' ","'Women' ",38005
2007 ,"'Y Combined arts' ","'19' ","'Men' ",4985
2007 ,"'Y Combined arts' ","'19' ","'Women' ",9635
2007 ,"'Y Combined arts' ","'20' ","'Men' ",1610
2007 ,"'Y Combined arts' ","'20' ","'Women' ",3005
2007 ,"'Y Combined arts' ","'21 and over' ","'Men' ",3500
2007 ,"'Y Combined arts' ","'21 and over' ","'Women' ",5775
2007 ,"'Y Combined sciences' ","'17 and under' ","'Men' ",430
2007 ,"'Y Combined sciences' ","'17 and under' ","'Women' ",360
2007 ,"'Y Combined sciences' ","'18' ","'Men' ",14815
2007 ,"'Y Combined sciences' ","'18' ","'Women' ",11645
2007 ,"'Y Combined sciences' ","'19' ","'Men' ",4340
2007 ,"'Y Combined sciences' ","'19' ","'Women' ",3175
2007 ,"'Y Combined sciences' ","'20' ","'Men' ",1690
2007 ,"'Y Combined sciences' ","'20' ","'Women' ",1185
2007 ,"'Y Combined sciences' ","'21 and over' ","'Men' ",3425
2007 ,"'Y Combined sciences' ","'21 and over' ","'Women' ",2560
2007 ,"'Y Combined social sciences' ","'17 and under' ","'Men' ",475
2007 ,"'Y Combined social sciences' ","'17 and under' ","'Women' ",455
2007 ,"'Y Combined social sciences' ","'18' ","'Men' ",11220
2007 ,"'Y Combined social sciences' ","'18' ","'Women' ",11995
2007 ,"'Y Combined social sciences' ","'19' ","'Men' ",4635
2007 ,"'Y Combined social sciences' ","'19' ","'Women' ",4650
2007 ,"'Y Combined social sciences' ","'20' ","'Men' ",1580
2007 ,"'Y Combined social sciences' ","'20' ","'Women' ",1475
2007 ,"'Y Combined social sciences' ","'21 and over' ","'Men' ",2435
2007 ,"'Y Combined social sciences' ","'21 and over' ","'Women' ",2420
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'17 and under' ","'Men' ",695
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'17 and under' ","'Women' ",800
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'18' ","'Men' ",34715
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'18' ","'Women' ",36675
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'19' ","'Men' ",13175
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'19' ","'Women' ",11015
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'20' ","'Men' ",5000
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'20' ","'Women' ",3640
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'21 and over' ","'Men' ",8500
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'21 and over' ","'Women' ",7830
2007 ,"'Y Social Sciences combined with Arts' ","'17 and under' ","'Men' ",550
2007 ,"'Y Social Sciences combined with Arts' ","'17 and under' ","'Women' ",980
2007 ,"'Y Social Sciences combined with Arts' ","'18' ","'Men' ",18815
2007 ,"'Y Social Sciences combined with Arts' ","'18' ","'Women' ",28430
2007 ,"'Y Social Sciences combined with Arts' ","'19' ","'Men' ",6280
2007 ,"'Y Social Sciences combined with Arts' ","'19' ","'Women' ",9345
2007 ,"'Y Social Sciences combined with Arts' ","'20' ","'Men' ",2045
2007 ,"'Y Social Sciences combined with Arts' ","'20' ","'Women' ",3065
2007 ,"'Y Social Sciences combined with Arts' ","'21 and over' ","'Men' ",3445
2007 ,"'Y Social Sciences combined with Arts' ","'21 and over' ","'Women' ",4830
2007 ,"'Z General, other combined and unknown' ","'17 and under' ","'Men' ",295
2007 ,"'Z General, other combined and unknown' ","'17 and under' ","'Women' ",520
2007 ,"'Z General, other combined and unknown' ","'18' ","'Men' ",4795
2007 ,"'Z General, other combined and unknown' ","'18' ","'Women' ",6900
2007 ,"'Z General, other combined and unknown' ","'19' ","'Men' ",1665
2007 ,"'Z General, other combined and unknown' ","'19' ","'Women' ",2110
2007 ,"'Z General, other combined and unknown' ","'20' ","'Men' ",655
2007 ,"'Z General, other combined and unknown' ","'20' ","'Women' ",660
2007 ,"'Z General, other combined and unknown' ","'21 and over' ","'Men' ",1430
2007 ,"'Z General, other combined and unknown' ","'21 and over' ","'Women' ",1740
2008 ,"'Group A Medicine and Dentistry' ","'17 and under' ","'Men' ",695
2008 ,"'Group A Medicine and Dentistry' ","'17 and under' ","'Women' ",1065
2008 ,"'Group A Medicine and Dentistry' ","'18' ","'Men' ",17580
2008 ,"'Group A Medicine and Dentistry' ","'18' ","'Women' ",22695
2008 ,"'Group A Medicine and Dentistry' ","'19' ","'Men' ",5195
2008 ,"'Group A Medicine and Dentistry' ","'19' ","'Women' ",6065
2008 ,"'Group A Medicine and Dentistry' ","'20' ","'Men' ",1485
2008 ,"'Group A Medicine and Dentistry' ","'20' ","'Women' ",1695
2008 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Men' ",10355
2008 ,"'Group A Medicine and Dentistry' ","'21 and over' ","'Women' ",12980
2008 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Men' ",440
2008 ,"'Group B Subjects allied to Medicine' ","'17 and under' ","'Women' ",1900
2008 ,"'Group B Subjects allied to Medicine' ","'18' ","'Men' ",15575
2008 ,"'Group B Subjects allied to Medicine' ","'18' ","'Women' ",66365
2008 ,"'Group B Subjects allied to Medicine' ","'19' ","'Men' ",7365
2008 ,"'Group B Subjects allied to Medicine' ","'19' ","'Women' ",26240
2008 ,"'Group B Subjects allied to Medicine' ","'20' ","'Men' ",3250
2008 ,"'Group B Subjects allied to Medicine' ","'20' ","'Women' ",12830
2008 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Men' ",15925
2008 ,"'Group B Subjects allied to Medicine' ","'21 and over' ","'Women' ",63715
2008 ,"'Group C Biological Sciences' ","'17 and under' ","'Men' ",510
2008 ,"'Group C Biological Sciences' ","'17 and under' ","'Women' ",1510
2008 ,"'Group C Biological Sciences' ","'18' ","'Men' ",41135
2008 ,"'Group C Biological Sciences' ","'18' ","'Women' ",67235
2008 ,"'Group C Biological Sciences' ","'19' ","'Men' ",12565
2008 ,"'Group C Biological Sciences' ","'19' ","'Women' ",16005
2008 ,"'Group C Biological Sciences' ","'20' ","'Men' ",4435
2008 ,"'Group C Biological Sciences' ","'20' ","'Women' ",5040
2008 ,"'Group C Biological Sciences' ","'21 and over' ","'Men' ",7580
2008 ,"'Group C Biological Sciences' ","'21 and over' ","'Women' ",10735
2008 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'Men' ",75
2008 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'Women' ",215
2008 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Men' ",2565
2008 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Women' ",8290
2008 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Men' ",845
2008 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Women' ",2235
2008 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Men' ",300
2008 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Women' ",760
2008 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Men' ",970
2008 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Women' ",2540
2008 ,"'Group F Physical Sciences' ","'17 and under' ","'Men' ",610
2008 ,"'Group F Physical Sciences' ","'17 and under' ","'Women' ",455
2008 ,"'Group F Physical Sciences' ","'18' ","'Men' ",33745
2008 ,"'Group F Physical Sciences' ","'18' ","'Women' ",22045
2008 ,"'Group F Physical Sciences' ","'19' ","'Men' ",6750
2008 ,"'Group F Physical Sciences' ","'19' ","'Women' ",4110
2008 ,"'Group F Physical Sciences' ","'20' ","'Men' ",1770
2008 ,"'Group F Physical Sciences' ","'20' ","'Women' ",1215
2008 ,"'Group F Physical Sciences' ","'21 and over' ","'Men' ",2990
2008 ,"'Group F Physical Sciences' ","'21 and over' ","'Women' ",2295
2008 ,"'Group G Mathematical Sciences' ","'17 and under' ","'Men' ",350
2008 ,"'Group G Mathematical Sciences' ","'17 and under' ","'Women' ",460
2008 ,"'Group G Mathematical Sciences' ","'18' ","'Men' ",14315
2008 ,"'Group G Mathematical Sciences' ","'18' ","'Women' ",9590
2008 ,"'Group G Mathematical Sciences' ","'19' ","'Men' ",3270
2008 ,"'Group G Mathematical Sciences' ","'19' ","'Women' ",1955
2008 ,"'Group G Mathematical Sciences' ","'20' ","'Men' ",1110
2008 ,"'Group G Mathematical Sciences' ","'20' ","'Women' ",605
2008 ,"'Group G Mathematical Sciences' ","'21 and over' ","'Men' ",1045
2008 ,"'Group G Mathematical Sciences' ","'21 and over' ","'Women' ",580
2008 ,"'Group H Engineering' ","'17 and under' ","'Men' ",3000
2008 ,"'Group H Engineering' ","'17 and under' ","'Women' ",780
2008 ,"'Group H Engineering' ","'18' ","'Men' ",48115
2008 ,"'Group H Engineering' ","'18' ","'Women' ",7335
2008 ,"'Group H Engineering' ","'19' ","'Men' ",16745
2008 ,"'Group H Engineering' ","'19' ","'Women' ",2555
2008 ,"'Group H Engineering' ","'20' ","'Men' ",8085
2008 ,"'Group H Engineering' ","'20' ","'Women' ",995
2008 ,"'Group H Engineering' ","'21 and over' ","'Men' ",15680
2008 ,"'Group H Engineering' ","'21 and over' ","'Women' ",1750
2008 ,"'Group I Computer Sciences' ","'17 and under' ","'Men' ",570
2008 ,"'Group I Computer Sciences' ","'17 and under' ","'Women' ",215
2008 ,"'Group I Computer Sciences' ","'18' ","'Men' ",28840
2008 ,"'Group I Computer Sciences' ","'18' ","'Women' ",5440
2008 ,"'Group I Computer Sciences' ","'19' ","'Men' ",12760
2008 ,"'Group I Computer Sciences' ","'19' ","'Women' ",2030
2008 ,"'Group I Computer Sciences' ","'20' ","'Men' ",6465
2008 ,"'Group I Computer Sciences' ","'20' ","'Women' ",1065
2008 ,"'Group I Computer Sciences' ","'21 and over' ","'Men' ",11405
2008 ,"'Group I Computer Sciences' ","'21 and over' ","'Women' ",2335
2008 ,"'Group J Technologies' ","'17 and under' ","'Men' ",75
2008 ,"'Group J Technologies' ","'17 and under' ","'Women' ",65
2008 ,"'Group J Technologies' ","'18' ","'Men' ",3505
2008 ,"'Group J Technologies' ","'18' ","'Women' ",995
2008 ,"'Group J Technologies' ","'19' ","'Men' ",1635
2008 ,"'Group J Technologies' ","'19' ","'Women' ",650
2008 ,"'Group J Technologies' ","'20' ","'Men' ",885
2008 ,"'Group J Technologies' ","'20' ","'Women' ",255
2008 ,"'Group J Technologies' ","'21 and over' ","'Men' ",1630
2008 ,"'Group J Technologies' ","'21 and over' ","'Women' ",350
2008 ,"'Group K Architecture, Building and Planning' ","'17 and under' ","'Men' ",365
2008 ,"'Group K Architecture, Building and Planning' ","'17 and under' ","'Women' ",595
2008 ,"'Group K Architecture, Building and Planning' ","'18' ","'Men' ",18170
2008 ,"'Group K Architecture, Building and Planning' ","'18' ","'Women' ",8440
2008 ,"'Group K Architecture, Building and Planning' ","'19' ","'Men' ",6870
2008 ,"'Group K Architecture, Building and Planning' ","'19' ","'Women' ",3045
2008 ,"'Group K Architecture, Building and Planning' ","'20' ","'Men' ",2630
2008 ,"'Group K Architecture, Building and Planning' ","'20' ","'Women' ",975
2008 ,"'Group K Architecture, Building and Planning' ","'21 and over' ","'Men' ",5960
2008 ,"'Group K Architecture, Building and Planning' ","'21 and over' ","'Women' ",2180
2008 ,"'Group L Social Studies' ","'17 and under' ","'Men' ",1200
2008 ,"'Group L Social Studies' ","'17 and under' ","'Women' ",1580
2008 ,"'Group L Social Studies' ","'18' ","'Men' ",38005
2008 ,"'Group L Social Studies' ","'18' ","'Women' ",47860
2008 ,"'Group L Social Studies' ","'19' ","'Men' ",14065
2008 ,"'Group L Social Studies' ","'19' ","'Women' ",18235
2008 ,"'Group L Social Studies' ","'20' ","'Men' ",5090
2008 ,"'Group L Social Studies' ","'20' ","'Women' ",7210
2008 ,"'Group L Social Studies' ","'21 and over' ","'Men' ",12715
2008 ,"'Group L Social Studies' ","'21 and over' ","'Women' ",33375
2008 ,"'Group M Law' ","'17 and under' ","'Men' ",685
2008 ,"'Group M Law' ","'17 and under' ","'Women' ",1520
2008 ,"'Group M Law' ","'18' ","'Men' ",20925
2008 ,"'Group M Law' ","'18' ","'Women' ",39435
2008 ,"'Group M Law' ","'19' ","'Men' ",6590
2008 ,"'Group M Law' ","'19' ","'Women' ",11120
