"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Applicant Domicile (Region) , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_027_01.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Applicant Domicile (Region),Number of Acceptances,
2007 ,"'A1 - Pre-clinical Medicine' ","'North East' ",190
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'South East' ",465
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'South West' ",270
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Wales' ",135
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Scotland' ",380
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Northern Ireland' ",150
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Unknown' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'North East' ",80
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Yorkshire and The Humber' ",220
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'North West' ",375
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'East Midlands' ",245
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'West Midlands' ",380
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'East of England' ",145
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'London' ",850
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'South East' ",225
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'South West' ",100
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Wales' ",155
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Scotland' ",255
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Northern Ireland' ",240
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Unknown' ",10
2007 ,"'B3 - Complementary Medicine' ","'North East' ",45
2007 ,"'B3 - Complementary Medicine' ","'Yorkshire and The Humber' ",50
2007 ,"'B3 - Complementary Medicine' ","'North West' ",150
2007 ,"'B3 - Complementary Medicine' ","'East Midlands' ",80
2007 ,"'B3 - Complementary Medicine' ","'West Midlands' ",100
2007 ,"'B3 - Complementary Medicine' ","'East of England' ",55
2007 ,"'B3 - Complementary Medicine' ","'London' ",145
2007 ,"'B3 - Complementary Medicine' ","'South East' ",170
2007 ,"'B3 - Complementary Medicine' ","'South West' ",130
2007 ,"'B3 - Complementary Medicine' ","'Wales' ",55
2007 ,"'B3 - Complementary Medicine' ","'Scotland' ",55
2007 ,"'B3 - Complementary Medicine' ","'Northern Ireland' ",10
2007 ,"'B4 - Nutrition' ","'North East' ",15
2007 ,"'B4 - Nutrition' ","'Yorkshire and The Humber' ",45
2007 ,"'B4 - Nutrition' ","'North West' ",95
2007 ,"'B4 - Nutrition' ","'East Midlands' ",45
2007 ,"'B4 - Nutrition' ","'West Midlands' ",55
2007 ,"'B4 - Nutrition' ","'East of England' ",55
2007 ,"'B4 - Nutrition' ","'London' ",145
2007 ,"'B4 - Nutrition' ","'South East' ",105
2007 ,"'B4 - Nutrition' ","'South West' ",85
2007 ,"'B4 - Nutrition' ","'Wales' ",30
2007 ,"'B4 - Nutrition' ","'Scotland' ",85
2007 ,"'B4 - Nutrition' ","'Northern Ireland' ",85
2007 ,"'B5 - Ophthalmics' ","'North East' ",5
2007 ,"'B5 - Ophthalmics' ","'Yorkshire and The Humber' ",75
2007 ,"'B5 - Ophthalmics' ","'North West' ",95
2007 ,"'B5 - Ophthalmics' ","'East Midlands' ",45
2007 ,"'B5 - Ophthalmics' ","'West Midlands' ",70
2007 ,"'B5 - Ophthalmics' ","'East of England' ",35
2007 ,"'B5 - Ophthalmics' ","'London' ",160
2007 ,"'B5 - Ophthalmics' ","'South East' ",40
2007 ,"'B5 - Ophthalmics' ","'South West' ",15
2007 ,"'B5 - Ophthalmics' ","'Wales' ",30
2007 ,"'B5 - Ophthalmics' ","'Scotland' ",80
2007 ,"'B5 - Ophthalmics' ","'Northern Ireland' ",55
2007 ,"'B6 - Aural and Oral Sciences' ","'North East' ",25
2007 ,"'B6 - Aural and Oral Sciences' ","'Yorkshire and The Humber' ",60
2007 ,"'B6 - Aural and Oral Sciences' ","'North West' ",115
2007 ,"'B6 - Aural and Oral Sciences' ","'East Midlands' ",70
2007 ,"'B6 - Aural and Oral Sciences' ","'West Midlands' ",110
2007 ,"'B6 - Aural and Oral Sciences' ","'East of England' ",55
2007 ,"'B6 - Aural and Oral Sciences' ","'London' ",80
2007 ,"'B6 - Aural and Oral Sciences' ","'South East' ",90
2007 ,"'B6 - Aural and Oral Sciences' ","'South West' ",55
2007 ,"'B6 - Aural and Oral Sciences' ","'Wales' ",55
2007 ,"'B6 - Aural and Oral Sciences' ","'Scotland' ",50
2007 ,"'B6 - Aural and Oral Sciences' ","'Northern Ireland' ",65
2007 ,"'B7 - Nursing' ","'North East' ",300
2007 ,"'B7 - Nursing' ","'Yorkshire and The Humber' ",475
2007 ,"'B7 - Nursing' ","'North West' ",1245
2007 ,"'B7 - Nursing' ","'East Midlands' ",280
2007 ,"'B7 - Nursing' ","'West Midlands' ",630
2007 ,"'B7 - Nursing' ","'East of England' ",365
2007 ,"'B7 - Nursing' ","'London' ",350
2007 ,"'B7 - Nursing' ","'South East' ",550
2007 ,"'B7 - Nursing' ","'South West' ",605
2007 ,"'B7 - Nursing' ","'Wales' ",840
2007 ,"'B7 - Nursing' ","'Scotland' ",215
2007 ,"'B7 - Nursing' ","'Northern Ireland' ",405
2007 ,"'B7 - Nursing' ","'Unknown' ",10
2007 ,"'B8 - Medical Technology' ","'North East' ",60
2007 ,"'B8 - Medical Technology' ","'Yorkshire and The Humber' ",120
2007 ,"'B8 - Medical Technology' ","'North West' ",225
2007 ,"'B8 - Medical Technology' ","'East Midlands' ",70
2007 ,"'B8 - Medical Technology' ","'West Midlands' ",125
2007 ,"'B8 - Medical Technology' ","'East of England' ",150
2007 ,"'B8 - Medical Technology' ","'London' ",250
2007 ,"'B8 - Medical Technology' ","'South East' ",130
2007 ,"'B8 - Medical Technology' ","'South West' ",95
2007 ,"'B8 - Medical Technology' ","'Wales' ",95
2007 ,"'B8 - Medical Technology' ","'Scotland' ",135
2007 ,"'B8 - Medical Technology' ","'Northern Ireland' ",75
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'North East' ",385
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Yorkshire and The Humber' ",535
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'North West' ",750
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'East Midlands' ",405
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'West Midlands' ",535
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'East of England' ",445
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'London' ",1190
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'South East' ",710
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'South West' ",455
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Wales' ",300
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Scotland' ",525
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Northern Ireland' ",300
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Unknown' ",15
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'North East' ",10
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Yorkshire and The Humber' ",20
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'North West' ",20
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'East Midlands' ",20
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'West Midlands' ",30
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'East of England' ",25
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'London' ",45
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'South East' ",15
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'South West' ",20
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Wales' ",15
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Scotland' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Northern Ireland' ",5
2007 ,"'C0 - Biological Sciences: any area of study' ","'West Midlands' ",5
2007 ,"'C0 - Biological Sciences: any area of study' ","'East of England' ",5
2007 ,"'C0 - Biological Sciences: any area of study' ","'South East' ",10
2007 ,"'C0 - Biological Sciences: any area of study' ","'South West' ",5
2007 ,"'C0 - Biological Sciences: any area of study' ","'Wales' ",5
2007 ,"'C1 - Biology' ","'North East' ",150
2007 ,"'C1 - Biology' ","'Yorkshire and The Humber' ",290
2007 ,"'C1 - Biology' ","'North West' ",485
2007 ,"'C1 - Biology' ","'East Midlands' ",250
2007 ,"'C1 - Biology' ","'West Midlands' ",360
2007 ,"'C1 - Biology' ","'East of England' ",330
2007 ,"'C1 - Biology' ","'London' ",400
2007 ,"'C1 - Biology' ","'South East' ",610
2007 ,"'C1 - Biology' ","'South West' ",415
2007 ,"'C1 - Biology' ","'Wales' ",155
2007 ,"'C1 - Biology' ","'Scotland' ",400
2007 ,"'C1 - Biology' ","'Northern Ireland' ",115
2007 ,"'C1 - Biology' ","'Unknown' ",10
2007 ,"'C2 - Botany' ","'East Midlands' ",5
2007 ,"'C2 - Botany' ","'West Midlands' ",5
2007 ,"'C2 - Botany' ","'London' ",5
2007 ,"'C2 - Botany' ","'South East' ",5
2007 ,"'C3 - Zoology' ","'North East' ",40
2007 ,"'C3 - Zoology' ","'Yorkshire and The Humber' ",85
2007 ,"'C3 - Zoology' ","'North West' ",135
2007 ,"'C3 - Zoology' ","'East Midlands' ",60
2007 ,"'C3 - Zoology' ","'West Midlands' ",85
2007 ,"'C3 - Zoology' ","'East of England' ",80
2007 ,"'C3 - Zoology' ","'London' ",75
2007 ,"'C3 - Zoology' ","'South East' ",120
2007 ,"'C3 - Zoology' ","'South West' ",120
2007 ,"'C3 - Zoology' ","'Wales' ",55
2007 ,"'C3 - Zoology' ","'Scotland' ",190
2007 ,"'C3 - Zoology' ","'Northern Ireland' ",20
2007 ,"'C4 - Genetics' ","'North East' ",15
2007 ,"'C4 - Genetics' ","'Yorkshire and The Humber' ",20
2007 ,"'C4 - Genetics' ","'North West' ",35
2007 ,"'C4 - Genetics' ","'East Midlands' ",35
2007 ,"'C4 - Genetics' ","'West Midlands' ",25
2007 ,"'C4 - Genetics' ","'East of England' ",30
2007 ,"'C4 - Genetics' ","'London' ",60
2007 ,"'C4 - Genetics' ","'South East' ",25
2007 ,"'C4 - Genetics' ","'South West' ",25
2007 ,"'C4 - Genetics' ","'Wales' ",30
2007 ,"'C4 - Genetics' ","'Scotland' ",40
2007 ,"'C4 - Genetics' ","'Northern Ireland' ",10
2007 ,"'C5 - Microbiology' ","'North East' ",5
2007 ,"'C5 - Microbiology' ","'Yorkshire and The Humber' ",25
2007 ,"'C5 - Microbiology' ","'North West' ",25
2007 ,"'C5 - Microbiology' ","'East Midlands' ",15
2007 ,"'C5 - Microbiology' ","'West Midlands' ",15
2007 ,"'C5 - Microbiology' ","'East of England' ",20
2007 ,"'C5 - Microbiology' ","'London' ",30
2007 ,"'C5 - Microbiology' ","'South East' ",25
2007 ,"'C5 - Microbiology' ","'South West' ",15
2007 ,"'C5 - Microbiology' ","'Wales' ",10
2007 ,"'C5 - Microbiology' ","'Scotland' ",90
2007 ,"'C5 - Microbiology' ","'Northern Ireland' ",5
2007 ,"'C6 - Sport and Exercise Science' ","'North East' ",560
2007 ,"'C6 - Sport and Exercise Science' ","'Yorkshire and The Humber' ",895
2007 ,"'C6 - Sport and Exercise Science' ","'North West' ",1030
2007 ,"'C6 - Sport and Exercise Science' ","'East Midlands' ",710
2007 ,"'C6 - Sport and Exercise Science' ","'West Midlands' ",905
2007 ,"'C6 - Sport and Exercise Science' ","'East of England' ",870
2007 ,"'C6 - Sport and Exercise Science' ","'London' ",845
2007 ,"'C6 - Sport and Exercise Science' ","'South East' ",1145
2007 ,"'C6 - Sport and Exercise Science' ","'South West' ",780
2007 ,"'C6 - Sport and Exercise Science' ","'Wales' ",525
2007 ,"'C6 - Sport and Exercise Science' ","'Scotland' ",510
2007 ,"'C6 - Sport and Exercise Science' ","'Northern Ireland' ",210
2007 ,"'C6 - Sport and Exercise Science' ","'Unknown' ",20
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'North East' ",40
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Yorkshire and The Humber' ",140
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'North West' ",190
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'East Midlands' ",120
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'West Midlands' ",150
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'East of England' ",170
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'London' ",410
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'South East' ",280
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'South West' ",120
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Wales' ",85
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Scotland' ",110
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Northern Ireland' ",30
2007 ,"'C8 - Psychology' ","'North East' ",490
2007 ,"'C8 - Psychology' ","'Yorkshire and The Humber' ",945
2007 ,"'C8 - Psychology' ","'North West' ",1310
2007 ,"'C8 - Psychology' ","'East Midlands' ",805
2007 ,"'C8 - Psychology' ","'West Midlands' ",980
2007 ,"'C8 - Psychology' ","'East of England' ",1110
2007 ,"'C8 - Psychology' ","'London' ",2140
2007 ,"'C8 - Psychology' ","'South East' ",1600
2007 ,"'C8 - Psychology' ","'South West' ",890
2007 ,"'C8 - Psychology' ","'Wales' ",480
2007 ,"'C8 - Psychology' ","'Scotland' ",835
2007 ,"'C8 - Psychology' ","'Northern Ireland' ",490
2007 ,"'C8 - Psychology' ","'Unknown' ",10
2007 ,"'C9 - Others in Biological Sciences' ","'North East' ",10
2007 ,"'C9 - Others in Biological Sciences' ","'Yorkshire and The Humber' ",75
2007 ,"'C9 - Others in Biological Sciences' ","'North West' ",50
2007 ,"'C9 - Others in Biological Sciences' ","'East Midlands' ",30
2007 ,"'C9 - Others in Biological Sciences' ","'West Midlands' ",90
2007 ,"'C9 - Others in Biological Sciences' ","'East of England' ",55
2007 ,"'C9 - Others in Biological Sciences' ","'London' ",110
2007 ,"'C9 - Others in Biological Sciences' ","'South East' ",60
2007 ,"'C9 - Others in Biological Sciences' ","'South West' ",45
2007 ,"'C9 - Others in Biological Sciences' ","'Wales' ",15
2007 ,"'C9 - Others in Biological Sciences' ","'Scotland' ",45
2007 ,"'CC - Combinations within Biological Sciences' ","'North East' ",20
2007 ,"'CC - Combinations within Biological Sciences' ","'Yorkshire and The Humber' ",40
2007 ,"'CC - Combinations within Biological Sciences' ","'North West' ",80
2007 ,"'CC - Combinations within Biological Sciences' ","'East Midlands' ",40
2007 ,"'CC - Combinations within Biological Sciences' ","'West Midlands' ",60
2007 ,"'CC - Combinations within Biological Sciences' ","'East of England' ",55
2007 ,"'CC - Combinations within Biological Sciences' ","'London' ",75
2007 ,"'CC - Combinations within Biological Sciences' ","'South East' ",55
2007 ,"'CC - Combinations within Biological Sciences' ","'South West' ",35
2007 ,"'CC - Combinations within Biological Sciences' ","'Wales' ",20
2007 ,"'CC - Combinations within Biological Sciences' ","'Scotland' ",90
2007 ,"'CC - Combinations within Biological Sciences' ","'Northern Ireland' ",20
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'North East' ",10
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Yorkshire and The Humber' ",55
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'North West' ",80
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'East Midlands' ",55
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'West Midlands' ",80
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'East of England' ",85
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'London' ",55
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'South East' ",140
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'South West' ",80
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Wales' ",30
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Scotland' ",105
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Northern Ireland' ",30
2007 ,"'D3 - Animal Science' ","'North East' ",20
2007 ,"'D3 - Animal Science' ","'Yorkshire and The Humber' ",90
2007 ,"'D3 - Animal Science' ","'North West' ",155
2007 ,"'D3 - Animal Science' ","'East Midlands' ",165
2007 ,"'D3 - Animal Science' ","'West Midlands' ",185
2007 ,"'D3 - Animal Science' ","'East of England' ",140
2007 ,"'D3 - Animal Science' ","'London' ",50
2007 ,"'D3 - Animal Science' ","'South East' ",225
2007 ,"'D3 - Animal Science' ","'South West' ",170
2007 ,"'D3 - Animal Science' ","'Wales' ",70
2007 ,"'D3 - Animal Science' ","'Scotland' ",95
2007 ,"'D3 - Animal Science' ","'Northern Ireland' ",15
2007 ,"'D3 - Animal Science' ","'Unknown' ",5
2007 ,"'D4 - Agriculture' ","'North East' ",20
2007 ,"'D4 - Agriculture' ","'Yorkshire and The Humber' ",100
2007 ,"'D4 - Agriculture' ","'North West' ",90
2007 ,"'D4 - Agriculture' ","'East Midlands' ",130
2007 ,"'D4 - Agriculture' ","'West Midlands' ",90
2007 ,"'D4 - Agriculture' ","'East of England' ",115
2007 ,"'D4 - Agriculture' ","'London' ",30
2007 ,"'D4 - Agriculture' ","'South East' ",165
2007 ,"'D4 - Agriculture' ","'South West' ",225
2007 ,"'D4 - Agriculture' ","'Wales' ",55
2007 ,"'D4 - Agriculture' ","'Scotland' ",140
2007 ,"'D4 - Agriculture' ","'Northern Ireland' ",90
2007 ,"'D4 - Agriculture' ","'Unknown' ",5
2007 ,"'D5 - Forestry & arboriculture' ","'North East' ",5
2007 ,"'D5 - Forestry & arboriculture' ","'Yorkshire and The Humber' ",10
2007 ,"'D5 - Forestry & arboriculture' ","'North West' ",25
2007 ,"'D5 - Forestry & arboriculture' ","'East Midlands' ",5
2007 ,"'D5 - Forestry & arboriculture' ","'West Midlands' ",15
2007 ,"'D5 - Forestry & arboriculture' ","'East of England' ",5
2007 ,"'D5 - Forestry & arboriculture' ","'South East' ",25
2007 ,"'D5 - Forestry & arboriculture' ","'South West' ",10
2007 ,"'D5 - Forestry & arboriculture' ","'Wales' ",5
2007 ,"'D6 - Food and Beverage studies' ","'North East' ",10
2007 ,"'D6 - Food and Beverage studies' ","'Yorkshire and The Humber' ",10
2007 ,"'D6 - Food and Beverage studies' ","'North West' ",45
2007 ,"'D6 - Food and Beverage studies' ","'East Midlands' ",15
2007 ,"'D6 - Food and Beverage studies' ","'West Midlands' ",20
2007 ,"'D6 - Food and Beverage studies' ","'East of England' ",15
2007 ,"'D6 - Food and Beverage studies' ","'London' ",30
2007 ,"'D6 - Food and Beverage studies' ","'South East' ",40
2007 ,"'D6 - Food and Beverage studies' ","'South West' ",15
2007 ,"'D6 - Food and Beverage studies' ","'Wales' ",10
2007 ,"'D6 - Food and Beverage studies' ","'Scotland' ",15
2007 ,"'D6 - Food and Beverage studies' ","'Northern Ireland' ",25
2007 ,"'D7 - Agricultural Sciences' ","'Yorkshire and The Humber' ",10
2007 ,"'D7 - Agricultural Sciences' ","'West Midlands' ",5
2007 ,"'D7 - Agricultural Sciences' ","'East of England' ",5
2007 ,"'D7 - Agricultural Sciences' ","'South East' ",5
2007 ,"'D7 - Agricultural Sciences' ","'Scotland' ",15
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'North West' ",15
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'West Midlands' ",5
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'South East' ",5
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'North West' ",20
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'East Midlands' ",5
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'West Midlands' ",10
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'East of England' ",5
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'South East' ",5
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'South West' ",5
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'Wales' ",10
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'Northern Ireland' ",5
2007 ,"'F0 - Physical Sciences: any area of study' ","'Yorkshire and The Humber' ",5
2007 ,"'F0 - Physical Sciences: any area of study' ","'North West' ",30
2007 ,"'F0 - Physical Sciences: any area of study' ","'East Midlands' ",5
2007 ,"'F0 - Physical Sciences: any area of study' ","'London' ",10
2007 ,"'F0 - Physical Sciences: any area of study' ","'South East' ",10
2007 ,"'F1 - Chemistry' ","'North East' ",135
2007 ,"'F1 - Chemistry' ","'Yorkshire and The Humber' ",280
2007 ,"'F1 - Chemistry' ","'North West' ",500
2007 ,"'F1 - Chemistry' ","'East Midlands' ",245
2007 ,"'F1 - Chemistry' ","'West Midlands' ",250
2007 ,"'F1 - Chemistry' ","'East of England' ",235
2007 ,"'F1 - Chemistry' ","'London' ",345
2007 ,"'F1 - Chemistry' ","'South East' ",430
2007 ,"'F1 - Chemistry' ","'South West' ",275
2007 ,"'F1 - Chemistry' ","'Wales' ",125
2007 ,"'F1 - Chemistry' ","'Scotland' ",310
2007 ,"'F1 - Chemistry' ","'Northern Ireland' ",85
2007 ,"'F2 - Materials Science' ","'Scotland' ",5
2007 ,"'F3 - Physics' ","'North East' ",70
2007 ,"'F3 - Physics' ","'Yorkshire and The Humber' ",185
2007 ,"'F3 - Physics' ","'North West' ",265
2007 ,"'F3 - Physics' ","'East Midlands' ",175
2007 ,"'F3 - Physics' ","'West Midlands' ",215
2007 ,"'F3 - Physics' ","'East of England' ",230
2007 ,"'F3 - Physics' ","'London' ",330
2007 ,"'F3 - Physics' ","'South East' ",455
2007 ,"'F3 - Physics' ","'South West' ",220
2007 ,"'F3 - Physics' ","'Wales' ",135
2007 ,"'F3 - Physics' ","'Scotland' ",325
2007 ,"'F3 - Physics' ","'Northern Ireland' ",55
2007 ,"'F4 - Forensic and Archaeological Science' ","'North East' ",45
2007 ,"'F4 - Forensic and Archaeological Science' ","'Yorkshire and The Humber' ",80
2007 ,"'F4 - Forensic and Archaeological Science' ","'North West' ",140
2007 ,"'F4 - Forensic and Archaeological Science' ","'East Midlands' ",130
2007 ,"'F4 - Forensic and Archaeological Science' ","'West Midlands' ",220
2007 ,"'F4 - Forensic and Archaeological Science' ","'East of England' ",130
2007 ,"'F4 - Forensic and Archaeological Science' ","'London' ",200
2007 ,"'F4 - Forensic and Archaeological Science' ","'South East' ",185
2007 ,"'F4 - Forensic and Archaeological Science' ","'South West' ",175
2007 ,"'F4 - Forensic and Archaeological Science' ","'Wales' ",175
2007 ,"'F4 - Forensic and Archaeological Science' ","'Scotland' ",180
2007 ,"'F4 - Forensic and Archaeological Science' ","'Northern Ireland' ",30
2007 ,"'F4 - Forensic and Archaeological Science' ","'Unknown' ",5
2007 ,"'F5 - Astronomy' ","'Yorkshire and The Humber' ",5
2007 ,"'F5 - Astronomy' ","'North West' ",10
2007 ,"'F5 - Astronomy' ","'East Midlands' ",5
2007 ,"'F5 - Astronomy' ","'West Midlands' ",5
2007 ,"'F5 - Astronomy' ","'East of England' ",10
2007 ,"'F5 - Astronomy' ","'London' ",15
2007 ,"'F5 - Astronomy' ","'South East' ",15
2007 ,"'F5 - Astronomy' ","'South West' ",5
2007 ,"'F5 - Astronomy' ","'Wales' ",5
2007 ,"'F5 - Astronomy' ","'Scotland' ",20
2007 ,"'F6 - Geology' ","'North East' ",40
2007 ,"'F6 - Geology' ","'Yorkshire and The Humber' ",95
2007 ,"'F6 - Geology' ","'North West' ",115
2007 ,"'F6 - Geology' ","'East Midlands' ",65
2007 ,"'F6 - Geology' ","'West Midlands' ",125
2007 ,"'F6 - Geology' ","'East of England' ",110
2007 ,"'F6 - Geology' ","'London' ",75
2007 ,"'F6 - Geology' ","'South East' ",190
2007 ,"'F6 - Geology' ","'South West' ",155
2007 ,"'F6 - Geology' ","'Wales' ",110
2007 ,"'F6 - Geology' ","'Scotland' ",130
2007 ,"'F6 - Geology' ","'Northern Ireland' ",10
2007 ,"'F6 - Geology' ","'Unknown' ",5
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'North East' ",25
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'Yorkshire and The Humber' ",60
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'North West' ",110
