"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Sex , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_014_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Sex , Acceptance Route,Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'Men' ","'Firm choice' ",3645
2007 ,"'Group G Mathematical Sciences' ","'Women' ","'Main scheme Clearing' ",165
2007 ,"'Group G Mathematical Sciences' ","'Women' ","'Direct Clearing' ",20
2007 ,"'Group G Mathematical Sciences' ","'Women' ","'RPA' ",70
2007 ,"'Group H Engineering' ","'Men' ","'Firm choice' ",12010
2007 ,"'Group H Engineering' ","'Men' ","'Insurance choice' ",1390
2007 ,"'Group H Engineering' ","'Men' ","'Other main scheme choice' ",1300
2007 ,"'Group H Engineering' ","'Men' ","'Extra' ",110
2007 ,"'Group H Engineering' ","'Men' ","'Main scheme Clearing' ",1270
2007 ,"'Group H Engineering' ","'Men' ","'Direct Clearing' ",525
2007 ,"'Group H Engineering' ","'Men' ","'RPA' ",1920
2007 ,"'Group H Engineering' ","'Women' ","'Firm choice' ",1705
2007 ,"'Group H Engineering' ","'Women' ","'Insurance choice' ",200
2007 ,"'Group H Engineering' ","'Women' ","'Other main scheme choice' ",180
2007 ,"'Group H Engineering' ","'Women' ","'Extra' ",20
2007 ,"'Group H Engineering' ","'Women' ","'Main scheme Clearing' ",225
2007 ,"'Group H Engineering' ","'Women' ","'Direct Clearing' ",35
2007 ,"'Group H Engineering' ","'Women' ","'RPA' ",200
2007 ,"'Group I Computer Sciences' ","'Men' ","'Firm choice' ",9540
2007 ,"'Group I Computer Sciences' ","'Men' ","'Insurance choice' ",760
2007 ,"'Group I Computer Sciences' ","'Men' ","'Other main scheme choice' ",890
2007 ,"'Group I Computer Sciences' ","'Men' ","'Extra' ",75
2007 ,"'Group I Computer Sciences' ","'Men' ","'Main scheme Clearing' ",1080
2007 ,"'Group I Computer Sciences' ","'Men' ","'Direct Clearing' ",570
2007 ,"'Group I Computer Sciences' ","'Men' ","'RPA' ",1785
2007 ,"'Group I Computer Sciences' ","'Women' ","'Firm choice' ",1590
2007 ,"'Group I Computer Sciences' ","'Women' ","'Insurance choice' ",155
2007 ,"'Group I Computer Sciences' ","'Women' ","'Other main scheme choice' ",145
2007 ,"'Group I Computer Sciences' ","'Women' ","'Extra' ",20
2007 ,"'Group I Computer Sciences' ","'Women' ","'Main scheme Clearing' ",270
2007 ,"'Group I Computer Sciences' ","'Women' ","'Direct Clearing' ",90
2007 ,"'Group I Computer Sciences' ","'Women' ","'RPA' ",305
2007 ,"'Group J Technologies' ","'Men' ","'Firm choice' ",1425
2007 ,"'Group J Technologies' ","'Men' ","'Insurance choice' ",70
2007 ,"'Group J Technologies' ","'Men' ","'Other main scheme choice' ",135
2007 ,"'Group J Technologies' ","'Men' ","'Extra' ",15
2007 ,"'Group J Technologies' ","'Men' ","'Main scheme Clearing' ",95
2007 ,"'Group J Technologies' ","'Men' ","'Direct Clearing' ",60
2007 ,"'Group J Technologies' ","'Men' ","'RPA' ",250
2007 ,"'Group J Technologies' ","'Women' ","'Firm choice' ",395
2007 ,"'Group J Technologies' ","'Women' ","'Insurance choice' ",15
2007 ,"'Group J Technologies' ","'Women' ","'Other main scheme choice' ",30
2007 ,"'Group J Technologies' ","'Women' ","'Extra' ",5
2007 ,"'Group J Technologies' ","'Women' ","'Main scheme Clearing' ",40
2007 ,"'Group J Technologies' ","'Women' ","'Direct Clearing' ",15
2007 ,"'Group J Technologies' ","'Women' ","'RPA' ",40
2007 ,"'Group K Architecture, Building and Planning' ","'Men' ","'Firm choice' ",4535
2007 ,"'Group K Architecture, Building and Planning' ","'Men' ","'Insurance choice' ",465
2007 ,"'Group K Architecture, Building and Planning' ","'Men' ","'Other main scheme choice' ",355
2007 ,"'Group K Architecture, Building and Planning' ","'Men' ","'Extra' ",50
2007 ,"'Group K Architecture, Building and Planning' ","'Men' ","'Main scheme Clearing' ",455
2007 ,"'Group K Architecture, Building and Planning' ","'Men' ","'Direct Clearing' ",170
2007 ,"'Group K Architecture, Building and Planning' ","'Men' ","'RPA' ",570
2007 ,"'Group K Architecture, Building and Planning' ","'Women' ","'Firm choice' ",1965
2007 ,"'Group K Architecture, Building and Planning' ","'Women' ","'Insurance choice' ",200
2007 ,"'Group K Architecture, Building and Planning' ","'Women' ","'Other main scheme choice' ",150
2007 ,"'Group K Architecture, Building and Planning' ","'Women' ","'Extra' ",25
2007 ,"'Group K Architecture, Building and Planning' ","'Women' ","'Main scheme Clearing' ",170
2007 ,"'Group K Architecture, Building and Planning' ","'Women' ","'Direct Clearing' ",60
2007 ,"'Group K Architecture, Building and Planning' ","'Women' ","'RPA' ",130
2007 ,"'Group L Social Studies' ","'Men' ","'Firm choice' ",8170
2007 ,"'Group L Social Studies' ","'Men' ","'Insurance choice' ",885
2007 ,"'Group L Social Studies' ","'Men' ","'Other main scheme choice' ",445
2007 ,"'Group L Social Studies' ","'Men' ","'Extra' ",115
2007 ,"'Group L Social Studies' ","'Men' ","'Main scheme Clearing' ",970
2007 ,"'Group L Social Studies' ","'Men' ","'Direct Clearing' ",255
2007 ,"'Group L Social Studies' ","'Men' ","'RPA' ",605
2007 ,"'Group L Social Studies' ","'Women' ","'Firm choice' ",13555
2007 ,"'Group L Social Studies' ","'Women' ","'Insurance choice' ",970
2007 ,"'Group L Social Studies' ","'Women' ","'Other main scheme choice' ",880
2007 ,"'Group L Social Studies' ","'Women' ","'Extra' ",205
2007 ,"'Group L Social Studies' ","'Women' ","'Main scheme Clearing' ",1610
2007 ,"'Group L Social Studies' ","'Women' ","'Direct Clearing' ",445
2007 ,"'Group L Social Studies' ","'Women' ","'RPA' ",1295
2007 ,"'Group M Law' ","'Men' ","'Firm choice' ",4900
2007 ,"'Group M Law' ","'Men' ","'Insurance choice' ",645
2007 ,"'Group M Law' ","'Men' ","'Other main scheme choice' ",330
2007 ,"'Group M Law' ","'Men' ","'Extra' ",65
2007 ,"'Group M Law' ","'Men' ","'Main scheme Clearing' ",640
2007 ,"'Group M Law' ","'Men' ","'Direct Clearing' ",155
2007 ,"'Group M Law' ","'Men' ","'RPA' ",525
2007 ,"'Group M Law' ","'Women' ","'Firm choice' ",8380
2007 ,"'Group M Law' ","'Women' ","'Insurance choice' ",1040
2007 ,"'Group M Law' ","'Women' ","'Other main scheme choice' ",375
2007 ,"'Group M Law' ","'Women' ","'Extra' ",105
2007 ,"'Group M Law' ","'Women' ","'Main scheme Clearing' ",1020
2007 ,"'Group M Law' ","'Women' ","'Direct Clearing' ",205
2007 ,"'Group M Law' ","'Women' ","'RPA' ",685
2007 ,"'Group N Business and Admin studies' ","'Men' ","'Firm choice' ",16195
2007 ,"'Group N Business and Admin studies' ","'Men' ","'Insurance choice' ",2010
2007 ,"'Group N Business and Admin studies' ","'Men' ","'Other main scheme choice' ",1390
2007 ,"'Group N Business and Admin studies' ","'Men' ","'Extra' ",190
2007 ,"'Group N Business and Admin studies' ","'Men' ","'Main scheme Clearing' ",2245
2007 ,"'Group N Business and Admin studies' ","'Men' ","'Direct Clearing' ",815
2007 ,"'Group N Business and Admin studies' ","'Men' ","'RPA' ",2955
2007 ,"'Group N Business and Admin studies' ","'Women' ","'Firm choice' ",15925
2007 ,"'Group N Business and Admin studies' ","'Women' ","'Insurance choice' ",1600
2007 ,"'Group N Business and Admin studies' ","'Women' ","'Other main scheme choice' ",1305
2007 ,"'Group N Business and Admin studies' ","'Women' ","'Extra' ",240
2007 ,"'Group N Business and Admin studies' ","'Women' ","'Main scheme Clearing' ",1830
2007 ,"'Group N Business and Admin studies' ","'Women' ","'Direct Clearing' ",575
2007 ,"'Group N Business and Admin studies' ","'Women' ","'RPA' ",2460
2007 ,"'Group P Mass Communication and Documentation' ","'Men' ","'Firm choice' ",3180
2007 ,"'Group P Mass Communication and Documentation' ","'Men' ","'Insurance choice' ",175
2007 ,"'Group P Mass Communication and Documentation' ","'Men' ","'Other main scheme choice' ",170
2007 ,"'Group P Mass Communication and Documentation' ","'Men' ","'Extra' ",40
2007 ,"'Group P Mass Communication and Documentation' ","'Men' ","'Main scheme Clearing' ",275
2007 ,"'Group P Mass Communication and Documentation' ","'Men' ","'Direct Clearing' ",130
2007 ,"'Group P Mass Communication and Documentation' ","'Men' ","'RPA' ",320
2007 ,"'Group P Mass Communication and Documentation' ","'Women' ","'Firm choice' ",3910
2007 ,"'Group P Mass Communication and Documentation' ","'Women' ","'Insurance choice' ",230
2007 ,"'Group P Mass Communication and Documentation' ","'Women' ","'Other main scheme choice' ",215
2007 ,"'Group P Mass Communication and Documentation' ","'Women' ","'Extra' ",80
2007 ,"'Group P Mass Communication and Documentation' ","'Women' ","'Main scheme Clearing' ",340
2007 ,"'Group P Mass Communication and Documentation' ","'Women' ","'Direct Clearing' ",100
2007 ,"'Group P Mass Communication and Documentation' ","'Women' ","'RPA' ",325
2007 ,"'Group Q Linguistics, Classics and related' ","'Men' ","'Firm choice' ",2385
2007 ,"'Group Q Linguistics, Classics and related' ","'Men' ","'Insurance choice' ",185
2007 ,"'Group Q Linguistics, Classics and related' ","'Men' ","'Other main scheme choice' ",80
2007 ,"'Group Q Linguistics, Classics and related' ","'Men' ","'Extra' ",30
2007 ,"'Group Q Linguistics, Classics and related' ","'Men' ","'Main scheme Clearing' ",165
2007 ,"'Group Q Linguistics, Classics and related' ","'Men' ","'Direct Clearing' ",45
2007 ,"'Group Q Linguistics, Classics and related' ","'Men' ","'RPA' ",100
2007 ,"'Group Q Linguistics, Classics and related' ","'Women' ","'Firm choice' ",6230
2007 ,"'Group Q Linguistics, Classics and related' ","'Women' ","'Insurance choice' ",530
2007 ,"'Group Q Linguistics, Classics and related' ","'Women' ","'Other main scheme choice' ",170
2007 ,"'Group Q Linguistics, Classics and related' ","'Women' ","'Extra' ",80
2007 ,"'Group Q Linguistics, Classics and related' ","'Women' ","'Main scheme Clearing' ",485
2007 ,"'Group Q Linguistics, Classics and related' ","'Women' ","'Direct Clearing' ",130
2007 ,"'Group Q Linguistics, Classics and related' ","'Women' ","'RPA' ",240
2007 ,"'Group R European Languages, Literature and related' ","'Men' ","'Firm choice' ",915
2007 ,"'Group R European Languages, Literature and related' ","'Men' ","'Insurance choice' ",95
2007 ,"'Group R European Languages, Literature and related' ","'Men' ","'Other main scheme choice' ",20
2007 ,"'Group R European Languages, Literature and related' ","'Men' ","'Main scheme Clearing' ",80
2007 ,"'Group R European Languages, Literature and related' ","'Men' ","'Direct Clearing' ",15
2007 ,"'Group R European Languages, Literature and related' ","'Men' ","'RPA' ",35
2007 ,"'Group R European Languages, Literature and related' ","'Women' ","'Firm choice' ",2335
2007 ,"'Group R European Languages, Literature and related' ","'Women' ","'Insurance choice' ",200
2007 ,"'Group R European Languages, Literature and related' ","'Women' ","'Other main scheme choice' ",75
2007 ,"'Group R European Languages, Literature and related' ","'Women' ","'Extra' ",20
2007 ,"'Group R European Languages, Literature and related' ","'Women' ","'Main scheme Clearing' ",170
2007 ,"'Group R European Languages, Literature and related' ","'Women' ","'Direct Clearing' ",25
2007 ,"'Group R European Languages, Literature and related' ","'Women' ","'RPA' ",50
2007 ,"'Group T Non-European Languages, Literature and related' ","'Men' ","'Firm choice' ",570
2007 ,"'Group T Non-European Languages, Literature and related' ","'Men' ","'Insurance choice' ",30
2007 ,"'Group T Non-European Languages, Literature and related' ","'Men' ","'Other main scheme choice' ",10
2007 ,"'Group T Non-European Languages, Literature and related' ","'Men' ","'Main scheme Clearing' ",30
2007 ,"'Group T Non-European Languages, Literature and related' ","'Men' ","'Direct Clearing' ",5
2007 ,"'Group T Non-European Languages, Literature and related' ","'Men' ","'RPA' ",15
2007 ,"'Group T Non-European Languages, Literature and related' ","'Women' ","'Firm choice' ",915
2007 ,"'Group T Non-European Languages, Literature and related' ","'Women' ","'Insurance choice' ",40
2007 ,"'Group T Non-European Languages, Literature and related' ","'Women' ","'Other main scheme choice' ",15
2007 ,"'Group T Non-European Languages, Literature and related' ","'Women' ","'Extra' ",5
2007 ,"'Group T Non-European Languages, Literature and related' ","'Women' ","'Main scheme Clearing' ",45
2007 ,"'Group T Non-European Languages, Literature and related' ","'Women' ","'Direct Clearing' ",5
2007 ,"'Group T Non-European Languages, Literature and related' ","'Women' ","'RPA' ",15
2007 ,"'Group V History and Philosophical studies' ","'Men' ","'Firm choice' ",5105
2007 ,"'Group V History and Philosophical studies' ","'Men' ","'Insurance choice' ",460
2007 ,"'Group V History and Philosophical studies' ","'Men' ","'Other main scheme choice' ",135
2007 ,"'Group V History and Philosophical studies' ","'Men' ","'Extra' ",40
2007 ,"'Group V History and Philosophical studies' ","'Men' ","'Main scheme Clearing' ",385
2007 ,"'Group V History and Philosophical studies' ","'Men' ","'Direct Clearing' ",105
2007 ,"'Group V History and Philosophical studies' ","'Men' ","'RPA' ",170
2007 ,"'Group V History and Philosophical studies' ","'Women' ","'Firm choice' ",5460
2007 ,"'Group V History and Philosophical studies' ","'Women' ","'Insurance choice' ",390
2007 ,"'Group V History and Philosophical studies' ","'Women' ","'Other main scheme choice' ",115
2007 ,"'Group V History and Philosophical studies' ","'Women' ","'Extra' ",45
2007 ,"'Group V History and Philosophical studies' ","'Women' ","'Main scheme Clearing' ",400
2007 ,"'Group V History and Philosophical studies' ","'Women' ","'Direct Clearing' ",90
2007 ,"'Group V History and Philosophical studies' ","'Women' ","'RPA' ",120
2007 ,"'Group W Creative Arts and Design' ","'Men' ","'Firm choice' ",14140
2007 ,"'Group W Creative Arts and Design' ","'Men' ","'Insurance choice' ",260
2007 ,"'Group W Creative Arts and Design' ","'Men' ","'Other main scheme choice' ",945
2007 ,"'Group W Creative Arts and Design' ","'Men' ","'Extra' ",120
2007 ,"'Group W Creative Arts and Design' ","'Men' ","'Main scheme Clearing' ",935
2007 ,"'Group W Creative Arts and Design' ","'Men' ","'Direct Clearing' ",440
2007 ,"'Group W Creative Arts and Design' ","'Men' ","'RPA' ",1180
2007 ,"'Group W Creative Arts and Design' ","'Women' ","'Firm choice' ",23185
2007 ,"'Group W Creative Arts and Design' ","'Women' ","'Insurance choice' ",350
2007 ,"'Group W Creative Arts and Design' ","'Women' ","'Other main scheme choice' ",1090
2007 ,"'Group W Creative Arts and Design' ","'Women' ","'Extra' ",245
2007 ,"'Group W Creative Arts and Design' ","'Women' ","'Main scheme Clearing' ",1280
2007 ,"'Group W Creative Arts and Design' ","'Women' ","'Direct Clearing' ",480
2007 ,"'Group W Creative Arts and Design' ","'Women' ","'RPA' ",1245
2007 ,"'Group X Education' ","'Men' ","'Firm choice' ",1250
2007 ,"'Group X Education' ","'Men' ","'Insurance choice' ",35
2007 ,"'Group X Education' ","'Men' ","'Other main scheme choice' ",75
2007 ,"'Group X Education' ","'Men' ","'Extra' ",10
2007 ,"'Group X Education' ","'Men' ","'Main scheme Clearing' ",70
2007 ,"'Group X Education' ","'Men' ","'Direct Clearing' ",40
2007 ,"'Group X Education' ","'Men' ","'RPA' ",85
2007 ,"'Group X Education' ","'Women' ","'Firm choice' ",8880
2007 ,"'Group X Education' ","'Women' ","'Insurance choice' ",345
2007 ,"'Group X Education' ","'Women' ","'Other main scheme choice' ",555
2007 ,"'Group X Education' ","'Women' ","'Extra' ",85
2007 ,"'Group X Education' ","'Women' ","'Main scheme Clearing' ",560
2007 ,"'Group X Education' ","'Women' ","'Direct Clearing' ",305
2007 ,"'Group X Education' ","'Women' ","'RPA' ",730
2007 ,"'Y Combined arts' ","'Men' ","'Firm choice' ",3535
2007 ,"'Y Combined arts' ","'Men' ","'Insurance choice' ",200
2007 ,"'Y Combined arts' ","'Men' ","'Other main scheme choice' ",175
2007 ,"'Y Combined arts' ","'Men' ","'Extra' ",45
2007 ,"'Y Combined arts' ","'Men' ","'Main scheme Clearing' ",295
2007 ,"'Y Combined arts' ","'Men' ","'Direct Clearing' ",110
2007 ,"'Y Combined arts' ","'Men' ","'RPA' ",245
2007 ,"'Y Combined arts' ","'Women' ","'Firm choice' ",8110
2007 ,"'Y Combined arts' ","'Women' ","'Insurance choice' ",485
2007 ,"'Y Combined arts' ","'Women' ","'Other main scheme choice' ",285
2007 ,"'Y Combined arts' ","'Women' ","'Extra' ",115
2007 ,"'Y Combined arts' ","'Women' ","'Main scheme Clearing' ",565
2007 ,"'Y Combined arts' ","'Women' ","'Direct Clearing' ",190
2007 ,"'Y Combined arts' ","'Women' ","'RPA' ",340
2007 ,"'Y Combined sciences' ","'Men' ","'Firm choice' ",3235
2007 ,"'Y Combined sciences' ","'Men' ","'Insurance choice' ",285
2007 ,"'Y Combined sciences' ","'Men' ","'Other main scheme choice' ",215
2007 ,"'Y Combined sciences' ","'Men' ","'Extra' ",40
2007 ,"'Y Combined sciences' ","'Men' ","'Main scheme Clearing' ",370
2007 ,"'Y Combined sciences' ","'Men' ","'Direct Clearing' ",105
2007 ,"'Y Combined sciences' ","'Men' ","'RPA' ",350
2007 ,"'Y Combined sciences' ","'Women' ","'Firm choice' ",2750
2007 ,"'Y Combined sciences' ","'Women' ","'Insurance choice' ",255
2007 ,"'Y Combined sciences' ","'Women' ","'Other main scheme choice' ",140
2007 ,"'Y Combined sciences' ","'Women' ","'Extra' ",55
2007 ,"'Y Combined sciences' ","'Women' ","'Main scheme Clearing' ",340
2007 ,"'Y Combined sciences' ","'Women' ","'Direct Clearing' ",70
2007 ,"'Y Combined sciences' ","'Women' ","'RPA' ",225
2007 ,"'Y Combined social sciences' ","'Men' ","'Firm choice' ",2055
2007 ,"'Y Combined social sciences' ","'Men' ","'Insurance choice' ",295
2007 ,"'Y Combined social sciences' ","'Men' ","'Other main scheme choice' ",115
2007 ,"'Y Combined social sciences' ","'Men' ","'Extra' ",30
2007 ,"'Y Combined social sciences' ","'Men' ","'Main scheme Clearing' ",285
2007 ,"'Y Combined social sciences' ","'Men' ","'Direct Clearing' ",65
2007 ,"'Y Combined social sciences' ","'Men' ","'RPA' ",170
2007 ,"'Y Combined social sciences' ","'Women' ","'Firm choice' ",2435
2007 ,"'Y Combined social sciences' ","'Women' ","'Insurance choice' ",240
2007 ,"'Y Combined social sciences' ","'Women' ","'Other main scheme choice' ",135
2007 ,"'Y Combined social sciences' ","'Women' ","'Extra' ",40
2007 ,"'Y Combined social sciences' ","'Women' ","'Main scheme Clearing' ",325
2007 ,"'Y Combined social sciences' ","'Women' ","'Direct Clearing' ",55
2007 ,"'Y Combined social sciences' ","'Women' ","'RPA' ",190
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Men' ","'Firm choice' ",8265
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Men' ","'Insurance choice' ",625
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Men' ","'Other main scheme choice' ",540
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Men' ","'Extra' ",90
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Men' ","'Main scheme Clearing' ",855
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Men' ","'Direct Clearing' ",325
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Men' ","'RPA' ",850
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Women' ","'Firm choice' ",8655
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Women' ","'Insurance choice' ",580
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Women' ","'Other main scheme choice' ",405
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Women' ","'Extra' ",135
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Women' ","'Main scheme Clearing' ",865
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Women' ","'Direct Clearing' ",230
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Women' ","'RPA' ",675
2007 ,"'Y Social Sciences combined with Arts' ","'Men' ","'Firm choice' ",3770
2007 ,"'Y Social Sciences combined with Arts' ","'Men' ","'Insurance choice' ",330
2007 ,"'Y Social Sciences combined with Arts' ","'Men' ","'Other main scheme choice' ",180
2007 ,"'Y Social Sciences combined with Arts' ","'Men' ","'Extra' ",35
2007 ,"'Y Social Sciences combined with Arts' ","'Men' ","'Main scheme Clearing' ",300
2007 ,"'Y Social Sciences combined with Arts' ","'Men' ","'Direct Clearing' ",110
2007 ,"'Y Social Sciences combined with Arts' ","'Men' ","'RPA' ",200
2007 ,"'Y Social Sciences combined with Arts' ","'Women' ","'Firm choice' ",6310
2007 ,"'Y Social Sciences combined with Arts' ","'Women' ","'Insurance choice' ",410
2007 ,"'Y Social Sciences combined with Arts' ","'Women' ","'Other main scheme choice' ",320
2007 ,"'Y Social Sciences combined with Arts' ","'Women' ","'Extra' ",100
2007 ,"'Y Social Sciences combined with Arts' ","'Women' ","'Main scheme Clearing' ",570
2007 ,"'Y Social Sciences combined with Arts' ","'Women' ","'Direct Clearing' ",150
