"Statistic:   Number of Acceptances"
"Variables:   Number of Choices , Applicant Domicile (UK / EU / Not EU) , Cycle Year"
"Coverage:   Applied before June deadline"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_040_05.pdf"
 
Cycle Year,Number of Choices , Applicant Domicile (UK / EU / Not EU),Number of Acceptances,
2006 ,"'1 choice' ","'UK' ",31735
2011 ,"'3 choices' ","'EU (excluding UK)' ",815
2011 ,"'3 choices' ","'Not EU' ",1805
2011 ,"'4 choices' ","'UK' ",33105
2011 ,"'4 choices' ","'EU (excluding UK)' ",1375
2011 ,"'4 choices' ","'Not EU' ",1915
2011 ,"'5 choices' ","'UK' ",316910
2011 ,"'5 choices' ","'EU (excluding UK)' ",20495
2011 ,"'5 choices' ","'Not EU' ",23165
2012 ,"'1 choice' ","'UK' ",30280
2012 ,"'1 choice' ","'EU (excluding UK)' ",1585
2012 ,"'1 choice' ","'Not EU' ",1790
2012 ,"'2 choices' ","'UK' ",12460
2012 ,"'2 choices' ","'EU (excluding UK)' ",625
2012 ,"'2 choices' ","'Not EU' ",695
2012 ,"'3 choices' ","'UK' ",16875
2012 ,"'3 choices' ","'EU (excluding UK)' ",695
2012 ,"'3 choices' ","'Not EU' ",1840
2012 ,"'4 choices' ","'UK' ",30625
2012 ,"'4 choices' ","'EU (excluding UK)' ",1190
2012 ,"'4 choices' ","'Not EU' ",2000
2012 ,"'5 choices' ","'UK' ",292390
2012 ,"'5 choices' ","'EU (excluding UK)' ",17805
2012 ,"'5 choices' ","'Not EU' ",24295
2013 ,"'1 choice' ","'UK' ",34880
2013 ,"'1 choice' ","'EU (excluding UK)' ",1635
2013 ,"'1 choice' ","'Not EU' ",1985
2013 ,"'2 choices' ","'UK' ",13545
2013 ,"'2 choices' ","'EU (excluding UK)' ",655
2013 ,"'2 choices' ","'Not EU' ",725
2013 ,"'3 choices' ","'UK' ",18905
2013 ,"'3 choices' ","'EU (excluding UK)' ",785
2013 ,"'3 choices' ","'Not EU' ",1690
2013 ,"'4 choices' ","'UK' ",33005
2013 ,"'4 choices' ","'EU (excluding UK)' ",1255
2013 ,"'4 choices' ","'Not EU' ",2075
2013 ,"'5 choices' ","'UK' ",305170
2013 ,"'5 choices' ","'EU (excluding UK)' ",18970
2013 ,"'5 choices' ","'Not EU' ",26420
2014 ,"'1 choice' ","'UK' ",35325
2014 ,"'1 choice' ","'EU (excluding UK)' ",1815
2014 ,"'1 choice' ","'Not EU' ",1735
2014 ,"'2 choices' ","'UK' ",13655
2014 ,"'2 choices' ","'EU (excluding UK)' ",655
2014 ,"'2 choices' ","'Not EU' ",715
2014 ,"'3 choices' ","'UK' ",19255
2014 ,"'3 choices' ","'EU (excluding UK)' ",820
2014 ,"'3 choices' ","'Not EU' ",1640
2014 ,"'4 choices' ","'UK' ",33290
2014 ,"'4 choices' ","'EU (excluding UK)' ",1265
2014 ,"'4 choices' ","'Not EU' ",2065
2014 ,"'5 choices' ","'UK' ",318045
2014 ,"'5 choices' ","'EU (excluding UK)' ",20695
2014 ,"'5 choices' ","'Not EU' ",27805
2015 ,"'1 choice' ","'UK' ",35770
2015 ,"'1 choice' ","'EU (excluding UK)' ",1785
2015 ,"'1 choice' ","'Not EU' ",1765
2015 ,"'2 choices' ","'UK' ",14180
2015 ,"'2 choices' ","'EU (excluding UK)' ",705
2015 ,"'2 choices' ","'Not EU' ",690
2015 ,"'3 choices' ","'UK' ",20060
2015 ,"'3 choices' ","'EU (excluding UK)' ",860
2015 ,"'3 choices' ","'Not EU' ",1600
2015 ,"'4 choices' ","'UK' ",34650
2015 ,"'4 choices' ","'EU (excluding UK)' ",1455
2015 ,"'4 choices' ","'Not EU' ",2145
2015 ,"'5 choices' ","'UK' ",327110
2015 ,"'5 choices' ","'EU (excluding UK)' ",23120
2015 ,"'5 choices' ","'Not EU' ",28850
2016 ,"'1 choice' ","'UK' ",35670
2016 ,"'1 choice' ","'EU (excluding UK)' ",1840
2016 ,"'1 choice' ","'Not EU' ",1765
2016 ,"'2 choices' ","'UK' ",14590
2016 ,"'2 choices' ","'EU (excluding UK)' ",885
2016 ,"'2 choices' ","'Not EU' ",635
2016 ,"'3 choices' ","'UK' ",20290
2016 ,"'3 choices' ","'EU (excluding UK)' ",945
2016 ,"'3 choices' ","'Not EU' ",1680
2016 ,"'4 choices' ","'UK' ",34425
2016 ,"'4 choices' ","'EU (excluding UK)' ",1530
2016 ,"'4 choices' ","'Not EU' ",2005
2016 ,"'5 choices' ","'UK' ",329650
2016 ,"'5 choices' ","'EU (excluding UK)' ",24750
2016 ,"'5 choices' ","'Not EU' ",28100
