"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Age Band , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_018_07.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Age Band , Acceptance Route,Number of Acceptances,
2007 ,"'A1 - Pre-clinical Medicine' ","'17 and under' ","'Firm choice' ",100
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'20' ","'Other main scheme choice' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'20' ","'Extra' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'20' ","'Main scheme Clearing' ",20
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'20' ","'Direct Clearing' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'20' ","'RPA' ",15
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'21 and over' ","'Firm choice' ",865
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'21 and over' ","'Insurance choice' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'21 and over' ","'Other main scheme choice' ",70
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'21 and over' ","'Extra' ",15
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'21 and over' ","'Main scheme Clearing' ",95
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'21 and over' ","'Direct Clearing' ",50
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'21 and over' ","'RPA' ",80
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'17 and under' ","'Firm choice' ",45
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'17 and under' ","'Insurance choice' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'17 and under' ","'Other main scheme choice' ",10
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'17 and under' ","'Main scheme Clearing' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'17 and under' ","'Direct Clearing' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'17 and under' ","'RPA' ",10
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'18' ","'Firm choice' ",1390
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'18' ","'Insurance choice' ",250
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'18' ","'Other main scheme choice' ",10
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'18' ","'Extra' ",45
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'18' ","'Main scheme Clearing' ",230
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'18' ","'Direct Clearing' ",15
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'18' ","'RPA' ",10
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'19' ","'Firm choice' ",610
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'19' ","'Insurance choice' ",125
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'19' ","'Other main scheme choice' ",20
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'19' ","'Extra' ",10
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'19' ","'Main scheme Clearing' ",115
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'19' ","'Direct Clearing' ",10
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'19' ","'RPA' ",15
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'20' ","'Firm choice' ",170
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'20' ","'Insurance choice' ",20
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'20' ","'Other main scheme choice' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'20' ","'Extra' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'20' ","'Main scheme Clearing' ",25
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'20' ","'Direct Clearing' ",10
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'20' ","'RPA' ",25
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'21 and over' ","'Firm choice' ",515
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'21 and over' ","'Insurance choice' ",25
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'21 and over' ","'Other main scheme choice' ",90
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'21 and over' ","'Extra' ",10
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'21 and over' ","'Main scheme Clearing' ",55
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'21 and over' ","'Direct Clearing' ",25
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'21 and over' ","'RPA' ",65
2007 ,"'B3 - Complementary Medicine' ","'18' ","'Firm choice' ",170
2007 ,"'B3 - Complementary Medicine' ","'18' ","'Other main scheme choice' ",15
2007 ,"'B3 - Complementary Medicine' ","'18' ","'Extra' ",10
2007 ,"'B3 - Complementary Medicine' ","'18' ","'Main scheme Clearing' ",10
2007 ,"'B3 - Complementary Medicine' ","'18' ","'Direct Clearing' ",5
2007 ,"'B3 - Complementary Medicine' ","'18' ","'RPA' ",5
2007 ,"'B3 - Complementary Medicine' ","'19' ","'Firm choice' ",105
2007 ,"'B3 - Complementary Medicine' ","'19' ","'Other main scheme choice' ",10
2007 ,"'B3 - Complementary Medicine' ","'19' ","'Extra' ",5
2007 ,"'B3 - Complementary Medicine' ","'19' ","'Main scheme Clearing' ",5
2007 ,"'B3 - Complementary Medicine' ","'19' ","'RPA' ",10
2007 ,"'B3 - Complementary Medicine' ","'20' ","'Firm choice' ",60
2007 ,"'B3 - Complementary Medicine' ","'20' ","'Other main scheme choice' ",10
2007 ,"'B3 - Complementary Medicine' ","'20' ","'Main scheme Clearing' ",5
2007 ,"'B3 - Complementary Medicine' ","'20' ","'Direct Clearing' ",5
2007 ,"'B3 - Complementary Medicine' ","'20' ","'RPA' ",10
2007 ,"'B3 - Complementary Medicine' ","'21 and over' ","'Firm choice' ",425
2007 ,"'B3 - Complementary Medicine' ","'21 and over' ","'Other main scheme choice' ",95
2007 ,"'B3 - Complementary Medicine' ","'21 and over' ","'Extra' ",5
2007 ,"'B3 - Complementary Medicine' ","'21 and over' ","'Main scheme Clearing' ",35
2007 ,"'B3 - Complementary Medicine' ","'21 and over' ","'Direct Clearing' ",45
2007 ,"'B3 - Complementary Medicine' ","'21 and over' ","'RPA' ",180
2007 ,"'B4 - Nutrition' ","'17 and under' ","'Firm choice' ",20
2007 ,"'B4 - Nutrition' ","'18' ","'Firm choice' ",340
2007 ,"'B4 - Nutrition' ","'18' ","'Insurance choice' ",30
2007 ,"'B4 - Nutrition' ","'18' ","'Other main scheme choice' ",5
2007 ,"'B4 - Nutrition' ","'18' ","'Extra' ",5
2007 ,"'B4 - Nutrition' ","'18' ","'Main scheme Clearing' ",30
2007 ,"'B4 - Nutrition' ","'18' ","'Direct Clearing' ",5
2007 ,"'B4 - Nutrition' ","'19' ","'Firm choice' ",90
2007 ,"'B4 - Nutrition' ","'19' ","'Insurance choice' ",15
2007 ,"'B4 - Nutrition' ","'19' ","'Other main scheme choice' ",5
2007 ,"'B4 - Nutrition' ","'19' ","'Main scheme Clearing' ",10
2007 ,"'B4 - Nutrition' ","'19' ","'Direct Clearing' ",5
2007 ,"'B4 - Nutrition' ","'19' ","'RPA' ",5
2007 ,"'B4 - Nutrition' ","'20' ","'Firm choice' ",50
2007 ,"'B4 - Nutrition' ","'20' ","'Insurance choice' ",5
2007 ,"'B4 - Nutrition' ","'20' ","'Main scheme Clearing' ",5
2007 ,"'B4 - Nutrition' ","'20' ","'Direct Clearing' ",5
2007 ,"'B4 - Nutrition' ","'20' ","'RPA' ",5
2007 ,"'B4 - Nutrition' ","'21 and over' ","'Firm choice' ",280
2007 ,"'B4 - Nutrition' ","'21 and over' ","'Insurance choice' ",10
2007 ,"'B4 - Nutrition' ","'21 and over' ","'Other main scheme choice' ",35
2007 ,"'B4 - Nutrition' ","'21 and over' ","'Extra' ",5
2007 ,"'B4 - Nutrition' ","'21 and over' ","'Main scheme Clearing' ",15
2007 ,"'B4 - Nutrition' ","'21 and over' ","'Direct Clearing' ",15
2007 ,"'B4 - Nutrition' ","'21 and over' ","'RPA' ",35
2007 ,"'B5 - Ophthalmics' ","'17 and under' ","'Firm choice' ",10
2007 ,"'B5 - Ophthalmics' ","'18' ","'Firm choice' ",300
2007 ,"'B5 - Ophthalmics' ","'18' ","'Insurance choice' ",35
2007 ,"'B5 - Ophthalmics' ","'18' ","'Extra' ",15
2007 ,"'B5 - Ophthalmics' ","'18' ","'Main scheme Clearing' ",55
2007 ,"'B5 - Ophthalmics' ","'19' ","'Firm choice' ",115
2007 ,"'B5 - Ophthalmics' ","'19' ","'Insurance choice' ",10
2007 ,"'B5 - Ophthalmics' ","'19' ","'Other main scheme choice' ",5
2007 ,"'B5 - Ophthalmics' ","'19' ","'Extra' ",5
2007 ,"'B5 - Ophthalmics' ","'19' ","'Main scheme Clearing' ",20
2007 ,"'B5 - Ophthalmics' ","'19' ","'RPA' ",5
2007 ,"'B5 - Ophthalmics' ","'20' ","'Firm choice' ",30
2007 ,"'B5 - Ophthalmics' ","'20' ","'Main scheme Clearing' ",5
2007 ,"'B5 - Ophthalmics' ","'21 and over' ","'Firm choice' ",140
2007 ,"'B5 - Ophthalmics' ","'21 and over' ","'Insurance choice' ",10
2007 ,"'B5 - Ophthalmics' ","'21 and over' ","'Other main scheme choice' ",25
2007 ,"'B5 - Ophthalmics' ","'21 and over' ","'Main scheme Clearing' ",20
2007 ,"'B5 - Ophthalmics' ","'21 and over' ","'Direct Clearing' ",5
2007 ,"'B5 - Ophthalmics' ","'21 and over' ","'RPA' ",10
2007 ,"'B6 - Aural and Oral Sciences' ","'18' ","'Firm choice' ",395
2007 ,"'B6 - Aural and Oral Sciences' ","'18' ","'Insurance choice' ",25
2007 ,"'B6 - Aural and Oral Sciences' ","'18' ","'Extra' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'18' ","'Main scheme Clearing' ",35
2007 ,"'B6 - Aural and Oral Sciences' ","'19' ","'Firm choice' ",100
2007 ,"'B6 - Aural and Oral Sciences' ","'19' ","'Insurance choice' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'19' ","'Main scheme Clearing' ",15
2007 ,"'B6 - Aural and Oral Sciences' ","'20' ","'Firm choice' ",15
2007 ,"'B6 - Aural and Oral Sciences' ","'20' ","'Main scheme Clearing' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'21 and over' ","'Firm choice' ",220
2007 ,"'B6 - Aural and Oral Sciences' ","'21 and over' ","'Other main scheme choice' ",10
2007 ,"'B6 - Aural and Oral Sciences' ","'21 and over' ","'Main scheme Clearing' ",20
2007 ,"'B6 - Aural and Oral Sciences' ","'21 and over' ","'Direct Clearing' ",10
2007 ,"'B6 - Aural and Oral Sciences' ","'21 and over' ","'RPA' ",5
2007 ,"'B7 - Nursing' ","'17 and under' ","'Firm choice' ",15
2007 ,"'B7 - Nursing' ","'17 and under' ","'RPA' ",5
2007 ,"'B7 - Nursing' ","'18' ","'Firm choice' ",1970
2007 ,"'B7 - Nursing' ","'18' ","'Insurance choice' ",115
2007 ,"'B7 - Nursing' ","'18' ","'Other main scheme choice' ",25
2007 ,"'B7 - Nursing' ","'18' ","'Extra' ",45
2007 ,"'B7 - Nursing' ","'18' ","'Main scheme Clearing' ",220
2007 ,"'B7 - Nursing' ","'18' ","'Direct Clearing' ",5
2007 ,"'B7 - Nursing' ","'18' ","'RPA' ",20
2007 ,"'B7 - Nursing' ","'19' ","'Firm choice' ",645
2007 ,"'B7 - Nursing' ","'19' ","'Insurance choice' ",15
2007 ,"'B7 - Nursing' ","'19' ","'Other main scheme choice' ",30
2007 ,"'B7 - Nursing' ","'19' ","'Extra' ",15
2007 ,"'B7 - Nursing' ","'19' ","'Main scheme Clearing' ",85
2007 ,"'B7 - Nursing' ","'19' ","'Direct Clearing' ",10
2007 ,"'B7 - Nursing' ","'19' ","'RPA' ",40
2007 ,"'B7 - Nursing' ","'20' ","'Firm choice' ",250
2007 ,"'B7 - Nursing' ","'20' ","'Insurance choice' ",5
2007 ,"'B7 - Nursing' ","'20' ","'Other main scheme choice' ",15
2007 ,"'B7 - Nursing' ","'20' ","'Extra' ",5
2007 ,"'B7 - Nursing' ","'20' ","'Main scheme Clearing' ",40
2007 ,"'B7 - Nursing' ","'20' ","'Direct Clearing' ",10
2007 ,"'B7 - Nursing' ","'20' ","'RPA' ",10
2007 ,"'B7 - Nursing' ","'21 and over' ","'Firm choice' ",2220
2007 ,"'B7 - Nursing' ","'21 and over' ","'Insurance choice' ",15
2007 ,"'B7 - Nursing' ","'21 and over' ","'Other main scheme choice' ",135
2007 ,"'B7 - Nursing' ","'21 and over' ","'Extra' ",20
2007 ,"'B7 - Nursing' ","'21 and over' ","'Main scheme Clearing' ",225
2007 ,"'B7 - Nursing' ","'21 and over' ","'Direct Clearing' ",70
2007 ,"'B7 - Nursing' ","'21 and over' ","'RPA' ",160
2007 ,"'B8 - Medical Technology' ","'17 and under' ","'Firm choice' ",5
2007 ,"'B8 - Medical Technology' ","'18' ","'Firm choice' ",450
2007 ,"'B8 - Medical Technology' ","'18' ","'Insurance choice' ",30
2007 ,"'B8 - Medical Technology' ","'18' ","'Extra' ",10
2007 ,"'B8 - Medical Technology' ","'18' ","'Main scheme Clearing' ",85
2007 ,"'B8 - Medical Technology' ","'18' ","'Direct Clearing' ",5
2007 ,"'B8 - Medical Technology' ","'19' ","'Firm choice' ",170
2007 ,"'B8 - Medical Technology' ","'19' ","'Insurance choice' ",10
2007 ,"'B8 - Medical Technology' ","'19' ","'Extra' ",5
2007 ,"'B8 - Medical Technology' ","'19' ","'Main scheme Clearing' ",25
2007 ,"'B8 - Medical Technology' ","'19' ","'Direct Clearing' ",5
2007 ,"'B8 - Medical Technology' ","'19' ","'RPA' ",10
2007 ,"'B8 - Medical Technology' ","'20' ","'Firm choice' ",60
2007 ,"'B8 - Medical Technology' ","'20' ","'Insurance choice' ",5
2007 ,"'B8 - Medical Technology' ","'20' ","'Other main scheme choice' ",5
2007 ,"'B8 - Medical Technology' ","'20' ","'Main scheme Clearing' ",15
2007 ,"'B8 - Medical Technology' ","'20' ","'Direct Clearing' ",5
2007 ,"'B8 - Medical Technology' ","'20' ","'RPA' ",5
2007 ,"'B8 - Medical Technology' ","'21 and over' ","'Firm choice' ",505
2007 ,"'B8 - Medical Technology' ","'21 and over' ","'Insurance choice' ",5
2007 ,"'B8 - Medical Technology' ","'21 and over' ","'Other main scheme choice' ",45
2007 ,"'B8 - Medical Technology' ","'21 and over' ","'Extra' ",5
2007 ,"'B8 - Medical Technology' ","'21 and over' ","'Main scheme Clearing' ",55
2007 ,"'B8 - Medical Technology' ","'21 and over' ","'Direct Clearing' ",40
2007 ,"'B8 - Medical Technology' ","'21 and over' ","'RPA' ",50
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'17 and under' ","'Firm choice' ",45
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'17 and under' ","'Main scheme Clearing' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'17 and under' ","'RPA' ",20
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'18' ","'Firm choice' ",1950
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'18' ","'Insurance choice' ",325
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'18' ","'Other main scheme choice' ",25
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'18' ","'Extra' ",60
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'18' ","'Main scheme Clearing' ",425
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'18' ","'Direct Clearing' ",25
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'18' ","'RPA' ",40
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'19' ","'Firm choice' ",750
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'19' ","'Insurance choice' ",85
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'19' ","'Other main scheme choice' ",35
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'19' ","'Extra' ",25
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'19' ","'Main scheme Clearing' ",155
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'19' ","'Direct Clearing' ",25
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'19' ","'RPA' ",40
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'20' ","'Firm choice' ",305
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'20' ","'Insurance choice' ",25
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'20' ","'Other main scheme choice' ",25
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'20' ","'Extra' ",15
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'20' ","'Main scheme Clearing' ",55
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'20' ","'Direct Clearing' ",15
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'20' ","'RPA' ",45
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'21 and over' ","'Firm choice' ",1530
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'21 and over' ","'Insurance choice' ",30
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'21 and over' ","'Other main scheme choice' ",250
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'21 and over' ","'Extra' ",20
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'21 and over' ","'Main scheme Clearing' ",180
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'21 and over' ","'Direct Clearing' ",130
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'21 and over' ","'RPA' ",450
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'18' ","'Firm choice' ",50
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'18' ","'Insurance choice' ",10
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'18' ","'Main scheme Clearing' ",15
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'19' ","'Firm choice' ",30
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'19' ","'Insurance choice' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'19' ","'Main scheme Clearing' ",10
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'19' ","'RPA' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'20' ","'Firm choice' ",20
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'20' ","'RPA' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'21 and over' ","'Firm choice' ",40
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'21 and over' ","'Other main scheme choice' ",10
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'21 and over' ","'Main scheme Clearing' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'21 and over' ","'Direct Clearing' ",10
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'21 and over' ","'RPA' ",20
2007 ,"'C0 - Biological Sciences: any area of study' ","'18' ","'Firm choice' ",15
2007 ,"'C0 - Biological Sciences: any area of study' ","'19' ","'Firm choice' ",5
2007 ,"'C1 - Biology' ","'17 and under' ","'Firm choice' ",50
2007 ,"'C1 - Biology' ","'17 and under' ","'Insurance choice' ",5
2007 ,"'C1 - Biology' ","'17 and under' ","'Main scheme Clearing' ",5
2007 ,"'C1 - Biology' ","'17 and under' ","'RPA' ",5
2007 ,"'C1 - Biology' ","'18' ","'Firm choice' ",2135
2007 ,"'C1 - Biology' ","'18' ","'Insurance choice' ",300
2007 ,"'C1 - Biology' ","'18' ","'Other main scheme choice' ",10
2007 ,"'C1 - Biology' ","'18' ","'Extra' ",15
2007 ,"'C1 - Biology' ","'18' ","'Main scheme Clearing' ",265
2007 ,"'C1 - Biology' ","'18' ","'Direct Clearing' ",15
2007 ,"'C1 - Biology' ","'18' ","'RPA' ",20
2007 ,"'C1 - Biology' ","'19' ","'Firm choice' ",570
2007 ,"'C1 - Biology' ","'19' ","'Insurance choice' ",40
2007 ,"'C1 - Biology' ","'19' ","'Other main scheme choice' ",25
2007 ,"'C1 - Biology' ","'19' ","'Extra' ",10
2007 ,"'C1 - Biology' ","'19' ","'Main scheme Clearing' ",65
2007 ,"'C1 - Biology' ","'19' ","'Direct Clearing' ",10
2007 ,"'C1 - Biology' ","'19' ","'RPA' ",30
2007 ,"'C1 - Biology' ","'20' ","'Firm choice' ",150
2007 ,"'C1 - Biology' ","'20' ","'Insurance choice' ",10
2007 ,"'C1 - Biology' ","'20' ","'Other main scheme choice' ",20
2007 ,"'C1 - Biology' ","'20' ","'Extra' ",5
2007 ,"'C1 - Biology' ","'20' ","'Main scheme Clearing' ",20
2007 ,"'C1 - Biology' ","'20' ","'Direct Clearing' ",15
2007 ,"'C1 - Biology' ","'20' ","'RPA' ",30
2007 ,"'C1 - Biology' ","'21 and over' ","'Firm choice' ",340
2007 ,"'C1 - Biology' ","'21 and over' ","'Insurance choice' ",5
2007 ,"'C1 - Biology' ","'21 and over' ","'Other main scheme choice' ",60
2007 ,"'C1 - Biology' ","'21 and over' ","'Extra' ",10
2007 ,"'C1 - Biology' ","'21 and over' ","'Main scheme Clearing' ",30
2007 ,"'C1 - Biology' ","'21 and over' ","'Direct Clearing' ",40
2007 ,"'C1 - Biology' ","'21 and over' ","'RPA' ",90
2007 ,"'C2 - Botany' ","'18' ","'Firm choice' ",5
2007 ,"'C2 - Botany' ","'19' ","'Firm choice' ",5
2007 ,"'C2 - Botany' ","'21 and over' ","'Firm choice' ",5
2007 ,"'C3 - Zoology' ","'17 and under' ","'Firm choice' ",10
2007 ,"'C3 - Zoology' ","'17 and under' ","'RPA' ",5
2007 ,"'C3 - Zoology' ","'18' ","'Firm choice' ",575
2007 ,"'C3 - Zoology' ","'18' ","'Insurance choice' ",70
2007 ,"'C3 - Zoology' ","'18' ","'Other main scheme choice' ",5
2007 ,"'C3 - Zoology' ","'18' ","'Extra' ",5
