"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Age Band , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_013_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Age Band , Acceptance Route,Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'17 and under' ","'Firm choice' ",110
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Main scheme Clearing' ",25
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'Direct Clearing' ",10
2007 ,"'Group C Biological Sciences' ","'17 and under' ","'RPA' ",30
2007 ,"'Group C Biological Sciences' ","'18' ","'Firm choice' ",15170
2007 ,"'Group C Biological Sciences' ","'18' ","'Insurance choice' ",1940
2007 ,"'Group C Biological Sciences' ","'18' ","'Other main scheme choice' ",115
2007 ,"'Group C Biological Sciences' ","'18' ","'Extra' ",190
2007 ,"'Group C Biological Sciences' ","'18' ","'Main scheme Clearing' ",1525
2007 ,"'Group C Biological Sciences' ","'18' ","'Direct Clearing' ",85
2007 ,"'Group C Biological Sciences' ","'18' ","'RPA' ",205
2007 ,"'Group C Biological Sciences' ","'19' ","'Firm choice' ",4275
2007 ,"'Group C Biological Sciences' ","'19' ","'Insurance choice' ",305
2007 ,"'Group C Biological Sciences' ","'19' ","'Other main scheme choice' ",180
2007 ,"'Group C Biological Sciences' ","'19' ","'Extra' ",90
2007 ,"'Group C Biological Sciences' ","'19' ","'Main scheme Clearing' ",480
2007 ,"'Group C Biological Sciences' ","'19' ","'Direct Clearing' ",130
2007 ,"'Group C Biological Sciences' ","'19' ","'RPA' ",255
2007 ,"'Group C Biological Sciences' ","'20' ","'Firm choice' ",1315
2007 ,"'Group C Biological Sciences' ","'20' ","'Insurance choice' ",50
2007 ,"'Group C Biological Sciences' ","'20' ","'Other main scheme choice' ",140
2007 ,"'Group C Biological Sciences' ","'20' ","'Extra' ",35
2007 ,"'Group C Biological Sciences' ","'20' ","'Main scheme Clearing' ",155
2007 ,"'Group C Biological Sciences' ","'20' ","'Direct Clearing' ",85
2007 ,"'Group C Biological Sciences' ","'20' ","'RPA' ",185
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Firm choice' ",2925
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Insurance choice' ",80
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Other main scheme choice' ",490
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Extra' ",50
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Main scheme Clearing' ",275
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'Direct Clearing' ",280
2007 ,"'Group C Biological Sciences' ","'21 and over' ","'RPA' ",795
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'Firm choice' ",40
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'Insurance choice' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'Other main scheme choice' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'Direct Clearing' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'RPA' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Firm choice' ",1700
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Insurance choice' ",100
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Other main scheme choice' ",35
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Extra' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Main scheme Clearing' ",115
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Direct Clearing' ",45
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'RPA' ",40
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Firm choice' ",490
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Insurance choice' ",20
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Other main scheme choice' ",35
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Extra' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Main scheme Clearing' ",35
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Direct Clearing' ",40
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'RPA' ",40
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Firm choice' ",210
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Insurance choice' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Other main scheme choice' ",30
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Main scheme Clearing' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Direct Clearing' ",25
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'RPA' ",35
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Firm choice' ",680
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Insurance choice' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Other main scheme choice' ",125
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Main scheme Clearing' ",45
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Direct Clearing' ",125
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'RPA' ",250
2007 ,"'Group F Physical Sciences' ","'17 and under' ","'Firm choice' ",165
2007 ,"'Group F Physical Sciences' ","'17 and under' ","'Insurance choice' ",20
2007 ,"'Group F Physical Sciences' ","'17 and under' ","'Other main scheme choice' ",10
2007 ,"'Group F Physical Sciences' ","'17 and under' ","'Main scheme Clearing' ",10
2007 ,"'Group F Physical Sciences' ","'17 and under' ","'Direct Clearing' ",5
2007 ,"'Group F Physical Sciences' ","'17 and under' ","'RPA' ",20
2007 ,"'Group F Physical Sciences' ","'18' ","'Firm choice' ",8700
2007 ,"'Group F Physical Sciences' ","'18' ","'Insurance choice' ",1005
2007 ,"'Group F Physical Sciences' ","'18' ","'Other main scheme choice' ",40
2007 ,"'Group F Physical Sciences' ","'18' ","'Extra' ",60
2007 ,"'Group F Physical Sciences' ","'18' ","'Main scheme Clearing' ",670
2007 ,"'Group F Physical Sciences' ","'18' ","'Direct Clearing' ",35
2007 ,"'Group F Physical Sciences' ","'18' ","'RPA' ",60
2007 ,"'Group F Physical Sciences' ","'19' ","'Firm choice' ",1675
2007 ,"'Group F Physical Sciences' ","'19' ","'Insurance choice' ",115
2007 ,"'Group F Physical Sciences' ","'19' ","'Other main scheme choice' ",75
2007 ,"'Group F Physical Sciences' ","'19' ","'Extra' ",20
2007 ,"'Group F Physical Sciences' ","'19' ","'Main scheme Clearing' ",170
2007 ,"'Group F Physical Sciences' ","'19' ","'Direct Clearing' ",50
2007 ,"'Group F Physical Sciences' ","'19' ","'RPA' ",95
2007 ,"'Group F Physical Sciences' ","'20' ","'Firm choice' ",470
2007 ,"'Group F Physical Sciences' ","'20' ","'Insurance choice' ",20
2007 ,"'Group F Physical Sciences' ","'20' ","'Other main scheme choice' ",40
2007 ,"'Group F Physical Sciences' ","'20' ","'Extra' ",5
2007 ,"'Group F Physical Sciences' ","'20' ","'Main scheme Clearing' ",50
2007 ,"'Group F Physical Sciences' ","'20' ","'Direct Clearing' ",35
2007 ,"'Group F Physical Sciences' ","'20' ","'RPA' ",70
2007 ,"'Group F Physical Sciences' ","'21 and over' ","'Firm choice' ",1070
2007 ,"'Group F Physical Sciences' ","'21 and over' ","'Insurance choice' ",30
2007 ,"'Group F Physical Sciences' ","'21 and over' ","'Other main scheme choice' ",200
2007 ,"'Group F Physical Sciences' ","'21 and over' ","'Extra' ",10
2007 ,"'Group F Physical Sciences' ","'21 and over' ","'Main scheme Clearing' ",75
2007 ,"'Group F Physical Sciences' ","'21 and over' ","'Direct Clearing' ",130
2007 ,"'Group F Physical Sciences' ","'21 and over' ","'RPA' ",265
2007 ,"'Group G Mathematical Sciences' ","'17 and under' ","'Firm choice' ",110
2007 ,"'Group G Mathematical Sciences' ","'17 and under' ","'Insurance choice' ",10
2007 ,"'Group G Mathematical Sciences' ","'17 and under' ","'Other main scheme choice' ",5
2007 ,"'Group G Mathematical Sciences' ","'17 and under' ","'Main scheme Clearing' ",5
2007 ,"'Group G Mathematical Sciences' ","'17 and under' ","'RPA' ",5
2007 ,"'Group G Mathematical Sciences' ","'18' ","'Firm choice' ",3120
2007 ,"'Group G Mathematical Sciences' ","'18' ","'Insurance choice' ",650
2007 ,"'Group G Mathematical Sciences' ","'18' ","'Other main scheme choice' ",15
2007 ,"'Group G Mathematical Sciences' ","'18' ","'Extra' ",40
2007 ,"'Group G Mathematical Sciences' ","'18' ","'Main scheme Clearing' ",275
2007 ,"'Group G Mathematical Sciences' ","'18' ","'Direct Clearing' ",10
2007 ,"'Group G Mathematical Sciences' ","'18' ","'RPA' ",20
2007 ,"'Group G Mathematical Sciences' ","'19' ","'Firm choice' ",620
2007 ,"'Group G Mathematical Sciences' ","'19' ","'Insurance choice' ",90
2007 ,"'Group G Mathematical Sciences' ","'19' ","'Other main scheme choice' ",30
2007 ,"'Group G Mathematical Sciences' ","'19' ","'Extra' ",5
2007 ,"'Group G Mathematical Sciences' ","'19' ","'Main scheme Clearing' ",85
2007 ,"'Group G Mathematical Sciences' ","'19' ","'Direct Clearing' ",20
2007 ,"'Group G Mathematical Sciences' ","'19' ","'RPA' ",30
2007 ,"'Group G Mathematical Sciences' ","'20' ","'Firm choice' ",160
2007 ,"'Group G Mathematical Sciences' ","'20' ","'Insurance choice' ",25
2007 ,"'Group G Mathematical Sciences' ","'20' ","'Other main scheme choice' ",20
2007 ,"'Group G Mathematical Sciences' ","'20' ","'Main scheme Clearing' ",30
2007 ,"'Group G Mathematical Sciences' ","'20' ","'Direct Clearing' ",15
2007 ,"'Group G Mathematical Sciences' ","'20' ","'RPA' ",25
2007 ,"'Group G Mathematical Sciences' ","'21 and over' ","'Firm choice' ",195
2007 ,"'Group G Mathematical Sciences' ","'21 and over' ","'Insurance choice' ",15
2007 ,"'Group G Mathematical Sciences' ","'21 and over' ","'Other main scheme choice' ",55
2007 ,"'Group G Mathematical Sciences' ","'21 and over' ","'Extra' ",5
2007 ,"'Group G Mathematical Sciences' ","'21 and over' ","'Main scheme Clearing' ",20
2007 ,"'Group G Mathematical Sciences' ","'21 and over' ","'Direct Clearing' ",45
2007 ,"'Group G Mathematical Sciences' ","'21 and over' ","'RPA' ",85
2007 ,"'Group H Engineering' ","'17 and under' ","'Firm choice' ",355
2007 ,"'Group H Engineering' ","'17 and under' ","'Insurance choice' ",45
2007 ,"'Group H Engineering' ","'17 and under' ","'Other main scheme choice' ",50
2007 ,"'Group H Engineering' ","'17 and under' ","'Extra' ",5
2007 ,"'Group H Engineering' ","'17 and under' ","'Main scheme Clearing' ",50
2007 ,"'Group H Engineering' ","'17 and under' ","'Direct Clearing' ",25
2007 ,"'Group H Engineering' ","'17 and under' ","'RPA' ",60
2007 ,"'Group H Engineering' ","'18' ","'Firm choice' ",7585
2007 ,"'Group H Engineering' ","'18' ","'Insurance choice' ",1060
2007 ,"'Group H Engineering' ","'18' ","'Other main scheme choice' ",145
2007 ,"'Group H Engineering' ","'18' ","'Extra' ",55
2007 ,"'Group H Engineering' ","'18' ","'Main scheme Clearing' ",760
2007 ,"'Group H Engineering' ","'18' ","'Direct Clearing' ",90
2007 ,"'Group H Engineering' ","'18' ","'RPA' ",245
2007 ,"'Group H Engineering' ","'19' ","'Firm choice' ",2425
2007 ,"'Group H Engineering' ","'19' ","'Insurance choice' ",290
2007 ,"'Group H Engineering' ","'19' ","'Other main scheme choice' ",240
2007 ,"'Group H Engineering' ","'19' ","'Extra' ",30
2007 ,"'Group H Engineering' ","'19' ","'Main scheme Clearing' ",320
2007 ,"'Group H Engineering' ","'19' ","'Direct Clearing' ",110
2007 ,"'Group H Engineering' ","'19' ","'RPA' ",275
2007 ,"'Group H Engineering' ","'20' ","'Firm choice' ",1090
2007 ,"'Group H Engineering' ","'20' ","'Insurance choice' ",95
2007 ,"'Group H Engineering' ","'20' ","'Other main scheme choice' ",240
2007 ,"'Group H Engineering' ","'20' ","'Extra' ",10
2007 ,"'Group H Engineering' ","'20' ","'Main scheme Clearing' ",145
2007 ,"'Group H Engineering' ","'20' ","'Direct Clearing' ",85
2007 ,"'Group H Engineering' ","'20' ","'RPA' ",340
2007 ,"'Group H Engineering' ","'21 and over' ","'Firm choice' ",2260
2007 ,"'Group H Engineering' ","'21 and over' ","'Insurance choice' ",100
2007 ,"'Group H Engineering' ","'21 and over' ","'Other main scheme choice' ",805
2007 ,"'Group H Engineering' ","'21 and over' ","'Extra' ",30
2007 ,"'Group H Engineering' ","'21 and over' ","'Main scheme Clearing' ",225
2007 ,"'Group H Engineering' ","'21 and over' ","'Direct Clearing' ",255
2007 ,"'Group H Engineering' ","'21 and over' ","'RPA' ",1205
2007 ,"'Group I Computer Sciences' ","'17 and under' ","'Firm choice' ",105
2007 ,"'Group I Computer Sciences' ","'17 and under' ","'Insurance choice' ",10
2007 ,"'Group I Computer Sciences' ","'17 and under' ","'Other main scheme choice' ",15
2007 ,"'Group I Computer Sciences' ","'17 and under' ","'Main scheme Clearing' ",15
2007 ,"'Group I Computer Sciences' ","'17 and under' ","'Direct Clearing' ",10
2007 ,"'Group I Computer Sciences' ","'17 and under' ","'RPA' ",25
2007 ,"'Group I Computer Sciences' ","'18' ","'Firm choice' ",5480
2007 ,"'Group I Computer Sciences' ","'18' ","'Insurance choice' ",590
2007 ,"'Group I Computer Sciences' ","'18' ","'Other main scheme choice' ",110
2007 ,"'Group I Computer Sciences' ","'18' ","'Extra' ",40
2007 ,"'Group I Computer Sciences' ","'18' ","'Main scheme Clearing' ",615
2007 ,"'Group I Computer Sciences' ","'18' ","'Direct Clearing' ",65
2007 ,"'Group I Computer Sciences' ","'18' ","'RPA' ",195
2007 ,"'Group I Computer Sciences' ","'19' ","'Firm choice' ",2245
2007 ,"'Group I Computer Sciences' ","'19' ","'Insurance choice' ",180
2007 ,"'Group I Computer Sciences' ","'19' ","'Other main scheme choice' ",150
2007 ,"'Group I Computer Sciences' ","'19' ","'Extra' ",25
2007 ,"'Group I Computer Sciences' ","'19' ","'Main scheme Clearing' ",365
2007 ,"'Group I Computer Sciences' ","'19' ","'Direct Clearing' ",150
2007 ,"'Group I Computer Sciences' ","'19' ","'RPA' ",285
2007 ,"'Group I Computer Sciences' ","'20' ","'Firm choice' ",1150
2007 ,"'Group I Computer Sciences' ","'20' ","'Insurance choice' ",70
2007 ,"'Group I Computer Sciences' ","'20' ","'Other main scheme choice' ",150
2007 ,"'Group I Computer Sciences' ","'20' ","'Extra' ",15
2007 ,"'Group I Computer Sciences' ","'20' ","'Main scheme Clearing' ",140
2007 ,"'Group I Computer Sciences' ","'20' ","'Direct Clearing' ",110
2007 ,"'Group I Computer Sciences' ","'20' ","'RPA' ",275
2007 ,"'Group I Computer Sciences' ","'21 and over' ","'Firm choice' ",2155
2007 ,"'Group I Computer Sciences' ","'21 and over' ","'Insurance choice' ",70
2007 ,"'Group I Computer Sciences' ","'21 and over' ","'Other main scheme choice' ",610
2007 ,"'Group I Computer Sciences' ","'21 and over' ","'Extra' ",10
2007 ,"'Group I Computer Sciences' ","'21 and over' ","'Main scheme Clearing' ",210
2007 ,"'Group I Computer Sciences' ","'21 and over' ","'Direct Clearing' ",325
2007 ,"'Group I Computer Sciences' ","'21 and over' ","'RPA' ",1315
2007 ,"'Group J Technologies' ","'17 and under' ","'Firm choice' ",10
2007 ,"'Group J Technologies' ","'17 and under' ","'Main scheme Clearing' ",5
2007 ,"'Group J Technologies' ","'17 and under' ","'RPA' ",10
2007 ,"'Group J Technologies' ","'18' ","'Firm choice' ",800
2007 ,"'Group J Technologies' ","'18' ","'Insurance choice' ",60
2007 ,"'Group J Technologies' ","'18' ","'Other main scheme choice' ",15
2007 ,"'Group J Technologies' ","'18' ","'Extra' ",10
2007 ,"'Group J Technologies' ","'18' ","'Main scheme Clearing' ",55
2007 ,"'Group J Technologies' ","'18' ","'Direct Clearing' ",15
2007 ,"'Group J Technologies' ","'18' ","'RPA' ",25
2007 ,"'Group J Technologies' ","'19' ","'Firm choice' ",400
2007 ,"'Group J Technologies' ","'19' ","'Insurance choice' ",15
2007 ,"'Group J Technologies' ","'19' ","'Other main scheme choice' ",25
2007 ,"'Group J Technologies' ","'19' ","'Extra' ",10
2007 ,"'Group J Technologies' ","'19' ","'Main scheme Clearing' ",40
2007 ,"'Group J Technologies' ","'19' ","'Direct Clearing' ",15
2007 ,"'Group J Technologies' ","'19' ","'RPA' ",40
2007 ,"'Group J Technologies' ","'20' ","'Firm choice' ",200
2007 ,"'Group J Technologies' ","'20' ","'Insurance choice' ",5
2007 ,"'Group J Technologies' ","'20' ","'Other main scheme choice' ",25
2007 ,"'Group J Technologies' ","'20' ","'Main scheme Clearing' ",10
2007 ,"'Group J Technologies' ","'20' ","'Direct Clearing' ",10
2007 ,"'Group J Technologies' ","'20' ","'RPA' ",30
2007 ,"'Group J Technologies' ","'21 and over' ","'Firm choice' ",415
2007 ,"'Group J Technologies' ","'21 and over' ","'Insurance choice' ",5
2007 ,"'Group J Technologies' ","'21 and over' ","'Other main scheme choice' ",100
2007 ,"'Group J Technologies' ","'21 and over' ","'Main scheme Clearing' ",30
2007 ,"'Group J Technologies' ","'21 and over' ","'Direct Clearing' ",35
2007 ,"'Group J Technologies' ","'21 and over' ","'RPA' ",185
2007 ,"'Group K Architecture, Building and Planning' ","'17 and under' ","'Firm choice' ",95
2007 ,"'Group K Architecture, Building and Planning' ","'17 and under' ","'Insurance choice' ",10
2007 ,"'Group K Architecture, Building and Planning' ","'17 and under' ","'Other main scheme choice' ",10
2007 ,"'Group K Architecture, Building and Planning' ","'17 and under' ","'Main scheme Clearing' ",5
2007 ,"'Group K Architecture, Building and Planning' ","'17 and under' ","'Direct Clearing' ",15
2007 ,"'Group K Architecture, Building and Planning' ","'17 and under' ","'RPA' ",10
2007 ,"'Group K Architecture, Building and Planning' ","'18' ","'Firm choice' ",3520
2007 ,"'Group K Architecture, Building and Planning' ","'18' ","'Insurance choice' ",525
2007 ,"'Group K Architecture, Building and Planning' ","'18' ","'Other main scheme choice' ",50
2007 ,"'Group K Architecture, Building and Planning' ","'18' ","'Extra' ",40
2007 ,"'Group K Architecture, Building and Planning' ","'18' ","'Main scheme Clearing' ",355
2007 ,"'Group K Architecture, Building and Planning' ","'18' ","'Direct Clearing' ",20
2007 ,"'Group K Architecture, Building and Planning' ","'18' ","'RPA' ",60
2007 ,"'Group K Architecture, Building and Planning' ","'19' ","'Firm choice' ",1335
2007 ,"'Group K Architecture, Building and Planning' ","'19' ","'Insurance choice' ",90
2007 ,"'Group K Architecture, Building and Planning' ","'19' ","'Other main scheme choice' ",85
2007 ,"'Group K Architecture, Building and Planning' ","'19' ","'Extra' ",15
2007 ,"'Group K Architecture, Building and Planning' ","'19' ","'Main scheme Clearing' ",130
2007 ,"'Group K Architecture, Building and Planning' ","'19' ","'Direct Clearing' ",40
2007 ,"'Group K Architecture, Building and Planning' ","'19' ","'RPA' ",105
2007 ,"'Group K Architecture, Building and Planning' ","'20' ","'Firm choice' ",475
2007 ,"'Group K Architecture, Building and Planning' ","'20' ","'Insurance choice' ",20
2007 ,"'Group K Architecture, Building and Planning' ","'20' ","'Other main scheme choice' ",65
2007 ,"'Group K Architecture, Building and Planning' ","'20' ","'Extra' ",5
2007 ,"'Group K Architecture, Building and Planning' ","'20' ","'Main scheme Clearing' ",40
2007 ,"'Group K Architecture, Building and Planning' ","'20' ","'Direct Clearing' ",30
2007 ,"'Group K Architecture, Building and Planning' ","'20' ","'RPA' ",90
2007 ,"'Group K Architecture, Building and Planning' ","'21 and over' ","'Firm choice' ",1075
2007 ,"'Group K Architecture, Building and Planning' ","'21 and over' ","'Insurance choice' ",20
2007 ,"'Group K Architecture, Building and Planning' ","'21 and over' ","'Other main scheme choice' ",300
2007 ,"'Group K Architecture, Building and Planning' ","'21 and over' ","'Extra' ",10
2007 ,"'Group K Architecture, Building and Planning' ","'21 and over' ","'Main scheme Clearing' ",90
2007 ,"'Group K Architecture, Building and Planning' ","'21 and over' ","'Direct Clearing' ",120
2007 ,"'Group K Architecture, Building and Planning' ","'21 and over' ","'RPA' ",435
2007 ,"'Group L Social Studies' ","'17 and under' ","'Firm choice' ",240
2007 ,"'Group L Social Studies' ","'17 and under' ","'Insurance choice' ",35
2007 ,"'Group L Social Studies' ","'17 and under' ","'Other main scheme choice' ",10
2007 ,"'Group L Social Studies' ","'17 and under' ","'Extra' ",5
2007 ,"'Group L Social Studies' ","'17 and under' ","'Main scheme Clearing' ",30
2007 ,"'Group L Social Studies' ","'17 and under' ","'Direct Clearing' ",5
2007 ,"'Group L Social Studies' ","'17 and under' ","'RPA' ",15
2007 ,"'Group L Social Studies' ","'18' ","'Firm choice' ",10320
2007 ,"'Group L Social Studies' ","'18' ","'Insurance choice' ",1320
2007 ,"'Group L Social Studies' ","'18' ","'Other main scheme choice' ",95
2007 ,"'Group L Social Studies' ","'18' ","'Extra' ",150
2007 ,"'Group L Social Studies' ","'18' ","'Main scheme Clearing' ",1290
2007 ,"'Group L Social Studies' ","'18' ","'Direct Clearing' ",55
2007 ,"'Group L Social Studies' ","'18' ","'RPA' ",185
2007 ,"'Group L Social Studies' ","'19' ","'Firm choice' ",3745
2007 ,"'Group L Social Studies' ","'19' ","'Insurance choice' ",340
2007 ,"'Group L Social Studies' ","'19' ","'Other main scheme choice' ",190
2007 ,"'Group L Social Studies' ","'19' ","'Extra' ",65
2007 ,"'Group L Social Studies' ","'19' ","'Main scheme Clearing' ",470
2007 ,"'Group L Social Studies' ","'19' ","'Direct Clearing' ",120
2007 ,"'Group L Social Studies' ","'19' ","'RPA' ",245
