"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Applicant Domicile (High Level) , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_012_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Applicant Domicile (High Level) , Acceptance Route,Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'England' ","'Firm choice' ",6135
2007 ,"'Group B Subjects allied to Medicine' ","'Northern Ireland' ","'Main scheme Clearing' ",95
2007 ,"'Group B Subjects allied to Medicine' ","'Northern Ireland' ","'Direct Clearing' ",15
2007 ,"'Group B Subjects allied to Medicine' ","'Northern Ireland' ","'RPA' ",10
2007 ,"'Group B Subjects allied to Medicine' ","'Scotland' ","'Firm choice' ",1480
2007 ,"'Group B Subjects allied to Medicine' ","'Scotland' ","'Insurance choice' ",75
2007 ,"'Group B Subjects allied to Medicine' ","'Scotland' ","'Other main scheme choice' ",55
2007 ,"'Group B Subjects allied to Medicine' ","'Scotland' ","'Extra' ",15
2007 ,"'Group B Subjects allied to Medicine' ","'Scotland' ","'Main scheme Clearing' ",85
2007 ,"'Group B Subjects allied to Medicine' ","'Scotland' ","'Direct Clearing' ",25
2007 ,"'Group B Subjects allied to Medicine' ","'Scotland' ","'RPA' ",55
2007 ,"'Group B Subjects allied to Medicine' ","'Wales' ","'Firm choice' ",1355
2007 ,"'Group B Subjects allied to Medicine' ","'Wales' ","'Insurance choice' ",60
2007 ,"'Group B Subjects allied to Medicine' ","'Wales' ","'Other main scheme choice' ",45
2007 ,"'Group B Subjects allied to Medicine' ","'Wales' ","'Extra' ",25
2007 ,"'Group B Subjects allied to Medicine' ","'Wales' ","'Main scheme Clearing' ",140
2007 ,"'Group B Subjects allied to Medicine' ","'Wales' ","'Direct Clearing' ",30
2007 ,"'Group B Subjects allied to Medicine' ","'Wales' ","'RPA' ",55
2007 ,"'Group C Biological Sciences' ","'England' ","'Firm choice' ",18870
2007 ,"'Group C Biological Sciences' ","'England' ","'Insurance choice' ",1870
2007 ,"'Group C Biological Sciences' ","'England' ","'Other main scheme choice' ",630
2007 ,"'Group C Biological Sciences' ","'England' ","'Extra' ",305
2007 ,"'Group C Biological Sciences' ","'England' ","'Main scheme Clearing' ",1965
2007 ,"'Group C Biological Sciences' ","'England' ","'Direct Clearing' ",455
2007 ,"'Group C Biological Sciences' ","'England' ","'RPA' ",1115
2007 ,"'Group C Biological Sciences' ","'Northern Ireland' ","'Firm choice' ",660
2007 ,"'Group C Biological Sciences' ","'Northern Ireland' ","'Insurance choice' ",100
2007 ,"'Group C Biological Sciences' ","'Northern Ireland' ","'Other main scheme choice' ",10
2007 ,"'Group C Biological Sciences' ","'Northern Ireland' ","'Extra' ",15
2007 ,"'Group C Biological Sciences' ","'Northern Ireland' ","'Main scheme Clearing' ",85
2007 ,"'Group C Biological Sciences' ","'Northern Ireland' ","'Direct Clearing' ",20
2007 ,"'Group C Biological Sciences' ","'Northern Ireland' ","'RPA' ",10
2007 ,"'Group C Biological Sciences' ","'Scotland' ","'Firm choice' ",1705
2007 ,"'Group C Biological Sciences' ","'Scotland' ","'Insurance choice' ",180
2007 ,"'Group C Biological Sciences' ","'Scotland' ","'Other main scheme choice' ",85
2007 ,"'Group C Biological Sciences' ","'Scotland' ","'Extra' ",15
2007 ,"'Group C Biological Sciences' ","'Scotland' ","'Main scheme Clearing' ",140
2007 ,"'Group C Biological Sciences' ","'Scotland' ","'Direct Clearing' ",30
2007 ,"'Group C Biological Sciences' ","'Scotland' ","'RPA' ",155
2007 ,"'Group C Biological Sciences' ","'Wales' ","'Firm choice' ",1070
2007 ,"'Group C Biological Sciences' ","'Wales' ","'Insurance choice' ",95
2007 ,"'Group C Biological Sciences' ","'Wales' ","'Other main scheme choice' ",20
2007 ,"'Group C Biological Sciences' ","'Wales' ","'Extra' ",10
2007 ,"'Group C Biological Sciences' ","'Wales' ","'Main scheme Clearing' ",105
2007 ,"'Group C Biological Sciences' ","'Wales' ","'Direct Clearing' ",35
2007 ,"'Group C Biological Sciences' ","'Wales' ","'RPA' ",50
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'England' ","'Firm choice' ",2445
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'England' ","'Insurance choice' ",100
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'England' ","'Other main scheme choice' ",170
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'England' ","'Extra' ",20
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'England' ","'Main scheme Clearing' ",145
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'England' ","'Direct Clearing' ",190
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'England' ","'RPA' ",170
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Northern Ireland' ","'Firm choice' ",110
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Northern Ireland' ","'Insurance choice' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Northern Ireland' ","'Other main scheme choice' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Northern Ireland' ","'Main scheme Clearing' ",20
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Northern Ireland' ","'Direct Clearing' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Scotland' ","'Firm choice' ",235
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Scotland' ","'Insurance choice' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Scotland' ","'Other main scheme choice' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Scotland' ","'Main scheme Clearing' ",20
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Scotland' ","'Direct Clearing' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Scotland' ","'RPA' ",90
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Wales' ","'Firm choice' ",145
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Wales' ","'Insurance choice' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Wales' ","'Other main scheme choice' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Wales' ","'Main scheme Clearing' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Wales' ","'Direct Clearing' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Wales' ","'RPA' ",5
2007 ,"'Group F Physical Sciences' ","'England' ","'Firm choice' ",9190
2007 ,"'Group F Physical Sciences' ","'England' ","'Insurance choice' ",935
2007 ,"'Group F Physical Sciences' ","'England' ","'Other main scheme choice' ",200
2007 ,"'Group F Physical Sciences' ","'England' ","'Extra' ",70
2007 ,"'Group F Physical Sciences' ","'England' ","'Main scheme Clearing' ",780
2007 ,"'Group F Physical Sciences' ","'England' ","'Direct Clearing' ",185
2007 ,"'Group F Physical Sciences' ","'England' ","'RPA' ",295
2007 ,"'Group F Physical Sciences' ","'Northern Ireland' ","'Firm choice' ",350
2007 ,"'Group F Physical Sciences' ","'Northern Ireland' ","'Insurance choice' ",55
2007 ,"'Group F Physical Sciences' ","'Northern Ireland' ","'Other main scheme choice' ",10
2007 ,"'Group F Physical Sciences' ","'Northern Ireland' ","'Extra' ",5
2007 ,"'Group F Physical Sciences' ","'Northern Ireland' ","'Main scheme Clearing' ",25
2007 ,"'Group F Physical Sciences' ","'Northern Ireland' ","'Direct Clearing' ",10
2007 ,"'Group F Physical Sciences' ","'Scotland' ","'Firm choice' ",1005
2007 ,"'Group F Physical Sciences' ","'Scotland' ","'Insurance choice' ",80
2007 ,"'Group F Physical Sciences' ","'Scotland' ","'Other main scheme choice' ",30
2007 ,"'Group F Physical Sciences' ","'Scotland' ","'Extra' ",5
2007 ,"'Group F Physical Sciences' ","'Scotland' ","'Main scheme Clearing' ",50
2007 ,"'Group F Physical Sciences' ","'Scotland' ","'Direct Clearing' ",15
2007 ,"'Group F Physical Sciences' ","'Scotland' ","'RPA' ",70
2007 ,"'Group F Physical Sciences' ","'Wales' ","'Firm choice' ",685
2007 ,"'Group F Physical Sciences' ","'Wales' ","'Insurance choice' ",50
2007 ,"'Group F Physical Sciences' ","'Wales' ","'Other main scheme choice' ",20
2007 ,"'Group F Physical Sciences' ","'Wales' ","'Extra' ",10
2007 ,"'Group F Physical Sciences' ","'Wales' ","'Main scheme Clearing' ",55
2007 ,"'Group F Physical Sciences' ","'Wales' ","'Direct Clearing' ",10
2007 ,"'Group F Physical Sciences' ","'Wales' ","'RPA' ",45
2007 ,"'Group G Mathematical Sciences' ","'England' ","'Firm choice' ",3015
2007 ,"'Group G Mathematical Sciences' ","'England' ","'Insurance choice' ",610
2007 ,"'Group G Mathematical Sciences' ","'England' ","'Other main scheme choice' ",50
2007 ,"'Group G Mathematical Sciences' ","'England' ","'Extra' ",40
2007 ,"'Group G Mathematical Sciences' ","'England' ","'Main scheme Clearing' ",305
2007 ,"'Group G Mathematical Sciences' ","'England' ","'Direct Clearing' ",60
2007 ,"'Group G Mathematical Sciences' ","'England' ","'RPA' ",65
2007 ,"'Group G Mathematical Sciences' ","'Northern Ireland' ","'Firm choice' ",125
2007 ,"'Group G Mathematical Sciences' ","'Northern Ireland' ","'Insurance choice' ",20
2007 ,"'Group G Mathematical Sciences' ","'Northern Ireland' ","'Main scheme Clearing' ",10
2007 ,"'Group G Mathematical Sciences' ","'Northern Ireland' ","'Direct Clearing' ",5
2007 ,"'Group G Mathematical Sciences' ","'Scotland' ","'Firm choice' ",260
2007 ,"'Group G Mathematical Sciences' ","'Scotland' ","'Insurance choice' ",20
2007 ,"'Group G Mathematical Sciences' ","'Scotland' ","'Other main scheme choice' ",10
2007 ,"'Group G Mathematical Sciences' ","'Scotland' ","'Main scheme Clearing' ",15
2007 ,"'Group G Mathematical Sciences' ","'Scotland' ","'Direct Clearing' ",5
2007 ,"'Group G Mathematical Sciences' ","'Scotland' ","'RPA' ",15
2007 ,"'Group G Mathematical Sciences' ","'Wales' ","'Firm choice' ",160
2007 ,"'Group G Mathematical Sciences' ","'Wales' ","'Insurance choice' ",45
2007 ,"'Group G Mathematical Sciences' ","'Wales' ","'Other main scheme choice' ",10
2007 ,"'Group G Mathematical Sciences' ","'Wales' ","'Extra' ",5
2007 ,"'Group G Mathematical Sciences' ","'Wales' ","'Main scheme Clearing' ",15
2007 ,"'Group G Mathematical Sciences' ","'Wales' ","'Direct Clearing' ",5
2007 ,"'Group G Mathematical Sciences' ","'Wales' ","'RPA' ",10
2007 ,"'Group H Engineering' ","'England' ","'Firm choice' ",8045
2007 ,"'Group H Engineering' ","'England' ","'Insurance choice' ",920
2007 ,"'Group H Engineering' ","'England' ","'Other main scheme choice' ",475
2007 ,"'Group H Engineering' ","'England' ","'Extra' ",80
2007 ,"'Group H Engineering' ","'England' ","'Main scheme Clearing' ",940
2007 ,"'Group H Engineering' ","'England' ","'Direct Clearing' ",360
2007 ,"'Group H Engineering' ","'England' ","'RPA' ",750
2007 ,"'Group H Engineering' ","'Northern Ireland' ","'Firm choice' ",420
2007 ,"'Group H Engineering' ","'Northern Ireland' ","'Insurance choice' ",75
2007 ,"'Group H Engineering' ","'Northern Ireland' ","'Other main scheme choice' ",15
2007 ,"'Group H Engineering' ","'Northern Ireland' ","'Extra' ",5
2007 ,"'Group H Engineering' ","'Northern Ireland' ","'Main scheme Clearing' ",45
2007 ,"'Group H Engineering' ","'Northern Ireland' ","'Direct Clearing' ",5
2007 ,"'Group H Engineering' ","'Scotland' ","'Firm choice' ",1325
2007 ,"'Group H Engineering' ","'Scotland' ","'Insurance choice' ",125
2007 ,"'Group H Engineering' ","'Scotland' ","'Other main scheme choice' ",65
2007 ,"'Group H Engineering' ","'Scotland' ","'Main scheme Clearing' ",90
2007 ,"'Group H Engineering' ","'Scotland' ","'Direct Clearing' ",25
2007 ,"'Group H Engineering' ","'Scotland' ","'RPA' ",150
2007 ,"'Group H Engineering' ","'Wales' ","'Firm choice' ",490
2007 ,"'Group H Engineering' ","'Wales' ","'Insurance choice' ",55
2007 ,"'Group H Engineering' ","'Wales' ","'Other main scheme choice' ",20
2007 ,"'Group H Engineering' ","'Wales' ","'Extra' ",10
2007 ,"'Group H Engineering' ","'Wales' ","'Main scheme Clearing' ",35
2007 ,"'Group H Engineering' ","'Wales' ","'Direct Clearing' ",30
2007 ,"'Group H Engineering' ","'Wales' ","'RPA' ",50
2007 ,"'Group I Computer Sciences' ","'England' ","'Firm choice' ",8095
2007 ,"'Group I Computer Sciences' ","'England' ","'Insurance choice' ",660
2007 ,"'Group I Computer Sciences' ","'England' ","'Other main scheme choice' ",570
2007 ,"'Group I Computer Sciences' ","'England' ","'Extra' ",65
2007 ,"'Group I Computer Sciences' ","'England' ","'Main scheme Clearing' ",1070
2007 ,"'Group I Computer Sciences' ","'England' ","'Direct Clearing' ",515
2007 ,"'Group I Computer Sciences' ","'England' ","'RPA' ",1550
2007 ,"'Group I Computer Sciences' ","'Northern Ireland' ","'Firm choice' ",565
2007 ,"'Group I Computer Sciences' ","'Northern Ireland' ","'Insurance choice' ",90
2007 ,"'Group I Computer Sciences' ","'Northern Ireland' ","'Other main scheme choice' ",20
2007 ,"'Group I Computer Sciences' ","'Northern Ireland' ","'Extra' ",5
2007 ,"'Group I Computer Sciences' ","'Northern Ireland' ","'Main scheme Clearing' ",45
2007 ,"'Group I Computer Sciences' ","'Northern Ireland' ","'Direct Clearing' ",20
2007 ,"'Group I Computer Sciences' ","'Scotland' ","'Firm choice' ",880
2007 ,"'Group I Computer Sciences' ","'Scotland' ","'Insurance choice' ",45
2007 ,"'Group I Computer Sciences' ","'Scotland' ","'Other main scheme choice' ",75
2007 ,"'Group I Computer Sciences' ","'Scotland' ","'Extra' ",5
2007 ,"'Group I Computer Sciences' ","'Scotland' ","'Main scheme Clearing' ",55
2007 ,"'Group I Computer Sciences' ","'Scotland' ","'Direct Clearing' ",35
2007 ,"'Group I Computer Sciences' ","'Scotland' ","'RPA' ",130
2007 ,"'Group I Computer Sciences' ","'Wales' ","'Firm choice' ",535
2007 ,"'Group I Computer Sciences' ","'Wales' ","'Insurance choice' ",25
2007 ,"'Group I Computer Sciences' ","'Wales' ","'Other main scheme choice' ",20
2007 ,"'Group I Computer Sciences' ","'Wales' ","'Extra' ",5
2007 ,"'Group I Computer Sciences' ","'Wales' ","'Main scheme Clearing' ",30
2007 ,"'Group I Computer Sciences' ","'Wales' ","'Direct Clearing' ",25
2007 ,"'Group I Computer Sciences' ","'Wales' ","'RPA' ",70
2007 ,"'Group J Technologies' ","'England' ","'Firm choice' ",1355
2007 ,"'Group J Technologies' ","'England' ","'Insurance choice' ",60
2007 ,"'Group J Technologies' ","'England' ","'Other main scheme choice' ",110
2007 ,"'Group J Technologies' ","'England' ","'Extra' ",15
2007 ,"'Group J Technologies' ","'England' ","'Main scheme Clearing' ",100
2007 ,"'Group J Technologies' ","'England' ","'Direct Clearing' ",55
2007 ,"'Group J Technologies' ","'England' ","'RPA' ",180
2007 ,"'Group J Technologies' ","'Northern Ireland' ","'Firm choice' ",60
2007 ,"'Group J Technologies' ","'Northern Ireland' ","'Insurance choice' ",10
2007 ,"'Group J Technologies' ","'Northern Ireland' ","'Main scheme Clearing' ",5
2007 ,"'Group J Technologies' ","'Scotland' ","'Firm choice' ",95
2007 ,"'Group J Technologies' ","'Scotland' ","'Other main scheme choice' ",5
2007 ,"'Group J Technologies' ","'Scotland' ","'Main scheme Clearing' ",5
2007 ,"'Group J Technologies' ","'Scotland' ","'Direct Clearing' ",5
2007 ,"'Group J Technologies' ","'Scotland' ","'RPA' ",5
2007 ,"'Group J Technologies' ","'Wales' ","'Firm choice' ",110
2007 ,"'Group J Technologies' ","'Wales' ","'Other main scheme choice' ",10
2007 ,"'Group J Technologies' ","'Wales' ","'Main scheme Clearing' ",5
2007 ,"'Group J Technologies' ","'Wales' ","'Direct Clearing' ",5
2007 ,"'Group J Technologies' ","'Wales' ","'RPA' ",20
2007 ,"'Group K Architecture, Building and Planning' ","'England' ","'Firm choice' ",4175
2007 ,"'Group K Architecture, Building and Planning' ","'England' ","'Insurance choice' ",410
2007 ,"'Group K Architecture, Building and Planning' ","'England' ","'Other main scheme choice' ",270
2007 ,"'Group K Architecture, Building and Planning' ","'England' ","'Extra' ",45
2007 ,"'Group K Architecture, Building and Planning' ","'England' ","'Main scheme Clearing' ",450
2007 ,"'Group K Architecture, Building and Planning' ","'England' ","'Direct Clearing' ",165
2007 ,"'Group K Architecture, Building and Planning' ","'England' ","'RPA' ",520
2007 ,"'Group K Architecture, Building and Planning' ","'Northern Ireland' ","'Firm choice' ",645
2007 ,"'Group K Architecture, Building and Planning' ","'Northern Ireland' ","'Insurance choice' ",120
2007 ,"'Group K Architecture, Building and Planning' ","'Northern Ireland' ","'Other main scheme choice' ",20
2007 ,"'Group K Architecture, Building and Planning' ","'Northern Ireland' ","'Extra' ",10
2007 ,"'Group K Architecture, Building and Planning' ","'Northern Ireland' ","'Main scheme Clearing' ",40
2007 ,"'Group K Architecture, Building and Planning' ","'Northern Ireland' ","'Direct Clearing' ",5
2007 ,"'Group K Architecture, Building and Planning' ","'Northern Ireland' ","'RPA' ",5
2007 ,"'Group K Architecture, Building and Planning' ","'Scotland' ","'Firm choice' ",580
2007 ,"'Group K Architecture, Building and Planning' ","'Scotland' ","'Insurance choice' ",30
2007 ,"'Group K Architecture, Building and Planning' ","'Scotland' ","'Other main scheme choice' ",35
2007 ,"'Group K Architecture, Building and Planning' ","'Scotland' ","'Extra' ",5
2007 ,"'Group K Architecture, Building and Planning' ","'Scotland' ","'Main scheme Clearing' ",30
2007 ,"'Group K Architecture, Building and Planning' ","'Scotland' ","'Direct Clearing' ",15
2007 ,"'Group K Architecture, Building and Planning' ","'Scotland' ","'RPA' ",50
2007 ,"'Group K Architecture, Building and Planning' ","'Wales' ","'Firm choice' ",200
2007 ,"'Group K Architecture, Building and Planning' ","'Wales' ","'Insurance choice' ",20
2007 ,"'Group K Architecture, Building and Planning' ","'Wales' ","'Other main scheme choice' ",15
2007 ,"'Group K Architecture, Building and Planning' ","'Wales' ","'Extra' ",5
2007 ,"'Group K Architecture, Building and Planning' ","'Wales' ","'Main scheme Clearing' ",20
2007 ,"'Group K Architecture, Building and Planning' ","'Wales' ","'Direct Clearing' ",10
2007 ,"'Group K Architecture, Building and Planning' ","'Wales' ","'RPA' ",30
2007 ,"'Group L Social Studies' ","'England' ","'Firm choice' ",16355
2007 ,"'Group L Social Studies' ","'England' ","'Insurance choice' ",1220
2007 ,"'Group L Social Studies' ","'England' ","'Other main scheme choice' ",940
2007 ,"'Group L Social Studies' ","'England' ","'Extra' ",245
2007 ,"'Group L Social Studies' ","'England' ","'Main scheme Clearing' ",1940
2007 ,"'Group L Social Studies' ","'England' ","'Direct Clearing' ",535
2007 ,"'Group L Social Studies' ","'England' ","'RPA' ",1460
2007 ,"'Group L Social Studies' ","'Northern Ireland' ","'Firm choice' ",725
2007 ,"'Group L Social Studies' ","'Northern Ireland' ","'Insurance choice' ",110
2007 ,"'Group L Social Studies' ","'Northern Ireland' ","'Other main scheme choice' ",15
2007 ,"'Group L Social Studies' ","'Northern Ireland' ","'Extra' ",10
2007 ,"'Group L Social Studies' ","'Northern Ireland' ","'Main scheme Clearing' ",120
2007 ,"'Group L Social Studies' ","'Northern Ireland' ","'Direct Clearing' ",15
2007 ,"'Group L Social Studies' ","'Scotland' ","'Firm choice' ",1385
2007 ,"'Group L Social Studies' ","'Scotland' ","'Insurance choice' ",135
2007 ,"'Group L Social Studies' ","'Scotland' ","'Other main scheme choice' ",90
2007 ,"'Group L Social Studies' ","'Scotland' ","'Extra' ",15
2007 ,"'Group L Social Studies' ","'Scotland' ","'Main scheme Clearing' ",145
2007 ,"'Group L Social Studies' ","'Scotland' ","'Direct Clearing' ",45
2007 ,"'Group L Social Studies' ","'Scotland' ","'RPA' ",135
2007 ,"'Group L Social Studies' ","'Wales' ","'Firm choice' ",785
2007 ,"'Group L Social Studies' ","'Wales' ","'Insurance choice' ",50
2007 ,"'Group L Social Studies' ","'Wales' ","'Other main scheme choice' ",30
2007 ,"'Group L Social Studies' ","'Wales' ","'Extra' ",10
2007 ,"'Group L Social Studies' ","'Wales' ","'Main scheme Clearing' ",75
2007 ,"'Group L Social Studies' ","'Wales' ","'Direct Clearing' ",60
2007 ,"'Group L Social Studies' ","'Wales' ","'RPA' ",80
2007 ,"'Group M Law' ","'England' ","'Firm choice' ",9250
2007 ,"'Group M Law' ","'England' ","'Insurance choice' ",1235
2007 ,"'Group M Law' ","'England' ","'Other main scheme choice' ",375
2007 ,"'Group M Law' ","'England' ","'Extra' ",120
2007 ,"'Group M Law' ","'England' ","'Main scheme Clearing' ",1290
2007 ,"'Group M Law' ","'England' ","'Direct Clearing' ",235
2007 ,"'Group M Law' ","'England' ","'RPA' ",850
2007 ,"'Group M Law' ","'Northern Ireland' ","'Firm choice' ",585
2007 ,"'Group M Law' ","'Northern Ireland' ","'Insurance choice' ",70
2007 ,"'Group M Law' ","'Northern Ireland' ","'Other main scheme choice' ",10
2007 ,"'Group M Law' ","'Northern Ireland' ","'Extra' ",10
2007 ,"'Group M Law' ","'Northern Ireland' ","'Main scheme Clearing' ",50
2007 ,"'Group M Law' ","'Northern Ireland' ","'Direct Clearing' ",5
2007 ,"'Group M Law' ","'Northern Ireland' ","'RPA' ",5
2007 ,"'Group M Law' ","'Scotland' ","'Firm choice' ",1000
2007 ,"'Group M Law' ","'Scotland' ","'Insurance choice' ",85
2007 ,"'Group M Law' ","'Scotland' ","'Other main scheme choice' ",65
2007 ,"'Group M Law' ","'Scotland' ","'Extra' ",5
2007 ,"'Group M Law' ","'Scotland' ","'Main scheme Clearing' ",75
2007 ,"'Group M Law' ","'Scotland' ","'Direct Clearing' ",50
2007 ,"'Group M Law' ","'Scotland' ","'RPA' ",75
2007 ,"'Group M Law' ","'Wales' ","'Firm choice' ",605
2007 ,"'Group M Law' ","'Wales' ","'Insurance choice' ",65
2007 ,"'Group M Law' ","'Wales' ","'Other main scheme choice' ",15
2007 ,"'Group M Law' ","'Wales' ","'Extra' ",10
2007 ,"'Group M Law' ","'Wales' ","'Main scheme Clearing' ",45
2007 ,"'Group M Law' ","'Wales' ","'Direct Clearing' ",15
2007 ,"'Group M Law' ","'Wales' ","'RPA' ",70
2007 ,"'Group N Business and Admin studies' ","'England' ","'Firm choice' ",21610
2007 ,"'Group N Business and Admin studies' ","'England' ","'Insurance choice' ",2385
2007 ,"'Group N Business and Admin studies' ","'England' ","'Other main scheme choice' ",1235
2007 ,"'Group N Business and Admin studies' ","'England' ","'Extra' ",300
2007 ,"'Group N Business and Admin studies' ","'England' ","'Main scheme Clearing' ",2875
2007 ,"'Group N Business and Admin studies' ","'England' ","'Direct Clearing' ",1020
2007 ,"'Group N Business and Admin studies' ","'England' ","'RPA' ",2865
2007 ,"'Group N Business and Admin studies' ","'Northern Ireland' ","'Firm choice' ",1165
2007 ,"'Group N Business and Admin studies' ","'Northern Ireland' ","'Insurance choice' ",145
2007 ,"'Group N Business and Admin studies' ","'Northern Ireland' ","'Other main scheme choice' ",25
2007 ,"'Group N Business and Admin studies' ","'Northern Ireland' ","'Extra' ",20
2007 ,"'Group N Business and Admin studies' ","'Northern Ireland' ","'Main scheme Clearing' ",135
2007 ,"'Group N Business and Admin studies' ","'Northern Ireland' ","'Direct Clearing' ",45
2007 ,"'Group N Business and Admin studies' ","'Northern Ireland' ","'RPA' ",10
2007 ,"'Group N Business and Admin studies' ","'Scotland' ","'Firm choice' ",2295
2007 ,"'Group N Business and Admin studies' ","'Scotland' ","'Insurance choice' ",215
2007 ,"'Group N Business and Admin studies' ","'Scotland' ","'Other main scheme choice' ",155
2007 ,"'Group N Business and Admin studies' ","'Scotland' ","'Extra' ",15
2007 ,"'Group N Business and Admin studies' ","'Scotland' ","'Main scheme Clearing' ",245
2007 ,"'Group N Business and Admin studies' ","'Scotland' ","'Direct Clearing' ",70
2007 ,"'Group N Business and Admin studies' ","'Scotland' ","'RPA' ",320
2007 ,"'Group N Business and Admin studies' ","'Wales' ","'Firm choice' ",1045
2007 ,"'Group N Business and Admin studies' ","'Wales' ","'Insurance choice' ",90
2007 ,"'Group N Business and Admin studies' ","'Wales' ","'Other main scheme choice' ",50
2007 ,"'Group N Business and Admin studies' ","'Wales' ","'Extra' ",15
2007 ,"'Group N Business and Admin studies' ","'Wales' ","'Main scheme Clearing' ",85
2007 ,"'Group N Business and Admin studies' ","'Wales' ","'Direct Clearing' ",55
2007 ,"'Group N Business and Admin studies' ","'Wales' ","'RPA' ",160
2007 ,"'Group P Mass Communication and Documentation' ","'England' ","'Firm choice' ",5705
