"Statistic:   Number of Applications"
"Variables:   Subject Group (Detailed Level) , Applicant Domicile (Region) , Cycle Year"
"Coverage:   Applications through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_027_03.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Applicant Domicile (Region),Number of Applications,
2007 ,"'A1 - Pre-clinical Medicine' ","'North East' ",1695
2007 ,"'C1 - Biology' ","'North East' ",705
2007 ,"'C1 - Biology' ","'Yorkshire and The Humber' ",1545
2007 ,"'C1 - Biology' ","'North West' ",2620
2007 ,"'C1 - Biology' ","'East Midlands' ",1485
2007 ,"'C1 - Biology' ","'West Midlands' ",2000
2007 ,"'C1 - Biology' ","'East of England' ",1995
2007 ,"'C1 - Biology' ","'London' ",2095
2007 ,"'C1 - Biology' ","'South East' ",3485
2007 ,"'C1 - Biology' ","'South West' ",2195
2007 ,"'C1 - Biology' ","'Wales' ",795
2007 ,"'C1 - Biology' ","'Scotland' ",2395
2007 ,"'C1 - Biology' ","'Northern Ireland' ",740
2007 ,"'C1 - Biology' ","'Unknown' ",35
2007 ,"'C2 - Botany' ","'North East' ",10
2007 ,"'C2 - Botany' ","'North West' ",5
2007 ,"'C2 - Botany' ","'East Midlands' ",5
2007 ,"'C2 - Botany' ","'West Midlands' ",15
2007 ,"'C2 - Botany' ","'East of England' ",10
2007 ,"'C2 - Botany' ","'London' ",15
2007 ,"'C2 - Botany' ","'South East' ",20
2007 ,"'C2 - Botany' ","'South West' ",10
2007 ,"'C2 - Botany' ","'Scotland' ",15
2007 ,"'C3 - Zoology' ","'North East' ",225
2007 ,"'C3 - Zoology' ","'Yorkshire and The Humber' ",485
2007 ,"'C3 - Zoology' ","'North West' ",800
2007 ,"'C3 - Zoology' ","'East Midlands' ",365
2007 ,"'C3 - Zoology' ","'West Midlands' ",480
2007 ,"'C3 - Zoology' ","'East of England' ",480
2007 ,"'C3 - Zoology' ","'London' ",470
2007 ,"'C3 - Zoology' ","'South East' ",780
2007 ,"'C3 - Zoology' ","'South West' ",605
2007 ,"'C3 - Zoology' ","'Wales' ",270
2007 ,"'C3 - Zoology' ","'Scotland' ",980
2007 ,"'C3 - Zoology' ","'Northern Ireland' ",180
2007 ,"'C3 - Zoology' ","'Unknown' ",5
2007 ,"'C4 - Genetics' ","'North East' ",100
2007 ,"'C4 - Genetics' ","'Yorkshire and The Humber' ",155
2007 ,"'C4 - Genetics' ","'North West' ",220
2007 ,"'C4 - Genetics' ","'East Midlands' ",155
2007 ,"'C4 - Genetics' ","'West Midlands' ",125
2007 ,"'C4 - Genetics' ","'East of England' ",120
2007 ,"'C4 - Genetics' ","'London' ",250
2007 ,"'C4 - Genetics' ","'South East' ",140
2007 ,"'C4 - Genetics' ","'South West' ",110
2007 ,"'C4 - Genetics' ","'Wales' ",115
2007 ,"'C4 - Genetics' ","'Scotland' ",180
2007 ,"'C4 - Genetics' ","'Northern Ireland' ",90
2007 ,"'C5 - Microbiology' ","'North East' ",70
2007 ,"'C5 - Microbiology' ","'Yorkshire and The Humber' ",130
2007 ,"'C5 - Microbiology' ","'North West' ",165
2007 ,"'C5 - Microbiology' ","'East Midlands' ",120
2007 ,"'C5 - Microbiology' ","'West Midlands' ",105
2007 ,"'C5 - Microbiology' ","'East of England' ",125
2007 ,"'C5 - Microbiology' ","'London' ",180
2007 ,"'C5 - Microbiology' ","'South East' ",140
2007 ,"'C5 - Microbiology' ","'South West' ",90
2007 ,"'C5 - Microbiology' ","'Wales' ",55
2007 ,"'C5 - Microbiology' ","'Scotland' ",540
2007 ,"'C5 - Microbiology' ","'Northern Ireland' ",65
2007 ,"'C6 - Sport and Exercise Science' ","'North East' ",2695
2007 ,"'C6 - Sport and Exercise Science' ","'Yorkshire and The Humber' ",4365
2007 ,"'C6 - Sport and Exercise Science' ","'North West' ",5860
2007 ,"'C6 - Sport and Exercise Science' ","'East Midlands' ",3540
2007 ,"'C6 - Sport and Exercise Science' ","'West Midlands' ",4515
2007 ,"'C6 - Sport and Exercise Science' ","'East of England' ",4930
2007 ,"'C6 - Sport and Exercise Science' ","'London' ",4790
2007 ,"'C6 - Sport and Exercise Science' ","'South East' ",6390
2007 ,"'C6 - Sport and Exercise Science' ","'South West' ",4045
2007 ,"'C6 - Sport and Exercise Science' ","'Wales' ",2610
2007 ,"'C6 - Sport and Exercise Science' ","'Scotland' ",2825
2007 ,"'C6 - Sport and Exercise Science' ","'Northern Ireland' ",1560
2007 ,"'C6 - Sport and Exercise Science' ","'Unknown' ",100
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'North East' ",260
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Yorkshire and The Humber' ",660
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'North West' ",1165
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'East Midlands' ",645
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'West Midlands' ",940
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'East of England' ",960
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'London' ",2350
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'South East' ",1720
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'South West' ",760
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Wales' ",395
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Scotland' ",660
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Northern Ireland' ",285
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Unknown' ",5
2007 ,"'C8 - Psychology' ","'North East' ",2655
2007 ,"'C8 - Psychology' ","'Yorkshire and The Humber' ",5380
2007 ,"'C8 - Psychology' ","'North West' ",7815
2007 ,"'C8 - Psychology' ","'East Midlands' ",4985
2007 ,"'C8 - Psychology' ","'West Midlands' ",5995
2007 ,"'C8 - Psychology' ","'East of England' ",6475
2007 ,"'C8 - Psychology' ","'London' ",13265
2007 ,"'C8 - Psychology' ","'South East' ",10145
2007 ,"'C8 - Psychology' ","'South West' ",5285
2007 ,"'C8 - Psychology' ","'Wales' ",2605
2007 ,"'C8 - Psychology' ","'Scotland' ",4670
2007 ,"'C8 - Psychology' ","'Northern Ireland' ",2800
2007 ,"'C8 - Psychology' ","'Unknown' ",75
2007 ,"'C9 - Others in Biological Sciences' ","'North East' ",65
2007 ,"'C9 - Others in Biological Sciences' ","'Yorkshire and The Humber' ",285
2007 ,"'C9 - Others in Biological Sciences' ","'North West' ",275
2007 ,"'C9 - Others in Biological Sciences' ","'East Midlands' ",165
2007 ,"'C9 - Others in Biological Sciences' ","'West Midlands' ",285
2007 ,"'C9 - Others in Biological Sciences' ","'East of England' ",260
2007 ,"'C9 - Others in Biological Sciences' ","'London' ",645
2007 ,"'C9 - Others in Biological Sciences' ","'South East' ",280
2007 ,"'C9 - Others in Biological Sciences' ","'South West' ",170
2007 ,"'C9 - Others in Biological Sciences' ","'Wales' ",85
2007 ,"'C9 - Others in Biological Sciences' ","'Scotland' ",95
2007 ,"'C9 - Others in Biological Sciences' ","'Northern Ireland' ",25
2007 ,"'C9 - Others in Biological Sciences' ","'Unknown' ",5
2007 ,"'CC - Combinations within Biological Sciences' ","'North East' ",145
2007 ,"'CC - Combinations within Biological Sciences' ","'Yorkshire and The Humber' ",260
2007 ,"'CC - Combinations within Biological Sciences' ","'North West' ",430
2007 ,"'CC - Combinations within Biological Sciences' ","'East Midlands' ",235
2007 ,"'CC - Combinations within Biological Sciences' ","'West Midlands' ",400
2007 ,"'CC - Combinations within Biological Sciences' ","'East of England' ",330
2007 ,"'CC - Combinations within Biological Sciences' ","'London' ",400
2007 ,"'CC - Combinations within Biological Sciences' ","'South East' ",475
2007 ,"'CC - Combinations within Biological Sciences' ","'South West' ",265
2007 ,"'CC - Combinations within Biological Sciences' ","'Wales' ",110
2007 ,"'CC - Combinations within Biological Sciences' ","'Scotland' ",655
2007 ,"'CC - Combinations within Biological Sciences' ","'Northern Ireland' ",105
2007 ,"'CC - Combinations within Biological Sciences' ","'Unknown' ",5
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'North East' ",110
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Yorkshire and The Humber' ",365
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'North West' ",525
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'East Midlands' ",440
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'West Midlands' ",465
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'East of England' ",560
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'London' ",445
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'South East' ",870
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'South West' ",540
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Wales' ",295
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Scotland' ",465
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Northern Ireland' ",240
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Unknown' ",5
2007 ,"'D3 - Animal Science' ","'North East' ",95
2007 ,"'D3 - Animal Science' ","'Yorkshire and The Humber' ",390
2007 ,"'D3 - Animal Science' ","'North West' ",585
2007 ,"'D3 - Animal Science' ","'East Midlands' ",595
2007 ,"'D3 - Animal Science' ","'West Midlands' ",640
2007 ,"'D3 - Animal Science' ","'East of England' ",655
2007 ,"'D3 - Animal Science' ","'London' ",290
2007 ,"'D3 - Animal Science' ","'South East' ",980
2007 ,"'D3 - Animal Science' ","'South West' ",680
2007 ,"'D3 - Animal Science' ","'Wales' ",275
2007 ,"'D3 - Animal Science' ","'Scotland' ",200
2007 ,"'D3 - Animal Science' ","'Northern Ireland' ",105
2007 ,"'D4 - Agriculture' ","'North East' ",100
2007 ,"'D4 - Agriculture' ","'Yorkshire and The Humber' ",350
2007 ,"'D4 - Agriculture' ","'North West' ",310
2007 ,"'D4 - Agriculture' ","'East Midlands' ",350
2007 ,"'D4 - Agriculture' ","'West Midlands' ",330
2007 ,"'D4 - Agriculture' ","'East of England' ",390
2007 ,"'D4 - Agriculture' ","'London' ",120
2007 ,"'D4 - Agriculture' ","'South East' ",535
2007 ,"'D4 - Agriculture' ","'South West' ",490
2007 ,"'D4 - Agriculture' ","'Wales' ",225
2007 ,"'D4 - Agriculture' ","'Scotland' ",300
2007 ,"'D4 - Agriculture' ","'Northern Ireland' ",330
2007 ,"'D4 - Agriculture' ","'Unknown' ",5
2007 ,"'D5 - Forestry & arboriculture' ","'North East' ",10
2007 ,"'D5 - Forestry & arboriculture' ","'Yorkshire and The Humber' ",25
2007 ,"'D5 - Forestry & arboriculture' ","'North West' ",35
2007 ,"'D5 - Forestry & arboriculture' ","'East Midlands' ",15
2007 ,"'D5 - Forestry & arboriculture' ","'West Midlands' ",20
2007 ,"'D5 - Forestry & arboriculture' ","'East of England' ",15
2007 ,"'D5 - Forestry & arboriculture' ","'London' ",15
2007 ,"'D5 - Forestry & arboriculture' ","'South East' ",30
2007 ,"'D5 - Forestry & arboriculture' ","'South West' ",20
2007 ,"'D5 - Forestry & arboriculture' ","'Wales' ",20
2007 ,"'D5 - Forestry & arboriculture' ","'Scotland' ",10
2007 ,"'D5 - Forestry & arboriculture' ","'Northern Ireland' ",5
2007 ,"'D6 - Food and Beverage studies' ","'North East' ",20
2007 ,"'D6 - Food and Beverage studies' ","'Yorkshire and The Humber' ",35
2007 ,"'D6 - Food and Beverage studies' ","'North West' ",90
2007 ,"'D6 - Food and Beverage studies' ","'East Midlands' ",80
2007 ,"'D6 - Food and Beverage studies' ","'West Midlands' ",75
2007 ,"'D6 - Food and Beverage studies' ","'East of England' ",70
2007 ,"'D6 - Food and Beverage studies' ","'London' ",100
2007 ,"'D6 - Food and Beverage studies' ","'South East' ",90
2007 ,"'D6 - Food and Beverage studies' ","'South West' ",45
2007 ,"'D6 - Food and Beverage studies' ","'Wales' ",30
2007 ,"'D6 - Food and Beverage studies' ","'Scotland' ",60
2007 ,"'D6 - Food and Beverage studies' ","'Northern Ireland' ",120
2007 ,"'D7 - Agricultural Sciences' ","'Yorkshire and The Humber' ",35
2007 ,"'D7 - Agricultural Sciences' ","'North West' ",15
2007 ,"'D7 - Agricultural Sciences' ","'East Midlands' ",5
2007 ,"'D7 - Agricultural Sciences' ","'West Midlands' ",20
2007 ,"'D7 - Agricultural Sciences' ","'East of England' ",10
2007 ,"'D7 - Agricultural Sciences' ","'London' ",5
2007 ,"'D7 - Agricultural Sciences' ","'South East' ",10
2007 ,"'D7 - Agricultural Sciences' ","'South West' ",15
2007 ,"'D7 - Agricultural Sciences' ","'Wales' ",5
2007 ,"'D7 - Agricultural Sciences' ","'Scotland' ",10
2007 ,"'D7 - Agricultural Sciences' ","'Northern Ireland' ",5
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'North East' ",5
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'Yorkshire and The Humber' ",10
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'North West' ",30
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'East Midlands' ",10
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'West Midlands' ",20
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'East of England' ",15
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'London' ",10
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'South East' ",10
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'South West' ",15
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'Wales' ",10
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'Scotland' ",5
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'Northern Ireland' ",15
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'North East' ",5
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'Yorkshire and The Humber' ",15
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'North West' ",55
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'East Midlands' ",20
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'West Midlands' ",35
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'East of England' ",15
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'London' ",5
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'South East' ",35
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'South West' ",35
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'Wales' ",20
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'Scotland' ",5
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'Northern Ireland' ",15
2007 ,"'F0 - Physical Sciences: any area of study' ","'North East' ",5
2007 ,"'F0 - Physical Sciences: any area of study' ","'Yorkshire and The Humber' ",15
2007 ,"'F0 - Physical Sciences: any area of study' ","'North West' ",65
2007 ,"'F0 - Physical Sciences: any area of study' ","'East Midlands' ",5
2007 ,"'F0 - Physical Sciences: any area of study' ","'West Midlands' ",10
2007 ,"'F0 - Physical Sciences: any area of study' ","'East of England' ",10
2007 ,"'F0 - Physical Sciences: any area of study' ","'London' ",15
2007 ,"'F0 - Physical Sciences: any area of study' ","'South East' ",60
2007 ,"'F0 - Physical Sciences: any area of study' ","'South West' ",10
2007 ,"'F0 - Physical Sciences: any area of study' ","'Scotland' ",5
