"Statistic:   Number of Acceptances"
"Variables:   Provider Country 2016 , Age Band , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_007_07.pdf"
 
Cycle Year,Provider Country 2016 , Age Band , Acceptance Route,Number of Acceptances,
2006 ,"'England' ","'17 and under' ","'Firm choice' ",2435
2006 ,"'Northern Ireland' ","'19' ","'Firm choice' ",700
2006 ,"'Northern Ireland' ","'19' ","'Insurance choice' ",95
2006 ,"'Northern Ireland' ","'19' ","'Other main scheme choice' ",25
2006 ,"'Northern Ireland' ","'19' ","'Extra' ",5
2006 ,"'Northern Ireland' ","'19' ","'Main scheme Clearing' ",85
2006 ,"'Northern Ireland' ","'19' ","'Direct Clearing' ",35
2006 ,"'Northern Ireland' ","'19' ","'RPA' ",20
2006 ,"'Northern Ireland' ","'20' ","'Firm choice' ",285
2006 ,"'Northern Ireland' ","'20' ","'Insurance choice' ",25
2006 ,"'Northern Ireland' ","'20' ","'Other main scheme choice' ",30
2006 ,"'Northern Ireland' ","'20' ","'Extra' ",5
2006 ,"'Northern Ireland' ","'20' ","'Main scheme Clearing' ",30
2006 ,"'Northern Ireland' ","'20' ","'Direct Clearing' ",30
2006 ,"'Northern Ireland' ","'20' ","'RPA' ",15
2006 ,"'Northern Ireland' ","'21 and over' ","'Firm choice' ",910
2006 ,"'Northern Ireland' ","'21 and over' ","'Insurance choice' ",30
2006 ,"'Northern Ireland' ","'21 and over' ","'Other main scheme choice' ",50
2006 ,"'Northern Ireland' ","'21 and over' ","'Extra' ",10
2006 ,"'Northern Ireland' ","'21 and over' ","'Main scheme Clearing' ",115
2006 ,"'Northern Ireland' ","'21 and over' ","'Direct Clearing' ",35
2006 ,"'Northern Ireland' ","'21 and over' ","'RPA' ",25
2006 ,"'Scotland' ","'17 and under' ","'Firm choice' ",705
2006 ,"'Scotland' ","'17 and under' ","'Insurance choice' ",70
2006 ,"'Scotland' ","'17 and under' ","'Other main scheme choice' ",30
2006 ,"'Scotland' ","'17 and under' ","'Main scheme Clearing' ",70
2006 ,"'Scotland' ","'17 and under' ","'Direct Clearing' ",15
2006 ,"'Scotland' ","'17 and under' ","'RPA' ",145
2006 ,"'Scotland' ","'18' ","'Firm choice' ",14690
2006 ,"'Scotland' ","'18' ","'Insurance choice' ",1615
2006 ,"'Scotland' ","'18' ","'Other main scheme choice' ",110
2006 ,"'Scotland' ","'18' ","'Extra' ",100
2006 ,"'Scotland' ","'18' ","'Main scheme Clearing' ",1155
2006 ,"'Scotland' ","'18' ","'Direct Clearing' ",20
2006 ,"'Scotland' ","'18' ","'RPA' ",280
2006 ,"'Scotland' ","'19' ","'Firm choice' ",3290
2006 ,"'Scotland' ","'19' ","'Insurance choice' ",190
2006 ,"'Scotland' ","'19' ","'Other main scheme choice' ",225
2006 ,"'Scotland' ","'19' ","'Extra' ",35
2006 ,"'Scotland' ","'19' ","'Main scheme Clearing' ",225
2006 ,"'Scotland' ","'19' ","'Direct Clearing' ",75
2006 ,"'Scotland' ","'19' ","'RPA' ",355
2006 ,"'Scotland' ","'20' ","'Firm choice' ",1885
2006 ,"'Scotland' ","'20' ","'Insurance choice' ",75
2006 ,"'Scotland' ","'20' ","'Other main scheme choice' ",285
2006 ,"'Scotland' ","'20' ","'Extra' ",10
2006 ,"'Scotland' ","'20' ","'Main scheme Clearing' ",125
2006 ,"'Scotland' ","'20' ","'Direct Clearing' ",75
2006 ,"'Scotland' ","'20' ","'RPA' ",390
2006 ,"'Scotland' ","'21 and over' ","'Firm choice' ",5595
2006 ,"'Scotland' ","'21 and over' ","'Insurance choice' ",105
2006 ,"'Scotland' ","'21 and over' ","'Other main scheme choice' ",1060
2006 ,"'Scotland' ","'21 and over' ","'Extra' ",30
2006 ,"'Scotland' ","'21 and over' ","'Main scheme Clearing' ",410
2006 ,"'Scotland' ","'21 and over' ","'Direct Clearing' ",315
2006 ,"'Scotland' ","'21 and over' ","'RPA' ",1545
2006 ,"'Wales' ","'17 and under' ","'Firm choice' ",60
2006 ,"'Wales' ","'17 and under' ","'Insurance choice' ",10
2006 ,"'Wales' ","'17 and under' ","'Other main scheme choice' ",15
2006 ,"'Wales' ","'17 and under' ","'Main scheme Clearing' ",10
2006 ,"'Wales' ","'17 and under' ","'RPA' ",10
2006 ,"'Wales' ","'18' ","'Firm choice' ",10250
2006 ,"'Wales' ","'18' ","'Insurance choice' ",850
2006 ,"'Wales' ","'18' ","'Other main scheme choice' ",120
2006 ,"'Wales' ","'18' ","'Extra' ",105
2006 ,"'Wales' ","'18' ","'Main scheme Clearing' ",840
2006 ,"'Wales' ","'18' ","'Direct Clearing' ",100
2006 ,"'Wales' ","'18' ","'RPA' ",195
2006 ,"'Wales' ","'19' ","'Firm choice' ",2430
2006 ,"'Wales' ","'19' ","'Insurance choice' ",95
2006 ,"'Wales' ","'19' ","'Other main scheme choice' ",165
2006 ,"'Wales' ","'19' ","'Extra' ",35
2006 ,"'Wales' ","'19' ","'Main scheme Clearing' ",225
2006 ,"'Wales' ","'19' ","'Direct Clearing' ",115
2006 ,"'Wales' ","'19' ","'RPA' ",245
2006 ,"'Wales' ","'20' ","'Firm choice' ",905
2006 ,"'Wales' ","'20' ","'Insurance choice' ",20
2006 ,"'Wales' ","'20' ","'Other main scheme choice' ",100
2006 ,"'Wales' ","'20' ","'Extra' ",10
2006 ,"'Wales' ","'20' ","'Main scheme Clearing' ",75
2006 ,"'Wales' ","'20' ","'Direct Clearing' ",85
2006 ,"'Wales' ","'20' ","'RPA' ",165
2006 ,"'Wales' ","'21 and over' ","'Firm choice' ",2650
2006 ,"'Wales' ","'21 and over' ","'Insurance choice' ",35
2006 ,"'Wales' ","'21 and over' ","'Other main scheme choice' ",450
2006 ,"'Wales' ","'21 and over' ","'Extra' ",15
2006 ,"'Wales' ","'21 and over' ","'Main scheme Clearing' ",245
2006 ,"'Wales' ","'21 and over' ","'Direct Clearing' ",315
2006 ,"'Wales' ","'21 and over' ","'RPA' ",810
2007 ,"'England' ","'17 and under' ","'Firm choice' ",2540
2007 ,"'England' ","'17 and under' ","'Insurance choice' ",295
2007 ,"'England' ","'17 and under' ","'Other main scheme choice' ",225
2007 ,"'England' ","'17 and under' ","'Extra' ",30
2007 ,"'England' ","'17 and under' ","'Main scheme Clearing' ",275
2007 ,"'England' ","'17 and under' ","'Direct Clearing' ",90
2007 ,"'England' ","'17 and under' ","'RPA' ",245
2007 ,"'England' ","'18' ","'Firm choice' ",136535
2007 ,"'England' ","'18' ","'Insurance choice' ",14420
2007 ,"'England' ","'18' ","'Other main scheme choice' ",1610
2007 ,"'England' ","'18' ","'Extra' ",1695
2007 ,"'England' ","'18' ","'Main scheme Clearing' ",13655
2007 ,"'England' ","'18' ","'Direct Clearing' ",965
2007 ,"'England' ","'18' ","'RPA' ",2320
2007 ,"'England' ","'19' ","'Firm choice' ",53280
2007 ,"'England' ","'19' ","'Insurance choice' ",3350
2007 ,"'England' ","'19' ","'Other main scheme choice' ",2610
2007 ,"'England' ","'19' ","'Extra' ",805
2007 ,"'England' ","'19' ","'Main scheme Clearing' ",5770
2007 ,"'England' ","'19' ","'Direct Clearing' ",1630
2007 ,"'England' ","'19' ","'RPA' ",3285
2007 ,"'England' ","'20' ","'Firm choice' ",17315
2007 ,"'England' ","'20' ","'Insurance choice' ",835
2007 ,"'England' ","'20' ","'Other main scheme choice' ",2065
2007 ,"'England' ","'20' ","'Extra' ",275
2007 ,"'England' ","'20' ","'Main scheme Clearing' ",2065
2007 ,"'England' ","'20' ","'Direct Clearing' ",1135
2007 ,"'England' ","'20' ","'RPA' ",2945
2007 ,"'England' ","'21 and over' ","'Firm choice' ",41615
2007 ,"'England' ","'21 and over' ","'Insurance choice' ",870
2007 ,"'England' ","'21 and over' ","'Other main scheme choice' ",8000
2007 ,"'England' ","'21 and over' ","'Extra' ",475
2007 ,"'England' ","'21 and over' ","'Main scheme Clearing' ",4030
2007 ,"'England' ","'21 and over' ","'Direct Clearing' ",4020
2007 ,"'England' ","'21 and over' ","'RPA' ",13900
2007 ,"'Northern Ireland' ","'17 and under' ","'Firm choice' ",95
2007 ,"'Northern Ireland' ","'17 and under' ","'Insurance choice' ",15
2007 ,"'Northern Ireland' ","'17 and under' ","'Other main scheme choice' ",5
2007 ,"'Northern Ireland' ","'17 and under' ","'Extra' ",5
2007 ,"'Northern Ireland' ","'17 and under' ","'Main scheme Clearing' ",5
2007 ,"'Northern Ireland' ","'17 and under' ","'Direct Clearing' ",5
2007 ,"'Northern Ireland' ","'18' ","'Firm choice' ",4855
2007 ,"'Northern Ireland' ","'18' ","'Insurance choice' ",820
2007 ,"'Northern Ireland' ","'18' ","'Other main scheme choice' ",20
2007 ,"'Northern Ireland' ","'18' ","'Extra' ",40
2007 ,"'Northern Ireland' ","'18' ","'Main scheme Clearing' ",405
2007 ,"'Northern Ireland' ","'18' ","'Direct Clearing' ",20
2007 ,"'Northern Ireland' ","'19' ","'Firm choice' ",940
2007 ,"'Northern Ireland' ","'19' ","'Insurance choice' ",80
2007 ,"'Northern Ireland' ","'19' ","'Other main scheme choice' ",55
2007 ,"'Northern Ireland' ","'19' ","'Extra' ",15
2007 ,"'Northern Ireland' ","'19' ","'Main scheme Clearing' ",70
2007 ,"'Northern Ireland' ","'19' ","'Direct Clearing' ",55
2007 ,"'Northern Ireland' ","'19' ","'RPA' ",5
2007 ,"'Northern Ireland' ","'20' ","'Firm choice' ",350
2007 ,"'Northern Ireland' ","'20' ","'Insurance choice' ",15
2007 ,"'Northern Ireland' ","'20' ","'Other main scheme choice' ",30
2007 ,"'Northern Ireland' ","'20' ","'Extra' ",5
2007 ,"'Northern Ireland' ","'20' ","'Main scheme Clearing' ",25
2007 ,"'Northern Ireland' ","'20' ","'Direct Clearing' ",30
2007 ,"'Northern Ireland' ","'20' ","'RPA' ",5
2007 ,"'Northern Ireland' ","'21 and over' ","'Firm choice' ",1030
2007 ,"'Northern Ireland' ","'21 and over' ","'Insurance choice' ",35
2007 ,"'Northern Ireland' ","'21 and over' ","'Other main scheme choice' ",75
2007 ,"'Northern Ireland' ","'21 and over' ","'Extra' ",5
2007 ,"'Northern Ireland' ","'21 and over' ","'Main scheme Clearing' ",100
2007 ,"'Northern Ireland' ","'21 and over' ","'Direct Clearing' ",80
2007 ,"'Northern Ireland' ","'21 and over' ","'RPA' ",5
2007 ,"'Scotland' ","'17 and under' ","'Firm choice' ",735
2007 ,"'Scotland' ","'17 and under' ","'Insurance choice' ",70
2007 ,"'Scotland' ","'17 and under' ","'Other main scheme choice' ",40
2007 ,"'Scotland' ","'17 and under' ","'Extra' ",5
2007 ,"'Scotland' ","'17 and under' ","'Main scheme Clearing' ",65
2007 ,"'Scotland' ","'17 and under' ","'Direct Clearing' ",35
2007 ,"'Scotland' ","'17 and under' ","'RPA' ",175
2007 ,"'Scotland' ","'18' ","'Firm choice' ",14300
2007 ,"'Scotland' ","'18' ","'Insurance choice' ",1440
2007 ,"'Scotland' ","'18' ","'Other main scheme choice' ",140
2007 ,"'Scotland' ","'18' ","'Extra' ",115
2007 ,"'Scotland' ","'18' ","'Main scheme Clearing' ",1135
2007 ,"'Scotland' ","'18' ","'Direct Clearing' ",35
2007 ,"'Scotland' ","'18' ","'RPA' ",310
2007 ,"'Scotland' ","'19' ","'Firm choice' ",3915
2007 ,"'Scotland' ","'19' ","'Insurance choice' ",190
2007 ,"'Scotland' ","'19' ","'Other main scheme choice' ",215
2007 ,"'Scotland' ","'19' ","'Extra' ",45
2007 ,"'Scotland' ","'19' ","'Main scheme Clearing' ",265
2007 ,"'Scotland' ","'19' ","'Direct Clearing' ",80
2007 ,"'Scotland' ","'19' ","'RPA' ",355
2007 ,"'Scotland' ","'20' ","'Firm choice' ",2190
2007 ,"'Scotland' ","'20' ","'Insurance choice' ",60
2007 ,"'Scotland' ","'20' ","'Other main scheme choice' ",230
2007 ,"'Scotland' ","'20' ","'Extra' ",25
2007 ,"'Scotland' ","'20' ","'Main scheme Clearing' ",150
2007 ,"'Scotland' ","'20' ","'Direct Clearing' ",85
2007 ,"'Scotland' ","'20' ","'RPA' ",405
2007 ,"'Scotland' ","'21 and over' ","'Firm choice' ",6205
2007 ,"'Scotland' ","'21 and over' ","'Insurance choice' ",145
2007 ,"'Scotland' ","'21 and over' ","'Other main scheme choice' ",1000
2007 ,"'Scotland' ","'21 and over' ","'Extra' ",35
2007 ,"'Scotland' ","'21 and over' ","'Main scheme Clearing' ",385
2007 ,"'Scotland' ","'21 and over' ","'Direct Clearing' ",335
2007 ,"'Scotland' ","'21 and over' ","'RPA' ",1565
2007 ,"'Wales' ","'17 and under' ","'Firm choice' ",85
2007 ,"'Wales' ","'17 and under' ","'Insurance choice' ",5
2007 ,"'Wales' ","'17 and under' ","'Other main scheme choice' ",15
2007 ,"'Wales' ","'17 and under' ","'Main scheme Clearing' ",15
2007 ,"'Wales' ","'17 and under' ","'Direct Clearing' ",5
2007 ,"'Wales' ","'17 and under' ","'RPA' ",30
2007 ,"'Wales' ","'18' ","'Firm choice' ",10045
2007 ,"'Wales' ","'18' ","'Insurance choice' ",910
2007 ,"'Wales' ","'18' ","'Other main scheme choice' ",85
2007 ,"'Wales' ","'18' ","'Extra' ",125
2007 ,"'Wales' ","'18' ","'Main scheme Clearing' ",775
2007 ,"'Wales' ","'18' ","'Direct Clearing' ",70
2007 ,"'Wales' ","'18' ","'RPA' ",215
2007 ,"'Wales' ","'19' ","'Firm choice' ",3155
2007 ,"'Wales' ","'19' ","'Insurance choice' ",110
2007 ,"'Wales' ","'19' ","'Other main scheme choice' ",170
2007 ,"'Wales' ","'19' ","'Extra' ",45
2007 ,"'Wales' ","'19' ","'Main scheme Clearing' ",230
2007 ,"'Wales' ","'19' ","'Direct Clearing' ",110
2007 ,"'Wales' ","'19' ","'RPA' ",260
2007 ,"'Wales' ","'20' ","'Firm choice' ",950
2007 ,"'Wales' ","'20' ","'Insurance choice' ",35
2007 ,"'Wales' ","'20' ","'Other main scheme choice' ",115
2007 ,"'Wales' ","'20' ","'Extra' ",10
2007 ,"'Wales' ","'20' ","'Main scheme Clearing' ",85
2007 ,"'Wales' ","'20' ","'Direct Clearing' ",80
2007 ,"'Wales' ","'20' ","'RPA' ",200
2007 ,"'Wales' ","'21 and over' ","'Firm choice' ",2840
2007 ,"'Wales' ","'21 and over' ","'Insurance choice' ",45
2007 ,"'Wales' ","'21 and over' ","'Other main scheme choice' ",410
2007 ,"'Wales' ","'21 and over' ","'Extra' ",15
2007 ,"'Wales' ","'21 and over' ","'Main scheme Clearing' ",180
2007 ,"'Wales' ","'21 and over' ","'Direct Clearing' ",315
2007 ,"'Wales' ","'21 and over' ","'RPA' ",755
2008 ,"'England' ","'17 and under' ","'Firm choice' ",2470
2008 ,"'England' ","'17 and under' ","'Insurance choice' ",385
2008 ,"'England' ","'17 and under' ","'Other main scheme choice' ",230
2008 ,"'England' ","'17 and under' ","'Extra' ",30
2008 ,"'England' ","'17 and under' ","'Main scheme Clearing' ",295
2008 ,"'England' ","'17 and under' ","'Direct Clearing' ",85
2008 ,"'England' ","'17 and under' ","'RPA' ",270
2008 ,"'England' ","'18' ","'Firm choice' ",143680
2008 ,"'England' ","'18' ","'Insurance choice' ",16675
2008 ,"'England' ","'18' ","'Other main scheme choice' ",1590
2008 ,"'England' ","'18' ","'Extra' ",2325
2008 ,"'England' ","'18' ","'Main scheme Clearing' ",14960
2008 ,"'England' ","'18' ","'Direct Clearing' ",935
2008 ,"'England' ","'18' ","'RPA' ",2400
2008 ,"'England' ","'19' ","'Firm choice' ",58375
2008 ,"'England' ","'19' ","'Insurance choice' ",3755
2008 ,"'England' ","'19' ","'Other main scheme choice' ",2475
2008 ,"'England' ","'19' ","'Extra' ",1220
2008 ,"'England' ","'19' ","'Main scheme Clearing' ",6375
2008 ,"'England' ","'19' ","'Direct Clearing' ",1720
2008 ,"'England' ","'19' ","'RPA' ",3565
2008 ,"'England' ","'20' ","'Firm choice' ",21175
2008 ,"'England' ","'20' ","'Insurance choice' ",1055
2008 ,"'England' ","'20' ","'Other main scheme choice' ",2180
2008 ,"'England' ","'20' ","'Extra' ",460
2008 ,"'England' ","'20' ","'Main scheme Clearing' ",2430
2008 ,"'England' ","'20' ","'Direct Clearing' ",1350
2008 ,"'England' ","'20' ","'RPA' ",3460
2008 ,"'England' ","'21 and over' ","'Firm choice' ",50640
2008 ,"'England' ","'21 and over' ","'Insurance choice' ",980
2008 ,"'England' ","'21 and over' ","'Other main scheme choice' ",8715
2008 ,"'England' ","'21 and over' ","'Extra' ",705
2008 ,"'England' ","'21 and over' ","'Main scheme Clearing' ",4995
2008 ,"'England' ","'21 and over' ","'Direct Clearing' ",4975
2008 ,"'England' ","'21 and over' ","'RPA' ",15600
2008 ,"'Northern Ireland' ","'17 and under' ","'Firm choice' ",65
2008 ,"'Northern Ireland' ","'17 and under' ","'Insurance choice' ",5
2008 ,"'Northern Ireland' ","'17 and under' ","'Main scheme Clearing' ",5
2008 ,"'Northern Ireland' ","'18' ","'Firm choice' ",5155
2008 ,"'Northern Ireland' ","'18' ","'Insurance choice' ",715
2008 ,"'Northern Ireland' ","'18' ","'Other main scheme choice' ",10
2008 ,"'Northern Ireland' ","'18' ","'Extra' ",55
2008 ,"'Northern Ireland' ","'18' ","'Main scheme Clearing' ",420
2008 ,"'Northern Ireland' ","'18' ","'Direct Clearing' ",15
2008 ,"'Northern Ireland' ","'18' ","'RPA' ",5
2008 ,"'Northern Ireland' ","'19' ","'Firm choice' ",995
2008 ,"'Northern Ireland' ","'19' ","'Insurance choice' ",85
2008 ,"'Northern Ireland' ","'19' ","'Other main scheme choice' ",40
2008 ,"'Northern Ireland' ","'19' ","'Extra' ",10
2008 ,"'Northern Ireland' ","'19' ","'Main scheme Clearing' ",90
2008 ,"'Northern Ireland' ","'19' ","'Direct Clearing' ",75
2008 ,"'Northern Ireland' ","'19' ","'RPA' ",10
2008 ,"'Northern Ireland' ","'20' ","'Firm choice' ",435
2008 ,"'Northern Ireland' ","'20' ","'Insurance choice' ",20
2008 ,"'Northern Ireland' ","'20' ","'Other main scheme choice' ",30
2008 ,"'Northern Ireland' ","'20' ","'Extra' ",5
2008 ,"'Northern Ireland' ","'20' ","'Main scheme Clearing' ",30
2008 ,"'Northern Ireland' ","'20' ","'Direct Clearing' ",50
2008 ,"'Northern Ireland' ","'21 and over' ","'Firm choice' ",1165
2008 ,"'Northern Ireland' ","'21 and over' ","'Insurance choice' ",25
2008 ,"'Northern Ireland' ","'21 and over' ","'Other main scheme choice' ",75
2008 ,"'Northern Ireland' ","'21 and over' ","'Extra' ",10
2008 ,"'Northern Ireland' ","'21 and over' ","'Main scheme Clearing' ",100
2008 ,"'Northern Ireland' ","'21 and over' ","'Direct Clearing' ",100
2008 ,"'Northern Ireland' ","'21 and over' ","'RPA' ",20
2008 ,"'Scotland' ","'17 and under' ","'Firm choice' ",700
2008 ,"'Scotland' ","'17 and under' ","'Insurance choice' ",95
2008 ,"'Scotland' ","'17 and under' ","'Other main scheme choice' ",35
2008 ,"'Scotland' ","'17 and under' ","'Extra' ",5
2008 ,"'Scotland' ","'17 and under' ","'Main scheme Clearing' ",80
2008 ,"'Scotland' ","'17 and under' ","'Direct Clearing' ",20
2008 ,"'Scotland' ","'17 and under' ","'RPA' ",315
2008 ,"'Scotland' ","'18' ","'Firm choice' ",15290
2008 ,"'Scotland' ","'18' ","'Insurance choice' ",1660
2008 ,"'Scotland' ","'18' ","'Other main scheme choice' ",115
2008 ,"'Scotland' ","'18' ","'Extra' ",150
2008 ,"'Scotland' ","'18' ","'Main scheme Clearing' ",1140
2008 ,"'Scotland' ","'18' ","'Direct Clearing' ",40
2008 ,"'Scotland' ","'18' ","'RPA' ",680
2008 ,"'Scotland' ","'19' ","'Firm choice' ",4090
2008 ,"'Scotland' ","'19' ","'Insurance choice' ",255
2008 ,"'Scotland' ","'19' ","'Other main scheme choice' ",230
2008 ,"'Scotland' ","'19' ","'Extra' ",50
2008 ,"'Scotland' ","'19' ","'Main scheme Clearing' ",275
2008 ,"'Scotland' ","'19' ","'Direct Clearing' ",95
2008 ,"'Scotland' ","'19' ","'RPA' ",645
2008 ,"'Scotland' ","'20' ","'Firm choice' ",2300
2008 ,"'Scotland' ","'20' ","'Insurance choice' ",100
2008 ,"'Scotland' ","'20' ","'Other main scheme choice' ",225
2008 ,"'Scotland' ","'20' ","'Extra' ",30
2008 ,"'Scotland' ","'20' ","'Main scheme Clearing' ",145
2008 ,"'Scotland' ","'20' ","'Direct Clearing' ",75
2008 ,"'Scotland' ","'20' ","'RPA' ",645
2008 ,"'Scotland' ","'21 and over' ","'Firm choice' ",6305
2008 ,"'Scotland' ","'21 and over' ","'Insurance choice' ",170
2008 ,"'Scotland' ","'21 and over' ","'Other main scheme choice' ",1025
2008 ,"'Scotland' ","'21 and over' ","'Extra' ",55
2008 ,"'Scotland' ","'21 and over' ","'Main scheme Clearing' ",425
2008 ,"'Scotland' ","'21 and over' ","'Direct Clearing' ",355
2008 ,"'Scotland' ","'21 and over' ","'RPA' ",2805
2008 ,"'Wales' ","'17 and under' ","'Firm choice' ",80
2008 ,"'Wales' ","'17 and under' ","'Insurance choice' ",10
2008 ,"'Wales' ","'17 and under' ","'Other main scheme choice' ",5
2008 ,"'Wales' ","'17 and under' ","'Extra' ",5
2008 ,"'Wales' ","'17 and under' ","'Main scheme Clearing' ",15
2008 ,"'Wales' ","'17 and under' ","'Direct Clearing' ",10
2008 ,"'Wales' ","'17 and under' ","'RPA' ",25
2008 ,"'Wales' ","'18' ","'Firm choice' ",10100
2008 ,"'Wales' ","'18' ","'Insurance choice' ",1010
2008 ,"'Wales' ","'18' ","'Other main scheme choice' ",110
2008 ,"'Wales' ","'18' ","'Extra' ",125
2008 ,"'Wales' ","'18' ","'Main scheme Clearing' ",935
2008 ,"'Wales' ","'18' ","'Direct Clearing' ",95
2008 ,"'Wales' ","'18' ","'RPA' ",260
2008 ,"'Wales' ","'19' ","'Firm choice' ",3235
2008 ,"'Wales' ","'19' ","'Insurance choice' ",140
2008 ,"'Wales' ","'19' ","'Other main scheme choice' ",125
2008 ,"'Wales' ","'19' ","'Extra' ",50
2008 ,"'Wales' ","'19' ","'Main scheme Clearing' ",235
2008 ,"'Wales' ","'19' ","'Direct Clearing' ",140
2008 ,"'Wales' ","'19' ","'RPA' ",265
2008 ,"'Wales' ","'20' ","'Firm choice' ",1145
2008 ,"'Wales' ","'20' ","'Insurance choice' ",25
2008 ,"'Wales' ","'20' ","'Other main scheme choice' ",105
2008 ,"'Wales' ","'20' ","'Extra' ",10
2008 ,"'Wales' ","'20' ","'Main scheme Clearing' ",75
2008 ,"'Wales' ","'20' ","'Direct Clearing' ",115
2008 ,"'Wales' ","'20' ","'RPA' ",265
2008 ,"'Wales' ","'21 and over' ","'Firm choice' ",2805
2008 ,"'Wales' ","'21 and over' ","'Insurance choice' ",35
2008 ,"'Wales' ","'21 and over' ","'Other main scheme choice' ",380
2008 ,"'Wales' ","'21 and over' ","'Extra' ",25
2008 ,"'Wales' ","'21 and over' ","'Main scheme Clearing' ",230
2008 ,"'Wales' ","'21 and over' ","'Direct Clearing' ",375
2008 ,"'Wales' ","'21 and over' ","'RPA' ",1060
2009 ,"'England' ","'17 and under' ","'Firm choice' ",2655
2009 ,"'England' ","'17 and under' ","'Insurance choice' ",390
2009 ,"'England' ","'17 and under' ","'Other main scheme choice' ",285
2009 ,"'England' ","'17 and under' ","'Extra' ",55
2009 ,"'England' ","'17 and under' ","'Adjustment' ",5
2009 ,"'England' ","'17 and under' ","'Main scheme Clearing' ",290
2009 ,"'England' ","'17 and under' ","'Direct Clearing' ",55
2009 ,"'England' ","'17 and under' ","'RPA' ",195
2009 ,"'England' ","'18' ","'Firm choice' ",144255
2009 ,"'England' ","'18' ","'Insurance choice' ",20455
2009 ,"'England' ","'18' ","'Other main scheme choice' ",1905
2009 ,"'England' ","'18' ","'Extra' ",2240
2009 ,"'England' ","'18' ","'Adjustment' ",255
2009 ,"'England' ","'18' ","'Main scheme Clearing' ",16265
2009 ,"'England' ","'18' ","'Direct Clearing' ",915
2009 ,"'England' ","'18' ","'RPA' ",1960
2009 ,"'England' ","'19' ","'Firm choice' ",61880
2009 ,"'England' ","'19' ","'Insurance choice' ",4530
2009 ,"'England' ","'19' ","'Other main scheme choice' ",3145
2009 ,"'England' ","'19' ","'Extra' ",1390
2009 ,"'England' ","'19' ","'Adjustment' ",50
2009 ,"'England' ","'19' ","'Main scheme Clearing' ",6905
2009 ,"'England' ","'19' ","'Direct Clearing' ",1600
