"Statistic:   Number of Acceptances"
"Variables:   Provider Country 2016 , Applicant Domicile (UK / EU / Not EU) , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_005_07.pdf"
 
Cycle Year,Provider Country 2016 , Applicant Domicile (UK / EU / Not EU) , Acceptance Route,Number of Acceptances,
2006 ,"'England' ","'UK' ","'Firm choice' ",212990
2008 ,"'England' ","'EU (excluding UK)' ","'Extra' ",190
2008 ,"'England' ","'EU (excluding UK)' ","'Main scheme Clearing' ",875
2008 ,"'England' ","'EU (excluding UK)' ","'Direct Clearing' ",395
2008 ,"'England' ","'EU (excluding UK)' ","'RPA' ",1100
2008 ,"'England' ","'Not EU' ","'Firm choice' ",15715
2008 ,"'England' ","'Not EU' ","'Insurance choice' ",2070
2008 ,"'England' ","'Not EU' ","'Other main scheme choice' ",2430
2008 ,"'England' ","'Not EU' ","'Extra' ",250
2008 ,"'England' ","'Not EU' ","'Main scheme Clearing' ",2290
2008 ,"'England' ","'Not EU' ","'Direct Clearing' ",380
2008 ,"'England' ","'Not EU' ","'RPA' ",3395
2008 ,"'Northern Ireland' ","'UK' ","'Firm choice' ",7440
2008 ,"'Northern Ireland' ","'UK' ","'Insurance choice' ",795
2008 ,"'Northern Ireland' ","'UK' ","'Other main scheme choice' ",135
2008 ,"'Northern Ireland' ","'UK' ","'Extra' ",80
2008 ,"'Northern Ireland' ","'UK' ","'Main scheme Clearing' ",610
2008 ,"'Northern Ireland' ","'UK' ","'Direct Clearing' ",225
2008 ,"'Northern Ireland' ","'UK' ","'RPA' ",20
2008 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Firm choice' ",335
2008 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Insurance choice' ",50
2008 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Other main scheme choice' ",10
2008 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Main scheme Clearing' ",25
2008 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Direct Clearing' ",15
2008 ,"'Northern Ireland' ","'EU (excluding UK)' ","'RPA' ",10
2008 ,"'Northern Ireland' ","'Not EU' ","'Firm choice' ",40
2008 ,"'Northern Ireland' ","'Not EU' ","'Insurance choice' ",5
2008 ,"'Northern Ireland' ","'Not EU' ","'Other main scheme choice' ",5
2008 ,"'Northern Ireland' ","'Not EU' ","'Main scheme Clearing' ",15
2008 ,"'Northern Ireland' ","'Not EU' ","'RPA' ",5
2008 ,"'Scotland' ","'UK' ","'Firm choice' ",24340
2008 ,"'Scotland' ","'UK' ","'Insurance choice' ",1935
2008 ,"'Scotland' ","'UK' ","'Other main scheme choice' ",1015
2008 ,"'Scotland' ","'UK' ","'Extra' ",235
2008 ,"'Scotland' ","'UK' ","'Main scheme Clearing' ",1750
2008 ,"'Scotland' ","'UK' ","'Direct Clearing' ",475
2008 ,"'Scotland' ","'UK' ","'RPA' ",3380
2008 ,"'Scotland' ","'EU (excluding UK)' ","'Firm choice' ",2810
2008 ,"'Scotland' ","'EU (excluding UK)' ","'Insurance choice' ",185
2008 ,"'Scotland' ","'EU (excluding UK)' ","'Other main scheme choice' ",330
2008 ,"'Scotland' ","'EU (excluding UK)' ","'Extra' ",35
2008 ,"'Scotland' ","'EU (excluding UK)' ","'Main scheme Clearing' ",160
2008 ,"'Scotland' ","'EU (excluding UK)' ","'Direct Clearing' ",75
2008 ,"'Scotland' ","'EU (excluding UK)' ","'RPA' ",295
2008 ,"'Scotland' ","'Not EU' ","'Firm choice' ",1540
2008 ,"'Scotland' ","'Not EU' ","'Insurance choice' ",155
2008 ,"'Scotland' ","'Not EU' ","'Other main scheme choice' ",280
2008 ,"'Scotland' ","'Not EU' ","'Extra' ",15
2008 ,"'Scotland' ","'Not EU' ","'Main scheme Clearing' ",150
2008 ,"'Scotland' ","'Not EU' ","'Direct Clearing' ",35
2008 ,"'Scotland' ","'Not EU' ","'RPA' ",1420
2008 ,"'Wales' ","'UK' ","'Firm choice' ",16295
2008 ,"'Wales' ","'UK' ","'Insurance choice' ",1125
2008 ,"'Wales' ","'UK' ","'Other main scheme choice' ",540
2008 ,"'Wales' ","'UK' ","'Extra' ",205
2008 ,"'Wales' ","'UK' ","'Main scheme Clearing' ",1385
2008 ,"'Wales' ","'UK' ","'Direct Clearing' ",650
2008 ,"'Wales' ","'UK' ","'RPA' ",1400
2008 ,"'Wales' ","'EU (excluding UK)' ","'Firm choice' ",515
2008 ,"'Wales' ","'EU (excluding UK)' ","'Insurance choice' ",30
2008 ,"'Wales' ","'EU (excluding UK)' ","'Other main scheme choice' ",60
2008 ,"'Wales' ","'EU (excluding UK)' ","'Main scheme Clearing' ",45
2008 ,"'Wales' ","'EU (excluding UK)' ","'Direct Clearing' ",55
2008 ,"'Wales' ","'EU (excluding UK)' ","'RPA' ",120
2008 ,"'Wales' ","'Not EU' ","'Firm choice' ",555
2008 ,"'Wales' ","'Not EU' ","'Insurance choice' ",70
2008 ,"'Wales' ","'Not EU' ","'Other main scheme choice' ",120
2008 ,"'Wales' ","'Not EU' ","'Extra' ",10
2008 ,"'Wales' ","'Not EU' ","'Main scheme Clearing' ",65
2008 ,"'Wales' ","'Not EU' ","'Direct Clearing' ",25
2008 ,"'Wales' ","'Not EU' ","'RPA' ",355
2009 ,"'England' ","'UK' ","'Firm choice' ",258495
2009 ,"'England' ","'UK' ","'Insurance choice' ",24270
2009 ,"'England' ","'UK' ","'Other main scheme choice' ",15320
2009 ,"'England' ","'UK' ","'Extra' ",4485
2009 ,"'England' ","'UK' ","'Adjustment' ",285
2009 ,"'England' ","'UK' ","'Main scheme Clearing' ",27955
2009 ,"'England' ","'UK' ","'Direct Clearing' ",8290
2009 ,"'England' ","'UK' ","'RPA' ",15925
2009 ,"'England' ","'EU (excluding UK)' ","'Firm choice' ",12710
2009 ,"'England' ","'EU (excluding UK)' ","'Insurance choice' ",1050
2009 ,"'England' ","'EU (excluding UK)' ","'Other main scheme choice' ",1440
2009 ,"'England' ","'EU (excluding UK)' ","'Extra' ",255
2009 ,"'England' ","'EU (excluding UK)' ","'Adjustment' ",10
2009 ,"'England' ","'EU (excluding UK)' ","'Main scheme Clearing' ",965
2009 ,"'England' ","'EU (excluding UK)' ","'Direct Clearing' ",340
2009 ,"'England' ","'EU (excluding UK)' ","'RPA' ",995
2009 ,"'England' ","'Not EU' ","'Firm choice' ",15805
2009 ,"'England' ","'Not EU' ","'Insurance choice' ",2290
2009 ,"'England' ","'Not EU' ","'Other main scheme choice' ",2725
2009 ,"'England' ","'Not EU' ","'Extra' ",285
2009 ,"'England' ","'Not EU' ","'Adjustment' ",30
2009 ,"'England' ","'Not EU' ","'Main scheme Clearing' ",2445
2009 ,"'England' ","'Not EU' ","'Direct Clearing' ",405
2009 ,"'England' ","'Not EU' ","'RPA' ",5450
2009 ,"'Northern Ireland' ","'UK' ","'Firm choice' ",7395
2009 ,"'Northern Ireland' ","'UK' ","'Insurance choice' ",1145
2009 ,"'Northern Ireland' ","'UK' ","'Other main scheme choice' ",175
2009 ,"'Northern Ireland' ","'UK' ","'Extra' ",70
2009 ,"'Northern Ireland' ","'UK' ","'Adjustment' ",25
2009 ,"'Northern Ireland' ","'UK' ","'Main scheme Clearing' ",590
2009 ,"'Northern Ireland' ","'UK' ","'Direct Clearing' ",180
2009 ,"'Northern Ireland' ","'UK' ","'RPA' ",20
2009 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Firm choice' ",345
2009 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Insurance choice' ",50
2009 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Other main scheme choice' ",25
2009 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Extra' ",5
2009 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Main scheme Clearing' ",25
2009 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Direct Clearing' ",15
2009 ,"'Northern Ireland' ","'Not EU' ","'Firm choice' ",45
2009 ,"'Northern Ireland' ","'Not EU' ","'Insurance choice' ",5
2009 ,"'Northern Ireland' ","'Not EU' ","'Other main scheme choice' ",5
2009 ,"'Northern Ireland' ","'Not EU' ","'Extra' ",5
2009 ,"'Northern Ireland' ","'Not EU' ","'Main scheme Clearing' ",5
2009 ,"'Northern Ireland' ","'Not EU' ","'RPA' ",25
2009 ,"'Scotland' ","'UK' ","'Firm choice' ",25520
2009 ,"'Scotland' ","'UK' ","'Insurance choice' ",2270
2009 ,"'Scotland' ","'UK' ","'Other main scheme choice' ",1110
2009 ,"'Scotland' ","'UK' ","'Extra' ",215
2009 ,"'Scotland' ","'UK' ","'Adjustment' ",5
2009 ,"'Scotland' ","'UK' ","'Main scheme Clearing' ",2235
2009 ,"'Scotland' ","'UK' ","'Direct Clearing' ",685
2009 ,"'Scotland' ","'UK' ","'RPA' ",3115
2009 ,"'Scotland' ","'EU (excluding UK)' ","'Firm choice' ",3210
2009 ,"'Scotland' ","'EU (excluding UK)' ","'Insurance choice' ",200
2009 ,"'Scotland' ","'EU (excluding UK)' ","'Other main scheme choice' ",405
2009 ,"'Scotland' ","'EU (excluding UK)' ","'Extra' ",35
2009 ,"'Scotland' ","'EU (excluding UK)' ","'Main scheme Clearing' ",205
2009 ,"'Scotland' ","'EU (excluding UK)' ","'Direct Clearing' ",85
2009 ,"'Scotland' ","'EU (excluding UK)' ","'RPA' ",360
2009 ,"'Scotland' ","'Not EU' ","'Firm choice' ",1505
2009 ,"'Scotland' ","'Not EU' ","'Insurance choice' ",170
2009 ,"'Scotland' ","'Not EU' ","'Other main scheme choice' ",205
2009 ,"'Scotland' ","'Not EU' ","'Extra' ",10
2009 ,"'Scotland' ","'Not EU' ","'Main scheme Clearing' ",150
2009 ,"'Scotland' ","'Not EU' ","'Direct Clearing' ",45
2009 ,"'Scotland' ","'Not EU' ","'RPA' ",1325
2009 ,"'Wales' ","'UK' ","'Firm choice' ",17165
2009 ,"'Wales' ","'UK' ","'Insurance choice' ",1705
2009 ,"'Wales' ","'UK' ","'Other main scheme choice' ",885
2009 ,"'Wales' ","'UK' ","'Extra' ",235
2009 ,"'Wales' ","'UK' ","'Adjustment' ",25
2009 ,"'Wales' ","'UK' ","'Main scheme Clearing' ",2140
2009 ,"'Wales' ","'UK' ","'Direct Clearing' ",715
2009 ,"'Wales' ","'UK' ","'RPA' ",1310
2009 ,"'Wales' ","'EU (excluding UK)' ","'Firm choice' ",655
2009 ,"'Wales' ","'EU (excluding UK)' ","'Insurance choice' ",55
2009 ,"'Wales' ","'EU (excluding UK)' ","'Other main scheme choice' ",100
2009 ,"'Wales' ","'EU (excluding UK)' ","'Extra' ",10
2009 ,"'Wales' ","'EU (excluding UK)' ","'Main scheme Clearing' ",60
2009 ,"'Wales' ","'EU (excluding UK)' ","'Direct Clearing' ",35
2009 ,"'Wales' ","'EU (excluding UK)' ","'RPA' ",170
2009 ,"'Wales' ","'Not EU' ","'Firm choice' ",615
2009 ,"'Wales' ","'Not EU' ","'Insurance choice' ",90
2009 ,"'Wales' ","'Not EU' ","'Other main scheme choice' ",130
2009 ,"'Wales' ","'Not EU' ","'Extra' ",15
2009 ,"'Wales' ","'Not EU' ","'Main scheme Clearing' ",90
2009 ,"'Wales' ","'Not EU' ","'Direct Clearing' ",15
2009 ,"'Wales' ","'Not EU' ","'RPA' ",205
2010 ,"'England' ","'UK' ","'Firm choice' ",268605
2010 ,"'England' ","'UK' ","'Insurance choice' ",27670
2010 ,"'England' ","'UK' ","'Other main scheme choice' ",8780
2010 ,"'England' ","'UK' ","'Extra' ",5575
2010 ,"'England' ","'UK' ","'Adjustment' ",275
2010 ,"'England' ","'UK' ","'Main scheme Clearing' ",30710
2010 ,"'England' ","'UK' ","'Direct Clearing' ",6435
2010 ,"'England' ","'UK' ","'RPA' ",8445
2010 ,"'England' ","'EU (excluding UK)' ","'Firm choice' ",14720
2010 ,"'England' ","'EU (excluding UK)' ","'Insurance choice' ",1385
2010 ,"'England' ","'EU (excluding UK)' ","'Other main scheme choice' ",1085
2010 ,"'England' ","'EU (excluding UK)' ","'Extra' ",300
2010 ,"'England' ","'EU (excluding UK)' ","'Adjustment' ",10
2010 ,"'England' ","'EU (excluding UK)' ","'Main scheme Clearing' ",1165
2010 ,"'England' ","'EU (excluding UK)' ","'Direct Clearing' ",360
2010 ,"'England' ","'EU (excluding UK)' ","'RPA' ",960
2010 ,"'England' ","'Not EU' ","'Firm choice' ",17955
2010 ,"'England' ","'Not EU' ","'Insurance choice' ",2490
2010 ,"'England' ","'Not EU' ","'Other main scheme choice' ",2145
2010 ,"'England' ","'Not EU' ","'Extra' ",335
2010 ,"'England' ","'Not EU' ","'Adjustment' ",40
2010 ,"'England' ","'Not EU' ","'Main scheme Clearing' ",2435
2010 ,"'England' ","'Not EU' ","'Direct Clearing' ",450
2010 ,"'England' ","'Not EU' ","'RPA' ",7755
2010 ,"'Northern Ireland' ","'UK' ","'Firm choice' ",7245
2010 ,"'Northern Ireland' ","'UK' ","'Insurance choice' ",1195
2010 ,"'Northern Ireland' ","'UK' ","'Other main scheme choice' ",100
2010 ,"'Northern Ireland' ","'UK' ","'Extra' ",100
2010 ,"'Northern Ireland' ","'UK' ","'Adjustment' ",20
2010 ,"'Northern Ireland' ","'UK' ","'Main scheme Clearing' ",345
2010 ,"'Northern Ireland' ","'UK' ","'Direct Clearing' ",50
2010 ,"'Northern Ireland' ","'UK' ","'RPA' ",30
2010 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Firm choice' ",410
2010 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Insurance choice' ",70
2010 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Other main scheme choice' ",20
2010 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Extra' ",5
2010 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Main scheme Clearing' ",15
2010 ,"'Northern Ireland' ","'EU (excluding UK)' ","'Direct Clearing' ",5
2010 ,"'Northern Ireland' ","'EU (excluding UK)' ","'RPA' ",30
2010 ,"'Northern Ireland' ","'Not EU' ","'Firm choice' ",40
2010 ,"'Northern Ireland' ","'Not EU' ","'Insurance choice' ",5
2010 ,"'Northern Ireland' ","'Not EU' ","'Other main scheme choice' ",10
2010 ,"'Northern Ireland' ","'Not EU' ","'Extra' ",5
2010 ,"'Northern Ireland' ","'Not EU' ","'Main scheme Clearing' ",5
2010 ,"'Northern Ireland' ","'Not EU' ","'RPA' ",45
2010 ,"'Scotland' ","'UK' ","'Firm choice' ",26845
2010 ,"'Scotland' ","'UK' ","'Insurance choice' ",2415
2010 ,"'Scotland' ","'UK' ","'Other main scheme choice' ",765
2010 ,"'Scotland' ","'UK' ","'Extra' ",295
2010 ,"'Scotland' ","'UK' ","'Main scheme Clearing' ",1710
2010 ,"'Scotland' ","'UK' ","'Direct Clearing' ",220
2010 ,"'Scotland' ","'UK' ","'RPA' ",2800
2010 ,"'Scotland' ","'EU (excluding UK)' ","'Firm choice' ",3205
2010 ,"'Scotland' ","'EU (excluding UK)' ","'Insurance choice' ",220
2010 ,"'Scotland' ","'EU (excluding UK)' ","'Other main scheme choice' ",100
2010 ,"'Scotland' ","'EU (excluding UK)' ","'Extra' ",40
2010 ,"'Scotland' ","'EU (excluding UK)' ","'Main scheme Clearing' ",105
2010 ,"'Scotland' ","'EU (excluding UK)' ","'Direct Clearing' ",10
2010 ,"'Scotland' ","'EU (excluding UK)' ","'RPA' ",335
2010 ,"'Scotland' ","'Not EU' ","'Firm choice' ",1620
2010 ,"'Scotland' ","'Not EU' ","'Insurance choice' ",190
2010 ,"'Scotland' ","'Not EU' ","'Other main scheme choice' ",150
2010 ,"'Scotland' ","'Not EU' ","'Extra' ",25
