"Statistic:   Number of Acceptances"
"Variables:   Ethnic Group (Summary Level) , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_020_05.pdf"
 
Cycle Year,Ethnic Group (Summary Level) , Applicant Domicile (High Level),Number of Acceptances,
2006 ,"'Asian' ","'England' ",30480
2011 ,"'Mixed' ","'Scotland' ",455
2011 ,"'Mixed' ","'Wales' ",360
2011 ,"'White' ","'England' ",266540
2011 ,"'White' ","'Northern Ireland' ",13370
2011 ,"'White' ","'Scotland' ",26410
2011 ,"'White' ","'Wales' ",16185
2011 ,"'Other' ","'England' ",4215
2011 ,"'Other' ","'Northern Ireland' ",15
2011 ,"'Other' ","'Scotland' ",70
2011 ,"'Other' ","'Wales' ",75
2011 ,"'Unknown' ","'England' ",2725
2011 ,"'Unknown' ","'Northern Ireland' ",25
2011 ,"'Unknown' ","'Scotland' ",130
2011 ,"'Unknown' ","'Wales' ",85
2012 ,"'Asian' ","'England' ",37955
2012 ,"'Asian' ","'Northern Ireland' ",140
2012 ,"'Asian' ","'Scotland' ",1130
2012 ,"'Asian' ","'Wales' ",620
2012 ,"'Black' ","'England' ",26485
2012 ,"'Black' ","'Northern Ireland' ",30
2012 ,"'Black' ","'Scotland' ",385
2012 ,"'Black' ","'Wales' ",275
2012 ,"'Mixed' ","'England' ",13010
2012 ,"'Mixed' ","'Northern Ireland' ",85
2012 ,"'Mixed' ","'Scotland' ",430
2012 ,"'Mixed' ","'Wales' ",360
2012 ,"'White' ","'England' ",238365
2012 ,"'White' ","'Northern Ireland' ",12825
2012 ,"'White' ","'Scotland' ",26380
2012 ,"'White' ","'Wales' ",16420
2012 ,"'Other' ","'England' ",5015
2012 ,"'Other' ","'Northern Ireland' ",15
2012 ,"'Other' ","'Scotland' ",115
2012 ,"'Other' ","'Wales' ",110
2012 ,"'Unknown' ","'England' ",2280
2012 ,"'Unknown' ","'Northern Ireland' ",20
2012 ,"'Unknown' ","'Scotland' ",100
2012 ,"'Unknown' ","'Wales' ",75
2013 ,"'Asian' ","'England' ",40680
2013 ,"'Asian' ","'Northern Ireland' ",155
2013 ,"'Asian' ","'Scotland' ",1180
2013 ,"'Asian' ","'Wales' ",605
2013 ,"'Black' ","'England' ",27780
2013 ,"'Black' ","'Northern Ireland' ",35
2013 ,"'Black' ","'Scotland' ",365
2013 ,"'Black' ","'Wales' ",270
2013 ,"'Mixed' ","'England' ",14165
2013 ,"'Mixed' ","'Northern Ireland' ",100
2013 ,"'Mixed' ","'Scotland' ",460
2013 ,"'Mixed' ","'Wales' ",365
2013 ,"'White' ","'England' ",254060
2013 ,"'White' ","'Northern Ireland' ",14030
2013 ,"'White' ","'Scotland' ",26740
2013 ,"'White' ","'Wales' ",16495
2013 ,"'Other' ","'England' ",5185
2013 ,"'Other' ","'Northern Ireland' ",15
2013 ,"'Other' ","'Scotland' ",115
2013 ,"'Other' ","'Wales' ",110
2013 ,"'Unknown' ","'England' ",2365
2013 ,"'Unknown' ","'Northern Ireland' ",20
2013 ,"'Unknown' ","'Scotland' ",140
2013 ,"'Unknown' ","'Wales' ",75
2014 ,"'Asian' ","'England' ",43095
2014 ,"'Asian' ","'Northern Ireland' ",155
2014 ,"'Asian' ","'Scotland' ",1240
2014 ,"'Asian' ","'Wales' ",680
2014 ,"'Black' ","'England' ",29320
2014 ,"'Black' ","'Northern Ireland' ",55
2014 ,"'Black' ","'Scotland' ",350
2014 ,"'Black' ","'Wales' ",275
2014 ,"'Mixed' ","'England' ",15495
2014 ,"'Mixed' ","'Northern Ireland' ",95
2014 ,"'Mixed' ","'Scotland' ",440
2014 ,"'Mixed' ","'Wales' ",410
2014 ,"'White' ","'England' ",260930
2014 ,"'White' ","'Northern Ireland' ",13900
2014 ,"'White' ","'Scotland' ",27465
2014 ,"'White' ","'Wales' ",17135
2014 ,"'Other' ","'England' ",5795
2014 ,"'Other' ","'Northern Ireland' ",20
2014 ,"'Other' ","'Scotland' ",105
2014 ,"'Other' ","'Wales' ",155
2014 ,"'Unknown' ","'England' ",2230
2014 ,"'Unknown' ","'Northern Ireland' ",20
2014 ,"'Unknown' ","'Scotland' ",110
2014 ,"'Unknown' ","'Wales' ",90
2015 ,"'Asian' ","'England' ",45955
2015 ,"'Asian' ","'Northern Ireland' ",170
2015 ,"'Asian' ","'Scotland' ",1370
2015 ,"'Asian' ","'Wales' ",735
2015 ,"'Black' ","'England' ",30850
2015 ,"'Black' ","'Northern Ireland' ",35
2015 ,"'Black' ","'Scotland' ",435
2015 ,"'Black' ","'Wales' ",275
2015 ,"'Mixed' ","'England' ",16810
2015 ,"'Mixed' ","'Northern Ireland' ",135
2015 ,"'Mixed' ","'Scotland' ",540
2015 ,"'Mixed' ","'Wales' ",445
2015 ,"'White' ","'England' ",263485
2015 ,"'White' ","'Northern Ireland' ",13500
2015 ,"'White' ","'Scotland' ",29635
2015 ,"'White' ","'Wales' ",17395
2015 ,"'Other' ","'England' ",6355
2015 ,"'Other' ","'Northern Ireland' ",10
2015 ,"'Other' ","'Scotland' ",180
2015 ,"'Other' ","'Wales' ",145
2015 ,"'Unknown' ","'England' ",3010
2015 ,"'Unknown' ","'Northern Ireland' ",40
2015 ,"'Unknown' ","'Scotland' ",175
2015 ,"'Unknown' ","'Wales' ",90
2016 ,"'Asian' ","'England' ",47590
2016 ,"'Asian' ","'Northern Ireland' ",210
2016 ,"'Asian' ","'Scotland' ",1405
2016 ,"'Asian' ","'Wales' ",750
2016 ,"'Black' ","'England' ",32110
2016 ,"'Black' ","'Northern Ireland' ",60
2016 ,"'Black' ","'Scotland' ",450
2016 ,"'Black' ","'Wales' ",315
2016 ,"'Mixed' ","'England' ",17340
2016 ,"'Mixed' ","'Northern Ireland' ",125
2016 ,"'Mixed' ","'Scotland' ",575
2016 ,"'Mixed' ","'Wales' ",465
2016 ,"'White' ","'England' ",260550
2016 ,"'White' ","'Northern Ireland' ",14210
2016 ,"'White' ","'Scotland' ",30350
2016 ,"'White' ","'Wales' ",17500
2016 ,"'Other' ","'England' ",6675
2016 ,"'Other' ","'Northern Ireland' ",20
2016 ,"'Other' ","'Scotland' ",180
2016 ,"'Other' ","'Wales' ",160
2016 ,"'Unknown' ","'England' ",3240
2016 ,"'Unknown' ","'Northern Ireland' ",35
2016 ,"'Unknown' ","'Scotland' ",225
2016 ,"'Unknown' ","'Wales' ",95
