"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Disability Indicator , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_023_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Disability Indicator , Acceptance Route,Number of Acceptances,
2010 ,"'Group A Medicine and Dentistry' ","'Disability declared' ","'Firm choice' ",335
2010 ,"'Group B Subjects allied to Medicine' ","'No disability declared' ","'Adjustment' ",15
2010 ,"'Group B Subjects allied to Medicine' ","'No disability declared' ","'Main scheme Clearing' ",3015
2010 ,"'Group B Subjects allied to Medicine' ","'No disability declared' ","'Direct Clearing' ",445
2010 ,"'Group B Subjects allied to Medicine' ","'No disability declared' ","'RPA' ",865
2010 ,"'Group C Biological Sciences' ","'Disability declared' ","'Firm choice' ",1660
2010 ,"'Group C Biological Sciences' ","'Disability declared' ","'Insurance choice' ",210
2010 ,"'Group C Biological Sciences' ","'Disability declared' ","'Other main scheme choice' ",50
2010 ,"'Group C Biological Sciences' ","'Disability declared' ","'Extra' ",20
2010 ,"'Group C Biological Sciences' ","'Disability declared' ","'Main scheme Clearing' ",180
2010 ,"'Group C Biological Sciences' ","'Disability declared' ","'Direct Clearing' ",25
2010 ,"'Group C Biological Sciences' ","'Disability declared' ","'RPA' ",50
2010 ,"'Group C Biological Sciences' ","'No disability declared' ","'Firm choice' ",24725
2010 ,"'Group C Biological Sciences' ","'No disability declared' ","'Insurance choice' ",3695
2010 ,"'Group C Biological Sciences' ","'No disability declared' ","'Other main scheme choice' ",470
2010 ,"'Group C Biological Sciences' ","'No disability declared' ","'Extra' ",540
2010 ,"'Group C Biological Sciences' ","'No disability declared' ","'Adjustment' ",25
2010 ,"'Group C Biological Sciences' ","'No disability declared' ","'Main scheme Clearing' ",3005
2010 ,"'Group C Biological Sciences' ","'No disability declared' ","'Direct Clearing' ",370
2010 ,"'Group C Biological Sciences' ","'No disability declared' ","'RPA' ",565
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Disability declared' ","'Firm choice' ",350
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Disability declared' ","'Insurance choice' ",25
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Disability declared' ","'Other main scheme choice' ",30
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Disability declared' ","'Extra' ",5
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Disability declared' ","'Main scheme Clearing' ",30
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Disability declared' ","'Direct Clearing' ",15
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Disability declared' ","'RPA' ",35
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'No disability declared' ","'Firm choice' ",3645
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'No disability declared' ","'Insurance choice' ",165
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'No disability declared' ","'Other main scheme choice' ",180
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'No disability declared' ","'Extra' ",55
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'No disability declared' ","'Main scheme Clearing' ",300
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'No disability declared' ","'Direct Clearing' ",150
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'No disability declared' ","'RPA' ",240
2010 ,"'Group F Physical Sciences' ","'Disability declared' ","'Firm choice' ",900
2010 ,"'Group F Physical Sciences' ","'Disability declared' ","'Insurance choice' ",130
2010 ,"'Group F Physical Sciences' ","'Disability declared' ","'Other main scheme choice' ",25
2010 ,"'Group F Physical Sciences' ","'Disability declared' ","'Extra' ",5
2010 ,"'Group F Physical Sciences' ","'Disability declared' ","'Main scheme Clearing' ",80
2010 ,"'Group F Physical Sciences' ","'Disability declared' ","'Direct Clearing' ",15
2010 ,"'Group F Physical Sciences' ","'Disability declared' ","'RPA' ",30
2010 ,"'Group F Physical Sciences' ","'No disability declared' ","'Firm choice' ",11435
2010 ,"'Group F Physical Sciences' ","'No disability declared' ","'Insurance choice' ",1700
2010 ,"'Group F Physical Sciences' ","'No disability declared' ","'Other main scheme choice' ",160
2010 ,"'Group F Physical Sciences' ","'No disability declared' ","'Extra' ",130
2010 ,"'Group F Physical Sciences' ","'No disability declared' ","'Adjustment' ",15
2010 ,"'Group F Physical Sciences' ","'No disability declared' ","'Main scheme Clearing' ",1310
2010 ,"'Group F Physical Sciences' ","'No disability declared' ","'Direct Clearing' ",155
2010 ,"'Group F Physical Sciences' ","'No disability declared' ","'RPA' ",185
2010 ,"'Group G Mathematical Sciences' ","'Disability declared' ","'Firm choice' ",225
2010 ,"'Group G Mathematical Sciences' ","'Disability declared' ","'Insurance choice' ",55
2010 ,"'Group G Mathematical Sciences' ","'Disability declared' ","'Other main scheme choice' ",5
2010 ,"'Group G Mathematical Sciences' ","'Disability declared' ","'Extra' ",5
2010 ,"'Group G Mathematical Sciences' ","'Disability declared' ","'Main scheme Clearing' ",30
2010 ,"'Group G Mathematical Sciences' ","'Disability declared' ","'Direct Clearing' ",5
2010 ,"'Group G Mathematical Sciences' ","'No disability declared' ","'Firm choice' ",4360
2010 ,"'Group G Mathematical Sciences' ","'No disability declared' ","'Insurance choice' ",1085
2010 ,"'Group G Mathematical Sciences' ","'No disability declared' ","'Other main scheme choice' ",60
2010 ,"'Group G Mathematical Sciences' ","'No disability declared' ","'Extra' ",55
2010 ,"'Group G Mathematical Sciences' ","'No disability declared' ","'Adjustment' ",10
2010 ,"'Group G Mathematical Sciences' ","'No disability declared' ","'Main scheme Clearing' ",535
2010 ,"'Group G Mathematical Sciences' ","'No disability declared' ","'Direct Clearing' ",65
2010 ,"'Group G Mathematical Sciences' ","'No disability declared' ","'RPA' ",45
2010 ,"'Group H Engineering' ","'Disability declared' ","'Firm choice' ",795
2010 ,"'Group H Engineering' ","'Disability declared' ","'Insurance choice' ",135
2010 ,"'Group H Engineering' ","'Disability declared' ","'Other main scheme choice' ",30
2010 ,"'Group H Engineering' ","'Disability declared' ","'Extra' ",5
2010 ,"'Group H Engineering' ","'Disability declared' ","'Main scheme Clearing' ",75
2010 ,"'Group H Engineering' ","'Disability declared' ","'Direct Clearing' ",30
2010 ,"'Group H Engineering' ","'Disability declared' ","'RPA' ",60
2010 ,"'Group H Engineering' ","'No disability declared' ","'Firm choice' ",11945
2010 ,"'Group H Engineering' ","'No disability declared' ","'Insurance choice' ",1965
2010 ,"'Group H Engineering' ","'No disability declared' ","'Other main scheme choice' ",475
2010 ,"'Group H Engineering' ","'No disability declared' ","'Extra' ",170
2010 ,"'Group H Engineering' ","'No disability declared' ","'Adjustment' ",5
2010 ,"'Group H Engineering' ","'No disability declared' ","'Main scheme Clearing' ",1895
2010 ,"'Group H Engineering' ","'No disability declared' ","'Direct Clearing' ",380
2010 ,"'Group H Engineering' ","'No disability declared' ","'RPA' ",685
2010 ,"'Group I Computer Sciences' ","'Disability declared' ","'Firm choice' ",1050
2010 ,"'Group I Computer Sciences' ","'Disability declared' ","'Insurance choice' ",75
2010 ,"'Group I Computer Sciences' ","'Disability declared' ","'Other main scheme choice' ",65
2010 ,"'Group I Computer Sciences' ","'Disability declared' ","'Extra' ",10
2010 ,"'Group I Computer Sciences' ","'Disability declared' ","'Main scheme Clearing' ",100
2010 ,"'Group I Computer Sciences' ","'Disability declared' ","'Direct Clearing' ",40
2010 ,"'Group I Computer Sciences' ","'Disability declared' ","'RPA' ",85
2010 ,"'Group I Computer Sciences' ","'No disability declared' ","'Firm choice' ",11360
2010 ,"'Group I Computer Sciences' ","'No disability declared' ","'Insurance choice' ",1250
2010 ,"'Group I Computer Sciences' ","'No disability declared' ","'Other main scheme choice' ",530
2010 ,"'Group I Computer Sciences' ","'No disability declared' ","'Extra' ",150
2010 ,"'Group I Computer Sciences' ","'No disability declared' ","'Adjustment' ",20
2010 ,"'Group I Computer Sciences' ","'No disability declared' ","'Main scheme Clearing' ",1770
2010 ,"'Group I Computer Sciences' ","'No disability declared' ","'Direct Clearing' ",585
2010 ,"'Group I Computer Sciences' ","'No disability declared' ","'RPA' ",915
2010 ,"'Group J Technologies' ","'Disability declared' ","'Firm choice' ",195
2010 ,"'Group J Technologies' ","'Disability declared' ","'Insurance choice' ",5
2010 ,"'Group J Technologies' ","'Disability declared' ","'Other main scheme choice' ",10
2010 ,"'Group J Technologies' ","'Disability declared' ","'Main scheme Clearing' ",15
2010 ,"'Group J Technologies' ","'Disability declared' ","'Direct Clearing' ",5
2010 ,"'Group J Technologies' ","'Disability declared' ","'RPA' ",20
2010 ,"'Group J Technologies' ","'No disability declared' ","'Firm choice' ",1845
2010 ,"'Group J Technologies' ","'No disability declared' ","'Insurance choice' ",125
2010 ,"'Group J Technologies' ","'No disability declared' ","'Other main scheme choice' ",100
2010 ,"'Group J Technologies' ","'No disability declared' ","'Extra' ",35
2010 ,"'Group J Technologies' ","'No disability declared' ","'Adjustment' ",5
2010 ,"'Group J Technologies' ","'No disability declared' ","'Main scheme Clearing' ",200
2010 ,"'Group J Technologies' ","'No disability declared' ","'Direct Clearing' ",50
2010 ,"'Group J Technologies' ","'No disability declared' ","'RPA' ",150
2010 ,"'Group K Architecture, Building and Planning' ","'Disability declared' ","'Firm choice' ",360
2010 ,"'Group K Architecture, Building and Planning' ","'Disability declared' ","'Insurance choice' ",25
2010 ,"'Group K Architecture, Building and Planning' ","'Disability declared' ","'Other main scheme choice' ",15
2010 ,"'Group K Architecture, Building and Planning' ","'Disability declared' ","'Extra' ",5
2010 ,"'Group K Architecture, Building and Planning' ","'Disability declared' ","'Main scheme Clearing' ",35
2010 ,"'Group K Architecture, Building and Planning' ","'Disability declared' ","'Direct Clearing' ",15
2010 ,"'Group K Architecture, Building and Planning' ","'Disability declared' ","'RPA' ",25
2010 ,"'Group K Architecture, Building and Planning' ","'No disability declared' ","'Firm choice' ",5205
2010 ,"'Group K Architecture, Building and Planning' ","'No disability declared' ","'Insurance choice' ",600
2010 ,"'Group K Architecture, Building and Planning' ","'No disability declared' ","'Other main scheme choice' ",230
2010 ,"'Group K Architecture, Building and Planning' ","'No disability declared' ","'Extra' ",75
2010 ,"'Group K Architecture, Building and Planning' ","'No disability declared' ","'Main scheme Clearing' ",585
2010 ,"'Group K Architecture, Building and Planning' ","'No disability declared' ","'Direct Clearing' ",190
2010 ,"'Group K Architecture, Building and Planning' ","'No disability declared' ","'RPA' ",245
2010 ,"'Group L Social Studies' ","'Disability declared' ","'Firm choice' ",1690
2010 ,"'Group L Social Studies' ","'Disability declared' ","'Insurance choice' ",155
2010 ,"'Group L Social Studies' ","'Disability declared' ","'Other main scheme choice' ",70
2010 ,"'Group L Social Studies' ","'Disability declared' ","'Extra' ",35
2010 ,"'Group L Social Studies' ","'Disability declared' ","'Adjustment' ",5
2010 ,"'Group L Social Studies' ","'Disability declared' ","'Main scheme Clearing' ",190
2010 ,"'Group L Social Studies' ","'Disability declared' ","'Direct Clearing' ",40
2010 ,"'Group L Social Studies' ","'Disability declared' ","'RPA' ",90
2010 ,"'Group L Social Studies' ","'No disability declared' ","'Firm choice' ",22235
2010 ,"'Group L Social Studies' ","'No disability declared' ","'Insurance choice' ",2660
2010 ,"'Group L Social Studies' ","'No disability declared' ","'Other main scheme choice' ",800
2010 ,"'Group L Social Studies' ","'No disability declared' ","'Extra' ",540
2010 ,"'Group L Social Studies' ","'No disability declared' ","'Adjustment' ",35
2010 ,"'Group L Social Studies' ","'No disability declared' ","'Main scheme Clearing' ",3175
2010 ,"'Group L Social Studies' ","'No disability declared' ","'Direct Clearing' ",495
2010 ,"'Group L Social Studies' ","'No disability declared' ","'RPA' ",1055
2010 ,"'Group M Law' ","'Disability declared' ","'Firm choice' ",510
2010 ,"'Group M Law' ","'Disability declared' ","'Insurance choice' ",65
2010 ,"'Group M Law' ","'Disability declared' ","'Other main scheme choice' ",35
2010 ,"'Group M Law' ","'Disability declared' ","'Extra' ",5
2010 ,"'Group M Law' ","'Disability declared' ","'Main scheme Clearing' ",65
2010 ,"'Group M Law' ","'Disability declared' ","'Direct Clearing' ",10
2010 ,"'Group M Law' ","'Disability declared' ","'RPA' ",35
2010 ,"'Group M Law' ","'No disability declared' ","'Firm choice' ",11595
2010 ,"'Group M Law' ","'No disability declared' ","'Insurance choice' ",2010
2010 ,"'Group M Law' ","'No disability declared' ","'Other main scheme choice' ",350
2010 ,"'Group M Law' ","'No disability declared' ","'Extra' ",245
2010 ,"'Group M Law' ","'No disability declared' ","'Adjustment' ",40
2010 ,"'Group M Law' ","'No disability declared' ","'Main scheme Clearing' ",2100
2010 ,"'Group M Law' ","'No disability declared' ","'Direct Clearing' ",380
2010 ,"'Group M Law' ","'No disability declared' ","'RPA' ",450
2010 ,"'Group N Business and Admin studies' ","'Disability declared' ","'Firm choice' ",1495
2010 ,"'Group N Business and Admin studies' ","'Disability declared' ","'Insurance choice' ",205
2010 ,"'Group N Business and Admin studies' ","'Disability declared' ","'Other main scheme choice' ",75
2010 ,"'Group N Business and Admin studies' ","'Disability declared' ","'Extra' ",25
2010 ,"'Group N Business and Admin studies' ","'Disability declared' ","'Adjustment' ",5
2010 ,"'Group N Business and Admin studies' ","'Disability declared' ","'Main scheme Clearing' ",160
2010 ,"'Group N Business and Admin studies' ","'Disability declared' ","'Direct Clearing' ",50
2010 ,"'Group N Business and Admin studies' ","'Disability declared' ","'RPA' ",110
2010 ,"'Group N Business and Admin studies' ","'No disability declared' ","'Firm choice' ",28280
2010 ,"'Group N Business and Admin studies' ","'No disability declared' ","'Insurance choice' ",4230
2010 ,"'Group N Business and Admin studies' ","'No disability declared' ","'Other main scheme choice' ",1085
2010 ,"'Group N Business and Admin studies' ","'No disability declared' ","'Extra' ",545
2010 ,"'Group N Business and Admin studies' ","'No disability declared' ","'Adjustment' ",35
2010 ,"'Group N Business and Admin studies' ","'No disability declared' ","'Main scheme Clearing' ",4655
2010 ,"'Group N Business and Admin studies' ","'No disability declared' ","'Direct Clearing' ",1145
2010 ,"'Group N Business and Admin studies' ","'No disability declared' ","'RPA' ",1985
2010 ,"'Group P Mass Communication and Documentation' ","'Disability declared' ","'Firm choice' ",445
2010 ,"'Group P Mass Communication and Documentation' ","'Disability declared' ","'Insurance choice' ",35
2010 ,"'Group P Mass Communication and Documentation' ","'Disability declared' ","'Other main scheme choice' ",20
2010 ,"'Group P Mass Communication and Documentation' ","'Disability declared' ","'Extra' ",5
2010 ,"'Group P Mass Communication and Documentation' ","'Disability declared' ","'Main scheme Clearing' ",70
2010 ,"'Group P Mass Communication and Documentation' ","'Disability declared' ","'Direct Clearing' ",10
2010 ,"'Group P Mass Communication and Documentation' ","'Disability declared' ","'RPA' ",15
2010 ,"'Group P Mass Communication and Documentation' ","'No disability declared' ","'Firm choice' ",7120
2010 ,"'Group P Mass Communication and Documentation' ","'No disability declared' ","'Insurance choice' ",665
2010 ,"'Group P Mass Communication and Documentation' ","'No disability declared' ","'Other main scheme choice' ",195
2010 ,"'Group P Mass Communication and Documentation' ","'No disability declared' ","'Extra' ",130
2010 ,"'Group P Mass Communication and Documentation' ","'No disability declared' ","'Adjustment' ",10
2010 ,"'Group P Mass Communication and Documentation' ","'No disability declared' ","'Main scheme Clearing' ",870
2010 ,"'Group P Mass Communication and Documentation' ","'No disability declared' ","'Direct Clearing' ",155
2010 ,"'Group P Mass Communication and Documentation' ","'No disability declared' ","'RPA' ",215
2010 ,"'Group Q Linguistics, Classics and related' ","'Disability declared' ","'Firm choice' ",475
2010 ,"'Group Q Linguistics, Classics and related' ","'Disability declared' ","'Insurance choice' ",50
2010 ,"'Group Q Linguistics, Classics and related' ","'Disability declared' ","'Other main scheme choice' ",10
2010 ,"'Group Q Linguistics, Classics and related' ","'Disability declared' ","'Extra' ",5
2010 ,"'Group Q Linguistics, Classics and related' ","'Disability declared' ","'Main scheme Clearing' ",40
2010 ,"'Group Q Linguistics, Classics and related' ","'Disability declared' ","'Direct Clearing' ",10
2010 ,"'Group Q Linguistics, Classics and related' ","'Disability declared' ","'RPA' ",15
2010 ,"'Group Q Linguistics, Classics and related' ","'No disability declared' ","'Firm choice' ",8885
2010 ,"'Group Q Linguistics, Classics and related' ","'No disability declared' ","'Insurance choice' ",1185
2010 ,"'Group Q Linguistics, Classics and related' ","'No disability declared' ","'Other main scheme choice' ",120
2010 ,"'Group Q Linguistics, Classics and related' ","'No disability declared' ","'Extra' ",145
2010 ,"'Group Q Linguistics, Classics and related' ","'No disability declared' ","'Adjustment' ",15
2010 ,"'Group Q Linguistics, Classics and related' ","'No disability declared' ","'Main scheme Clearing' ",710
2010 ,"'Group Q Linguistics, Classics and related' ","'No disability declared' ","'Direct Clearing' ",90
2010 ,"'Group Q Linguistics, Classics and related' ","'No disability declared' ","'RPA' ",110
2010 ,"'Group R European Languages, Literature and related' ","'Disability declared' ","'Firm choice' ",125
2010 ,"'Group R European Languages, Literature and related' ","'Disability declared' ","'Insurance choice' ",15
2010 ,"'Group R European Languages, Literature and related' ","'Disability declared' ","'Main scheme Clearing' ",20
2010 ,"'Group R European Languages, Literature and related' ","'No disability declared' ","'Firm choice' ",3315
2010 ,"'Group R European Languages, Literature and related' ","'No disability declared' ","'Insurance choice' ",395
2010 ,"'Group R European Languages, Literature and related' ","'No disability declared' ","'Other main scheme choice' ",25
2010 ,"'Group R European Languages, Literature and related' ","'No disability declared' ","'Extra' ",25
2010 ,"'Group R European Languages, Literature and related' ","'No disability declared' ","'Main scheme Clearing' ",270
2010 ,"'Group R European Languages, Literature and related' ","'No disability declared' ","'Direct Clearing' ",15
2010 ,"'Group R European Languages, Literature and related' ","'No disability declared' ","'RPA' ",20
2010 ,"'Group T Non-European Languages, Literature and related' ","'Disability declared' ","'Firm choice' ",65
2010 ,"'Group T Non-European Languages, Literature and related' ","'Disability declared' ","'Insurance choice' ",10
2010 ,"'Group T Non-European Languages, Literature and related' ","'Disability declared' ","'Other main scheme choice' ",5
2010 ,"'Group T Non-European Languages, Literature and related' ","'Disability declared' ","'Main scheme Clearing' ",10
2010 ,"'Group T Non-European Languages, Literature and related' ","'No disability declared' ","'Firm choice' ",955
2010 ,"'Group T Non-European Languages, Literature and related' ","'No disability declared' ","'Insurance choice' ",130
2010 ,"'Group T Non-European Languages, Literature and related' ","'No disability declared' ","'Other main scheme choice' ",20
2010 ,"'Group T Non-European Languages, Literature and related' ","'No disability declared' ","'Extra' ",10
2010 ,"'Group T Non-European Languages, Literature and related' ","'No disability declared' ","'Main scheme Clearing' ",80
2010 ,"'Group T Non-European Languages, Literature and related' ","'No disability declared' ","'Direct Clearing' ",5
2010 ,"'Group T Non-European Languages, Literature and related' ","'No disability declared' ","'RPA' ",5
2010 ,"'Group V History and Philosophical studies' ","'Disability declared' ","'Firm choice' ",850
2010 ,"'Group V History and Philosophical studies' ","'Disability declared' ","'Insurance choice' ",100
2010 ,"'Group V History and Philosophical studies' ","'Disability declared' ","'Other main scheme choice' ",15
2010 ,"'Group V History and Philosophical studies' ","'Disability declared' ","'Extra' ",15
2010 ,"'Group V History and Philosophical studies' ","'Disability declared' ","'Main scheme Clearing' ",75
2010 ,"'Group V History and Philosophical studies' ","'Disability declared' ","'Direct Clearing' ",15
2010 ,"'Group V History and Philosophical studies' ","'Disability declared' ","'RPA' ",20
2010 ,"'Group V History and Philosophical studies' ","'No disability declared' ","'Firm choice' ",10090
2010 ,"'Group V History and Philosophical studies' ","'No disability declared' ","'Insurance choice' ",1585
2010 ,"'Group V History and Philosophical studies' ","'No disability declared' ","'Other main scheme choice' ",120
2010 ,"'Group V History and Philosophical studies' ","'No disability declared' ","'Extra' ",110
2010 ,"'Group V History and Philosophical studies' ","'No disability declared' ","'Adjustment' ",15
2010 ,"'Group V History and Philosophical studies' ","'No disability declared' ","'Main scheme Clearing' ",895
2010 ,"'Group V History and Philosophical studies' ","'No disability declared' ","'Direct Clearing' ",105
2010 ,"'Group V History and Philosophical studies' ","'No disability declared' ","'RPA' ",120
2010 ,"'Group W Creative Arts and Design' ","'Disability declared' ","'Firm choice' ",3885
2010 ,"'Group W Creative Arts and Design' ","'Disability declared' ","'Insurance choice' ",80
2010 ,"'Group W Creative Arts and Design' ","'Disability declared' ","'Other main scheme choice' ",170
2010 ,"'Group W Creative Arts and Design' ","'Disability declared' ","'Extra' ",110
2010 ,"'Group W Creative Arts and Design' ","'Disability declared' ","'Main scheme Clearing' ",220
2010 ,"'Group W Creative Arts and Design' ","'Disability declared' ","'Direct Clearing' ",95
2010 ,"'Group W Creative Arts and Design' ","'Disability declared' ","'RPA' ",175
2010 ,"'Group W Creative Arts and Design' ","'No disability declared' ","'Firm choice' ",35405
2010 ,"'Group W Creative Arts and Design' ","'No disability declared' ","'Insurance choice' ",980
2010 ,"'Group W Creative Arts and Design' ","'No disability declared' ","'Other main scheme choice' ",1110
2010 ,"'Group W Creative Arts and Design' ","'No disability declared' ","'Extra' ",880
2010 ,"'Group W Creative Arts and Design' ","'No disability declared' ","'Adjustment' ",15
2010 ,"'Group W Creative Arts and Design' ","'No disability declared' ","'Main scheme Clearing' ",2210
2010 ,"'Group W Creative Arts and Design' ","'No disability declared' ","'Direct Clearing' ",625
2010 ,"'Group W Creative Arts and Design' ","'No disability declared' ","'RPA' ",1100
2010 ,"'Group X Education' ","'Disability declared' ","'Firm choice' ",690
2010 ,"'Group X Education' ","'Disability declared' ","'Insurance choice' ",30
2010 ,"'Group X Education' ","'Disability declared' ","'Other main scheme choice' ",45
2010 ,"'Group X Education' ","'Disability declared' ","'Extra' ",15
2010 ,"'Group X Education' ","'Disability declared' ","'Main scheme Clearing' ",40
2010 ,"'Group X Education' ","'Disability declared' ","'Direct Clearing' ",15
2010 ,"'Group X Education' ","'Disability declared' ","'RPA' ",40
2010 ,"'Group X Education' ","'No disability declared' ","'Firm choice' ",12010
2010 ,"'Group X Education' ","'No disability declared' ","'Insurance choice' ",585
2010 ,"'Group X Education' ","'No disability declared' ","'Other main scheme choice' ",405
2010 ,"'Group X Education' ","'No disability declared' ","'Extra' ",225
2010 ,"'Group X Education' ","'No disability declared' ","'Adjustment' ",5
2010 ,"'Group X Education' ","'No disability declared' ","'Main scheme Clearing' ",945
2010 ,"'Group X Education' ","'No disability declared' ","'Direct Clearing' ",255
2010 ,"'Group X Education' ","'No disability declared' ","'RPA' ",610
2010 ,"'Y Combined arts' ","'Disability declared' ","'Firm choice' ",610
2010 ,"'Y Combined arts' ","'Disability declared' ","'Insurance choice' ",45
2010 ,"'Y Combined arts' ","'Disability declared' ","'Other main scheme choice' ",15
2010 ,"'Y Combined arts' ","'Disability declared' ","'Extra' ",15
2010 ,"'Y Combined arts' ","'Disability declared' ","'Main scheme Clearing' ",55
2010 ,"'Y Combined arts' ","'Disability declared' ","'Direct Clearing' ",15
2010 ,"'Y Combined arts' ","'Disability declared' ","'RPA' ",20
2010 ,"'Y Combined arts' ","'No disability declared' ","'Firm choice' ",9185
2010 ,"'Y Combined arts' ","'No disability declared' ","'Insurance choice' ",965
2010 ,"'Y Combined arts' ","'No disability declared' ","'Other main scheme choice' ",145
2010 ,"'Y Combined arts' ","'No disability declared' ","'Extra' ",185
2010 ,"'Y Combined arts' ","'No disability declared' ","'Adjustment' ",10
2010 ,"'Y Combined arts' ","'No disability declared' ","'Main scheme Clearing' ",725
2010 ,"'Y Combined arts' ","'No disability declared' ","'Direct Clearing' ",170
2010 ,"'Y Combined arts' ","'No disability declared' ","'RPA' ",160
2010 ,"'Y Combined sciences' ","'Disability declared' ","'Firm choice' ",405
2010 ,"'Y Combined sciences' ","'Disability declared' ","'Insurance choice' ",35
2010 ,"'Y Combined sciences' ","'Disability declared' ","'Other main scheme choice' ",15
2010 ,"'Y Combined sciences' ","'Disability declared' ","'Extra' ",10
2010 ,"'Y Combined sciences' ","'Disability declared' ","'Main scheme Clearing' ",45
2010 ,"'Y Combined sciences' ","'Disability declared' ","'Direct Clearing' ",10
2010 ,"'Y Combined sciences' ","'Disability declared' ","'RPA' ",25
2010 ,"'Y Combined sciences' ","'No disability declared' ","'Firm choice' ",5015
2010 ,"'Y Combined sciences' ","'No disability declared' ","'Insurance choice' ",530
2010 ,"'Y Combined sciences' ","'No disability declared' ","'Other main scheme choice' ",165
2010 ,"'Y Combined sciences' ","'No disability declared' ","'Extra' ",160
2010 ,"'Y Combined sciences' ","'No disability declared' ","'Main scheme Clearing' ",845
2010 ,"'Y Combined sciences' ","'No disability declared' ","'Direct Clearing' ",140
2010 ,"'Y Combined sciences' ","'No disability declared' ","'RPA' ",230
2010 ,"'Y Combined social sciences' ","'Disability declared' ","'Firm choice' ",165
2010 ,"'Y Combined social sciences' ","'Disability declared' ","'Insurance choice' ",20
2010 ,"'Y Combined social sciences' ","'Disability declared' ","'Other main scheme choice' ",5
2010 ,"'Y Combined social sciences' ","'Disability declared' ","'Extra' ",5
2010 ,"'Y Combined social sciences' ","'Disability declared' ","'Main scheme Clearing' ",15
2010 ,"'Y Combined social sciences' ","'Disability declared' ","'Direct Clearing' ",5
2010 ,"'Y Combined social sciences' ","'No disability declared' ","'Firm choice' ",3105
2010 ,"'Y Combined social sciences' ","'No disability declared' ","'Insurance choice' ",520
2010 ,"'Y Combined social sciences' ","'No disability declared' ","'Other main scheme choice' ",85
2010 ,"'Y Combined social sciences' ","'No disability declared' ","'Extra' ",115
2010 ,"'Y Combined social sciences' ","'No disability declared' ","'Adjustment' ",5
