"Statistic:   Number of Applicants"
"Variables:   Acceptance Route , Applicant Domicile (UK / EU / Not EU) , Cycle Year"
"Coverage:   Applied before June deadline"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_009_06.pdf"
 
Cycle Year,Acceptance Route , Applicant Domicile (UK / EU / Not EU),Number of Applicants,
2006 ,"'Firm choice' ","'UK' ",257690
2012 ,"'Main scheme Clearing' ","'EU (excluding UK)' ",1390
2012 ,"'Main scheme Clearing' ","'Not EU' ",3015
2012 ,"'Unplaced' ","'UK' ",131250
2012 ,"'Unplaced' ","'EU (excluding UK)' ",19535
2012 ,"'Unplaced' ","'Not EU' ",30580
2013 ,"'Firm choice' ","'UK' ",320980
2013 ,"'Firm choice' ","'EU (excluding UK)' ",18695
2013 ,"'Firm choice' ","'Not EU' ",23575
2013 ,"'Insurance choice' ","'UK' ",27900
2013 ,"'Insurance choice' ","'EU (excluding UK)' ",1780
2013 ,"'Insurance choice' ","'Not EU' ",3170
2013 ,"'Other main scheme choice' ","'UK' ",10490
2013 ,"'Other main scheme choice' ","'EU (excluding UK)' ",1105
2013 ,"'Other main scheme choice' ","'Not EU' ",2685
2013 ,"'Extra' ","'UK' ",7040
2013 ,"'Extra' ","'EU (excluding UK)' ",365
2013 ,"'Extra' ","'Not EU' ",410
2013 ,"'Adjustment' ","'UK' ",1125
2013 ,"'Adjustment' ","'EU (excluding UK)' ",35
2013 ,"'Adjustment' ","'Not EU' ",60
2013 ,"'Main scheme Clearing' ","'UK' ",37975
2013 ,"'Main scheme Clearing' ","'EU (excluding UK)' ",1315
2013 ,"'Main scheme Clearing' ","'Not EU' ",2995
2013 ,"'Unplaced' ","'UK' ",122130
2013 ,"'Unplaced' ","'EU (excluding UK)' ",19975
2013 ,"'Unplaced' ","'Not EU' ",31970
2014 ,"'Firm choice' ","'UK' ",327350
2014 ,"'Firm choice' ","'EU (excluding UK)' ",20355
2014 ,"'Firm choice' ","'Not EU' ",24455
2014 ,"'Insurance choice' ","'UK' ",31405
2014 ,"'Insurance choice' ","'EU (excluding UK)' ",1920
2014 ,"'Insurance choice' ","'Not EU' ",3415
2014 ,"'Other main scheme choice' ","'UK' ",10285
2014 ,"'Other main scheme choice' ","'EU (excluding UK)' ",1075
2014 ,"'Other main scheme choice' ","'Not EU' ",2235
2014 ,"'Extra' ","'UK' ",6805
2014 ,"'Extra' ","'EU (excluding UK)' ",375
2014 ,"'Extra' ","'Not EU' ",435
2014 ,"'Adjustment' ","'UK' ",1045
2014 ,"'Adjustment' ","'EU (excluding UK)' ",35
2014 ,"'Adjustment' ","'Not EU' ",85
2014 ,"'Main scheme Clearing' ","'UK' ",42685
2014 ,"'Main scheme Clearing' ","'EU (excluding UK)' ",1490
2014 ,"'Main scheme Clearing' ","'Not EU' ",3335
2014 ,"'Unplaced' ","'UK' ",124945
2014 ,"'Unplaced' ","'EU (excluding UK)' ",20105
2014 ,"'Unplaced' ","'Not EU' ",35045
2015 ,"'Firm choice' ","'UK' ",335700
2015 ,"'Firm choice' ","'EU (excluding UK)' ",22515
2015 ,"'Firm choice' ","'Not EU' ",25915
2015 ,"'Insurance choice' ","'UK' ",33655
2015 ,"'Insurance choice' ","'EU (excluding UK)' ",2240
2015 ,"'Insurance choice' ","'Not EU' ",3595
2015 ,"'Other main scheme choice' ","'UK' ",10300
2015 ,"'Other main scheme choice' ","'EU (excluding UK)' ",1110
2015 ,"'Other main scheme choice' ","'Not EU' ",1965
2015 ,"'Extra' ","'UK' ",6670
2015 ,"'Extra' ","'EU (excluding UK)' ",420
2015 ,"'Extra' ","'Not EU' ",400
2015 ,"'Adjustment' ","'UK' ",1025
2015 ,"'Adjustment' ","'EU (excluding UK)' ",35
2015 ,"'Adjustment' ","'Not EU' ",70
2015 ,"'Main scheme Clearing' ","'UK' ",44425
2015 ,"'Main scheme Clearing' ","'EU (excluding UK)' ",1600
2015 ,"'Main scheme Clearing' ","'Not EU' ",3105
2015 ,"'Unplaced' ","'UK' ",121740
2015 ,"'Unplaced' ","'EU (excluding UK)' ",20975
2015 ,"'Unplaced' ","'Not EU' ",35425
2016 ,"'Firm choice' ","'UK' ",337055
2016 ,"'Firm choice' ","'EU (excluding UK)' ",24360
2016 ,"'Firm choice' ","'Not EU' ",24915
2016 ,"'Insurance choice' ","'UK' ",33595
2016 ,"'Insurance choice' ","'EU (excluding UK)' ",2275
2016 ,"'Insurance choice' ","'Not EU' ",3630
2016 ,"'Other main scheme choice' ","'UK' ",11300
2016 ,"'Other main scheme choice' ","'EU (excluding UK)' ",1245
2016 ,"'Other main scheme choice' ","'Not EU' ",1970
2016 ,"'Extra' ","'UK' ",6670
2016 ,"'Extra' ","'EU (excluding UK)' ",420
2016 ,"'Extra' ","'Not EU' ",400
2016 ,"'Adjustment' ","'UK' ",790
2016 ,"'Adjustment' ","'EU (excluding UK)' ",40
2016 ,"'Adjustment' ","'Not EU' ",65
2016 ,"'Main scheme Clearing' ","'UK' ",45210
2016 ,"'Main scheme Clearing' ","'EU (excluding UK)' ",1610
2016 ,"'Main scheme Clearing' ","'Not EU' ",3205
2016 ,"'Unplaced' ","'UK' ",119020
2016 ,"'Unplaced' ","'EU (excluding UK)' ",21870
2016 ,"'Unplaced' ","'Not EU' ",35070
