"Statistic:   Number of Applications"
"Variables:   Subject Group (Detailed Level) , Age Band , Sex , Cycle Year"
"Coverage:   Applications through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_026_03.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Age Band , Sex,Number of Applications,
2007 ,"'A1 - Pre-clinical Medicine' ","'17 and under' ","'Men' ",620
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'18' ","'Women' ",10810
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'19' ","'Men' ",1640
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'19' ","'Women' ",2900
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'20' ","'Men' ",500
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'20' ","'Women' ",985
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'21 and over' ","'Men' ",2550
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'21 and over' ","'Women' ",4335
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'17 and under' ","'Men' ",280
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'17 and under' ","'Women' ",565
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'18' ","'Men' ",5250
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'18' ","'Women' ",8185
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'19' ","'Men' ",3005
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'19' ","'Women' ",3600
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'20' ","'Men' ",850
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'20' ","'Women' ",1185
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'21 and over' ","'Men' ",2825
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'21 and over' ","'Women' ",3230
2007 ,"'B3 - Complementary Medicine' ","'17 and under' ","'Men' ",5
2007 ,"'B3 - Complementary Medicine' ","'17 and under' ","'Women' ",10
2007 ,"'B3 - Complementary Medicine' ","'18' ","'Men' ",125
2007 ,"'B3 - Complementary Medicine' ","'18' ","'Women' ",675
2007 ,"'B3 - Complementary Medicine' ","'19' ","'Men' ",70
2007 ,"'B3 - Complementary Medicine' ","'19' ","'Women' ",365
2007 ,"'B3 - Complementary Medicine' ","'20' ","'Men' ",65
2007 ,"'B3 - Complementary Medicine' ","'20' ","'Women' ",165
2007 ,"'B3 - Complementary Medicine' ","'21 and over' ","'Men' ",385
2007 ,"'B3 - Complementary Medicine' ","'21 and over' ","'Women' ",990
2007 ,"'B4 - Nutrition' ","'17 and under' ","'Men' ",5
2007 ,"'B4 - Nutrition' ","'17 and under' ","'Women' ",195
2007 ,"'B4 - Nutrition' ","'18' ","'Men' ",165
2007 ,"'B4 - Nutrition' ","'18' ","'Women' ",2630
2007 ,"'B4 - Nutrition' ","'19' ","'Men' ",90
2007 ,"'B4 - Nutrition' ","'19' ","'Women' ",805
2007 ,"'B4 - Nutrition' ","'20' ","'Men' ",55
2007 ,"'B4 - Nutrition' ","'20' ","'Women' ",370
2007 ,"'B4 - Nutrition' ","'21 and over' ","'Men' ",260
2007 ,"'B4 - Nutrition' ","'21 and over' ","'Women' ",1735
2007 ,"'B5 - Ophthalmics' ","'17 and under' ","'Men' ",15
2007 ,"'B5 - Ophthalmics' ","'17 and under' ","'Women' ",65
2007 ,"'B5 - Ophthalmics' ","'18' ","'Men' ",865
2007 ,"'B5 - Ophthalmics' ","'18' ","'Women' ",1910
2007 ,"'B5 - Ophthalmics' ","'19' ","'Men' ",435
2007 ,"'B5 - Ophthalmics' ","'19' ","'Women' ",610
2007 ,"'B5 - Ophthalmics' ","'20' ","'Men' ",90
2007 ,"'B5 - Ophthalmics' ","'20' ","'Women' ",175
2007 ,"'B5 - Ophthalmics' ","'21 and over' ","'Men' ",490
2007 ,"'B5 - Ophthalmics' ","'21 and over' ","'Women' ",770
2007 ,"'B6 - Aural and Oral Sciences' ","'17 and under' ","'Men' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'17 and under' ","'Women' ",70
2007 ,"'B6 - Aural and Oral Sciences' ","'18' ","'Men' ",265
2007 ,"'B6 - Aural and Oral Sciences' ","'18' ","'Women' ",3975
2007 ,"'B6 - Aural and Oral Sciences' ","'19' ","'Men' ",80
2007 ,"'B6 - Aural and Oral Sciences' ","'19' ","'Women' ",990
2007 ,"'B6 - Aural and Oral Sciences' ","'20' ","'Men' ",40
2007 ,"'B6 - Aural and Oral Sciences' ","'20' ","'Women' ",285
2007 ,"'B6 - Aural and Oral Sciences' ","'21 and over' ","'Men' ",160
2007 ,"'B6 - Aural and Oral Sciences' ","'21 and over' ","'Women' ",1490
2007 ,"'B7 - Nursing' ","'17 and under' ","'Men' ",10
2007 ,"'B7 - Nursing' ","'17 and under' ","'Women' ",265
2007 ,"'B7 - Nursing' ","'18' ","'Men' ",655
2007 ,"'B7 - Nursing' ","'18' ","'Women' ",23905
2007 ,"'B7 - Nursing' ","'19' ","'Men' ",440
2007 ,"'B7 - Nursing' ","'19' ","'Women' ",8145
2007 ,"'B7 - Nursing' ","'20' ","'Men' ",225
2007 ,"'B7 - Nursing' ","'20' ","'Women' ",3900
2007 ,"'B7 - Nursing' ","'21 and over' ","'Men' ",1995
2007 ,"'B7 - Nursing' ","'21 and over' ","'Women' ",18900
2007 ,"'B8 - Medical Technology' ","'17 and under' ","'Men' ",10
2007 ,"'B8 - Medical Technology' ","'17 and under' ","'Women' ",95
2007 ,"'B8 - Medical Technology' ","'18' ","'Men' ",905
2007 ,"'B8 - Medical Technology' ","'18' ","'Women' ",3320
2007 ,"'B8 - Medical Technology' ","'19' ","'Men' ",375
2007 ,"'B8 - Medical Technology' ","'19' ","'Women' ",1130
2007 ,"'B8 - Medical Technology' ","'20' ","'Men' ",220
2007 ,"'B8 - Medical Technology' ","'20' ","'Women' ",435
2007 ,"'B8 - Medical Technology' ","'21 and over' ","'Men' ",1590
2007 ,"'B8 - Medical Technology' ","'21 and over' ","'Women' ",2300
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'17 and under' ","'Men' ",135
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'17 and under' ","'Women' ",380
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'18' ","'Men' ",5075
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'18' ","'Women' ",13455
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'19' ","'Men' ",2220
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'19' ","'Women' ",4545
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'20' ","'Men' ",900
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'20' ","'Women' ",1690
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'21 and over' ","'Men' ",2700
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'21 and over' ","'Women' ",6220
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'17 and under' ","'Men' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'17 and under' ","'Women' ",10
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'18' ","'Men' ",190
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'18' ","'Women' ",430
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'19' ","'Men' ",105
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'19' ","'Women' ",180
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'20' ","'Men' ",45
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'20' ","'Women' ",95
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'21 and over' ","'Men' ",80
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'21 and over' ","'Women' ",180
2007 ,"'C0 - Biological Sciences: any area of study' ","'17 and under' ","'Women' ",5
2007 ,"'C0 - Biological Sciences: any area of study' ","'18' ","'Men' ",20
2007 ,"'C0 - Biological Sciences: any area of study' ","'18' ","'Women' ",45
2007 ,"'C0 - Biological Sciences: any area of study' ","'19' ","'Men' ",5
2007 ,"'C0 - Biological Sciences: any area of study' ","'19' ","'Women' ",10
2007 ,"'C0 - Biological Sciences: any area of study' ","'21 and over' ","'Men' ",5
2007 ,"'C1 - Biology' ","'17 and under' ","'Men' ",150
2007 ,"'C1 - Biology' ","'17 and under' ","'Women' ",380
2007 ,"'C1 - Biology' ","'18' ","'Men' ",7060
2007 ,"'C1 - Biology' ","'18' ","'Women' ",10540
2007 ,"'C1 - Biology' ","'19' ","'Men' ",1600
2007 ,"'C1 - Biology' ","'19' ","'Women' ",2265
2007 ,"'C1 - Biology' ","'20' ","'Men' ",470
2007 ,"'C1 - Biology' ","'20' ","'Women' ",570
2007 ,"'C1 - Biology' ","'21 and over' ","'Men' ",890
2007 ,"'C1 - Biology' ","'21 and over' ","'Women' ",1170
2007 ,"'C2 - Botany' ","'18' ","'Men' ",30
2007 ,"'C2 - Botany' ","'18' ","'Women' ",35
2007 ,"'C2 - Botany' ","'19' ","'Men' ",15
2007 ,"'C2 - Botany' ","'19' ","'Women' ",10
2007 ,"'C2 - Botany' ","'20' ","'Men' ",10
2007 ,"'C2 - Botany' ","'21 and over' ","'Men' ",15
2007 ,"'C2 - Botany' ","'21 and over' ","'Women' ",15
2007 ,"'C3 - Zoology' ","'17 and under' ","'Men' ",20
2007 ,"'C3 - Zoology' ","'17 and under' ","'Women' ",75
2007 ,"'C3 - Zoology' ","'18' ","'Men' ",1650
2007 ,"'C3 - Zoology' ","'18' ","'Women' ",2820
2007 ,"'C3 - Zoology' ","'19' ","'Men' ",390
2007 ,"'C3 - Zoology' ","'19' ","'Women' ",720
2007 ,"'C3 - Zoology' ","'20' ","'Men' ",80
2007 ,"'C3 - Zoology' ","'20' ","'Women' ",215
2007 ,"'C3 - Zoology' ","'21 and over' ","'Men' ",240
2007 ,"'C3 - Zoology' ","'21 and over' ","'Women' ",380
2007 ,"'C4 - Genetics' ","'17 and under' ","'Men' ",45
2007 ,"'C4 - Genetics' ","'17 and under' ","'Women' ",90
2007 ,"'C4 - Genetics' ","'18' ","'Men' ",635
2007 ,"'C4 - Genetics' ","'18' ","'Women' ",880
2007 ,"'C4 - Genetics' ","'19' ","'Men' ",175
2007 ,"'C4 - Genetics' ","'19' ","'Women' ",265
2007 ,"'C4 - Genetics' ","'20' ","'Men' ",50
2007 ,"'C4 - Genetics' ","'20' ","'Women' ",75
2007 ,"'C4 - Genetics' ","'21 and over' ","'Men' ",105
2007 ,"'C4 - Genetics' ","'21 and over' ","'Women' ",135
2007 ,"'C5 - Microbiology' ","'17 and under' ","'Men' ",25
2007 ,"'C5 - Microbiology' ","'17 and under' ","'Women' ",55
2007 ,"'C5 - Microbiology' ","'18' ","'Men' ",635
2007 ,"'C5 - Microbiology' ","'18' ","'Women' ",730
2007 ,"'C5 - Microbiology' ","'19' ","'Men' ",165
2007 ,"'C5 - Microbiology' ","'19' ","'Women' ",190
2007 ,"'C5 - Microbiology' ","'20' ","'Men' ",55
2007 ,"'C5 - Microbiology' ","'20' ","'Women' ",75
2007 ,"'C5 - Microbiology' ","'21 and over' ","'Men' ",160
2007 ,"'C5 - Microbiology' ","'21 and over' ","'Women' ",225
2007 ,"'C6 - Sport and Exercise Science' ","'17 and under' ","'Men' ",150
2007 ,"'C6 - Sport and Exercise Science' ","'17 and under' ","'Women' ",80
2007 ,"'C6 - Sport and Exercise Science' ","'18' ","'Men' ",20790
2007 ,"'C6 - Sport and Exercise Science' ","'18' ","'Women' ",12280
2007 ,"'C6 - Sport and Exercise Science' ","'19' ","'Men' ",6745
2007 ,"'C6 - Sport and Exercise Science' ","'19' ","'Women' ",2765
2007 ,"'C6 - Sport and Exercise Science' ","'20' ","'Men' ",2295
2007 ,"'C6 - Sport and Exercise Science' ","'20' ","'Women' ",830
2007 ,"'C6 - Sport and Exercise Science' ","'21 and over' ","'Men' ",2835
2007 ,"'C6 - Sport and Exercise Science' ","'21 and over' ","'Women' ",1135
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'17 and under' ","'Men' ",190
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'17 and under' ","'Women' ",230
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'18' ","'Men' ",4115
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'18' ","'Women' ",4905
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'19' ","'Men' ",1140
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'19' ","'Women' ",1255
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'20' ","'Men' ",310
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'20' ","'Women' ",355
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'21 and over' ","'Men' ",490
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'21 and over' ","'Women' ",500
2007 ,"'C8 - Psychology' ","'17 and under' ","'Men' ",100
2007 ,"'C8 - Psychology' ","'17 and under' ","'Women' ",850
2007 ,"'C8 - Psychology' ","'18' ","'Men' ",8930
2007 ,"'C8 - Psychology' ","'18' ","'Women' ",43570
2007 ,"'C8 - Psychology' ","'19' ","'Men' ",2780
2007 ,"'C8 - Psychology' ","'19' ","'Women' ",9900
2007 ,"'C8 - Psychology' ","'20' ","'Men' ",915
2007 ,"'C8 - Psychology' ","'20' ","'Women' ",3045
2007 ,"'C8 - Psychology' ","'21 and over' ","'Men' ",2920
2007 ,"'C8 - Psychology' ","'21 and over' ","'Women' ",7270
2007 ,"'C9 - Others in Biological Sciences' ","'17 and under' ","'Men' ",15
2007 ,"'C9 - Others in Biological Sciences' ","'17 and under' ","'Women' ",50
2007 ,"'C9 - Others in Biological Sciences' ","'18' ","'Men' ",650
2007 ,"'C9 - Others in Biological Sciences' ","'18' ","'Women' ",1050
2007 ,"'C9 - Others in Biological Sciences' ","'19' ","'Men' ",260
2007 ,"'C9 - Others in Biological Sciences' ","'19' ","'Women' ",365
2007 ,"'C9 - Others in Biological Sciences' ","'20' ","'Men' ",90
2007 ,"'C9 - Others in Biological Sciences' ","'20' ","'Women' ",100
2007 ,"'C9 - Others in Biological Sciences' ","'21 and over' ","'Men' ",180
2007 ,"'C9 - Others in Biological Sciences' ","'21 and over' ","'Women' ",235
2007 ,"'CC - Combinations within Biological Sciences' ","'17 and under' ","'Men' ",35
2007 ,"'CC - Combinations within Biological Sciences' ","'17 and under' ","'Women' ",40
2007 ,"'CC - Combinations within Biological Sciences' ","'18' ","'Men' ",1290
2007 ,"'CC - Combinations within Biological Sciences' ","'18' ","'Women' ",1550
2007 ,"'CC - Combinations within Biological Sciences' ","'19' ","'Men' ",320
2007 ,"'CC - Combinations within Biological Sciences' ","'19' ","'Women' ",365
2007 ,"'CC - Combinations within Biological Sciences' ","'20' ","'Men' ",115
2007 ,"'CC - Combinations within Biological Sciences' ","'20' ","'Women' ",110
2007 ,"'CC - Combinations within Biological Sciences' ","'21 and over' ","'Men' ",180
2007 ,"'CC - Combinations within Biological Sciences' ","'21 and over' ","'Women' ",185
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'17 and under' ","'Men' ",20
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'17 and under' ","'Women' ",125
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'18' ","'Men' ",845
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'18' ","'Women' ",3130
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'19' ","'Men' ",120
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'19' ","'Women' ",585
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'20' ","'Men' ",40
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'20' ","'Women' ",120
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'21 and over' ","'Men' ",300
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'21 and over' ","'Women' ",1145
2007 ,"'D3 - Animal Science' ","'17 and under' ","'Men' ",10
2007 ,"'D3 - Animal Science' ","'17 and under' ","'Women' ",35
2007 ,"'D3 - Animal Science' ","'18' ","'Men' ",455
2007 ,"'D3 - Animal Science' ","'18' ","'Women' ",3070
2007 ,"'D3 - Animal Science' ","'19' ","'Men' ",150
2007 ,"'D3 - Animal Science' ","'19' ","'Women' ",945
2007 ,"'D3 - Animal Science' ","'20' ","'Men' ",85
2007 ,"'D3 - Animal Science' ","'20' ","'Women' ",370
2007 ,"'D3 - Animal Science' ","'21 and over' ","'Men' ",135
2007 ,"'D3 - Animal Science' ","'21 and over' ","'Women' ",675
2007 ,"'D4 - Agriculture' ","'17 and under' ","'Men' ",50
2007 ,"'D4 - Agriculture' ","'17 and under' ","'Women' ",40
2007 ,"'D4 - Agriculture' ","'18' ","'Men' ",1095
2007 ,"'D4 - Agriculture' ","'18' ","'Women' ",1225
2007 ,"'D4 - Agriculture' ","'19' ","'Men' ",315
2007 ,"'D4 - Agriculture' ","'19' ","'Women' ",390
2007 ,"'D4 - Agriculture' ","'20' ","'Men' ",145
2007 ,"'D4 - Agriculture' ","'20' ","'Women' ",155
2007 ,"'D4 - Agriculture' ","'21 and over' ","'Men' ",340
2007 ,"'D4 - Agriculture' ","'21 and over' ","'Women' ",405
2007 ,"'D5 - Forestry & arboriculture' ","'18' ","'Men' ",80
2007 ,"'D5 - Forestry & arboriculture' ","'18' ","'Women' ",10
2007 ,"'D5 - Forestry & arboriculture' ","'19' ","'Men' ",25
2007 ,"'D5 - Forestry & arboriculture' ","'20' ","'Men' ",15
2007 ,"'D5 - Forestry & arboriculture' ","'21 and over' ","'Men' ",85
2007 ,"'D5 - Forestry & arboriculture' ","'21 and over' ","'Women' ",10
2007 ,"'D6 - Food and Beverage studies' ","'17 and under' ","'Men' ",5
2007 ,"'D6 - Food and Beverage studies' ","'17 and under' ","'Women' ",30
2007 ,"'D6 - Food and Beverage studies' ","'18' ","'Men' ",125
2007 ,"'D6 - Food and Beverage studies' ","'18' ","'Women' ",460
2007 ,"'D6 - Food and Beverage studies' ","'19' ","'Men' ",45
2007 ,"'D6 - Food and Beverage studies' ","'19' ","'Women' ",95
2007 ,"'D6 - Food and Beverage studies' ","'20' ","'Men' ",25
2007 ,"'D6 - Food and Beverage studies' ","'20' ","'Women' ",50
2007 ,"'D6 - Food and Beverage studies' ","'21 and over' ","'Men' ",120
2007 ,"'D6 - Food and Beverage studies' ","'21 and over' ","'Women' ",95
2007 ,"'D7 - Agricultural Sciences' ","'18' ","'Men' ",30
2007 ,"'D7 - Agricultural Sciences' ","'18' ","'Women' ",50
2007 ,"'D7 - Agricultural Sciences' ","'19' ","'Men' ",10
2007 ,"'D7 - Agricultural Sciences' ","'19' ","'Women' ",20
2007 ,"'D7 - Agricultural Sciences' ","'20' ","'Women' ",5
2007 ,"'D7 - Agricultural Sciences' ","'21 and over' ","'Men' ",10
2007 ,"'D7 - Agricultural Sciences' ","'21 and over' ","'Women' ",20
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'18' ","'Men' ",25
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'18' ","'Women' ",105
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'19' ","'Men' ",5
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'19' ","'Women' ",25
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'20' ","'Women' ",5
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'21 and over' ","'Women' ",5
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'18' ","'Men' ",25
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'18' ","'Women' ",115
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'19' ","'Men' ",15
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'19' ","'Women' ",50
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'20' ","'Men' ",5
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'20' ","'Women' ",25
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'21 and over' ","'Men' ",20
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'21 and over' ","'Women' ",35
2007 ,"'F0 - Physical Sciences: any area of study' ","'17 and under' ","'Men' ",10
2007 ,"'F0 - Physical Sciences: any area of study' ","'17 and under' ","'Women' ",5
2007 ,"'F0 - Physical Sciences: any area of study' ","'18' ","'Men' ",70
2007 ,"'F0 - Physical Sciences: any area of study' ","'18' ","'Women' ",60
2007 ,"'F0 - Physical Sciences: any area of study' ","'19' ","'Men' ",30
2007 ,"'F0 - Physical Sciences: any area of study' ","'19' ","'Women' ",15
2007 ,"'F0 - Physical Sciences: any area of study' ","'20' ","'Men' ",15
2007 ,"'F0 - Physical Sciences: any area of study' ","'20' ","'Women' ",10
2007 ,"'F0 - Physical Sciences: any area of study' ","'21 and over' ","'Men' ",40
2007 ,"'F0 - Physical Sciences: any area of study' ","'21 and over' ","'Women' ",20
2007 ,"'F1 - Chemistry' ","'17 and under' ","'Men' ",225
2007 ,"'F1 - Chemistry' ","'17 and under' ","'Women' ",160
2007 ,"'F1 - Chemistry' ","'18' ","'Men' ",9465
2007 ,"'F1 - Chemistry' ","'18' ","'Women' ",6075
2007 ,"'F1 - Chemistry' ","'19' ","'Men' ",1730
2007 ,"'F1 - Chemistry' ","'19' ","'Women' ",1115
2007 ,"'F1 - Chemistry' ","'20' ","'Men' ",370
2007 ,"'F1 - Chemistry' ","'20' ","'Women' ",290
2007 ,"'F1 - Chemistry' ","'21 and over' ","'Men' ",545
2007 ,"'F1 - Chemistry' ","'21 and over' ","'Women' ",490
2007 ,"'F2 - Materials Science' ","'18' ","'Men' ",20
2007 ,"'F2 - Materials Science' ","'18' ","'Women' ",10
2007 ,"'F2 - Materials Science' ","'19' ","'Women' ",5
2007 ,"'F2 - Materials Science' ","'20' ","'Men' ",5
2007 ,"'F3 - Physics' ","'17 and under' ","'Men' ",315
2007 ,"'F3 - Physics' ","'17 and under' ","'Women' ",115
2007 ,"'F3 - Physics' ","'18' ","'Men' ",11565
2007 ,"'F3 - Physics' ","'18' ","'Women' ",2640
2007 ,"'F3 - Physics' ","'19' ","'Men' ",1715
2007 ,"'F3 - Physics' ","'19' ","'Women' ",460
2007 ,"'F3 - Physics' ","'20' ","'Men' ",390
2007 ,"'F3 - Physics' ","'20' ","'Women' ",105
2007 ,"'F3 - Physics' ","'21 and over' ","'Men' ",760
2007 ,"'F3 - Physics' ","'21 and over' ","'Women' ",165
2007 ,"'F4 - Forensic and Archaeological Science' ","'17 and under' ","'Men' ",30
2007 ,"'F4 - Forensic and Archaeological Science' ","'17 and under' ","'Women' ",65
2007 ,"'F4 - Forensic and Archaeological Science' ","'18' ","'Men' ",1910
2007 ,"'F4 - Forensic and Archaeological Science' ","'18' ","'Women' ",3090
2007 ,"'F4 - Forensic and Archaeological Science' ","'19' ","'Men' ",600
2007 ,"'F4 - Forensic and Archaeological Science' ","'19' ","'Women' ",875
2007 ,"'F4 - Forensic and Archaeological Science' ","'20' ","'Men' ",180
2007 ,"'F4 - Forensic and Archaeological Science' ","'20' ","'Women' ",325
2007 ,"'F4 - Forensic and Archaeological Science' ","'21 and over' ","'Men' ",325
2007 ,"'F4 - Forensic and Archaeological Science' ","'21 and over' ","'Women' ",860
2007 ,"'F5 - Astronomy' ","'17 and under' ","'Men' ",15
2007 ,"'F5 - Astronomy' ","'17 and under' ","'Women' ",10
2007 ,"'F5 - Astronomy' ","'18' ","'Men' ",360
2007 ,"'F5 - Astronomy' ","'18' ","'Women' ",115
2007 ,"'F5 - Astronomy' ","'19' ","'Men' ",80
2007 ,"'F5 - Astronomy' ","'19' ","'Women' ",40
2007 ,"'F5 - Astronomy' ","'20' ","'Men' ",15
2007 ,"'F5 - Astronomy' ","'20' ","'Women' ",10
2007 ,"'F5 - Astronomy' ","'21 and over' ","'Men' ",35
2007 ,"'F5 - Astronomy' ","'21 and over' ","'Women' ",20
2007 ,"'F6 - Geology' ","'17 and under' ","'Men' ",25
2007 ,"'F6 - Geology' ","'17 and under' ","'Women' ",55
2007 ,"'F6 - Geology' ","'18' ","'Men' ",3250
2007 ,"'F6 - Geology' ","'18' ","'Women' ",1825
2007 ,"'F6 - Geology' ","'19' ","'Men' ",600
2007 ,"'F6 - Geology' ","'19' ","'Women' ",320
2007 ,"'F6 - Geology' ","'20' ","'Men' ",140
2007 ,"'F6 - Geology' ","'20' ","'Women' ",90
2007 ,"'F6 - Geology' ","'21 and over' ","'Men' ",300
2007 ,"'F6 - Geology' ","'21 and over' ","'Women' ",180
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'17 and under' ","'Men' ",60
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'17 and under' ","'Women' ",45
