"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Applicant Domicile (UK / EU / Not EU) , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_011_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Applicant Domicile (UK / EU / Not EU) , Acceptance Route,Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'UK' ","'Firm choice' ",7625
2007 ,"'Group C Biological Sciences' ","'EU (excluding UK)' ","'Direct Clearing' ",30
2007 ,"'Group C Biological Sciences' ","'EU (excluding UK)' ","'RPA' ",60
2007 ,"'Group C Biological Sciences' ","'Not EU' ","'Firm choice' ",675
2007 ,"'Group C Biological Sciences' ","'Not EU' ","'Insurance choice' ",80
2007 ,"'Group C Biological Sciences' ","'Not EU' ","'Other main scheme choice' ",105
2007 ,"'Group C Biological Sciences' ","'Not EU' ","'Extra' ",15
2007 ,"'Group C Biological Sciences' ","'Not EU' ","'Main scheme Clearing' ",90
2007 ,"'Group C Biological Sciences' ","'Not EU' ","'Direct Clearing' ",20
2007 ,"'Group C Biological Sciences' ","'Not EU' ","'RPA' ",80
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'UK' ","'Firm choice' ",2930
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'UK' ","'Insurance choice' ",125
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'UK' ","'Other main scheme choice' ",200
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'UK' ","'Extra' ",20
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'UK' ","'Main scheme Clearing' ",195
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'UK' ","'Direct Clearing' ",220
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'UK' ","'RPA' ",270
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'EU (excluding UK)' ","'Firm choice' ",100
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'EU (excluding UK)' ","'Insurance choice' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'EU (excluding UK)' ","'Other main scheme choice' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'EU (excluding UK)' ","'Main scheme Clearing' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'EU (excluding UK)' ","'Direct Clearing' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'EU (excluding UK)' ","'RPA' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Not EU' ","'Firm choice' ",90
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Not EU' ","'Insurance choice' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Not EU' ","'Other main scheme choice' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Not EU' ","'Main scheme Clearing' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Not EU' ","'Direct Clearing' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Not EU' ","'RPA' ",95
2007 ,"'Group F Physical Sciences' ","'UK' ","'Firm choice' ",11235
2007 ,"'Group F Physical Sciences' ","'UK' ","'Insurance choice' ",1120
2007 ,"'Group F Physical Sciences' ","'UK' ","'Other main scheme choice' ",255
2007 ,"'Group F Physical Sciences' ","'UK' ","'Extra' ",90
2007 ,"'Group F Physical Sciences' ","'UK' ","'Main scheme Clearing' ",910
2007 ,"'Group F Physical Sciences' ","'UK' ","'Direct Clearing' ",225
2007 ,"'Group F Physical Sciences' ","'UK' ","'RPA' ",410
2007 ,"'Group F Physical Sciences' ","'EU (excluding UK)' ","'Firm choice' ",435
2007 ,"'Group F Physical Sciences' ","'EU (excluding UK)' ","'Insurance choice' ",25
2007 ,"'Group F Physical Sciences' ","'EU (excluding UK)' ","'Other main scheme choice' ",50
2007 ,"'Group F Physical Sciences' ","'EU (excluding UK)' ","'Main scheme Clearing' ",20
2007 ,"'Group F Physical Sciences' ","'EU (excluding UK)' ","'Direct Clearing' ",15
2007 ,"'Group F Physical Sciences' ","'EU (excluding UK)' ","'RPA' ",35
2007 ,"'Group F Physical Sciences' ","'Not EU' ","'Firm choice' ",410
2007 ,"'Group F Physical Sciences' ","'Not EU' ","'Insurance choice' ",40
2007 ,"'Group F Physical Sciences' ","'Not EU' ","'Other main scheme choice' ",65
2007 ,"'Group F Physical Sciences' ","'Not EU' ","'Extra' ",5
2007 ,"'Group F Physical Sciences' ","'Not EU' ","'Main scheme Clearing' ",45
2007 ,"'Group F Physical Sciences' ","'Not EU' ","'Direct Clearing' ",15
2007 ,"'Group F Physical Sciences' ","'Not EU' ","'RPA' ",65
2007 ,"'Group G Mathematical Sciences' ","'UK' ","'Firm choice' ",3555
2007 ,"'Group G Mathematical Sciences' ","'UK' ","'Insurance choice' ",695
2007 ,"'Group G Mathematical Sciences' ","'UK' ","'Other main scheme choice' ",70
2007 ,"'Group G Mathematical Sciences' ","'UK' ","'Extra' ",45
2007 ,"'Group G Mathematical Sciences' ","'UK' ","'Main scheme Clearing' ",340
2007 ,"'Group G Mathematical Sciences' ","'UK' ","'Direct Clearing' ",70
2007 ,"'Group G Mathematical Sciences' ","'UK' ","'RPA' ",90
2007 ,"'Group G Mathematical Sciences' ","'EU (excluding UK)' ","'Firm choice' ",225
2007 ,"'Group G Mathematical Sciences' ","'EU (excluding UK)' ","'Insurance choice' ",15
2007 ,"'Group G Mathematical Sciences' ","'EU (excluding UK)' ","'Other main scheme choice' ",15
2007 ,"'Group G Mathematical Sciences' ","'EU (excluding UK)' ","'Main scheme Clearing' ",10
2007 ,"'Group G Mathematical Sciences' ","'EU (excluding UK)' ","'RPA' ",10
2007 ,"'Group G Mathematical Sciences' ","'Not EU' ","'Firm choice' ",430
2007 ,"'Group G Mathematical Sciences' ","'Not EU' ","'Insurance choice' ",75
2007 ,"'Group G Mathematical Sciences' ","'Not EU' ","'Other main scheme choice' ",35
2007 ,"'Group G Mathematical Sciences' ","'Not EU' ","'Extra' ",5
2007 ,"'Group G Mathematical Sciences' ","'Not EU' ","'Main scheme Clearing' ",60
2007 ,"'Group G Mathematical Sciences' ","'Not EU' ","'Direct Clearing' ",15
2007 ,"'Group G Mathematical Sciences' ","'Not EU' ","'RPA' ",60
2007 ,"'Group H Engineering' ","'UK' ","'Firm choice' ",10285
2007 ,"'Group H Engineering' ","'UK' ","'Insurance choice' ",1180
2007 ,"'Group H Engineering' ","'UK' ","'Other main scheme choice' ",575
2007 ,"'Group H Engineering' ","'UK' ","'Extra' ",90
2007 ,"'Group H Engineering' ","'UK' ","'Main scheme Clearing' ",1105
2007 ,"'Group H Engineering' ","'UK' ","'Direct Clearing' ",415
2007 ,"'Group H Engineering' ","'UK' ","'RPA' ",955
2007 ,"'Group H Engineering' ","'EU (excluding UK)' ","'Firm choice' ",1205
2007 ,"'Group H Engineering' ","'EU (excluding UK)' ","'Insurance choice' ",120
2007 ,"'Group H Engineering' ","'EU (excluding UK)' ","'Other main scheme choice' ",220
2007 ,"'Group H Engineering' ","'EU (excluding UK)' ","'Extra' ",15
2007 ,"'Group H Engineering' ","'EU (excluding UK)' ","'Main scheme Clearing' ",90
2007 ,"'Group H Engineering' ","'EU (excluding UK)' ","'Direct Clearing' ",75
2007 ,"'Group H Engineering' ","'EU (excluding UK)' ","'RPA' ",205
2007 ,"'Group H Engineering' ","'Not EU' ","'Firm choice' ",2230
2007 ,"'Group H Engineering' ","'Not EU' ","'Insurance choice' ",295
2007 ,"'Group H Engineering' ","'Not EU' ","'Other main scheme choice' ",685
2007 ,"'Group H Engineering' ","'Not EU' ","'Extra' ",25
2007 ,"'Group H Engineering' ","'Not EU' ","'Main scheme Clearing' ",300
2007 ,"'Group H Engineering' ","'Not EU' ","'Direct Clearing' ",70
2007 ,"'Group H Engineering' ","'Not EU' ","'RPA' ",965
2007 ,"'Group I Computer Sciences' ","'UK' ","'Firm choice' ",10075
2007 ,"'Group I Computer Sciences' ","'UK' ","'Insurance choice' ",820
2007 ,"'Group I Computer Sciences' ","'UK' ","'Other main scheme choice' ",685
2007 ,"'Group I Computer Sciences' ","'UK' ","'Extra' ",80
2007 ,"'Group I Computer Sciences' ","'UK' ","'Main scheme Clearing' ",1200
2007 ,"'Group I Computer Sciences' ","'UK' ","'Direct Clearing' ",600
2007 ,"'Group I Computer Sciences' ","'UK' ","'RPA' ",1755
2007 ,"'Group I Computer Sciences' ","'EU (excluding UK)' ","'Firm choice' ",520
2007 ,"'Group I Computer Sciences' ","'EU (excluding UK)' ","'Insurance choice' ",35
2007 ,"'Group I Computer Sciences' ","'EU (excluding UK)' ","'Other main scheme choice' ",100
2007 ,"'Group I Computer Sciences' ","'EU (excluding UK)' ","'Extra' ",5
2007 ,"'Group I Computer Sciences' ","'EU (excluding UK)' ","'Main scheme Clearing' ",30
2007 ,"'Group I Computer Sciences' ","'EU (excluding UK)' ","'Direct Clearing' ",30
2007 ,"'Group I Computer Sciences' ","'EU (excluding UK)' ","'RPA' ",50
2007 ,"'Group I Computer Sciences' ","'Not EU' ","'Firm choice' ",535
2007 ,"'Group I Computer Sciences' ","'Not EU' ","'Insurance choice' ",60
2007 ,"'Group I Computer Sciences' ","'Not EU' ","'Other main scheme choice' ",250
2007 ,"'Group I Computer Sciences' ","'Not EU' ","'Extra' ",10
2007 ,"'Group I Computer Sciences' ","'Not EU' ","'Main scheme Clearing' ",125
2007 ,"'Group I Computer Sciences' ","'Not EU' ","'Direct Clearing' ",35
2007 ,"'Group I Computer Sciences' ","'Not EU' ","'RPA' ",285
2007 ,"'Group J Technologies' ","'UK' ","'Firm choice' ",1615
2007 ,"'Group J Technologies' ","'UK' ","'Insurance choice' ",75
2007 ,"'Group J Technologies' ","'UK' ","'Other main scheme choice' ",125
2007 ,"'Group J Technologies' ","'UK' ","'Extra' ",15
2007 ,"'Group J Technologies' ","'UK' ","'Main scheme Clearing' ",115
2007 ,"'Group J Technologies' ","'UK' ","'Direct Clearing' ",65
2007 ,"'Group J Technologies' ","'UK' ","'RPA' ",205
2007 ,"'Group J Technologies' ","'EU (excluding UK)' ","'Firm choice' ",95
2007 ,"'Group J Technologies' ","'EU (excluding UK)' ","'Insurance choice' ",5
2007 ,"'Group J Technologies' ","'EU (excluding UK)' ","'Other main scheme choice' ",10
2007 ,"'Group J Technologies' ","'EU (excluding UK)' ","'Main scheme Clearing' ",5
2007 ,"'Group J Technologies' ","'EU (excluding UK)' ","'Direct Clearing' ",5
2007 ,"'Group J Technologies' ","'EU (excluding UK)' ","'RPA' ",10
2007 ,"'Group J Technologies' ","'Not EU' ","'Firm choice' ",110
2007 ,"'Group J Technologies' ","'Not EU' ","'Insurance choice' ",15
2007 ,"'Group J Technologies' ","'Not EU' ","'Other main scheme choice' ",30
2007 ,"'Group J Technologies' ","'Not EU' ","'Main scheme Clearing' ",15
2007 ,"'Group J Technologies' ","'Not EU' ","'Direct Clearing' ",5
2007 ,"'Group J Technologies' ","'Not EU' ","'RPA' ",75
2007 ,"'Group K Architecture, Building and Planning' ","'UK' ","'Firm choice' ",5600
2007 ,"'Group K Architecture, Building and Planning' ","'UK' ","'Insurance choice' ",580
2007 ,"'Group K Architecture, Building and Planning' ","'UK' ","'Other main scheme choice' ",335
2007 ,"'Group K Architecture, Building and Planning' ","'UK' ","'Extra' ",65
2007 ,"'Group K Architecture, Building and Planning' ","'UK' ","'Main scheme Clearing' ",540
2007 ,"'Group K Architecture, Building and Planning' ","'UK' ","'Direct Clearing' ",200
2007 ,"'Group K Architecture, Building and Planning' ","'UK' ","'RPA' ",605
2007 ,"'Group K Architecture, Building and Planning' ","'EU (excluding UK)' ","'Firm choice' ",520
2007 ,"'Group K Architecture, Building and Planning' ","'EU (excluding UK)' ","'Insurance choice' ",40
2007 ,"'Group K Architecture, Building and Planning' ","'EU (excluding UK)' ","'Other main scheme choice' ",70
2007 ,"'Group K Architecture, Building and Planning' ","'EU (excluding UK)' ","'Extra' ",5
2007 ,"'Group K Architecture, Building and Planning' ","'EU (excluding UK)' ","'Main scheme Clearing' ",40
2007 ,"'Group K Architecture, Building and Planning' ","'EU (excluding UK)' ","'Direct Clearing' ",25
2007 ,"'Group K Architecture, Building and Planning' ","'EU (excluding UK)' ","'RPA' ",25
2007 ,"'Group K Architecture, Building and Planning' ","'Not EU' ","'Firm choice' ",385
2007 ,"'Group K Architecture, Building and Planning' ","'Not EU' ","'Insurance choice' ",45
2007 ,"'Group K Architecture, Building and Planning' ","'Not EU' ","'Other main scheme choice' ",100
2007 ,"'Group K Architecture, Building and Planning' ","'Not EU' ","'Extra' ",5
2007 ,"'Group K Architecture, Building and Planning' ","'Not EU' ","'Main scheme Clearing' ",40
2007 ,"'Group K Architecture, Building and Planning' ","'Not EU' ","'Direct Clearing' ",10
2007 ,"'Group K Architecture, Building and Planning' ","'Not EU' ","'RPA' ",70
2007 ,"'Group L Social Studies' ","'UK' ","'Firm choice' ",19250
2007 ,"'Group L Social Studies' ","'UK' ","'Insurance choice' ",1510
2007 ,"'Group L Social Studies' ","'UK' ","'Other main scheme choice' ",1075
2007 ,"'Group L Social Studies' ","'UK' ","'Extra' ",280
2007 ,"'Group L Social Studies' ","'UK' ","'Main scheme Clearing' ",2285
2007 ,"'Group L Social Studies' ","'UK' ","'Direct Clearing' ",650
2007 ,"'Group L Social Studies' ","'UK' ","'RPA' ",1680
2007 ,"'Group L Social Studies' ","'EU (excluding UK)' ","'Firm choice' ",1070
2007 ,"'Group L Social Studies' ","'EU (excluding UK)' ","'Insurance choice' ",105
2007 ,"'Group L Social Studies' ","'EU (excluding UK)' ","'Other main scheme choice' ",80
2007 ,"'Group L Social Studies' ","'EU (excluding UK)' ","'Extra' ",20
2007 ,"'Group L Social Studies' ","'EU (excluding UK)' ","'Main scheme Clearing' ",75
2007 ,"'Group L Social Studies' ","'EU (excluding UK)' ","'Direct Clearing' ",30
2007 ,"'Group L Social Studies' ","'EU (excluding UK)' ","'RPA' ",80
2007 ,"'Group L Social Studies' ","'Not EU' ","'Firm choice' ",1410
2007 ,"'Group L Social Studies' ","'Not EU' ","'Insurance choice' ",240
2007 ,"'Group L Social Studies' ","'Not EU' ","'Other main scheme choice' ",165
2007 ,"'Group L Social Studies' ","'Not EU' ","'Extra' ",20
2007 ,"'Group L Social Studies' ","'Not EU' ","'Main scheme Clearing' ",220
2007 ,"'Group L Social Studies' ","'Not EU' ","'Direct Clearing' ",20
2007 ,"'Group L Social Studies' ","'Not EU' ","'RPA' ",135
2007 ,"'Group M Law' ","'UK' ","'Firm choice' ",11435
2007 ,"'Group M Law' ","'UK' ","'Insurance choice' ",1460
2007 ,"'Group M Law' ","'UK' ","'Other main scheme choice' ",465
2007 ,"'Group M Law' ","'UK' ","'Extra' ",145
2007 ,"'Group M Law' ","'UK' ","'Main scheme Clearing' ",1460
2007 ,"'Group M Law' ","'UK' ","'Direct Clearing' ",305
2007 ,"'Group M Law' ","'UK' ","'RPA' ",1000
2007 ,"'Group M Law' ","'EU (excluding UK)' ","'Firm choice' ",615
2007 ,"'Group M Law' ","'EU (excluding UK)' ","'Insurance choice' ",70
2007 ,"'Group M Law' ","'EU (excluding UK)' ","'Other main scheme choice' ",55
2007 ,"'Group M Law' ","'EU (excluding UK)' ","'Extra' ",5
2007 ,"'Group M Law' ","'EU (excluding UK)' ","'Main scheme Clearing' ",65
2007 ,"'Group M Law' ","'EU (excluding UK)' ","'Direct Clearing' ",35
2007 ,"'Group M Law' ","'EU (excluding UK)' ","'RPA' ",50
2007 ,"'Group M Law' ","'Not EU' ","'Firm choice' ",1235
2007 ,"'Group M Law' ","'Not EU' ","'Insurance choice' ",155
2007 ,"'Group M Law' ","'Not EU' ","'Other main scheme choice' ",185
2007 ,"'Group M Law' ","'Not EU' ","'Extra' ",20
2007 ,"'Group M Law' ","'Not EU' ","'Main scheme Clearing' ",135
2007 ,"'Group M Law' ","'Not EU' ","'Direct Clearing' ",25
2007 ,"'Group M Law' ","'Not EU' ","'RPA' ",160
2007 ,"'Group N Business and Admin studies' ","'UK' ","'Firm choice' ",26115
2007 ,"'Group N Business and Admin studies' ","'UK' ","'Insurance choice' ",2830
2007 ,"'Group N Business and Admin studies' ","'UK' ","'Other main scheme choice' ",1470
2007 ,"'Group N Business and Admin studies' ","'UK' ","'Extra' ",355
2007 ,"'Group N Business and Admin studies' ","'UK' ","'Main scheme Clearing' ",3335
2007 ,"'Group N Business and Admin studies' ","'UK' ","'Direct Clearing' ",1190
2007 ,"'Group N Business and Admin studies' ","'UK' ","'RPA' ",3355
2007 ,"'Group N Business and Admin studies' ","'EU (excluding UK)' ","'Firm choice' ",2635
2007 ,"'Group N Business and Admin studies' ","'EU (excluding UK)' ","'Insurance choice' ",205
2007 ,"'Group N Business and Admin studies' ","'EU (excluding UK)' ","'Other main scheme choice' ",385
2007 ,"'Group N Business and Admin studies' ","'EU (excluding UK)' ","'Extra' ",25
2007 ,"'Group N Business and Admin studies' ","'EU (excluding UK)' ","'Main scheme Clearing' ",175
2007 ,"'Group N Business and Admin studies' ","'EU (excluding UK)' ","'Direct Clearing' ",90
2007 ,"'Group N Business and Admin studies' ","'EU (excluding UK)' ","'RPA' ",420
2007 ,"'Group N Business and Admin studies' ","'Not EU' ","'Firm choice' ",3370
2007 ,"'Group N Business and Admin studies' ","'Not EU' ","'Insurance choice' ",575
2007 ,"'Group N Business and Admin studies' ","'Not EU' ","'Other main scheme choice' ",835
2007 ,"'Group N Business and Admin studies' ","'Not EU' ","'Extra' ",50
2007 ,"'Group N Business and Admin studies' ","'Not EU' ","'Main scheme Clearing' ",565
2007 ,"'Group N Business and Admin studies' ","'Not EU' ","'Direct Clearing' ",110
2007 ,"'Group N Business and Admin studies' ","'Not EU' ","'RPA' ",1640
2007 ,"'Group P Mass Communication and Documentation' ","'UK' ","'Firm choice' ",6540
2007 ,"'Group P Mass Communication and Documentation' ","'UK' ","'Insurance choice' ",350
2007 ,"'Group P Mass Communication and Documentation' ","'UK' ","'Other main scheme choice' ",295
2007 ,"'Group P Mass Communication and Documentation' ","'UK' ","'Extra' ",110
2007 ,"'Group P Mass Communication and Documentation' ","'UK' ","'Main scheme Clearing' ",570
2007 ,"'Group P Mass Communication and Documentation' ","'UK' ","'Direct Clearing' ",210
2007 ,"'Group P Mass Communication and Documentation' ","'UK' ","'RPA' ",525
2007 ,"'Group P Mass Communication and Documentation' ","'EU (excluding UK)' ","'Firm choice' ",330
2007 ,"'Group P Mass Communication and Documentation' ","'EU (excluding UK)' ","'Insurance choice' ",25
2007 ,"'Group P Mass Communication and Documentation' ","'EU (excluding UK)' ","'Other main scheme choice' ",50
2007 ,"'Group P Mass Communication and Documentation' ","'EU (excluding UK)' ","'Extra' ",5
2007 ,"'Group P Mass Communication and Documentation' ","'EU (excluding UK)' ","'Main scheme Clearing' ",20
2007 ,"'Group P Mass Communication and Documentation' ","'EU (excluding UK)' ","'Direct Clearing' ",10
2007 ,"'Group P Mass Communication and Documentation' ","'EU (excluding UK)' ","'RPA' ",55
2007 ,"'Group P Mass Communication and Documentation' ","'Not EU' ","'Firm choice' ",220
2007 ,"'Group P Mass Communication and Documentation' ","'Not EU' ","'Insurance choice' ",30
2007 ,"'Group P Mass Communication and Documentation' ","'Not EU' ","'Other main scheme choice' ",40
2007 ,"'Group P Mass Communication and Documentation' ","'Not EU' ","'Extra' ",5
2007 ,"'Group P Mass Communication and Documentation' ","'Not EU' ","'Main scheme Clearing' ",30
2007 ,"'Group P Mass Communication and Documentation' ","'Not EU' ","'Direct Clearing' ",5
2007 ,"'Group P Mass Communication and Documentation' ","'Not EU' ","'RPA' ",60
2007 ,"'Group Q Linguistics, Classics and related' ","'UK' ","'Firm choice' ",8185
2007 ,"'Group Q Linguistics, Classics and related' ","'UK' ","'Insurance choice' ",695
2007 ,"'Group Q Linguistics, Classics and related' ","'UK' ","'Other main scheme choice' ",205
2007 ,"'Group Q Linguistics, Classics and related' ","'UK' ","'Extra' ",105
2007 ,"'Group Q Linguistics, Classics and related' ","'UK' ","'Main scheme Clearing' ",620
2007 ,"'Group Q Linguistics, Classics and related' ","'UK' ","'Direct Clearing' ",165
2007 ,"'Group Q Linguistics, Classics and related' ","'UK' ","'RPA' ",295
2007 ,"'Group Q Linguistics, Classics and related' ","'EU (excluding UK)' ","'Firm choice' ",255
2007 ,"'Group Q Linguistics, Classics and related' ","'EU (excluding UK)' ","'Insurance choice' ",15
2007 ,"'Group Q Linguistics, Classics and related' ","'EU (excluding UK)' ","'Other main scheme choice' ",25
2007 ,"'Group Q Linguistics, Classics and related' ","'EU (excluding UK)' ","'Extra' ",5
2007 ,"'Group Q Linguistics, Classics and related' ","'EU (excluding UK)' ","'Main scheme Clearing' ",20
2007 ,"'Group Q Linguistics, Classics and related' ","'EU (excluding UK)' ","'Direct Clearing' ",10
2007 ,"'Group Q Linguistics, Classics and related' ","'EU (excluding UK)' ","'RPA' ",15
2007 ,"'Group Q Linguistics, Classics and related' ","'Not EU' ","'Firm choice' ",170
2007 ,"'Group Q Linguistics, Classics and related' ","'Not EU' ","'Insurance choice' ",10
2007 ,"'Group Q Linguistics, Classics and related' ","'Not EU' ","'Other main scheme choice' ",20
2007 ,"'Group Q Linguistics, Classics and related' ","'Not EU' ","'Extra' ",5
2007 ,"'Group Q Linguistics, Classics and related' ","'Not EU' ","'Main scheme Clearing' ",15
2007 ,"'Group Q Linguistics, Classics and related' ","'Not EU' ","'RPA' ",25
2007 ,"'Group R European Languages, Literature and related' ","'UK' ","'Firm choice' ",2945
2007 ,"'Group R European Languages, Literature and related' ","'UK' ","'Insurance choice' ",275
2007 ,"'Group R European Languages, Literature and related' ","'UK' ","'Other main scheme choice' ",65
2007 ,"'Group R European Languages, Literature and related' ","'UK' ","'Extra' ",20
2007 ,"'Group R European Languages, Literature and related' ","'UK' ","'Main scheme Clearing' ",225
2007 ,"'Group R European Languages, Literature and related' ","'UK' ","'Direct Clearing' ",35
2007 ,"'Group R European Languages, Literature and related' ","'UK' ","'RPA' ",75
2007 ,"'Group R European Languages, Literature and related' ","'EU (excluding UK)' ","'Firm choice' ",250
2007 ,"'Group R European Languages, Literature and related' ","'EU (excluding UK)' ","'Insurance choice' ",15
2007 ,"'Group R European Languages, Literature and related' ","'EU (excluding UK)' ","'Other main scheme choice' ",25
2007 ,"'Group R European Languages, Literature and related' ","'EU (excluding UK)' ","'Extra' ",5
2007 ,"'Group R European Languages, Literature and related' ","'EU (excluding UK)' ","'Main scheme Clearing' ",25
2007 ,"'Group R European Languages, Literature and related' ","'EU (excluding UK)' ","'Direct Clearing' ",5
2007 ,"'Group R European Languages, Literature and related' ","'EU (excluding UK)' ","'RPA' ",5
2007 ,"'Group R European Languages, Literature and related' ","'Not EU' ","'Firm choice' ",60
2007 ,"'Group R European Languages, Literature and related' ","'Not EU' ","'Insurance choice' ",5
2007 ,"'Group R European Languages, Literature and related' ","'Not EU' ","'Other main scheme choice' ",10
2007 ,"'Group T Non-European Languages, Literature and related' ","'UK' ","'Firm choice' ",1355
2007 ,"'Group T Non-European Languages, Literature and related' ","'UK' ","'Insurance choice' ",65
2007 ,"'Group T Non-European Languages, Literature and related' ","'UK' ","'Other main scheme choice' ",20
