"Statistic:   Number of Applicants"
"Variables:   SIMD Quintile 2012 , Sex , Cycle Year"
"Coverage:   Scottish domiciled 18 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_047_04.pdf"
 
Cycle Year,SIMD Quintile 2012 , Sex,Number of Applicants,
2006 ,"'SIMD Quintile 1' ","'Men' ",565
2013 ,"'SIMD Quintile 4' ","'Men' ",2095
2013 ,"'SIMD Quintile 4' ","'Women' ",2740
2013 ,"'SIMD Quintile 5' ","'Men' ",2955
2013 ,"'SIMD Quintile 5' ","'Women' ",3490
2013 ,"'Not assigned' ","'Men' ",25
2013 ,"'Not assigned' ","'Women' ",20
2014 ,"'SIMD Quintile 1' ","'Men' ",735
2014 ,"'SIMD Quintile 1' ","'Women' ",1275
2014 ,"'SIMD Quintile 2' ","'Men' ",1010
2014 ,"'SIMD Quintile 2' ","'Women' ",1610
2014 ,"'SIMD Quintile 3' ","'Men' ",1465
2014 ,"'SIMD Quintile 3' ","'Women' ",2210
2014 ,"'SIMD Quintile 4' ","'Men' ",1970
2014 ,"'SIMD Quintile 4' ","'Women' ",2815
2014 ,"'SIMD Quintile 5' ","'Men' ",2880
2014 ,"'SIMD Quintile 5' ","'Women' ",3420
2014 ,"'Not assigned' ","'Men' ",10
2014 ,"'Not assigned' ","'Women' ",10
2015 ,"'SIMD Quintile 1' ","'Men' ",750
2015 ,"'SIMD Quintile 1' ","'Women' ",1215
2015 ,"'SIMD Quintile 2' ","'Men' ",1030
2015 ,"'SIMD Quintile 2' ","'Women' ",1735
2015 ,"'SIMD Quintile 3' ","'Men' ",1575
2015 ,"'SIMD Quintile 3' ","'Women' ",2310
2015 ,"'SIMD Quintile 4' ","'Men' ",2100
2015 ,"'SIMD Quintile 4' ","'Women' ",2830
2015 ,"'SIMD Quintile 5' ","'Men' ",2875
2015 ,"'SIMD Quintile 5' ","'Women' ",3545
2015 ,"'Not assigned' ","'Men' ",20
2015 ,"'Not assigned' ","'Women' ",25
2016 ,"'SIMD Quintile 1' ","'Men' ",735
2016 ,"'SIMD Quintile 1' ","'Women' ",1320
2016 ,"'SIMD Quintile 2' ","'Men' ",970
2016 ,"'SIMD Quintile 2' ","'Women' ",1775
2016 ,"'SIMD Quintile 3' ","'Men' ",1420
2016 ,"'SIMD Quintile 3' ","'Women' ",2245
2016 ,"'SIMD Quintile 4' ","'Men' ",2065
2016 ,"'SIMD Quintile 4' ","'Women' ",2835
2016 ,"'SIMD Quintile 5' ","'Men' ",2830
2016 ,"'SIMD Quintile 5' ","'Women' ",3445
2016 ,"'Not assigned' ","'Men' ",20
2016 ,"'Not assigned' ","'Women' ",55
