"Statistic:   Number of Applications"
"Variables:   Subject Group (Detailed Level) , Ethnic Group (Summary Level) , Cycle Year"
"Coverage:   Applications through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_028_03.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Ethnic Group (Summary Level),Number of Applications,
2007 ,"'A1 - Pre-clinical Medicine' ","'Asian' ",14175
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Black' ",145
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Mixed' ",40
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'White' ",630
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Other' ",25
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Unknown' ",20
2007 ,"'C0 - Biological Sciences: any area of study' ","'Asian' ",10
2007 ,"'C0 - Biological Sciences: any area of study' ","'Mixed' ",5
2007 ,"'C0 - Biological Sciences: any area of study' ","'White' ",70
2007 ,"'C0 - Biological Sciences: any area of study' ","'Other' ",5
2007 ,"'C1 - Biology' ","'Asian' ",1280
2007 ,"'C1 - Biology' ","'Black' ",445
2007 ,"'C1 - Biology' ","'Mixed' ",605
2007 ,"'C1 - Biology' ","'White' ",19375
2007 ,"'C1 - Biology' ","'Other' ",135
2007 ,"'C1 - Biology' ","'Unknown' ",250
2007 ,"'C2 - Botany' ","'Asian' ",10
2007 ,"'C2 - Botany' ","'White' ",95
2007 ,"'C3 - Zoology' ","'Asian' ",50
2007 ,"'C3 - Zoology' ","'Black' ",15
2007 ,"'C3 - Zoology' ","'Mixed' ",105
2007 ,"'C3 - Zoology' ","'White' ",5880
2007 ,"'C3 - Zoology' ","'Other' ",10
2007 ,"'C3 - Zoology' ","'Unknown' ",60
2007 ,"'C4 - Genetics' ","'Asian' ",225
2007 ,"'C4 - Genetics' ","'Black' ",75
2007 ,"'C4 - Genetics' ","'Mixed' ",70
2007 ,"'C4 - Genetics' ","'White' ",1310
2007 ,"'C4 - Genetics' ","'Other' ",45
2007 ,"'C4 - Genetics' ","'Unknown' ",50
2007 ,"'C5 - Microbiology' ","'Asian' ",230
2007 ,"'C5 - Microbiology' ","'Black' ",125
2007 ,"'C5 - Microbiology' ","'Mixed' ",50
2007 ,"'C5 - Microbiology' ","'White' ",1335
2007 ,"'C5 - Microbiology' ","'Other' ",20
2007 ,"'C5 - Microbiology' ","'Unknown' ",25
2007 ,"'C6 - Sport and Exercise Science' ","'Asian' ",1140
2007 ,"'C6 - Sport and Exercise Science' ","'Black' ",1585
2007 ,"'C6 - Sport and Exercise Science' ","'Mixed' ",1430
2007 ,"'C6 - Sport and Exercise Science' ","'White' ",43495
2007 ,"'C6 - Sport and Exercise Science' ","'Other' ",230
2007 ,"'C6 - Sport and Exercise Science' ","'Unknown' ",350
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Asian' ",1945
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Black' ",820
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Mixed' ",380
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'White' ",7335
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Other' ",180
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'Unknown' ",145
2007 ,"'C8 - Psychology' ","'Asian' ",6280
2007 ,"'C8 - Psychology' ","'Black' ",4220
2007 ,"'C8 - Psychology' ","'Mixed' ",2575
2007 ,"'C8 - Psychology' ","'White' ",57260
2007 ,"'C8 - Psychology' ","'Other' ",925
2007 ,"'C8 - Psychology' ","'Unknown' ",885
2007 ,"'C9 - Others in Biological Sciences' ","'Asian' ",555
2007 ,"'C9 - Others in Biological Sciences' ","'Black' ",345
2007 ,"'C9 - Others in Biological Sciences' ","'Mixed' ",85
2007 ,"'C9 - Others in Biological Sciences' ","'White' ",1565
2007 ,"'C9 - Others in Biological Sciences' ","'Other' ",50
2007 ,"'C9 - Others in Biological Sciences' ","'Unknown' ",55
2007 ,"'CC - Combinations within Biological Sciences' ","'Asian' ",275
2007 ,"'CC - Combinations within Biological Sciences' ","'Black' ",150
2007 ,"'CC - Combinations within Biological Sciences' ","'Mixed' ",100
2007 ,"'CC - Combinations within Biological Sciences' ","'White' ",3230
2007 ,"'CC - Combinations within Biological Sciences' ","'Other' ",30
2007 ,"'CC - Combinations within Biological Sciences' ","'Unknown' ",30
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Asian' ",65
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Black' ",15
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Mixed' ",90
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'White' ",5095
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Other' ",15
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'Unknown' ",65
2007 ,"'D3 - Animal Science' ","'Asian' ",30
2007 ,"'D3 - Animal Science' ","'Black' ",35
2007 ,"'D3 - Animal Science' ","'Mixed' ",105
2007 ,"'D3 - Animal Science' ","'White' ",5265
2007 ,"'D3 - Animal Science' ","'Other' ",25
2007 ,"'D3 - Animal Science' ","'Unknown' ",35
2007 ,"'D4 - Agriculture' ","'Asian' ",10
2007 ,"'D4 - Agriculture' ","'Black' ",10
2007 ,"'D4 - Agriculture' ","'Mixed' ",30
2007 ,"'D4 - Agriculture' ","'White' ",3740
2007 ,"'D4 - Agriculture' ","'Other' ",5
2007 ,"'D4 - Agriculture' ","'Unknown' ",35
2007 ,"'D5 - Forestry & arboriculture' ","'White' ",200
2007 ,"'D5 - Forestry & arboriculture' ","'Unknown' ",15
2007 ,"'D6 - Food and Beverage studies' ","'Asian' ",40
2007 ,"'D6 - Food and Beverage studies' ","'Black' ",40
2007 ,"'D6 - Food and Beverage studies' ","'Mixed' ",20
2007 ,"'D6 - Food and Beverage studies' ","'White' ",695
2007 ,"'D6 - Food and Beverage studies' ","'Other' ",10
2007 ,"'D6 - Food and Beverage studies' ","'Unknown' ",10
2007 ,"'D7 - Agricultural Sciences' ","'White' ",135
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'Mixed' ",5
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'White' ",150
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'Asian' ",5
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'White' ",255
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'Unknown' ",5
2007 ,"'F0 - Physical Sciences: any area of study' ","'Asian' ",20
2007 ,"'F0 - Physical Sciences: any area of study' ","'Black' ",10
2007 ,"'F0 - Physical Sciences: any area of study' ","'Mixed' ",10
2007 ,"'F0 - Physical Sciences: any area of study' ","'White' ",165
2007 ,"'F1 - Chemistry' ","'Asian' ",1780
2007 ,"'F1 - Chemistry' ","'Black' ",545
2007 ,"'F1 - Chemistry' ","'Mixed' ",545
2007 ,"'F1 - Chemistry' ","'White' ",15185
2007 ,"'F1 - Chemistry' ","'Other' ",140
2007 ,"'F1 - Chemistry' ","'Unknown' ",220
2007 ,"'F2 - Materials Science' ","'Asian' ",5
2007 ,"'F2 - Materials Science' ","'White' ",25
2007 ,"'F3 - Physics' ","'Asian' ",915
2007 ,"'F3 - Physics' ","'Black' ",145
2007 ,"'F3 - Physics' ","'Mixed' ",525
2007 ,"'F3 - Physics' ","'White' ",14015
2007 ,"'F3 - Physics' ","'Other' ",120
2007 ,"'F3 - Physics' ","'Unknown' ",310
2007 ,"'F4 - Forensic and Archaeological Science' ","'Asian' ",665
2007 ,"'F4 - Forensic and Archaeological Science' ","'Black' ",325
2007 ,"'F4 - Forensic and Archaeological Science' ","'Mixed' ",215
2007 ,"'F4 - Forensic and Archaeological Science' ","'White' ",6340
2007 ,"'F4 - Forensic and Archaeological Science' ","'Other' ",60
2007 ,"'F4 - Forensic and Archaeological Science' ","'Unknown' ",90
2007 ,"'F5 - Astronomy' ","'Asian' ",40
2007 ,"'F5 - Astronomy' ","'Black' ",5
2007 ,"'F5 - Astronomy' ","'Mixed' ",15
2007 ,"'F5 - Astronomy' ","'White' ",470
2007 ,"'F5 - Astronomy' ","'Other' ",10
2007 ,"'F5 - Astronomy' ","'Unknown' ",15
2007 ,"'F6 - Geology' ","'Asian' ",125
2007 ,"'F6 - Geology' ","'Black' ",70
2007 ,"'F6 - Geology' ","'Mixed' ",95
2007 ,"'F6 - Geology' ","'White' ",5750
2007 ,"'F6 - Geology' ","'Other' ",15
2007 ,"'F6 - Geology' ","'Unknown' ",90
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'Asian' ",125
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'Black' ",85
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'Mixed' ",95
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'White' ",4850
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'Other' ",20
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'Unknown' ",85
2007 ,"'F8 - Physical geographical sciences' ","'Asian' ",295
2007 ,"'F8 - Physical geographical sciences' ","'Black' ",80
2007 ,"'F8 - Physical geographical sciences' ","'Mixed' ",280
2007 ,"'F8 - Physical geographical sciences' ","'White' ",16635
2007 ,"'F8 - Physical geographical sciences' ","'Other' ",35
2007 ,"'F8 - Physical geographical sciences' ","'Unknown' ",150
2007 ,"'F9 - Others in Physical Sciences' ","'Asian' ",115
2007 ,"'F9 - Others in Physical Sciences' ","'Black' ",50
2007 ,"'F9 - Others in Physical Sciences' ","'Mixed' ",15
2007 ,"'F9 - Others in Physical Sciences' ","'White' ",720
2007 ,"'F9 - Others in Physical Sciences' ","'Other' ",5
2007 ,"'F9 - Others in Physical Sciences' ","'Unknown' ",15
2007 ,"'FF - Combinations within Physical Sciences' ","'Asian' ",220
2007 ,"'FF - Combinations within Physical Sciences' ","'Black' ",40
2007 ,"'FF - Combinations within Physical Sciences' ","'Mixed' ",110
2007 ,"'FF - Combinations within Physical Sciences' ","'White' ",4520
2007 ,"'FF - Combinations within Physical Sciences' ","'Other' ",20
2007 ,"'FF - Combinations within Physical Sciences' ","'Unknown' ",65
2007 ,"'G0 - Mathematical Sciences: any area' ","'Asian' ",15
2007 ,"'G0 - Mathematical Sciences: any area' ","'White' ",50
2007 ,"'G1 - Mathematics' ","'Asian' ",3415
2007 ,"'G1 - Mathematics' ","'Black' ",450
2007 ,"'G1 - Mathematics' ","'Mixed' ",650
2007 ,"'G1 - Mathematics' ","'White' ",21325
2007 ,"'G1 - Mathematics' ","'Other' ",230
2007 ,"'G1 - Mathematics' ","'Unknown' ",410
2007 ,"'G2 - Operational Research' ","'Asian' ",15
2007 ,"'G2 - Operational Research' ","'Black' ",10
2007 ,"'G2 - Operational Research' ","'Mixed' ",5
2007 ,"'G2 - Operational Research' ","'White' ",125
2007 ,"'G3 - Statistics' ","'Asian' ",150
2007 ,"'G3 - Statistics' ","'Black' ",60
2007 ,"'G3 - Statistics' ","'Mixed' ",10
2007 ,"'G3 - Statistics' ","'White' ",195
2007 ,"'G3 - Statistics' ","'Other' ",10
2007 ,"'G3 - Statistics' ","'Unknown' ",15
2007 ,"'G9 - Others in Mathematical Sciences' ","'Asian' ",15
2007 ,"'G9 - Others in Mathematical Sciences' ","'Black' ",10
2007 ,"'G9 - Others in Mathematical Sciences' ","'White' ",30
2007 ,"'GG - Combinations within Mathematical Sciences' ","'Asian' ",405
2007 ,"'GG - Combinations within Mathematical Sciences' ","'Black' ",90
2007 ,"'GG - Combinations within Mathematical Sciences' ","'Mixed' ",40
2007 ,"'GG - Combinations within Mathematical Sciences' ","'White' ",1095
2007 ,"'GG - Combinations within Mathematical Sciences' ","'Other' ",15
2007 ,"'GG - Combinations within Mathematical Sciences' ","'Unknown' ",30
2007 ,"'H0 - Engineering: any area of study' ","'Asian' ",20
2007 ,"'H0 - Engineering: any area of study' ","'Black' ",20
2007 ,"'H0 - Engineering: any area of study' ","'Mixed' ",10
2007 ,"'H0 - Engineering: any area of study' ","'White' ",185
2007 ,"'H1 - General Engineering' ","'Asian' ",1205
2007 ,"'H1 - General Engineering' ","'Black' ",670
2007 ,"'H1 - General Engineering' ","'Mixed' ",250
2007 ,"'H1 - General Engineering' ","'White' ",6475
2007 ,"'H1 - General Engineering' ","'Other' ",120
2007 ,"'H1 - General Engineering' ","'Unknown' ",130
2007 ,"'H2 - Civil Engineering' ","'Asian' ",1710
2007 ,"'H2 - Civil Engineering' ","'Black' ",845
2007 ,"'H2 - Civil Engineering' ","'Mixed' ",435
2007 ,"'H2 - Civil Engineering' ","'White' ",11540
2007 ,"'H2 - Civil Engineering' ","'Other' ",220
2007 ,"'H2 - Civil Engineering' ","'Unknown' ",210
2007 ,"'H3 - Mechanical Engineering' ","'Asian' ",2020
2007 ,"'H3 - Mechanical Engineering' ","'Black' ",1000
2007 ,"'H3 - Mechanical Engineering' ","'Mixed' ",570
2007 ,"'H3 - Mechanical Engineering' ","'White' ",14690
2007 ,"'H3 - Mechanical Engineering' ","'Other' ",190
2007 ,"'H3 - Mechanical Engineering' ","'Unknown' ",300
2007 ,"'H4 - Aerospace Engineering' ","'Asian' ",1495
2007 ,"'H4 - Aerospace Engineering' ","'Black' ",650
2007 ,"'H4 - Aerospace Engineering' ","'Mixed' ",290
2007 ,"'H4 - Aerospace Engineering' ","'White' ",5635
2007 ,"'H4 - Aerospace Engineering' ","'Other' ",180
2007 ,"'H4 - Aerospace Engineering' ","'Unknown' ",155
2007 ,"'H5 - Naval Architecture' ","'Asian' ",5
2007 ,"'H5 - Naval Architecture' ","'Black' ",5
2007 ,"'H5 - Naval Architecture' ","'White' ",215
2007 ,"'H5 - Naval Architecture' ","'Unknown' ",5
2007 ,"'H6 - Electronic and Electrical Engineering' ","'Asian' ",2010
2007 ,"'H6 - Electronic and Electrical Engineering' ","'Black' ",1965
2007 ,"'H6 - Electronic and Electrical Engineering' ","'Mixed' ",370
2007 ,"'H6 - Electronic and Electrical Engineering' ","'White' ",8945
2007 ,"'H6 - Electronic and Electrical Engineering' ","'Other' ",240
2007 ,"'H6 - Electronic and Electrical Engineering' ","'Unknown' ",255
2007 ,"'H7 - Production and Manufacturing Engineering' ","'Asian' ",290
2007 ,"'H7 - Production and Manufacturing Engineering' ","'Black' ",85
2007 ,"'H7 - Production and Manufacturing Engineering' ","'Mixed' ",95
2007 ,"'H7 - Production and Manufacturing Engineering' ","'White' ",2615
2007 ,"'H7 - Production and Manufacturing Engineering' ","'Other' ",20
2007 ,"'H7 - Production and Manufacturing Engineering' ","'Unknown' ",55
2007 ,"'H8 - Chemical,Process and Energy Engineering' ","'Asian' ",790
2007 ,"'H8 - Chemical,Process and Energy Engineering' ","'Black' ",690
2007 ,"'H8 - Chemical,Process and Energy Engineering' ","'Mixed' ",145
2007 ,"'H8 - Chemical,Process and Energy Engineering' ","'White' ",3235
2007 ,"'H8 - Chemical,Process and Energy Engineering' ","'Other' ",130
2007 ,"'H8 - Chemical,Process and Energy Engineering' ","'Unknown' ",165
2007 ,"'H9 - Others in Engineering' ","'Asian' ",5
2007 ,"'H9 - Others in Engineering' ","'White' ",5
2007 ,"'HH - Combinations within Engineering' ","'Asian' ",245
2007 ,"'HH - Combinations within Engineering' ","'Black' ",130
2007 ,"'HH - Combinations within Engineering' ","'Mixed' ",90
2007 ,"'HH - Combinations within Engineering' ","'White' ",2035
2007 ,"'HH - Combinations within Engineering' ","'Other' ",30
2007 ,"'HH - Combinations within Engineering' ","'Unknown' ",45
2007 ,"'I1 - Computer Science' ","'Asian' ",7570
2007 ,"'I1 - Computer Science' ","'Black' ",3920
2007 ,"'I1 - Computer Science' ","'Mixed' ",1370
2007 ,"'I1 - Computer Science' ","'White' ",30725
2007 ,"'I1 - Computer Science' ","'Other' ",765
2007 ,"'I1 - Computer Science' ","'Unknown' ",635
2007 ,"'I2 - Information Systems' ","'Asian' ",3420
2007 ,"'I2 - Information Systems' ","'Black' ",1625
2007 ,"'I2 - Information Systems' ","'Mixed' ",355
2007 ,"'I2 - Information Systems' ","'White' ",6225
2007 ,"'I2 - Information Systems' ","'Other' ",300
2007 ,"'I2 - Information Systems' ","'Unknown' ",180
2007 ,"'I3 - Software Engineering' ","'Asian' ",665
2007 ,"'I3 - Software Engineering' ","'Black' ",320
2007 ,"'I3 - Software Engineering' ","'Mixed' ",185
2007 ,"'I3 - Software Engineering' ","'White' ",4095
2007 ,"'I3 - Software Engineering' ","'Other' ",75
2007 ,"'I3 - Software Engineering' ","'Unknown' ",65
2007 ,"'I4 - Artificial Intelligence' ","'Asian' ",45
2007 ,"'I4 - Artificial Intelligence' ","'Black' ",10
2007 ,"'I4 - Artificial Intelligence' ","'Mixed' ",10
2007 ,"'I4 - Artificial Intelligence' ","'White' ",245
2007 ,"'I4 - Artificial Intelligence' ","'Other' ",5
2007 ,"'I4 - Artificial Intelligence' ","'Unknown' ",5
2007 ,"'I9 - Others in Computer Sciences' ","'Asian' ",10
2007 ,"'I9 - Others in Computer Sciences' ","'Mixed' ",5
2007 ,"'I9 - Others in Computer Sciences' ","'White' ",35
2007 ,"'II - Combinations in Computer Sciences' ","'Asian' ",595
2007 ,"'II - Combinations in Computer Sciences' ","'Black' ",380
2007 ,"'II - Combinations in Computer Sciences' ","'Mixed' ",135
2007 ,"'II - Combinations in Computer Sciences' ","'White' ",3375
2007 ,"'II - Combinations in Computer Sciences' ","'Other' ",60
2007 ,"'II - Combinations in Computer Sciences' ","'Unknown' ",60
2007 ,"'J0 - Technologies: any area of study' ","'White' ",10
2007 ,"'J1 - Minerals Technology' ","'Black' ",5
2007 ,"'J1 - Minerals Technology' ","'White' ",85
2007 ,"'J2 - Metallurgy' ","'White' ",10
2007 ,"'J2 - Metallurgy' ","'Unknown' ",5
2007 ,"'J4 - Polymers and Textiles' ","'Asian' ",75
2007 ,"'J4 - Polymers and Textiles' ","'Black' ",25
2007 ,"'J4 - Polymers and Textiles' ","'Mixed' ",25
2007 ,"'J4 - Polymers and Textiles' ","'White' ",685
2007 ,"'J4 - Polymers and Textiles' ","'Other' ",5
2007 ,"'J5 - Materials Technology not otherwise spec' ","'Asian' ",115
2007 ,"'J5 - Materials Technology not otherwise spec' ","'Black' ",75
2007 ,"'J5 - Materials Technology not otherwise spec' ","'Mixed' ",40
2007 ,"'J5 - Materials Technology not otherwise spec' ","'White' ",470
2007 ,"'J5 - Materials Technology not otherwise spec' ","'Other' ",20
2007 ,"'J5 - Materials Technology not otherwise spec' ","'Unknown' ",15
2007 ,"'J6 - Maritime Technology' ","'Asian' ",5
2007 ,"'J6 - Maritime Technology' ","'Black' ",15
2007 ,"'J6 - Maritime Technology' ","'Mixed' ",5
2007 ,"'J6 - Maritime Technology' ","'White' ",370
2007 ,"'J6 - Maritime Technology' ","'Unknown' ",10
2007 ,"'J7 - Biotechnology' ","'Asian' ",85
2007 ,"'J7 - Biotechnology' ","'Black' ",35
2007 ,"'J7 - Biotechnology' ","'Mixed' ",10
2007 ,"'J7 - Biotechnology' ","'White' ",200
2007 ,"'J7 - Biotechnology' ","'Other' ",5
2007 ,"'J7 - Biotechnology' ","'Unknown' ",10
2007 ,"'J9 - Others in Technology' ","'Asian' ",155
2007 ,"'J9 - Others in Technology' ","'Black' ",225
2007 ,"'J9 - Others in Technology' ","'Mixed' ",205
2007 ,"'J9 - Others in Technology' ","'White' ",5935
2007 ,"'J9 - Others in Technology' ","'Other' ",35
2007 ,"'J9 - Others in Technology' ","'Unknown' ",125
2007 ,"'JJ - Combinations within Technology' ","'White' ",5
2007 ,"'K1 - Architecture' ","'Asian' ",2275
2007 ,"'K1 - Architecture' ","'Black' ",930
2007 ,"'K1 - Architecture' ","'Mixed' ",655
2007 ,"'K1 - Architecture' ","'White' ",15045
2007 ,"'K1 - Architecture' ","'Other' ",340
2007 ,"'K1 - Architecture' ","'Unknown' ",355
2007 ,"'K2 - Building' ","'Asian' ",1600
2007 ,"'K2 - Building' ","'Black' ",630
2007 ,"'K2 - Building' ","'Mixed' ",255
2007 ,"'K2 - Building' ","'White' ",12585
2007 ,"'K2 - Building' ","'Other' ",110
2007 ,"'K2 - Building' ","'Unknown' ",110
2007 ,"'K3 - Landscape & Garden Design' ","'Asian' ",20
2007 ,"'K3 - Landscape & Garden Design' ","'Black' ",10
2007 ,"'K3 - Landscape & Garden Design' ","'Mixed' ",10
2007 ,"'K3 - Landscape & Garden Design' ","'White' ",495
2007 ,"'K3 - Landscape & Garden Design' ","'Other' ",10
2007 ,"'K3 - Landscape & Garden Design' ","'Unknown' ",5
2007 ,"'K4 - Planning (Urban,Rural and Regional)' ","'Asian' ",240
2007 ,"'K4 - Planning (Urban,Rural and Regional)' ","'Black' ",175
2007 ,"'K4 - Planning (Urban,Rural and Regional)' ","'Mixed' ",85
2007 ,"'K4 - Planning (Urban,Rural and Regional)' ","'White' ",3580
2007 ,"'K4 - Planning (Urban,Rural and Regional)' ","'Other' ",20
2007 ,"'K4 - Planning (Urban,Rural and Regional)' ","'Unknown' ",30
2007 ,"'K9 - Others in Architecture,Build & Plan' ","'Asian' ",5
2007 ,"'K9 - Others in Architecture,Build & Plan' ","'Black' ",10
2007 ,"'K9 - Others in Architecture,Build & Plan' ","'Mixed' ",5
2007 ,"'K9 - Others in Architecture,Build & Plan' ","'White' ",40
2007 ,"'K9 - Others in Architecture,Build & Plan' ","'Other' ",5
2007 ,"'KK - Combinations within Architecture,Build & Plan' ","'Asian' ",70
2007 ,"'KK - Combinations within Architecture,Build & Plan' ","'Black' ",40
2007 ,"'KK - Combinations within Architecture,Build & Plan' ","'Mixed' ",25
2007 ,"'KK - Combinations within Architecture,Build & Plan' ","'White' ",1020
2007 ,"'KK - Combinations within Architecture,Build & Plan' ","'Other' ",5
2007 ,"'KK - Combinations within Architecture,Build & Plan' ","'Unknown' ",10
2007 ,"'L0 - Social Studies: any area of study' ","'Asian' ",10
2007 ,"'L0 - Social Studies: any area of study' ","'Black' ",20
2007 ,"'L0 - Social Studies: any area of study' ","'Mixed' ",5
2007 ,"'L0 - Social Studies: any area of study' ","'White' ",80
2007 ,"'L0 - Social Studies: any area of study' ","'Unknown' ",5
2007 ,"'L1 - Economics' ","'Asian' ",6055
2007 ,"'L1 - Economics' ","'Black' ",1700
2007 ,"'L1 - Economics' ","'Mixed' ",965
2007 ,"'L1 - Economics' ","'White' ",15745
2007 ,"'L1 - Economics' ","'Other' ",345
2007 ,"'L1 - Economics' ","'Unknown' ",365
2007 ,"'L2 - Politics' ","'Asian' ",1190
2007 ,"'L2 - Politics' ","'Black' ",1005
