"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Apply Centre Type , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled and 18/19 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_030_07.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Apply Centre Type , Acceptance Route,Number of Acceptances,
2007 ,"'A1 - Pre-clinical Medicine' ","'Academy' ","'Firm choice' ",1240
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Grammar' ","'Main scheme Clearing' ",20
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Independent' ","'Firm choice' ",255
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Independent' ","'Insurance choice' ",15
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Independent' ","'Extra' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Independent' ","'Main scheme Clearing' ",25
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Sixth form college' ","'Firm choice' ",320
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Sixth form college' ","'Insurance choice' ",20
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Sixth form college' ","'Extra' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Sixth form college' ","'Main scheme Clearing' ",40
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'State' ","'Firm choice' ",555
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'State' ","'Insurance choice' ",35
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'State' ","'Extra' ",10
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'State' ","'Main scheme Clearing' ",55
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Other' ","'Firm choice' ",50
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Other' ","'Other main scheme choice' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Other' ","'Main scheme Clearing' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Other' ","'Direct Clearing' ",5
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'Other' ","'RPA' ",20
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Academy' ","'Firm choice' ",360
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Academy' ","'Insurance choice' ",80
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Academy' ","'Extra' ",10
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Academy' ","'Main scheme Clearing' ",70
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Academy' ","'Direct Clearing' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Further education' ","'Firm choice' ",115
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Further education' ","'Insurance choice' ",25
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Further education' ","'Extra' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Further education' ","'Main scheme Clearing' ",25
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Grammar' ","'Firm choice' ",190
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Grammar' ","'Insurance choice' ",25
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Grammar' ","'Extra' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Grammar' ","'Main scheme Clearing' ",20
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Independent' ","'Firm choice' ",195
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Independent' ","'Insurance choice' ",35
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Independent' ","'Extra' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Independent' ","'Main scheme Clearing' ",65
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Sixth form college' ","'Firm choice' ",310
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Sixth form college' ","'Insurance choice' ",80
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Sixth form college' ","'Other main scheme choice' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Sixth form college' ","'Extra' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Sixth form college' ","'Main scheme Clearing' ",50
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'State' ","'Firm choice' ",525
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'State' ","'Insurance choice' ",85
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'State' ","'Other main scheme choice' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'State' ","'Extra' ",20
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'State' ","'Main scheme Clearing' ",80
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'State' ","'Direct Clearing' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Other' ","'Firm choice' ",65
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Other' ","'Insurance choice' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Other' ","'Other main scheme choice' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Other' ","'Main scheme Clearing' ",15
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Other' ","'Direct Clearing' ",5
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Other' ","'RPA' ",20
2007 ,"'B3 - Complementary Medicine' ","'Academy' ","'Firm choice' ",50
2007 ,"'B3 - Complementary Medicine' ","'Academy' ","'Other main scheme choice' ",5
2007 ,"'B3 - Complementary Medicine' ","'Academy' ","'Extra' ",5
2007 ,"'B3 - Complementary Medicine' ","'Further education' ","'Firm choice' ",50
2007 ,"'B3 - Complementary Medicine' ","'Further education' ","'Other main scheme choice' ",5
2007 ,"'B3 - Complementary Medicine' ","'Grammar' ","'Firm choice' ",5
2007 ,"'B3 - Complementary Medicine' ","'Independent' ","'Firm choice' ",15
2007 ,"'B3 - Complementary Medicine' ","'Sixth form college' ","'Firm choice' ",45
2007 ,"'B3 - Complementary Medicine' ","'Sixth form college' ","'Extra' ",5
2007 ,"'B3 - Complementary Medicine' ","'Sixth form college' ","'Main scheme Clearing' ",5
2007 ,"'B3 - Complementary Medicine' ","'State' ","'Firm choice' ",40
2007 ,"'B3 - Complementary Medicine' ","'State' ","'Other main scheme choice' ",5
2007 ,"'B3 - Complementary Medicine' ","'State' ","'Main scheme Clearing' ",5
2007 ,"'B3 - Complementary Medicine' ","'Other' ","'Firm choice' ",45
2007 ,"'B3 - Complementary Medicine' ","'Other' ","'Other main scheme choice' ",5
2007 ,"'B3 - Complementary Medicine' ","'Other' ","'RPA' ",15
2007 ,"'B4 - Nutrition' ","'Academy' ","'Firm choice' ",85
2007 ,"'B4 - Nutrition' ","'Academy' ","'Insurance choice' ",5
2007 ,"'B4 - Nutrition' ","'Academy' ","'Extra' ",5
2007 ,"'B4 - Nutrition' ","'Academy' ","'Main scheme Clearing' ",5
2007 ,"'B4 - Nutrition' ","'Further education' ","'Firm choice' ",35
2007 ,"'B4 - Nutrition' ","'Further education' ","'Insurance choice' ",5
2007 ,"'B4 - Nutrition' ","'Further education' ","'Main scheme Clearing' ",5
2007 ,"'B4 - Nutrition' ","'Grammar' ","'Firm choice' ",55
2007 ,"'B4 - Nutrition' ","'Grammar' ","'Main scheme Clearing' ",5
2007 ,"'B4 - Nutrition' ","'Independent' ","'Firm choice' ",35
2007 ,"'B4 - Nutrition' ","'Independent' ","'Insurance choice' ",5
2007 ,"'B4 - Nutrition' ","'Independent' ","'Main scheme Clearing' ",5
2007 ,"'B4 - Nutrition' ","'Sixth form college' ","'Firm choice' ",50
2007 ,"'B4 - Nutrition' ","'Sixth form college' ","'Insurance choice' ",5
2007 ,"'B4 - Nutrition' ","'Sixth form college' ","'Main scheme Clearing' ",5
2007 ,"'B4 - Nutrition' ","'State' ","'Firm choice' ",100
2007 ,"'B4 - Nutrition' ","'State' ","'Insurance choice' ",15
2007 ,"'B4 - Nutrition' ","'State' ","'Main scheme Clearing' ",5
2007 ,"'B4 - Nutrition' ","'Other' ","'Firm choice' ",15
2007 ,"'B4 - Nutrition' ","'Other' ","'Direct Clearing' ",5
2007 ,"'B4 - Nutrition' ","'Other' ","'RPA' ",5
2007 ,"'B5 - Ophthalmics' ","'Academy' ","'Firm choice' ",95
2007 ,"'B5 - Ophthalmics' ","'Academy' ","'Insurance choice' ",10
2007 ,"'B5 - Ophthalmics' ","'Academy' ","'Extra' ",5
2007 ,"'B5 - Ophthalmics' ","'Academy' ","'Main scheme Clearing' ",15
2007 ,"'B5 - Ophthalmics' ","'Further education' ","'Firm choice' ",10
2007 ,"'B5 - Ophthalmics' ","'Grammar' ","'Firm choice' ",40
2007 ,"'B5 - Ophthalmics' ","'Grammar' ","'Insurance choice' ",5
2007 ,"'B5 - Ophthalmics' ","'Independent' ","'Firm choice' ",45
2007 ,"'B5 - Ophthalmics' ","'Independent' ","'Insurance choice' ",5
2007 ,"'B5 - Ophthalmics' ","'Independent' ","'Main scheme Clearing' ",10
2007 ,"'B5 - Ophthalmics' ","'Sixth form college' ","'Firm choice' ",70
2007 ,"'B5 - Ophthalmics' ","'Sixth form college' ","'Insurance choice' ",5
2007 ,"'B5 - Ophthalmics' ","'Sixth form college' ","'Extra' ",5
2007 ,"'B5 - Ophthalmics' ","'Sixth form college' ","'Main scheme Clearing' ",15
2007 ,"'B5 - Ophthalmics' ","'State' ","'Firm choice' ",110
2007 ,"'B5 - Ophthalmics' ","'State' ","'Insurance choice' ",15
2007 ,"'B5 - Ophthalmics' ","'State' ","'Extra' ",5
2007 ,"'B5 - Ophthalmics' ","'State' ","'Main scheme Clearing' ",20
2007 ,"'B5 - Ophthalmics' ","'Other' ","'Firm choice' ",15
2007 ,"'B5 - Ophthalmics' ","'Other' ","'Insurance choice' ",5
2007 ,"'B5 - Ophthalmics' ","'Other' ","'Main scheme Clearing' ",5
2007 ,"'B5 - Ophthalmics' ","'Other' ","'RPA' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'Academy' ","'Firm choice' ",135
2007 ,"'B6 - Aural and Oral Sciences' ","'Academy' ","'Insurance choice' ",10
2007 ,"'B6 - Aural and Oral Sciences' ","'Academy' ","'Main scheme Clearing' ",10
2007 ,"'B6 - Aural and Oral Sciences' ","'Further education' ","'Firm choice' ",40
2007 ,"'B6 - Aural and Oral Sciences' ","'Further education' ","'Insurance choice' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'Further education' ","'Main scheme Clearing' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'Grammar' ","'Firm choice' ",45
2007 ,"'B6 - Aural and Oral Sciences' ","'Grammar' ","'Main scheme Clearing' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'Independent' ","'Firm choice' ",40
2007 ,"'B6 - Aural and Oral Sciences' ","'Independent' ","'Main scheme Clearing' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'Sixth form college' ","'Firm choice' ",90
2007 ,"'B6 - Aural and Oral Sciences' ","'Sixth form college' ","'Insurance choice' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'Sixth form college' ","'Main scheme Clearing' ",10
2007 ,"'B6 - Aural and Oral Sciences' ","'State' ","'Firm choice' ",110
2007 ,"'B6 - Aural and Oral Sciences' ","'State' ","'Insurance choice' ",5
2007 ,"'B6 - Aural and Oral Sciences' ","'State' ","'Main scheme Clearing' ",15
2007 ,"'B6 - Aural and Oral Sciences' ","'Other' ","'Firm choice' ",15
2007 ,"'B7 - Nursing' ","'Academy' ","'Firm choice' ",510
2007 ,"'B7 - Nursing' ","'Academy' ","'Insurance choice' ",35
2007 ,"'B7 - Nursing' ","'Academy' ","'Other main scheme choice' ",5
2007 ,"'B7 - Nursing' ","'Academy' ","'Extra' ",20
2007 ,"'B7 - Nursing' ","'Academy' ","'Main scheme Clearing' ",55
2007 ,"'B7 - Nursing' ","'Academy' ","'Direct Clearing' ",5
2007 ,"'B7 - Nursing' ","'Further education' ","'Firm choice' ",460
2007 ,"'B7 - Nursing' ","'Further education' ","'Insurance choice' ",10
2007 ,"'B7 - Nursing' ","'Further education' ","'Other main scheme choice' ",10
2007 ,"'B7 - Nursing' ","'Further education' ","'Extra' ",10
2007 ,"'B7 - Nursing' ","'Further education' ","'Main scheme Clearing' ",50
2007 ,"'B7 - Nursing' ","'Grammar' ","'Firm choice' ",100
2007 ,"'B7 - Nursing' ","'Grammar' ","'Insurance choice' ",10
2007 ,"'B7 - Nursing' ","'Independent' ","'Firm choice' ",85
2007 ,"'B7 - Nursing' ","'Independent' ","'Main scheme Clearing' ",10
2007 ,"'B7 - Nursing' ","'Sixth form college' ","'Firm choice' ",555
2007 ,"'B7 - Nursing' ","'Sixth form college' ","'Insurance choice' ",20
2007 ,"'B7 - Nursing' ","'Sixth form college' ","'Other main scheme choice' ",15
2007 ,"'B7 - Nursing' ","'Sixth form college' ","'Extra' ",10
2007 ,"'B7 - Nursing' ","'Sixth form college' ","'Main scheme Clearing' ",75
2007 ,"'B7 - Nursing' ","'Sixth form college' ","'Direct Clearing' ",5
2007 ,"'B7 - Nursing' ","'State' ","'Firm choice' ",685
2007 ,"'B7 - Nursing' ","'State' ","'Insurance choice' ",45
2007 ,"'B7 - Nursing' ","'State' ","'Other main scheme choice' ",15
2007 ,"'B7 - Nursing' ","'State' ","'Extra' ",20
2007 ,"'B7 - Nursing' ","'State' ","'Main scheme Clearing' ",75
2007 ,"'B7 - Nursing' ","'Other' ","'Firm choice' ",170
2007 ,"'B7 - Nursing' ","'Other' ","'Insurance choice' ",5
2007 ,"'B7 - Nursing' ","'Other' ","'Other main scheme choice' ",10
2007 ,"'B7 - Nursing' ","'Other' ","'Main scheme Clearing' ",25
2007 ,"'B7 - Nursing' ","'Other' ","'RPA' ",55
2007 ,"'B8 - Medical Technology' ","'Academy' ","'Firm choice' ",115
2007 ,"'B8 - Medical Technology' ","'Academy' ","'Insurance choice' ",10
2007 ,"'B8 - Medical Technology' ","'Academy' ","'Extra' ",5
2007 ,"'B8 - Medical Technology' ","'Academy' ","'Main scheme Clearing' ",25
2007 ,"'B8 - Medical Technology' ","'Further education' ","'Firm choice' ",80
2007 ,"'B8 - Medical Technology' ","'Further education' ","'Extra' ",5
2007 ,"'B8 - Medical Technology' ","'Further education' ","'Main scheme Clearing' ",10
2007 ,"'B8 - Medical Technology' ","'Grammar' ","'Firm choice' ",50
2007 ,"'B8 - Medical Technology' ","'Grammar' ","'Insurance choice' ",5
2007 ,"'B8 - Medical Technology' ","'Grammar' ","'Main scheme Clearing' ",5
2007 ,"'B8 - Medical Technology' ","'Independent' ","'Firm choice' ",20
2007 ,"'B8 - Medical Technology' ","'Independent' ","'Main scheme Clearing' ",5
2007 ,"'B8 - Medical Technology' ","'Sixth form college' ","'Firm choice' ",125
2007 ,"'B8 - Medical Technology' ","'Sixth form college' ","'Insurance choice' ",5
2007 ,"'B8 - Medical Technology' ","'Sixth form college' ","'Main scheme Clearing' ",30
2007 ,"'B8 - Medical Technology' ","'State' ","'Firm choice' ",185
2007 ,"'B8 - Medical Technology' ","'State' ","'Insurance choice' ",15
2007 ,"'B8 - Medical Technology' ","'State' ","'Extra' ",5
2007 ,"'B8 - Medical Technology' ","'State' ","'Main scheme Clearing' ",35
2007 ,"'B8 - Medical Technology' ","'Other' ","'Firm choice' ",20
2007 ,"'B8 - Medical Technology' ","'Other' ","'Main scheme Clearing' ",5
2007 ,"'B8 - Medical Technology' ","'Other' ","'RPA' ",10
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Academy' ","'Firm choice' ",510
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Academy' ","'Insurance choice' ",90
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Academy' ","'Other main scheme choice' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Academy' ","'Extra' ",25
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Academy' ","'Main scheme Clearing' ",125
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Academy' ","'Direct Clearing' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Further education' ","'Firm choice' ",290
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Further education' ","'Insurance choice' ",30
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Further education' ","'Other main scheme choice' ",10
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Further education' ","'Extra' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Further education' ","'Main scheme Clearing' ",65
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Further education' ","'Direct Clearing' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Grammar' ","'Firm choice' ",170
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Grammar' ","'Insurance choice' ",30
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Grammar' ","'Main scheme Clearing' ",25
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Independent' ","'Firm choice' ",195
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Independent' ","'Insurance choice' ",30
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Independent' ","'Extra' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Independent' ","'Main scheme Clearing' ",55
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Sixth form college' ","'Firm choice' ",450
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Sixth form college' ","'Insurance choice' ",70
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Sixth form college' ","'Other main scheme choice' ",10
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Sixth form college' ","'Extra' ",15
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Sixth form college' ","'Main scheme Clearing' ",110
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Sixth form college' ","'Direct Clearing' ",10
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'State' ","'Firm choice' ",745
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'State' ","'Insurance choice' ",135
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'State' ","'Other main scheme choice' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'State' ","'Extra' ",30
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'State' ","'Main scheme Clearing' ",150
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'State' ","'Direct Clearing' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Other' ","'Firm choice' ",140
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Other' ","'Insurance choice' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Other' ","'Other main scheme choice' ",10
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Other' ","'Extra' ",5
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Other' ","'Main scheme Clearing' ",25
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Other' ","'Direct Clearing' ",15
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'Other' ","'RPA' ",75
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Academy' ","'Firm choice' ",20
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Academy' ","'Insurance choice' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Academy' ","'Main scheme Clearing' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Further education' ","'Firm choice' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Independent' ","'Firm choice' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Independent' ","'Main scheme Clearing' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Sixth form college' ","'Firm choice' ",20
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Sixth form college' ","'Main scheme Clearing' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'State' ","'Firm choice' ",20
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'State' ","'Insurance choice' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'State' ","'Main scheme Clearing' ",10
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Other' ","'Firm choice' ",5
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'Other' ","'RPA' ",5
2007 ,"'C0 - Biological Sciences: any area of study' ","'Academy' ","'Firm choice' ",10
2007 ,"'C0 - Biological Sciences: any area of study' ","'Sixth form college' ","'Firm choice' ",5
2007 ,"'C0 - Biological Sciences: any area of study' ","'State' ","'Firm choice' ",5
2007 ,"'C1 - Biology' ","'Academy' ","'Firm choice' ",675
2007 ,"'C1 - Biology' ","'Academy' ","'Insurance choice' ",85
2007 ,"'C1 - Biology' ","'Academy' ","'Other main scheme choice' ",5
2007 ,"'C1 - Biology' ","'Academy' ","'Extra' ",10
2007 ,"'C1 - Biology' ","'Academy' ","'Main scheme Clearing' ",80
2007 ,"'C1 - Biology' ","'Academy' ","'Direct Clearing' ",5
2007 ,"'C1 - Biology' ","'Further education' ","'Firm choice' ",170
2007 ,"'C1 - Biology' ","'Further education' ","'Insurance choice' ",20
2007 ,"'C1 - Biology' ","'Further education' ","'Other main scheme choice' ",5
2007 ,"'C1 - Biology' ","'Further education' ","'Main scheme Clearing' ",20
2007 ,"'C1 - Biology' ","'Further education' ","'Direct Clearing' ",5
2007 ,"'C1 - Biology' ","'Grammar' ","'Firm choice' ",85
2007 ,"'C1 - Biology' ","'Grammar' ","'Insurance choice' ",15
2007 ,"'C1 - Biology' ","'Grammar' ","'Main scheme Clearing' ",15
2007 ,"'C1 - Biology' ","'Independent' ","'Firm choice' ",420
2007 ,"'C1 - Biology' ","'Independent' ","'Insurance choice' ",50
2007 ,"'C1 - Biology' ","'Independent' ","'Main scheme Clearing' ",45
2007 ,"'C1 - Biology' ","'Sixth form college' ","'Firm choice' ",400
2007 ,"'C1 - Biology' ","'Sixth form college' ","'Insurance choice' ",45
2007 ,"'C1 - Biology' ","'Sixth form college' ","'Other main scheme choice' ",5
2007 ,"'C1 - Biology' ","'Sixth form college' ","'Extra' ",5
2007 ,"'C1 - Biology' ","'Sixth form college' ","'Main scheme Clearing' ",55
2007 ,"'C1 - Biology' ","'State' ","'Firm choice' ",690
2007 ,"'C1 - Biology' ","'State' ","'Insurance choice' ",100
2007 ,"'C1 - Biology' ","'State' ","'Other main scheme choice' ",5
2007 ,"'C1 - Biology' ","'State' ","'Extra' ",5
2007 ,"'C1 - Biology' ","'State' ","'Main scheme Clearing' ",100
