"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Applicant Domicile (Region) , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_021_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Applicant Domicile (Region) , Acceptance Route,Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'North East' ","'Firm choice' ",210
2007 ,"'Group B Subjects allied to Medicine' ","'South West' ","'Main scheme Clearing' ",130
2007 ,"'Group B Subjects allied to Medicine' ","'South West' ","'Direct Clearing' ",35
2007 ,"'Group B Subjects allied to Medicine' ","'South West' ","'RPA' ",100
2007 ,"'Group B Subjects allied to Medicine' ","'Wales' ","'Firm choice' ",1355
2007 ,"'Group B Subjects allied to Medicine' ","'Wales' ","'Insurance choice' ",60
2007 ,"'Group B Subjects allied to Medicine' ","'Wales' ","'Other main scheme choice' ",45
2007 ,"'Group B Subjects allied to Medicine' ","'Wales' ","'Extra' ",25
2007 ,"'Group B Subjects allied to Medicine' ","'Wales' ","'Main scheme Clearing' ",140
2007 ,"'Group B Subjects allied to Medicine' ","'Wales' ","'Direct Clearing' ",30
2007 ,"'Group B Subjects allied to Medicine' ","'Wales' ","'RPA' ",55
2007 ,"'Group B Subjects allied to Medicine' ","'Scotland' ","'Firm choice' ",1480
2007 ,"'Group B Subjects allied to Medicine' ","'Scotland' ","'Insurance choice' ",75
2007 ,"'Group B Subjects allied to Medicine' ","'Scotland' ","'Other main scheme choice' ",55
2007 ,"'Group B Subjects allied to Medicine' ","'Scotland' ","'Extra' ",15
2007 ,"'Group B Subjects allied to Medicine' ","'Scotland' ","'Main scheme Clearing' ",85
2007 ,"'Group B Subjects allied to Medicine' ","'Scotland' ","'Direct Clearing' ",25
2007 ,"'Group B Subjects allied to Medicine' ","'Scotland' ","'RPA' ",55
2007 ,"'Group B Subjects allied to Medicine' ","'Northern Ireland' ","'Firm choice' ",1140
2007 ,"'Group B Subjects allied to Medicine' ","'Northern Ireland' ","'Insurance choice' ",95
2007 ,"'Group B Subjects allied to Medicine' ","'Northern Ireland' ","'Other main scheme choice' ",15
2007 ,"'Group B Subjects allied to Medicine' ","'Northern Ireland' ","'Extra' ",15
2007 ,"'Group B Subjects allied to Medicine' ","'Northern Ireland' ","'Main scheme Clearing' ",95
2007 ,"'Group B Subjects allied to Medicine' ","'Northern Ireland' ","'Direct Clearing' ",15
2007 ,"'Group B Subjects allied to Medicine' ","'Northern Ireland' ","'RPA' ",10
2007 ,"'Group B Subjects allied to Medicine' ","'Unknown' ","'Firm choice' ",25
2007 ,"'Group B Subjects allied to Medicine' ","'Unknown' ","'Insurance choice' ",5
2007 ,"'Group B Subjects allied to Medicine' ","'Unknown' ","'Extra' ",5
2007 ,"'Group B Subjects allied to Medicine' ","'Unknown' ","'Main scheme Clearing' ",5
2007 ,"'Group B Subjects allied to Medicine' ","'Unknown' ","'RPA' ",15
2007 ,"'Group C Biological Sciences' ","'North East' ","'Firm choice' ",1035
2007 ,"'Group C Biological Sciences' ","'North East' ","'Insurance choice' ",90
2007 ,"'Group C Biological Sciences' ","'North East' ","'Other main scheme choice' ",30
2007 ,"'Group C Biological Sciences' ","'North East' ","'Extra' ",15
2007 ,"'Group C Biological Sciences' ","'North East' ","'Main scheme Clearing' ",80
2007 ,"'Group C Biological Sciences' ","'North East' ","'Direct Clearing' ",15
2007 ,"'Group C Biological Sciences' ","'North East' ","'RPA' ",60
2007 ,"'Group C Biological Sciences' ","'Yorkshire and The Humber' ","'Firm choice' ",1935
2007 ,"'Group C Biological Sciences' ","'Yorkshire and The Humber' ","'Insurance choice' ",160
2007 ,"'Group C Biological Sciences' ","'Yorkshire and The Humber' ","'Other main scheme choice' ",50
2007 ,"'Group C Biological Sciences' ","'Yorkshire and The Humber' ","'Extra' ",25
2007 ,"'Group C Biological Sciences' ","'Yorkshire and The Humber' ","'Main scheme Clearing' ",160
2007 ,"'Group C Biological Sciences' ","'Yorkshire and The Humber' ","'Direct Clearing' ",50
2007 ,"'Group C Biological Sciences' ","'Yorkshire and The Humber' ","'RPA' ",140
2007 ,"'Group C Biological Sciences' ","'North West' ","'Firm choice' ",2570
2007 ,"'Group C Biological Sciences' ","'North West' ","'Insurance choice' ",230
2007 ,"'Group C Biological Sciences' ","'North West' ","'Other main scheme choice' ",60
2007 ,"'Group C Biological Sciences' ","'North West' ","'Extra' ",40
2007 ,"'Group C Biological Sciences' ","'North West' ","'Main scheme Clearing' ",225
2007 ,"'Group C Biological Sciences' ","'North West' ","'Direct Clearing' ",50
2007 ,"'Group C Biological Sciences' ","'North West' ","'RPA' ",155
2007 ,"'Group C Biological Sciences' ","'East Midlands' ","'Firm choice' ",1630
2007 ,"'Group C Biological Sciences' ","'East Midlands' ","'Insurance choice' ",135
2007 ,"'Group C Biological Sciences' ","'East Midlands' ","'Other main scheme choice' ",50
2007 ,"'Group C Biological Sciences' ","'East Midlands' ","'Extra' ",25
2007 ,"'Group C Biological Sciences' ","'East Midlands' ","'Main scheme Clearing' ",130
2007 ,"'Group C Biological Sciences' ","'East Midlands' ","'Direct Clearing' ",40
2007 ,"'Group C Biological Sciences' ","'East Midlands' ","'RPA' ",55
2007 ,"'Group C Biological Sciences' ","'West Midlands' ","'Firm choice' ",1975
2007 ,"'Group C Biological Sciences' ","'West Midlands' ","'Insurance choice' ",200
2007 ,"'Group C Biological Sciences' ","'West Midlands' ","'Other main scheme choice' ",75
2007 ,"'Group C Biological Sciences' ","'West Midlands' ","'Extra' ",30
2007 ,"'Group C Biological Sciences' ","'West Midlands' ","'Main scheme Clearing' ",220
2007 ,"'Group C Biological Sciences' ","'West Midlands' ","'Direct Clearing' ",40
2007 ,"'Group C Biological Sciences' ","'West Midlands' ","'RPA' ",135
2007 ,"'Group C Biological Sciences' ","'East of England' ","'Firm choice' ",2145
2007 ,"'Group C Biological Sciences' ","'East of England' ","'Insurance choice' ",205
2007 ,"'Group C Biological Sciences' ","'East of England' ","'Other main scheme choice' ",60
2007 ,"'Group C Biological Sciences' ","'East of England' ","'Extra' ",35
2007 ,"'Group C Biological Sciences' ","'East of England' ","'Main scheme Clearing' ",160
2007 ,"'Group C Biological Sciences' ","'East of England' ","'Direct Clearing' ",45
2007 ,"'Group C Biological Sciences' ","'East of England' ","'RPA' ",70
2007 ,"'Group C Biological Sciences' ","'London' ","'Firm choice' ",2560
2007 ,"'Group C Biological Sciences' ","'London' ","'Insurance choice' ",390
2007 ,"'Group C Biological Sciences' ","'London' ","'Other main scheme choice' ",150
2007 ,"'Group C Biological Sciences' ","'London' ","'Extra' ",65
2007 ,"'Group C Biological Sciences' ","'London' ","'Main scheme Clearing' ",585
2007 ,"'Group C Biological Sciences' ","'London' ","'Direct Clearing' ",110
2007 ,"'Group C Biological Sciences' ","'London' ","'RPA' ",295
2007 ,"'Group C Biological Sciences' ","'South East' ","'Firm choice' ",3075
2007 ,"'Group C Biological Sciences' ","'South East' ","'Insurance choice' ",305
2007 ,"'Group C Biological Sciences' ","'South East' ","'Other main scheme choice' ",85
2007 ,"'Group C Biological Sciences' ","'South East' ","'Extra' ",40
2007 ,"'Group C Biological Sciences' ","'South East' ","'Main scheme Clearing' ",270
2007 ,"'Group C Biological Sciences' ","'South East' ","'Direct Clearing' ",50
2007 ,"'Group C Biological Sciences' ","'South East' ","'RPA' ",100
2007 ,"'Group C Biological Sciences' ","'South West' ","'Firm choice' ",1910
2007 ,"'Group C Biological Sciences' ","'South West' ","'Insurance choice' ",155
2007 ,"'Group C Biological Sciences' ","'South West' ","'Other main scheme choice' ",70
2007 ,"'Group C Biological Sciences' ","'South West' ","'Extra' ",30
2007 ,"'Group C Biological Sciences' ","'South West' ","'Main scheme Clearing' ",130
2007 ,"'Group C Biological Sciences' ","'South West' ","'Direct Clearing' ",55
2007 ,"'Group C Biological Sciences' ","'South West' ","'RPA' ",100
2007 ,"'Group C Biological Sciences' ","'Wales' ","'Firm choice' ",1070
2007 ,"'Group C Biological Sciences' ","'Wales' ","'Insurance choice' ",95
2007 ,"'Group C Biological Sciences' ","'Wales' ","'Other main scheme choice' ",20
2007 ,"'Group C Biological Sciences' ","'Wales' ","'Extra' ",10
2007 ,"'Group C Biological Sciences' ","'Wales' ","'Main scheme Clearing' ",105
2007 ,"'Group C Biological Sciences' ","'Wales' ","'Direct Clearing' ",35
2007 ,"'Group C Biological Sciences' ","'Wales' ","'RPA' ",50
2007 ,"'Group C Biological Sciences' ","'Scotland' ","'Firm choice' ",1705
2007 ,"'Group C Biological Sciences' ","'Scotland' ","'Insurance choice' ",180
2007 ,"'Group C Biological Sciences' ","'Scotland' ","'Other main scheme choice' ",85
2007 ,"'Group C Biological Sciences' ","'Scotland' ","'Extra' ",15
2007 ,"'Group C Biological Sciences' ","'Scotland' ","'Main scheme Clearing' ",140
2007 ,"'Group C Biological Sciences' ","'Scotland' ","'Direct Clearing' ",30
2007 ,"'Group C Biological Sciences' ","'Scotland' ","'RPA' ",155
2007 ,"'Group C Biological Sciences' ","'Northern Ireland' ","'Firm choice' ",660
2007 ,"'Group C Biological Sciences' ","'Northern Ireland' ","'Insurance choice' ",100
2007 ,"'Group C Biological Sciences' ","'Northern Ireland' ","'Other main scheme choice' ",10
2007 ,"'Group C Biological Sciences' ","'Northern Ireland' ","'Extra' ",15
2007 ,"'Group C Biological Sciences' ","'Northern Ireland' ","'Main scheme Clearing' ",85
2007 ,"'Group C Biological Sciences' ","'Northern Ireland' ","'Direct Clearing' ",20
2007 ,"'Group C Biological Sciences' ","'Northern Ireland' ","'RPA' ",10
2007 ,"'Group C Biological Sciences' ","'Unknown' ","'Firm choice' ",35
2007 ,"'Group C Biological Sciences' ","'Unknown' ","'RPA' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'North East' ","'Firm choice' ",45
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'North East' ","'Insurance choice' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'North East' ","'Other main scheme choice' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'North East' ","'Main scheme Clearing' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'North East' ","'RPA' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Yorkshire and The Humber' ","'Firm choice' ",215
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Yorkshire and The Humber' ","'Insurance choice' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Yorkshire and The Humber' ","'Other main scheme choice' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Yorkshire and The Humber' ","'Main scheme Clearing' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Yorkshire and The Humber' ","'Direct Clearing' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Yorkshire and The Humber' ","'RPA' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'North West' ","'Firm choice' ",325
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'North West' ","'Insurance choice' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'North West' ","'Other main scheme choice' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'North West' ","'Extra' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'North West' ","'Main scheme Clearing' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'North West' ","'Direct Clearing' ",30
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'North West' ","'RPA' ",30
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'East Midlands' ","'Firm choice' ",290
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'East Midlands' ","'Insurance choice' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'East Midlands' ","'Other main scheme choice' ",20
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'East Midlands' ","'Extra' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'East Midlands' ","'Main scheme Clearing' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'East Midlands' ","'Direct Clearing' ",30
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'East Midlands' ","'RPA' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'West Midlands' ","'Firm choice' ",315
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'West Midlands' ","'Insurance choice' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'West Midlands' ","'Other main scheme choice' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'West Midlands' ","'Extra' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'West Midlands' ","'Main scheme Clearing' ",20
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'West Midlands' ","'Direct Clearing' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'West Midlands' ","'RPA' ",20
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'East of England' ","'Firm choice' ",300
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'East of England' ","'Insurance choice' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'East of England' ","'Other main scheme choice' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'East of England' ","'Main scheme Clearing' ",20
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'East of England' ","'Direct Clearing' ",20
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'East of England' ","'RPA' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'London' ","'Firm choice' ",125
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'London' ","'Insurance choice' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'London' ","'Other main scheme choice' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'London' ","'Main scheme Clearing' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'London' ","'Direct Clearing' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'London' ","'RPA' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'South East' ","'Firm choice' ",450
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'South East' ","'Insurance choice' ",25
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'South East' ","'Other main scheme choice' ",40
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'South East' ","'Main scheme Clearing' ",25
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'South East' ","'Direct Clearing' ",50
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'South East' ","'RPA' ",25
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'South West' ","'Firm choice' ",370
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'South West' ","'Insurance choice' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'South West' ","'Other main scheme choice' ",30
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'South West' ","'Extra' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'South West' ","'Main scheme Clearing' ",20
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'South West' ","'Direct Clearing' ",25
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'South West' ","'RPA' ",50
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Wales' ","'Firm choice' ",145
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Wales' ","'Insurance choice' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Wales' ","'Other main scheme choice' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Wales' ","'Main scheme Clearing' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Wales' ","'Direct Clearing' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Wales' ","'RPA' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Scotland' ","'Firm choice' ",235
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Scotland' ","'Insurance choice' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Scotland' ","'Other main scheme choice' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Scotland' ","'Main scheme Clearing' ",20
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Scotland' ","'Direct Clearing' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Scotland' ","'RPA' ",90
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Northern Ireland' ","'Firm choice' ",110
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Northern Ireland' ","'Insurance choice' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Northern Ireland' ","'Other main scheme choice' ",10
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Northern Ireland' ","'Main scheme Clearing' ",20
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Northern Ireland' ","'Direct Clearing' ",15
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Unknown' ","'Firm choice' ",5
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Unknown' ","'RPA' ",5
2007 ,"'Group F Physical Sciences' ","'North East' ","'Firm choice' ",350
