"Statistic:   Number of Applicants"
"Variables:   POLAR3 Quintile , Sex , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled 18 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_039_06.pdf"
 
Cycle Year,POLAR3 Quintile , Sex,Number of Applicants,
2006 ,"'POLAR3 Quintile 1' ","'Men' ",8085
2013 ,"'Not assigned' ","'Women' ",235
2014 ,"'POLAR3 Quintile 1' ","'Men' ",11785
2014 ,"'POLAR3 Quintile 1' ","'Women' ",17065
2014 ,"'POLAR3 Quintile 2' ","'Men' ",17005
2014 ,"'POLAR3 Quintile 2' ","'Women' ",23725
2014 ,"'POLAR3 Quintile 3' ","'Men' ",22305
2014 ,"'POLAR3 Quintile 3' ","'Women' ",28915
2014 ,"'POLAR3 Quintile 4' ","'Men' ",27485
2014 ,"'POLAR3 Quintile 4' ","'Women' ",34205
2014 ,"'POLAR3 Quintile 5' ","'Men' ",38685
2014 ,"'POLAR3 Quintile 5' ","'Women' ",44300
2014 ,"'Not assigned' ","'Men' ",240
2014 ,"'Not assigned' ","'Women' ",260
2015 ,"'POLAR3 Quintile 1' ","'Men' ",11935
2015 ,"'POLAR3 Quintile 1' ","'Women' ",18005
2015 ,"'POLAR3 Quintile 2' ","'Men' ",17575
2015 ,"'POLAR3 Quintile 2' ","'Women' ",25010
2015 ,"'POLAR3 Quintile 3' ","'Men' ",22740
2015 ,"'POLAR3 Quintile 3' ","'Women' ",30520
2015 ,"'POLAR3 Quintile 4' ","'Men' ",28190
2015 ,"'POLAR3 Quintile 4' ","'Women' ",36110
2015 ,"'POLAR3 Quintile 5' ","'Men' ",39175
2015 ,"'POLAR3 Quintile 5' ","'Women' ",45955
2015 ,"'Not assigned' ","'Men' ",290
2015 ,"'Not assigned' ","'Women' ",375
2016 ,"'POLAR3 Quintile 1' ","'Men' ",11955
2016 ,"'POLAR3 Quintile 1' ","'Women' ",18060
2016 ,"'POLAR3 Quintile 2' ","'Men' ",17645
2016 ,"'POLAR3 Quintile 2' ","'Women' ",25065
2016 ,"'POLAR3 Quintile 3' ","'Men' ",22645
2016 ,"'POLAR3 Quintile 3' ","'Women' ",30760
2016 ,"'POLAR3 Quintile 4' ","'Men' ",28220
2016 ,"'POLAR3 Quintile 4' ","'Women' ",35990
2016 ,"'POLAR3 Quintile 5' ","'Men' ",39650
2016 ,"'POLAR3 Quintile 5' ","'Women' ",46340
2016 ,"'Not assigned' ","'Men' ",505
2016 ,"'Not assigned' ","'Women' ",660
