"Statistic:   Number of Acceptances"
"Variables:   Provider Country 2016 , Applicant Domicile (High Level) , Age Band , Sex , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_009_07.pdf"
 
Cycle Year,Provider Country 2016 , Applicant Domicile (High Level) , Age Band , Sex , Acceptance Route,Number of Acceptances,
2006 ,"'England' ","'England' ","'17 and under' ","'Men' ","'Firm choice' ",375
2006 ,"'England' ","'Northern Ireland' ","'21 and over' ","'Men' ","'Direct Clearing' ",10
2006 ,"'England' ","'Northern Ireland' ","'21 and over' ","'Men' ","'RPA' ",15
2006 ,"'England' ","'Northern Ireland' ","'21 and over' ","'Women' ","'Firm choice' ",120
2006 ,"'England' ","'Northern Ireland' ","'21 and over' ","'Women' ","'Insurance choice' ",5
2006 ,"'England' ","'Northern Ireland' ","'21 and over' ","'Women' ","'Other main scheme choice' ",10
2006 ,"'England' ","'Northern Ireland' ","'21 and over' ","'Women' ","'Main scheme Clearing' ",15
2006 ,"'England' ","'Northern Ireland' ","'21 and over' ","'Women' ","'Direct Clearing' ",5
2006 ,"'England' ","'Northern Ireland' ","'21 and over' ","'Women' ","'RPA' ",5
2006 ,"'England' ","'Scotland' ","'17 and under' ","'Men' ","'Firm choice' ",5
2006 ,"'England' ","'Scotland' ","'17 and under' ","'Women' ","'Firm choice' ",15
2006 ,"'England' ","'Scotland' ","'18' ","'Men' ","'Firm choice' ",290
2006 ,"'England' ","'Scotland' ","'18' ","'Men' ","'Insurance choice' ",15
2006 ,"'England' ","'Scotland' ","'18' ","'Men' ","'Other main scheme choice' ",5
2006 ,"'England' ","'Scotland' ","'18' ","'Men' ","'Main scheme Clearing' ",15
2006 ,"'England' ","'Scotland' ","'18' ","'Women' ","'Firm choice' ",315
2006 ,"'England' ","'Scotland' ","'18' ","'Women' ","'Insurance choice' ",25
2006 ,"'England' ","'Scotland' ","'18' ","'Women' ","'Main scheme Clearing' ",20
2006 ,"'England' ","'Scotland' ","'19' ","'Men' ","'Firm choice' ",145
2006 ,"'England' ","'Scotland' ","'19' ","'Men' ","'Insurance choice' ",5
2006 ,"'England' ","'Scotland' ","'19' ","'Men' ","'Main scheme Clearing' ",15
2006 ,"'England' ","'Scotland' ","'19' ","'Men' ","'Direct Clearing' ",5
2006 ,"'England' ","'Scotland' ","'19' ","'Men' ","'RPA' ",5
2006 ,"'England' ","'Scotland' ","'19' ","'Women' ","'Firm choice' ",160
2006 ,"'England' ","'Scotland' ","'19' ","'Women' ","'Insurance choice' ",10
2006 ,"'England' ","'Scotland' ","'19' ","'Women' ","'Other main scheme choice' ",5
2006 ,"'England' ","'Scotland' ","'19' ","'Women' ","'Extra' ",5
2006 ,"'England' ","'Scotland' ","'19' ","'Women' ","'Main scheme Clearing' ",15
2006 ,"'England' ","'Scotland' ","'19' ","'Women' ","'Direct Clearing' ",5
2006 ,"'England' ","'Scotland' ","'19' ","'Women' ","'RPA' ",5
2006 ,"'England' ","'Scotland' ","'20' ","'Men' ","'Firm choice' ",50
2006 ,"'England' ","'Scotland' ","'20' ","'Men' ","'Other main scheme choice' ",5
2006 ,"'England' ","'Scotland' ","'20' ","'Men' ","'Main scheme Clearing' ",5
2006 ,"'England' ","'Scotland' ","'20' ","'Men' ","'RPA' ",5
2006 ,"'England' ","'Scotland' ","'20' ","'Women' ","'Firm choice' ",90
2006 ,"'England' ","'Scotland' ","'20' ","'Women' ","'Other main scheme choice' ",5
2006 ,"'England' ","'Scotland' ","'20' ","'Women' ","'Extra' ",5
2006 ,"'England' ","'Scotland' ","'20' ","'Women' ","'Main scheme Clearing' ",5
2006 ,"'England' ","'Scotland' ","'20' ","'Women' ","'Direct Clearing' ",5
2006 ,"'England' ","'Scotland' ","'21 and over' ","'Men' ","'Firm choice' ",140
2006 ,"'England' ","'Scotland' ","'21 and over' ","'Men' ","'Other main scheme choice' ",30
2006 ,"'England' ","'Scotland' ","'21 and over' ","'Men' ","'Extra' ",5
2006 ,"'England' ","'Scotland' ","'21 and over' ","'Men' ","'Main scheme Clearing' ",10
2006 ,"'England' ","'Scotland' ","'21 and over' ","'Men' ","'Direct Clearing' ",15
2006 ,"'England' ","'Scotland' ","'21 and over' ","'Men' ","'RPA' ",25
2006 ,"'England' ","'Scotland' ","'21 and over' ","'Women' ","'Firm choice' ",175
2006 ,"'England' ","'Scotland' ","'21 and over' ","'Women' ","'Insurance choice' ",5
2006 ,"'England' ","'Scotland' ","'21 and over' ","'Women' ","'Other main scheme choice' ",25
2006 ,"'England' ","'Scotland' ","'21 and over' ","'Women' ","'Main scheme Clearing' ",15
2006 ,"'England' ","'Scotland' ","'21 and over' ","'Women' ","'Direct Clearing' ",10
2006 ,"'England' ","'Scotland' ","'21 and over' ","'Women' ","'RPA' ",20
2006 ,"'England' ","'Wales' ","'17 and under' ","'Men' ","'Firm choice' ",15
2006 ,"'England' ","'Wales' ","'17 and under' ","'Women' ","'Firm choice' ",20
2006 ,"'England' ","'Wales' ","'18' ","'Men' ","'Firm choice' ",1315
2006 ,"'England' ","'Wales' ","'18' ","'Men' ","'Insurance choice' ",115
2006 ,"'England' ","'Wales' ","'18' ","'Men' ","'Other main scheme choice' ",5
2006 ,"'England' ","'Wales' ","'18' ","'Men' ","'Extra' ",5
2006 ,"'England' ","'Wales' ","'18' ","'Men' ","'Main scheme Clearing' ",80
2006 ,"'England' ","'Wales' ","'18' ","'Men' ","'Direct Clearing' ",10
2006 ,"'England' ","'Wales' ","'18' ","'Men' ","'RPA' ",15
2006 ,"'England' ","'Wales' ","'18' ","'Women' ","'Firm choice' ",1665
2006 ,"'England' ","'Wales' ","'18' ","'Women' ","'Insurance choice' ",130
2006 ,"'England' ","'Wales' ","'18' ","'Women' ","'Other main scheme choice' ",5
2006 ,"'England' ","'Wales' ","'18' ","'Women' ","'Extra' ",35
2006 ,"'England' ","'Wales' ","'18' ","'Women' ","'Main scheme Clearing' ",140
2006 ,"'England' ","'Wales' ","'18' ","'Women' ","'Direct Clearing' ",5
2006 ,"'England' ","'Wales' ","'18' ","'Women' ","'RPA' ",15
2006 ,"'England' ","'Wales' ","'19' ","'Men' ","'Firm choice' ",315
2006 ,"'England' ","'Wales' ","'19' ","'Men' ","'Insurance choice' ",10
2006 ,"'England' ","'Wales' ","'19' ","'Men' ","'Other main scheme choice' ",10
2006 ,"'England' ","'Wales' ","'19' ","'Men' ","'Extra' ",5
2006 ,"'England' ","'Wales' ","'19' ","'Men' ","'Main scheme Clearing' ",30
2006 ,"'England' ","'Wales' ","'19' ","'Men' ","'Direct Clearing' ",10
2006 ,"'England' ","'Wales' ","'19' ","'Men' ","'RPA' ",10
2006 ,"'England' ","'Wales' ","'19' ","'Women' ","'Firm choice' ",450
2006 ,"'England' ","'Wales' ","'19' ","'Women' ","'Insurance choice' ",15
2006 ,"'England' ","'Wales' ","'19' ","'Women' ","'Other main scheme choice' ",20
2006 ,"'England' ","'Wales' ","'19' ","'Women' ","'Extra' ",10
2006 ,"'England' ","'Wales' ","'19' ","'Women' ","'Main scheme Clearing' ",30
2006 ,"'England' ","'Wales' ","'19' ","'Women' ","'Direct Clearing' ",15
2006 ,"'England' ","'Wales' ","'19' ","'Women' ","'RPA' ",10
2006 ,"'England' ","'Wales' ","'20' ","'Men' ","'Firm choice' ",115
2006 ,"'England' ","'Wales' ","'20' ","'Men' ","'Insurance choice' ",5
2006 ,"'England' ","'Wales' ","'20' ","'Men' ","'Other main scheme choice' ",10
2006 ,"'England' ","'Wales' ","'20' ","'Men' ","'Main scheme Clearing' ",10
2006 ,"'England' ","'Wales' ","'20' ","'Men' ","'Direct Clearing' ",5
2006 ,"'England' ","'Wales' ","'20' ","'Men' ","'RPA' ",10
2006 ,"'England' ","'Wales' ","'20' ","'Women' ","'Firm choice' ",130
2006 ,"'England' ","'Wales' ","'20' ","'Women' ","'Other main scheme choice' ",10
2006 ,"'England' ","'Wales' ","'20' ","'Women' ","'Main scheme Clearing' ",10
2006 ,"'England' ","'Wales' ","'20' ","'Women' ","'Direct Clearing' ",5
2006 ,"'England' ","'Wales' ","'20' ","'Women' ","'RPA' ",10
2006 ,"'England' ","'Wales' ","'21 and over' ","'Men' ","'Firm choice' ",180
2006 ,"'England' ","'Wales' ","'21 and over' ","'Men' ","'Other main scheme choice' ",20
2006 ,"'England' ","'Wales' ","'21 and over' ","'Men' ","'Extra' ",5
2006 ,"'England' ","'Wales' ","'21 and over' ","'Men' ","'Main scheme Clearing' ",15
2006 ,"'England' ","'Wales' ","'21 and over' ","'Men' ","'Direct Clearing' ",20
2006 ,"'England' ","'Wales' ","'21 and over' ","'Men' ","'RPA' ",35
2006 ,"'England' ","'Wales' ","'21 and over' ","'Women' ","'Firm choice' ",225
2006 ,"'England' ","'Wales' ","'21 and over' ","'Women' ","'Insurance choice' ",5
2006 ,"'England' ","'Wales' ","'21 and over' ","'Women' ","'Other main scheme choice' ",25
2006 ,"'England' ","'Wales' ","'21 and over' ","'Women' ","'Main scheme Clearing' ",15
2006 ,"'England' ","'Wales' ","'21 and over' ","'Women' ","'Direct Clearing' ",15
2006 ,"'England' ","'Wales' ","'21 and over' ","'Women' ","'RPA' ",20
2006 ,"'Northern Ireland' ","'England' ","'18' ","'Men' ","'Firm choice' ",15
2006 ,"'Northern Ireland' ","'England' ","'18' ","'Men' ","'Insurance choice' ",5
2006 ,"'Northern Ireland' ","'England' ","'18' ","'Women' ","'Firm choice' ",40
2006 ,"'Northern Ireland' ","'England' ","'18' ","'Women' ","'Insurance choice' ",5
2006 ,"'Northern Ireland' ","'England' ","'18' ","'Women' ","'Main scheme Clearing' ",5
2006 ,"'Northern Ireland' ","'England' ","'19' ","'Men' ","'Firm choice' ",5
2006 ,"'Northern Ireland' ","'England' ","'19' ","'Women' ","'Firm choice' ",5
2006 ,"'Northern Ireland' ","'England' ","'20' ","'Women' ","'Firm choice' ",5
2006 ,"'Northern Ireland' ","'England' ","'21 and over' ","'Women' ","'Firm choice' ",5
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'17 and under' ","'Men' ","'Firm choice' ",10
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'17 and under' ","'Women' ","'Firm choice' ",20
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'17 and under' ","'Women' ","'Insurance choice' ",5
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'18' ","'Men' ","'Firm choice' ",1900
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'18' ","'Men' ","'Insurance choice' ",410
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'18' ","'Men' ","'Other main scheme choice' ",10
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'18' ","'Men' ","'Extra' ",5
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'18' ","'Men' ","'Main scheme Clearing' ",200
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'18' ","'Men' ","'Direct Clearing' ",5
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'18' ","'Men' ","'RPA' ",5
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'18' ","'Women' ","'Firm choice' ",2470
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'18' ","'Women' ","'Insurance choice' ",440
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'18' ","'Women' ","'Other main scheme choice' ",10
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'18' ","'Women' ","'Extra' ",15
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'18' ","'Women' ","'Main scheme Clearing' ",215
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'18' ","'Women' ","'Direct Clearing' ",5
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'18' ","'Women' ","'RPA' ",5
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'19' ","'Men' ","'Firm choice' ",280
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'19' ","'Men' ","'Insurance choice' ",45
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'19' ","'Men' ","'Other main scheme choice' ",15
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'19' ","'Men' ","'Main scheme Clearing' ",25
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'19' ","'Men' ","'Direct Clearing' ",20
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'19' ","'Men' ","'RPA' ",5
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'19' ","'Women' ","'Firm choice' ",355
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'19' ","'Women' ","'Insurance choice' ",45
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'19' ","'Women' ","'Other main scheme choice' ",10
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'19' ","'Women' ","'Extra' ",5
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'19' ","'Women' ","'Main scheme Clearing' ",50
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'19' ","'Women' ","'Direct Clearing' ",15
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'19' ","'Women' ","'RPA' ",10
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'20' ","'Men' ","'Firm choice' ",115
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'20' ","'Men' ","'Insurance choice' ",15
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'20' ","'Men' ","'Other main scheme choice' ",10
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'20' ","'Men' ","'Main scheme Clearing' ",10
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'20' ","'Men' ","'Direct Clearing' ",15
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'20' ","'Men' ","'RPA' ",5
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'20' ","'Women' ","'Firm choice' ",135
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'20' ","'Women' ","'Insurance choice' ",10
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'20' ","'Women' ","'Other main scheme choice' ",15
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'20' ","'Women' ","'Main scheme Clearing' ",15
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'20' ","'Women' ","'Direct Clearing' ",10
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'20' ","'Women' ","'RPA' ",5
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'21 and over' ","'Men' ","'Firm choice' ",310
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'21 and over' ","'Men' ","'Insurance choice' ",10
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'21 and over' ","'Men' ","'Other main scheme choice' ",20
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'21 and over' ","'Men' ","'Extra' ",5
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'21 and over' ","'Men' ","'Main scheme Clearing' ",25
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'21 and over' ","'Men' ","'Direct Clearing' ",20
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'21 and over' ","'Men' ","'RPA' ",15
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'21 and over' ","'Women' ","'Firm choice' ",525
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'21 and over' ","'Women' ","'Insurance choice' ",15
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'21 and over' ","'Women' ","'Other main scheme choice' ",20
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'21 and over' ","'Women' ","'Extra' ",5
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'21 and over' ","'Women' ","'Main scheme Clearing' ",80
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'21 and over' ","'Women' ","'Direct Clearing' ",10
2006 ,"'Northern Ireland' ","'Northern Ireland' ","'21 and over' ","'Women' ","'RPA' ",5
2006 ,"'Northern Ireland' ","'Scotland' ","'18' ","'Women' ","'Firm choice' ",5
2006 ,"'Scotland' ","'England' ","'17 and under' ","'Men' ","'Firm choice' ",10
2006 ,"'Scotland' ","'England' ","'17 and under' ","'Men' ","'Insurance choice' ",5
2006 ,"'Scotland' ","'England' ","'17 and under' ","'Women' ","'Firm choice' ",5
2006 ,"'Scotland' ","'England' ","'17 and under' ","'Women' ","'Insurance choice' ",5
2006 ,"'Scotland' ","'England' ","'18' ","'Men' ","'Firm choice' ",870
2006 ,"'Scotland' ","'England' ","'18' ","'Men' ","'Insurance choice' ",140
2006 ,"'Scotland' ","'England' ","'18' ","'Men' ","'Extra' ",5
2006 ,"'Scotland' ","'England' ","'18' ","'Men' ","'Main scheme Clearing' ",70
2006 ,"'Scotland' ","'England' ","'18' ","'Men' ","'RPA' ",5
2006 ,"'Scotland' ","'England' ","'18' ","'Women' ","'Firm choice' ",1140
2006 ,"'Scotland' ","'England' ","'18' ","'Women' ","'Insurance choice' ",155
2006 ,"'Scotland' ","'England' ","'18' ","'Women' ","'Other main scheme choice' ",5
2006 ,"'Scotland' ","'England' ","'18' ","'Women' ","'Extra' ",5
2006 ,"'Scotland' ","'England' ","'18' ","'Women' ","'Main scheme Clearing' ",70
2006 ,"'Scotland' ","'England' ","'18' ","'Women' ","'RPA' ",5
2006 ,"'Scotland' ","'England' ","'19' ","'Men' ","'Firm choice' ",235
2006 ,"'Scotland' ","'England' ","'19' ","'Men' ","'Insurance choice' ",10
2006 ,"'Scotland' ","'England' ","'19' ","'Men' ","'Other main scheme choice' ",5
2006 ,"'Scotland' ","'England' ","'19' ","'Men' ","'Extra' ",5
2006 ,"'Scotland' ","'England' ","'19' ","'Men' ","'Main scheme Clearing' ",15
2006 ,"'Scotland' ","'England' ","'19' ","'Men' ","'RPA' ",5
2006 ,"'Scotland' ","'England' ","'19' ","'Women' ","'Firm choice' ",250
2006 ,"'Scotland' ","'England' ","'19' ","'Women' ","'Insurance choice' ",10
2006 ,"'Scotland' ","'England' ","'19' ","'Women' ","'Other main scheme choice' ",10
2006 ,"'Scotland' ","'England' ","'19' ","'Women' ","'Extra' ",5
2006 ,"'Scotland' ","'England' ","'19' ","'Women' ","'Main scheme Clearing' ",10
